B		処理操作；運輸	PERFORMING OPERATIONS; TRANSPORTING	
B21C		圧延以外の方法による金属板，線，棒，管，型材または類似の半製品の製造；実質的に材料を除去しない金属加工と関連して用いる補助作業<br><b><ul>サブクラス内の索引</ul></b><br>金属の引抜<br>一般的方法　１／００<br>補助的作業　５／００，９／００<br>装置　３／００，１９／００<br>金属の押出し<br>一般的方法　２３／００<br>補助的作業　２９／００，３３／００，３５／００<br>装置　２５／００，２６／００，２７／００<br>制御　３１／００<br>金属の引抜および押出しに共通な細部　４３／００<br>他に分類されない製造　３７／００<br>実質的に材料の除去なしに金属加工と結合して用いる補助的および付随的作業<br>巻取り　４７／００<br>他の補助的作業　４５／００，５１／００<br>補助装置　１９／００，４９／００	MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES, PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL; <br><br><b><u>Subclass indexes</u></b><br><br><br>METAL DRAWING<br>General methods B21C1/00<br>Auxiliary operations B21C5/00, B21C9/00<br>Equipment B21C3/00, B21C19/00<br>METAL EXTRUDING<br>General methods B21C23/00<br>Auxiliary operations B21C29/00, B21C33/00, B21C35/00<br>Equipment B21C25/00, B21C26/00, B21C27/00<br>Control B21C31/00<br>DETAILS COMMON TO DRAWING AND EXTRUDING OF METAL B21C43/00<br>MANUFACTURING NOT OTHERWISE PROVIDED FOR B21C37/00<br>AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL<br>Reeling B21C47/00<br>Other auxiliary operations B21C45/00, B21C51/00<br>Auxiliary equipment B21C19/00, B21C49/00	1341
B21D		本質的には材料の除去が行われない金属板，金属管，金属棒または金属プロフィルの加工または処理；金属の押抜き（線材の加工または処理Ｂ２１Ｆ）<br><b><ul>注</ul></b><br>（１）このサブクラスは，金属板または他の棒状材料の切断または打抜きを包含する。<br>（２）このサブクラスは，紙の加工と類似の金属箔の加工は包含しない。ただしこれはクラスＢ２６，Ｂ３１に包含される。<br><b><ul>サブクラス内の索引</ul></b><br>機能を特徴とする処理<br>矯正　１／００，３／００，２５／００<br>曲げ　１１／００<br>板の　５／００，１３／００<br>棒の　７／００，１３／００<br>管の　９／００，１５／００<br>ねじり　１１／００<br>コルゲート加工または溝付けまたは波形への曲げ　１３／００，１５／００，１７／００<br>押し抜き，型打ち，深しぼり，へら絞り，高エネルギー　成形　２２／００〜２８／００<br>縁処理；部品相互の接続　１９／００，４１／００；３９／００<br>他の方法　２５／００，３１／００，４１／００<br>結合された工程　２１／００，３５／００<br>ハンドリング　４３／００，４５／００<br>他の補助的操作　３３／００<br>工具　３７／００<br>安全装置　５５／００<br>特定な物品の製造のための特殊処理　４７／００〜５３／００	WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL(working or processing of wire B21F);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> cutting or perforating of sheet metal or other stock material.This subclass <u>does not cover</u> the working of metal foils in a manner analogous to the working of paper, which is covered by classes B26, B31.<br><br><b><u>Subclass indexes</u></b><br><br><br>TREATMENT CHARACTERISED BY FUNCTION<br>Straightening B21D1/00, B21D3/00, B21D25/00<br>Bending B21D11/00<br>of sheets B21D5/00, B21D13/00<br>of rods B21D7/00, B21D13/00<br>of tubes B21D9/00, B21D15/00<br>Twisting B21D11/00<br>Corrugating or grooving or bending into waves B21D13/00, B21D15/00, B21D17/00<br>Punching, stamping, deep- drawing, spinning, high-energy forming B21D22/00 to B21D28/00 <br>EDGE TREATMENT; CONNECTION OF PARTS B21D19/00, B21D41/00; B21D39/00<br>OTHER METHODS B21D25/00, B21D31/00, B21D41/00<br>COMBINED PROCESSES B21D21/00, B21D35/00<br>HANDLING B21D43/00, B21D45/00<br>OTHER AUXILIARY OPERATIONS B21D33/00<br>TOOLS B21D37/00<br>SAFETY B21D55/00<br>SPECIAL TREATMENT FOR THE MANUFACTURE OF SPECIFIED ARTICLES B21D47/00 to B21D53/00	3141
B21F		金属線材の加工または処理（金属の圧延Ｂ２１Ｂ；引抜によるもの，材料を実質的に除去しない金属加工に関連して行う補助操作Ｂ２１Ｃ；物品の束ねＢ６５Ｂ１３／００）<br><b><ul>サブクラス内の索引</ul></b><br>遂行される操作によって特徴づけられる線材の加工<br>曲げ加工，矯正；コイル状化；ねじり　１／００；３／００；７／００<br>据込加工，ストレイニング　５／００，９／００<br>切断加工，分断加工，接合　１１／００，１３／００，１５／００<br>線材で包被または補強した物品　１７／００<br>線材の被覆　１９／００<br>その他の処理　９９／００<br>装置への線材の供給　２３／００<br>特殊な製品を特徴とする線材の加工<br>有刺線；網織物，柵，線材構造物　２５／００；２７／００〜３３／００<br>ばね，リング　３５／００，３７／００<br>その他の物品　３９／００〜４５／００	WORKING OR PROCESSING OF METAL WIRE(rolling of metal B21B; by drawing, auxiliary operations used in connection with metal-working without essentially removing material B21C; bundling articles B65B13/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>WIRE WORKING CHARACTERISED BY OPERATIONS PERFORMED<br>Bending, straightening; coiling; twisting B21F1/00; B21F3/00; B21F7/00<br>Upsetting, straining B21F5/00, B21F9/00<br>Cutting, splitting, connecting B21F11/00, B21F13/00, B21F15/00<br>Articles jacketed or reinforced with wire B21F17/00<br>Coating of wire B21F19/00<br>Other treatments B21F99/00<br>Feeding wire into apparatus B21F23/00<br>WIRE WORKING CHARACTERISED BY THE PARTICULAR ARTICLES PRODUCED<br>Barbed wire;network, fencing, wire fabrics B21F25/00;   B21F27/00 to B21F33/00 <br>Springs, rings B21F35/00, B21F37/00<br>other articles B21F39/00 to B21F45/00	653
B21G		金属製の針，ピンまたは釘の製造	MAKING NEEDLES, PINS OR NAILS OF METAL	90
B21H		転造，ロール加工または圧延による特定の金属対象物の製造，例．スクリュー，車輪，リング，バレル，ボール（実質的に板材からつくるものＢ２１Ｄ）<br><b><ul>注</ul></b><br>このサブクラスは，特定対象物の製造に特に使用され，同じ機械で遂行される補助作業でないどれか別の金属加工作業とは本質的に組合わされていない転造，ロール加工，または圧延作業のみを包含する。	MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS(essentially from sheet metal B21D);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> only rolling operations which are specially adapted for use in the manufacture of particular objects and which are not essentially combined with any different metal-working operation unless the latter is a subsidiary operation performed in the same machine.	284
B21J		鍛造；ハンマーリング；金属のプレス；リベット締め；鍛造炉（金属の圧延Ｂ２１Ｂ；鍛造またはプレスによる特定の製品の製造Ｂ２１Ｋ；クラッド法または被せ金法Ｂ２３Ｋ；ハンマリングによる表面処理または表面仕上げＢ２３Ｐ９／０４；粉体材料の吹き付けによる表面の引き締めＢ２４Ｃ１／１０；プレスの一般的特徴，スクラップの押し固めのためのプレスＢ３０Ｂ；炉一般Ｆ２７）<br><b><ul>サブクラス内の索引</ul></b><br>金属材料の調整　１／００<br>鍛造；ハンマリング；プレス<br>一般的方法，そのための装置　５／００<br>機械，プレス，ハンマ　７／００〜１３／００<br>潤滑　３／００<br>炉　１７／００<br>リベット止め　１５／００<br>他の鍛治用品　１９／００	FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES(rolling of metal B21B; making particular products by forging or pressing B21K; cladding or plating B23K; finishing surfaces by hammering B23P9/04; compacting surfaces by blasting with particulate material B24C1/10; general features of presses, presses for consolidating scrap B30B; furnaces in general F27);<br><br><b><u>Subclass indexes</u></b><br><br><br>PREPARING METAL STOCK B21J1/00<br>FORGING; HAMMERING; PRESSING<br>General methods, equipment therefor B21J5/00<br>Machines, presses, hammers B21J7/00 to B21J13/00 <br>Lubrication B21J3/00<br>Furnaces B21J17/00<br>RIVETING B21J15/00<br>OTHER BLACKSMITHS' REQUISITES B21J19/00	495
B21K		鍛造またはプレスによる金属製品の製造，例．馬蹄，リベット，ボルトまたは車輪（本質的には材料の除去が行われない金属板の加工による特殊物品の製造Ｂ２１Ｄ；線材の製造Ｂ２１Ｆ；ピン，針，釘の製造Ｂ２１Ｇ；圧延による特殊物品の製造Ｂ２１Ｈ；鍛造機械，プレス機械，ハンマーリング機械一般Ｂ２１Ｊ；チェーンの製造Ｂ２１Ｌ；被せ金Ｂ２３Ｋ）<br><b><ul>注</ul></b><br>このサブクラスは特別な物を製造するに際して使用するため特に採用された鍛造，プレス，またはハンマリングのみを包含する。そしてそれらの加工は同じ機械で行う補助加工以外の別の金属加工とは本質的に何ら関係をもたない。<br><b><ul>サブクラス内の索引</ul></b><br>機械要素または工具の製造　１／００，３／００，５／００，１９／００<br>レールの製造　７／００，９／００<br>錠前部品または鍛治部品の製造　１３／００，１５／００<br>その他の物品の製造　７／００，１１／００，１７／００，２１／００，２３／００<br>機械要素の結合したもの　２５／００<br>付属品，補助装置　２７／００，２９／００，３１／００	MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS(making particular articles by working sheet metal without essentially removing material B21D; processing wire B21F; making pins, needles or nails B21G; making particular articles by rolling B21H; forging machines, pressing machines, hammering machines, in general B21J; making chains B21L; plating B23K);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> only forging, pressing, or hammering operations which are specially adapted for use in the manufacture of particular objects and which are not essentially combined with any different metal-working operation unless the latter is a subsidiary operation performed in the same machine.<br><br><b><u>Subclass indexes</u></b><br><br><br>MAKING MACHINE ELEMENTS OR TOOLS B21K1/00, B21K3/00, B21K5/00, B21K19/00<br>MAKING RAILS B21K7/00, B21K9/00<br>MAKING LOCKSMITHS' OR BLACKSMITHS' GOODS B21K13/00, B21K15/00<br>MAKING OTHER ARTICLES B21K7/00, B21K11/00, B21K17/00, B21K21/00, B21K23/00<br>UNITING OF COMPONENTS B21K25/00<br>ACCESSORIES, AUXILIARY DEVICES B21K27/00, B21K29/00, B21K31/00	330
B21L		金属チェーンの製造（鋳造によるチェーンまたはチェーンリンクの製造Ｂ２２Ｄ２５／０２；チェーン一般Ｆ１６Ｇ）<br><b><ul>サブクラス内の索引</ul></b><br>一般的加工方法<br>別個のリンクから作られたチェーン　１／００，３／００，７／００，９／００<br>一体構造のリンクをもったチェーン　５／００<br>特殊なチェーンまたはその部品を製造する方法　１１／００，１３／００<br>製造または修理のための工具　１９／００，２１／００<br>仕上げ　１５／００<br>その他の製造　９９／００	MAKING METAL CHAINS(making chains or chain links by casting B22D25/02; chains in general F16G);<br><br><b><u>Subclass indexes</u></b><br><br><br>GENERAL METHODS OF WORKING<br>Chains made from individual links B21L1/00, B21L3/00, B21L7/00, B21L9/00<br>Chains with integral links B21L5/00<br>METHODS FOR MAKING SPECIAL CHAINS OR PARTS THEREOF B21L11/00, B21L13/00<br>TOOLS FOR MANUFACTURE OR REPAIR B21L19/00, B21L21/00<br>FINISHING B21L15/00<br>OTHER MANUFACTURE B21L99/00	200
B22		鋳造；粉末冶金	CASTING; POWDER METALLURGY	
B22C		鋳造用鋳型造型（耐火物の造型一般Ｂ２８Ｂ）<br><b><ul>注</ul></b><br>このサブクラスは，以下のものを包含する：<br>―金属の鋳造用鋳型またはその他の耐火性鋳型の製造；<br>―鋳型用材料の選択と調整；<br>―必要な原型，製造方法，機械，付属装置または工具<br><b><ul>サブクラス内の索引</ul></b><br>原型，その製作　７／００，３／００<br>鋳型，中子，一般的な造型方法；鋳型と中子の組立て　９／００；１／００，３／００<br>造型機械，造型機械を伴った方法　１１／００〜１９／００<br>造型設備　２５／００<br>工具または他の装置　５／００，２１／００，２３／００	FOUNDRY MOULDING(moulding refractory materials in general B28B);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>:the making of moulds for casting metals or of other refractory moulds;selection or preparation of materials therefor;the necessary patterns, processes, machines, accessory devices or tools.<br><br><b><u>Subclass indexes</u></b><br><br><br>PATTERNS, MANUFACTURE THEREOF B22C7/00, B22C3/00<br>MOULDS, CORES, GENERAL MOULDING PROCESSES; COMPOSITIONS FOR MOULDS AND CORES B22C9/00; B22C1/00, B22C3/00<br>MOULDING MACHINES, PROCESSES INVOLVING THESE MACHINES B22C11/00 to B22C19/00 <br>MOULDING PLANTS B22C25/00<br>TOOLS OR OTHER DEVICES B22C5/00, B22C21/00, B22C23/00	1132
B22D		金属の鋳造；同じ方法または装置による他の物質の鋳造（プラスチックまたは可塑状態の物質の成形Ｂ２９Ｃ；冶金的方法，金属への添加剤の選定Ｃ２１，Ｃ２２）<br><b><ul>注</ul></b><br>このサブクラスにおいては，鋳造されるいかなる材料も金属として述べてある。<br><b><ul>サブクラス内の索引</ul></b><br>予備処理　１／００<br>指示または測定　２／００<br>一般的な鋳造方法；その装置<br>遠心鋳造法　１３／００<br>圧力または噴射ダイキャスティング　１７／００<br>圧力鋳造，真空鋳造　１８／００<br>他の方法　１５／００，２３／００<br>製品に特徴のある鋳造法<br>銑鉄鋳造　３／００，５／００<br>インゴット鋳造　７／００，９／００<br>連続鋳造　１１／００<br>物体の中，上，またはまわりへの鋳造　１９／００<br>他の特殊目的のための鋳造　２５／００<br>特殊金属の鋳造　２１／００<br>後処理<br>未凝固金属の処理　２７／００<br>鋳型からの除去　２９／００<br>冷却　３０／００<br>余剰材料の削除　３１／００<br>その他の装置<br>取扱いのため，供給のためのもの　２９／００，３３／００，３５／００，３７／００，３９／００，４１／００<br>清浄のためのもの　４３／００<br>他の目的のためのもの　４５／００<br>制御または管理　４６／００<br>鋳造プラント　４７／００	CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES(shaping of plastics or substances in a plastic state B29C; metallurgical processing, selection of substances to be added to metal C21, C22);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, any material to be cast is referred to as metal.<br><br><b><u>Subclass indexes</u></b><br><br><br>PRELIMINARY TREATMENTS B22D1/00<br>INDICATING OR MEASURING B22D2/00<br>GENERAL CASTING PROCESSES; EQUIPMENT THEREFOR<br>Centrifugal casting B22D13/00<br>Pressure die casting or injection die casting B22D17/00<br>Pressure casting, vacuum casting B22D18/00<br>Other processes B22D15/00, B22D23/00<br>CASTING CHARACTERISED BY THE PRODUCTS<br>Pig casting B22D3/00, B22D5/00<br>Ingot casting B22D7/00, B22D9/00<br>Continuous casting B22D11/00<br>Casting in, on, or around objects B22D19/00<br>Casting for other specified purposes B22D25/00<br>CASTING PARTICULAR METALS B22D21/00<br>AFTER-TREATMENTS<br>Of non-solidified metal B22D27/00<br>Removing from moulds B22D29/00<br>Cooling B22D30/00<br>Cutting-off surplus material B22D31/00<br>OTHER EQUIPMENT<br>For handling, for supplying B22D29/00, B22D33/00, B22D35/00, B22D37/00, B22D39/00, B22D41/00<br>For cleaning B22D43/00<br>For other purposes B22D45/00<br>CONTROLLING OR SUPERVISING B22D46/00<br>CASTING PLANTS B22D47/00	2227
B22F		金属質粉の加工；金属質粉からの物品の製造；金属質粉の製造（粉末治金による合金の製造Ｃ２２Ｃ）；金属質粉に特に適する装置または機械<br><b><ul>注</ul></b><br>１．このサブクラスは，特定の物理的性質を有する粉末の製造に関する限りにおいてのみ，金属質粉の製造を包含する。<br>２．このサブクラスにおいて“粉末”という用語  は、粉末と類似な方法で加工され，得られまたは作用するやや大きな小片，例．繊維，を含む。<br>３．このサブクラスにおいて“金属質粉”という表現は以下を含む。<br>・金属粒子からなる粉末；<br>・被覆された金属粒子からなる粉末；<br>・金属で被覆された非金属粒子からなる粉末；<br>・上述の種類の粉末の混合；<br>・上述の種類の粉末が主成分の粉末であって，非金属材料，例．潤滑剤，結合剤または有機材料，を混合しているか，含むもの<br>	WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER(making alloys by powder metallurgy C22C);APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> the making of metallic powder only insofar as powder with specific physical characteristics is made.In this subclass, the term "powder" includes somewhat larger particles which are worked, obtained or behave in a manner similar to powder, e.g. fibres.In this subclass, the expression &ldquo;metallic powder&rdquo; <u>covers</u>: powders consisting of metal particles;powders consisting of coated metal particles;powders consisting of metal-coated non-metallic particles;mixtures of powders of the kinds mentioned above;powders of the kinds mentioned above as the main component mixed with or containing non-metallic material, e.g. lubricating or binding agents or organic material.	685
B23		工作機械；他に分類されない金属加工<br><b><ul>注</ul></b><br>（１）このクラスは以下のものを包含する：<br>―金属材料の加工；［２０１５．０１］<br>―適用される方法が金属材料加工に用いられるものと類似し且つ他の分類箇所に包含されないものに限る非金属材料の加工；［２０１５．０１］<br>―サブクラスＢ２３Ｑに包含されるものであって工作機械の個々の種類に特有でない性質の要請または問題，例．加工物の供給，に関する特徴。もっともその特徴の実施形態は適用される機械の種類に応じて異ってもよい。たとえ，その特徴または特定の機能が，実際上ある特定の作業用に設計された工作機械にかなりな程度特有であり，またはその工作機械用にのみクレームされていても，その特徴は一般に前記サブクラスに分類され，例外的にのみ関係する工作機械のサブクラスに分類される。しかしながら，この一般的性質をもつ特徴のあるものは個々の金属加工作業に関するサブクラス，特にＢ２３Ｂに分類される。この場合，当該サブクラスはこれらの特徴に関しては主に関係する工作機械の種類に制限されない。<br>（２）このサブクラスにおいては，下記の用語または表現は以下の意味で用いる：<br>―“作業の種類”という用語およびそれに類する表現は中ぐり，穴あけ，フライス削りおよび研削のような金属加工作業に関する；<br>―“機械の種類”という用語は１つの特定の金属加工作業のために設計された機械を意味する（例．旋盤）；<br>―“機械の形式”という用語は加工の特定の方法または特定の工作物のために適用または構成される特定種類の機械，例．正面旋盤，心押台旋盤，タレット旋盤，を意味する；<br>―“種々の機械”は同種の金属加工を行う種々の形式の工作機械全部，たとえば立て中ぐり盤と横中ぐり盤とを含む。<br>（３）もし，細部，構成部分または付属品が工作機械に固有の本質的特徴をもたないならばさらに一般的なクラス，例．Ｆ１６，が優先する。	MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR; <br><br><b><u>Note(s)</u></b><br><br>This class <u>covers  </u>: working of metallic materials;working of non-metallic materials, provided that the methods applied are similar to those used in metal-working and not provided for elsewhere;features, specific to machine tools, which relate to a requirement or problem of a nature which is not peculiar to a particular kind of machine tool, e.g. feeding work, which are covered by subclass B23Q, although the realisation of these features may differ according to the kind of machine tool concerned. The said subclass covers such features, in general, even if the feature or a specific function, in any particular case, is to some extent peculiar to, or is claimed only for, machine tools designed for one particular operation; only in exceptional cases are such features classified in the subclass for the machine tool concerned. Certain features of this general nature are, however, referred to subclasses relating to particular metal-working operations, especially B23B, in which case the subclasses in question are not restricted, in respect of those features, to the kind of machine tool with which they are primarily concerned.In this class, the following terms or expressions are used with the meanings indicated: "kind of operations" and similar expressions relate to such metal-working operations as boring, drilling, milling and grinding;"kind of machine" means a machine designed for a particular kind of metal-working operation (e.g. a lathe);"form of machine" means a machine of a particular kind adapted or arranged for a particular way of working or for particular work, e.g. face-plate lathe, tailstock lathe, turret lathe;"different machines" covers different forms of machines for performing the same type of metal-working operation, e.g. vertical and horizontal boring machines.If details, components, or accessories have no essential feature specific to machine tools, the more general class, e.g. F16, takes precedence.	
B23B		旋削；中ぐり（工具としての電極を使用するものＢ２３Ｈ；　例．　孔あけＢ２３Ｈ９／１４；　レーザービームによる加工Ｂ２３Ｋ２６／００；　倣い削りまたは制御のための装置Ｂ２３Ｑ）<br><b><ul>サブクラス内の索引</ul></b><br>旋削<br>方法　１／００<br>旋盤<br>一般目的の旋盤　３／００<br>自動または半自動旋盤　７／００，９／００，１１／００<br>特殊な加工のためのもの　５／００<br>操縦，調整　１３／００，１５／００<br>構成部分<br>主軸台，心押台，チャック　１９／００，２３／００，３１／００<br>工具，または工具ホルダ　２７／００，２９／００<br>その他の部分　１７／００，２１／００，３３／００<br>付属装置　２５／００<br>中ぐり，穴あけ<br>方法　３５／００，３７／００<br>機械<br>一般目的の機械　３９／００<br>特殊な加工のためのもの　４１／００<br>手持ち機械　４５／００<br>構成部分　４７／００，４９／００，５１／００<br>どのような工作機械に対してもその付属装置として使用できる装置　４３／００	TURNING; BORING(using an electrode which takes the place of a tool B23H, e.g. making holes B23H9/14; working by laser beam B23K26/00; arrangements for copying or controlling B23Q);<br><br><b><u>Subclass indexes</u></b><br><br><br>TURNING<br>Methods B23B1/00<br>Lathes<br>general-purpose lathes B23B3/00<br>semi-automatic or automatic lathes B23B7/00, B23B9/00, B23B11/00<br>for particular work B23B5/00<br>handling, adjusting B23B13/00, B23B15/00<br>component parts<br>headstocks, tailstocks, chucks B23B19/00, B23B23/00, B23B31/00<br>tools, or holders therefor B23B27/00, B23B29/00<br>other parts B23B17/00, B23B21/00, B23B33/00<br>accessories B23B25/00<br>BORING, DRILLING<br>Methods B23B35/00, B23B37/00<br>Machines<br>general-purpose machines B23B39/00<br>for particular work B23B41/00<br>hand-held machines B23B45/00<br>component parts B23B47/00, B23B49/00, B23B51/00<br>DEVICES FOR ATTACHMENT TO ANY MACHINE TOOL B23B43/00	2627
B23C		フライス削り（ブローチ加工Ｂ２３Ｄ；歯車製造におけるブローチミーリングＢ２３Ｆ；倣いまたは制御装置Ｂ２３Ｑ）<br><b><ul>サブクラス内の索引</ul></b><br>汎用フライス盤　１／００<br>特殊工作物のフライス削り　３／００<br>構成部品，付属品　５／００，９／００<br>他機種の工作機械の付属品としての装置　７／００	MILLING(broaching B23D; broach-milling in making gears B23F; arrangements for copying or controlling B23Q);<br><br><b><u>Subclass indexes</u></b><br><br><br>MILLING MACHINES IN GENERAL B23C1/00<br>MILLING PARTICULAR WORK B23C3/00<br>COMPONENT PARTS, ACCESSORIES B23C5/00, B23C9/00<br>DEVICES FOR ATTACHMENT TO ANY MACHINE B23C7/00	824
B23D		平削り；みぞ削り；せん断；ブローチ加工；のこ引き；やすり掛け；キサゲ加工；他に分類されない，切粉を出す金属加工のための類似の作業（歯車加工Ｂ２３Ｆ；金属の加熱溶断は一部Ｂ２３Ｋ；倣い制御に関するものＢ２３Ｑ）<br><b><ul>注</ul></b><br>このサブクラスは紙と類似の方法で加工可能な金属箔を除く金属板または他の棒状材料をせん断する機械を分類し，金属箔のせん断はクラスＢ２６に包含する。［２］<br><b><ul>サブクラス内の索引</ul></b><br>平削り；たて削り<br>機械の加工方法　１／００，３／００，５／００<br>部品の構造に特徴のある機械装置　７／００<br>手動装置；携帯用装置　９／００<br>他機種の工作機械の付属品としての装置　１１／００<br>工具，工具ホルダ　１３／００<br>せん断<br>機械装置の加工方法　１５／００，１７／００，１９／００，２７／００，３１／００<br>手持ち装置　２１／０６，２７／０２，２９／００<br>工具，ホルダ，チャック　３５／００<br>付属品　３３／００<br>特殊加工用機械　２１／００，２３／００，２５／００<br>制御装置　３６／００<br>ブローチ加工；リーマ加工<br>機械装置の加工方法　３７／００<br>部品の構造に特徴のある機械装置　４１／００<br>工具　４３／００，７７／００<br>付属品　３９／００<br>穴のリーマ加工用機械装置　７５／００<br>鋸引き<br>機械装置の加工方法<br>円形鋸歯を用いるもの　４５／００，４７／００<br>直線状鋸歯を用いるもの　４９／００，５１／００<br>帯鋸歯を用いるもの　５３／００，５５／００<br>その他の加工方法　５７／００<br>部品の構造に特徴のある機械装置　４７／００，５１／００，５５／００<br>工具とその付属品；その仕上げ；その製作　５１／００，６１／００；６３／００；６５／００<br>付属品　５９／００<br>制御装置　３６／００<br>仕上げやすり掛け；荒やすり掛け<br>機械装置の加工方法　６７／００<br>部品の構造に特徴のある機械装置　６９／００<br>工具；その製作　７１／００；７３／００<br>その他の方法，機械または器具；組合せ　７９／００；８１／００	PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR(making toothed gears or the like B23F; cutting metal by applying heat locally B23K; arrangements for copying or controlling B23Q);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> machines for shearing sheet metal or other stock material except metal foils workable in a manner analogous to paper, which is covered by class B26. <br><br><b><u>Subclass indexes</u></b><br><br><br>PLANING; SLOTTING<br>Working method of the machine B23D1/00, B23D3/00, B23D5/00<br>Machines characterised by constructional features of a part B23D7/00<br>Hand-operated devices; portable apparatus B23D9/00<br>Devices for attachment to any machine tool B23D11/00<br>Tools, tool holders B23D13/00<br>SHEARING<br>Working method of machines or apparatus B23D15/00, B23D17/00, B23D19/00, B23D27/00, B23D31/00<br>Hand-held devices B23D21/06, B23D27/02, B23D29/00<br>Tools, holders, chucks B23D35/00<br>Accessories B23D33/00<br>Machines for particular work B23D21/00, B23D23/00, B23D25/00<br>Control arrangements B23D36/00<br>BROACHING; REAMING<br>Working method of machines or apparatus B23D37/00<br>Machines or devices characterised by constructional features of a part B23D41/00<br>Tools B23D43/00, B23D77/00<br>Accessories B23D39/00<br>Machines or devices for reaming bored holes B23D75/00<br>SAWING<br>Working method of machines or apparatus<br>using saw discs B23D45/00, B23D47/00<br>using straight saw blades B23D49/00, B23D51/00<br>using endless saw blades B23D53/00, B23D55/00<br>other working methods B23D57/00<br>Machines or devices characterised by constructional features of a part B23D47/00, B23D51/00, B23D55/00<br>Tools and attachment thereof; dressing thereof; making thereof B23D51/00, B23D61/00; B23D63/00; B23D65/00<br>Accessories B23D59/00<br>Control arrangements B23D36/00<br>FILING; RASPING<br>Working method of machines or apparatus B23D67/00<br>Machines or devices characterised by constructional features of a part B23D69/00<br>Tools; making thereof B23D71/00; B23D73/00<br>OTHER METHODS, MACHINES, OR DEVICES; COMBINATIONS B23D79/00; B23D81/00	1636
