B67B   3/18	・・・	回転自在であることに特徴があるもの，例．所定の箇所にねじ山を形成するためのもの［５］	characterised by being rotatable, e.g. for forming screw threads <u>in situ</u>	514
B67B   3/20	・	あらかじめ形式されたねじキャップを適用し回転することによるもの（弾性変形部材によりねじ山を所定の位置に形成するものＢ６７Ｂ３／１６，回転キャッピングヘッドによるものＢ６７Ｂ３／１８）［５］	by applying and rotating preformed threaded caps(forming threads <u>in situ</u> by resilient deforming means B67B3/16, by rotary capping heads B67B3/18)	7187
B67B   3/22	・	スナップ―オンキャップを用いることによるもの	by applying snap-on caps	274
B67B   3/24	・	真空のもとで蓋をするための特殊な手段	Special measures for applying and securing caps under vacuum	638
B67B   3/26	・	キャッピング装置における制御，警告，安全装置の適用	Applications of control, warning, or safety devices in capping machinery	1376
B67B   3/28	・	びんまたは広口びんとキャップイングヘッドとの間に相対運動を起こさせる機構［５］	Mechanisms for causing relative movement between bottle or jar and capping head	547
B67B   5/00		閉鎖具への保護または装飾カバーの適用；針金によりびんの閉鎖具を固定するための装置（びんに定着させる手段をもつ幼児への哺乳用乳首Ａ６１Ｊ１１／０４）［６］	Applying protective or decorative covers to closures; Devices for securing bottle closures with wire(infant-feeding teats with means for fastening to bottles A61J11/04)	926
B67B   5/03	・	閉鎖具に対する保護または装飾カバーの適用，例．所定の位置に形成することによるもの［３］	Applying protective or decorative covers to closures, e.g. by forming <u>in situ</u>	925
B67B   5/05	・・	液体を適用することによるもの，例．浸すことによるもの［３］	by applying liquids, e.g. by dipping	137
B67B   5/06	・	針金によりびんの閉鎖具を固定するための装置（Ｂ６７Ｂ１／０８が優先）	Devices for securing bottle closures with wire(B67B1/08 takes precedence)	191
B67B   6/00		閉鎖部材によるびん、広口びんまたは類似の容器の閉鎖で、グループＢ６７Ｂ１／００〜Ｂ６７Ｂ５／００に分類されないもの［２００９．０１］	Closing bottles, jars or similar containers by applying closure members, not provided for in groups B67B1/00 to B67B5/00 	693
B67B   7/00		閉鎖容器をあけるための手動または動力装置（釘の引抜具または引出具Ｂ２５Ｃ１１／００；容器または容器閉鎖具に取り付けられたまたは組み込まれたものＢ６５Ｄ）	Hand- or power-operated devices for opening closed containers(nail pullers or extractors B25C11/00; attached to, or incorporated in, containers or container closures B65D)	2727
B67B   7/02	・	栓を取り外すためのもの	for removing stoppers	712
B67B   7/04	・・	コルクスクリュー	Cork-screws	1896
B67B   7/06	・・	他のコルク栓取り外し具	Other cork removers	502
B67B   7/08	・・・	空気又はガス圧を用いるもの	using air or gas pressure	265
B67B   7/10	・・	容器内から栓を取り出すための手段をもつもの	with means for retrieving stoppers from the interior of the container	132
B67B   7/12	・	円盤状閉鎖具を取り外すためのもの	for removing disc-closures	552
B67B   7/14	・	ぴったり閉まった蓋またはカバー，例．くつ磨き用缶の，をつかんでまわすことによって取り外すためのもの	for removing tightly-fitting lids or covers, e.g. of shoe-polish tins, by gripping and rotating	2268
B67B   7/15	・・	フィンガ部でつかむタイプのもの［５］	finger grapple type	283
B67B   7/16	・	フランジ付きキャップ，例．王冠，を取り外すためのもの	for removing flanged caps, e.g. crown caps	4770
B67B   7/18	・	ねじキャップを取り外すためのもの（Ｂ６７Ｂ７／１４が優先，レンチＢ２５Ｂ１３／００）［２］	for removing threaded caps(B67B7/14 takes precedence; wrenches B25B13/00)	2641
B67B   7/20	・	保存用広口びんの本体と蓋またはカバーとの間の真空シールを破るためのもの，例．くさび作用によるもの	for breaking vacuum seals between lids or covers and bodies of preserving jars, e.g. by wedge action	342
B67B   7/22	・・	シールのまわりに締め付けられるループ，例．金属線の，を組み込んだもの	incorporating loops, e.g. of wire, which are tightened around seal	38
B67B   7/40	・	引き剥がすことによって開けるために，タグ，ストリップまたはつまみに係合させる装置，例．サーディン缶を開けるための穴あきキー	Devices for engaging tags, strips, or tongues for opening by tearing, e.g. slotted keys for opening sardine tins	970
B67B   7/42	・	たる栓の取り外し装置	Devices for removing barrel bungs	110
B67B   7/44	・	組合せ工具，例．コルクスクリュー，缶穴あけ具，王冠栓抜きを有するもの（切断工具と開口装置の組合せＢ２６，他の目的に役立つ装置をもつもの，適切な箇所を参照，例．Ｂ２５Ｆ，Ｂ４３Ｋ２９／００）	Combination tools, e.g. comprising cork-screws, can piercers, crown-cap removers(combinations of opening devices with cutting tools B26, with devices serving other purposes, <u>see</u> the appropriate places, e.g. B25F, B43K29/00)	2802
B67B   7/46	・	切断装置，すなわち，密閉容器の壁を貫通するための一以上の刃先を持つ少なくとも一つの切断要素を含む装置，例．缶切り装置（Ｂ６７Ｂ７／４４が優先；複数の互換性のあるユニットを有する家庭用機械Ａ４７Ｊ４３／０６，Ａ４７Ｊ４４／００；手持ち切断工具，切断，分離一般Ｂ２６）［４］	Cutting devices, i.e. devices including at least one cutting element having one or more cutting edges for piercing through the wall of a closed container, e.g. can openers(B67B7/44 takes precedence; machines for domestic use with a plurality of interchangeable units A47J43/06, A47J44/00; hand-held cutting tools, cutting, severing, in general B26)	2274
B67B   7/48	・・	ポンチ型，すなわち，通常は一回の切断操作により容器壁を貫通することに適合した，少なくとも一つの鋭利な切断刃を有する切断要素［４］	punch type, i.e. the cutting element including at least one sharp cutting edge adapted to pierce through the container wall in, ordinarily, a single operating stroke	1920
B67B   7/50	・・・	支点を持つもの，すなわち，回転中心点を設定するための部位を有するレバー類似の作動ハンドル［４］	with fulcrum, i.e. a lever-like actuating handle with provision to establish a pivot point	312
B67B   7/52	・・・	一回の切断操作中に容器を貫通する複数の間隔を有する切断刃をもつもの［４］	Plural spaced cutting edges adapted to pierce the container during a single operating stroke	103
B67B   7/54	・・	旋回式切断型，すなわち，切断要素と容器の間に回転中心を設定するための手段と，切断要素を回転中心点を中心として移動させる手段を有する開封装置［４］	sweep cutter type, i.e. an opening device including means to establish a pivot point between the cutting element and the container and having means to move the cutting element about the pivot point	654
B67B   7/56	・・・	容器貫通旋回軸および可変切断刃半径，すなわち，切断要素と貫通旋回中心点との距離が可変であるもの，をもつもの［４］	with container penetrating pivot and variable cutter radius, i.e. the distance between the cutting element and the penetrating pivot being changeable	16
B67B   7/58	・・・・	自由に摺動できる切断刃をもつもの［４］	Freely slidable cutter	17
B67B   7/60	・・	切断要素が容器を横切って移動するように容器と切断要素を固定点のまわりに相対的に回転するために用いられる増力手段をもつもの［４］<br><b><ul>注</ul></b><br>このグループにおいては，容器と開口装置を相対的に回転させるために操作者により操作される簡単なレバーまたはハンドルは，倍力手段とは考えない。［４］	having force multiplying means employed to relatively turn the container and cutting element about a fixed point to force the cutting element to traverse the container; <br><br><b><u>Note(s)</u></b><br><br>In this group, a simple lever or handle to be manipulated by the operator to relatively rotate the container and opener is not considered to be a force multiplying means.	94
