C11B7/00	7	Separation of mixtures of fats or fatty oils into their constituents, e.g. saturated oils from unsaturated oils<br><br><u>NOTE</u><br><br> In groups C11B7/0008&#160;-&#160;C11B7/0091, in the absence of an indication to the contrary an invention is classified in the last appropriate place 	C11B7/00	C11B7/00		187
C11B7/0008	8	{by differences of solubilities, e.g. by extraction, by separation from a solution by means of anti-solvents (addition of a minor amount of solvent intended to lower the melting point C11B7/0083, C11B7/0091)}	C11B7/00	C11B7/00		196
C11B7/0016	9	{in hydrocarbons or halogenated hydrocarbons (in pressure liquefied gases C11B7/005)}	C11B7/00	C11B7/00		43
C11B7/0025	9	{in solvents containing oxygen in their molecule}	C11B7/00	C11B7/00		161
C11B7/0033	9	{in solvents containing other heteroatoms in their molecule}	C11B7/00	C11B7/00		17
C11B7/0041	9	{in mixtures of individualized solvents (water is not taken into account)}	C11B7/00	C11B7/00		33
C11B7/005	9	{in solvents used at superatmospheric pressures}	C11B7/00	C11B7/00		62
C11B7/0058	9	{in solvents or mixtures of solvents of different natures or compositions used in succession}	C11B7/00	C11B7/00		36
C11B7/0066	9	{between two or more non-miscible solvent phases}	C11B7/00	C11B7/00		12
C11B7/0075	8	{by differences of melting or solidifying points}	C11B7/00	C11B7/00		362
C11B7/0083	8	{with addition of auxiliary substances, e.g. cristallisation promotors, filter aids, melting point depressors, (if a characterised solution is formed C11B7/0008)}	C11B7/00	C11B7/00		123
C11B7/0091	8	{non-solvents, e.g. water wherein the fat or oil is dispersed account a more washing out of fractions is not taken into}	C11B7/00	C11B7/00		54
C11B9/00	7	Essential oils; Perfumes	C11B9/00	C11B9/00		2192
C11B9/0003	8	{Compounds of unspecified constitution defined by the chemical reaction for their preparation}	C11B9/00	C11B9/00		1048
C11B9/0007	8	{Aliphatic compounds}	C11B9/00	C11B9/00		325
C11B9/0011	9	{containing S}	C11B9/00	C11B9/00		127
C11B9/0015	9	{containing oxygen as the only heteroatom}	C11B9/00	C11B9/00		1338
C11B9/0019	10	{carbocylic acids; Salts or esters thereof}	C11B9/00	C11B9/00		407
C11B9/0023	9	{containing nitrogen as the only heteroatom}	C11B9/00	C11B9/00		97
C11B9/0026	8	{compounds containing an alicyclic ring not condensed with another ring}	C11B9/00	C11B9/00		72
C11B9/003	9	{the ring containing less than six carbon atoms}	C11B9/00	C11B9/00		417
C11B9/0034	9	{the ring containing six carbon atoms}	C11B9/00	C11B9/00		1150
C11B9/0038	9	{the ring containing more than six carbon atoms}	C11B9/00	C11B9/00		187
C11B9/0042	8	{compounds containing condensed hydrocarbon rings}	C11B9/00	C11B9/00		302
C11B9/0046	9	{containing only two condensed rings}	C11B9/00	C11B9/00		301
C11B9/0049	10	{the condensed rings sharing two common C atoms}	C11B9/00	C11B9/00		282
C11B9/0053	11	{both rings being six-membered}	C11B9/00	C11B9/00		251
C11B9/0057	10	{Spiro compounds}	C11B9/00	C11B9/00		55
C11B9/0061	8	{compounds containing a six-membered aromatic ring not condensed with another ring}	C11B9/00	C11B9/00		941
C11B9/0065	9	{Nitriles}	C11B9/00	C11B9/00		47
C11B9/0069	8	{Heterocyclic compounds}	C11B9/00	C11B9/00		22
C11B9/0073	9	{containing only O or S as heteroatoms}	C11B9/00	C11B9/00		128
C11B9/0076	10	{the hetero rings containing less than six atoms}	C11B9/00	C11B9/00		499
C11B9/008	10	{the hetero rings containing six atoms}	C11B9/00	C11B9/00		437
C11B9/0084	10	{the hetero rings containing more than six atoms}	C11B9/00	C11B9/00		160
C11B9/0088	10	{Spiro compounds}	C11B9/00	C11B9/00		85
C11B9/0092	9	{containing only N as heteroatom}	C11B9/00	C11B9/00		189
C11B9/0096	9	{containing at least two different heteroatoms, at least one being nitrogen}	C11B9/00	C11B9/00		81
C11B9/02	8	Recovery or refining of essential oils from raw materials	C11B9/02	C11B9/02		1668
C11B9/022	9	{Refining}	C11B9/02	C11B9/02		1700
C11B9/025	9	{Recovery by solvent extraction}	C11B9/02	C11B9/02		2402
C11B9/027	9	{Recovery of volatiles by distillation or stripping}	C11B9/02	C11B9/02		2281
C11B11/00	7	Recovery or refining of other fatty substances, e.g. lanolin or waxes	C11B11/00	C11B11/00		382
C11B11/005	8	{Lanolin; Woolfat}	C11B11/00	C11B11/00		281
C11B13/00	7	Recovery of fats, fatty oils or fatty acids from waste materials	C11B13/00	C11B13/00		1377
C11B13/005	8	{of residues of the fabrication of wood-cellulose (in particular tall-oil)}	C11B13/00	C11B13/00		224
C11B13/02	8	from soap stock	C11B13/02	C11B13/02		260
C11B13/04	8	from spent adsorption materials	C11B13/04	C11B13/04		114
C11B15/00	7	Solidifying fatty oils, fats, or waxes by physical processes	C11B15/00	C11B15/00		142
