G04B3/048	9	{Operation exclusively by axial movement of a push-button, e.g. for chronographs (winding up by push button G04B3/001; hermetically sealed push button G04B37/106)}	G04B3/04	G04B3/04		205
G04B3/06	8	Keys or the like with means preventing overwinding (protecting devices arranged in, or attached to, the barrel G04B1/20; in connection with automatic winding devices G04B1/24{; construction of removably-mounted keys G04B3/02; means preventing overwinding, including those attached to the case, G04B3/10; protecting means G04B9/02; protection against overwinding for electrical winding up arrangements for mechanical clocks G04C1/10})	G04B3/06	G04B3/06		85
G04B3/08	8	by parts of the cases {(setting the time-indicating means by parts of the case G04B27/00)}	G04B3/08	G04B3/08		86
G04B3/10	9	Protecting means preventing overwinding (arranged in, or attached to, the barrel G04B1/20; in connection with keys G04B3/06; in connection with automatic winding devices G04B5/24{; protection G04B9/02; of electrical winding up arrangements for mechanical clocks G04C1/10})	G04B3/10	G04B3/10		11
G04B3/12	8	by mechanical means, e.g. pneumatic motor (winding up with electric or electromechanical means G04C{; liquid or gas driving mechanisms G04B1/26; automatic winding up by wind power G04B5/203})	G04B3/12	G04B3/12		37
G04B5/00	7	Automatic winding up {(normal winding up by hand or mechanically G04B3/00; automatic winding in combination with hand winding G04B7/00; electrical winding of mechanical clockworks G04C1/00; advertising by making use of vibrations or shocks of land vehicles G09F21/045)}	G04B5/00	G04B5/00		99
G04B5/002	8	{by moving of parts of the clockwork which are not primarily for winding up}	G04B5/00	G04B5/00		89
G04B5/005	8	{by relative movement between watch bands, case or parts of the case}	G04B5/00	G04B5/00		26
G04B5/007	8	{Clockworks, which wind up by driving the function, e.g. perpetua mobilia(see also F03G7/10)}	G04B5/00	G04B5/00		23
G04B5/02	8	by self-winding caused by the movement of the watch {(bearings, suspensions for oscillating weights G04B5/18; mechanisms for transformation of an oscillating movement into a rotating movement in only one direction G04B11/00)}	G04B5/02	G04B5/02		307
G04B5/04	9	by oscillating weights the movement of which is limited {(setting the time indicating means with the aid of a rocking bar G04B27/00)}	G04B5/04	G04B5/04		34
G04B5/06	10	acting in one direction only	G04B5/06	G04B5/06		39
G04B5/08	10	acting in both directions	G04B5/08	G04B5/08		63
G04B5/10	9	by oscillating weights the movement of which is not limited	G04B5/10	G04B5/10		19
G04B5/12	10	acting in one direction only	G04B5/12	G04B5/12		35
G04B5/14	10	acting in both directions	G04B5/14	G04B5/14		163
G04B5/16	9	Construction of the weights	G04B5/16	G04B5/16		143
G04B5/165	10	{Weights consisting of several parts (diverse weights which are movable in more than one plane G04B5/187)}	G04B5/16	G04B5/16		76
G04B5/18	9	Supports, suspensions or guide arrangements, for oscillating weights {(transmission of the movement of the winding up weight to the mainspring G04B5/04, G04B5/10; support of the driving weight by protecting means which prevent overwinding, e.g. by interposing of a glide clutch G04B5/24; bearings in general G04B33/00)}	G04B5/18	G04B5/18		76
G04B5/181	10	{The bearing of the rocking bar is in the centre of rotation combined with a support or guide arrangement}	G04B5/18	G04B5/18		45
G04B5/182	10	{Guide arrangement of the moving weight in a straight course}	G04B5/18	G04B5/18		17
G04B5/184	10	{Guide arrangement of the moving weight in a circular course}	G04B5/18	G04B5/18		56
G04B5/185	10	{Suspension of the moving weight by elastic means (G04B5/187 takes precedence)}	G04B5/18	G04B5/18		27
G04B5/187	10	{Bearing, guide arrangements or suspension allowing movement in more than one plane, e.g. there is more than one moving weight, or more than one plane in which the weight moves, and it can change place relative to the clockwork}	G04B5/18	G04B5/18		31
G04B5/188	10	{Bearing, guide arrangements or suspension of the movement forming oscillating weight}	G04B5/18	G04B5/18		27
G04B5/19	10	Suspension of the oscillating weight at its centre of rotation	G04B5/19	G04B5/19		176
G04B5/195	11	{the centre of rotation not being the centre of the clockwork}	G04B5/19	G04B5/19		74
G04B5/20	8	by movements of other objects, e.g. by opening a hand-bag, by opening a case, by opening a door; Winding up by wind power	G04B5/20	G04B5/20		76
G04B5/203	9	{by liquids or gases (driven by liquids or gases G04B1/26; winding up by pneumatic motor G04B3/12; winding up by electrothermal or electropneumatic driving means G04C1/003; driving of the clockwork by such means G04C3/18)}	G04B5/20	G04B5/20		18
G04B5/206	9	{by rotating axles, e.g. tachometers (direct drive of the clockwork, e.g. without winding up of a spring or the like by a rotating axle G04B7/00; combination with measuring instruments in general G04B47/06)}	G04B5/20	G04B5/20		40
G04B5/22	8	by thermometric, barometric or like effects or alterations {(by electrothermal or electropneumatic driving means G04C1/003; driving the clockwork by such means G04C3/18)}	G04B5/22	G04B5/22		48
G04B5/24	8	Protecting means preventing overwinding (arranged in, or attached to, the barrel G04B1/20; in connection with keys or the like G04B3/06; in connection with parts of the cases G04B3/10{; support of the moving weight G04B5/18; protection means G04B9/02; electrical driving means for mechanical clockworks G04C1/10})	G04B5/24	G04B5/24		97
G04B5/245	9	{by locking the moving weight}	G04B5/24	G04B5/24		28
G04B7/00	7	Combined normal and automatic winding up {(normal winding up by hand or mechanically G04B3/00; automatic winding up G04B5/00; electric winding up of mechanical clockworks G04C1/003)}	G04B7/00	G04B7/00		94
G04B9/00	7	Supervision of the state of winding, e.g. indicating the amount of winding	G04B9/00	G04B9/00		228
G04B9/005	8	{by optical indication of the amount of winding}	G04B9/00	G04B9/00		255
G04B9/02	8	Devices controlled by such state, e.g. device affording protection means against overwinding (protecting means preventing overwinding arranged in or on the barrel G04B1/20; protecting means in connection with keys or the like G04B3/06; in connection with parts of the cases G04B3/10; in connection with automatic winding devices G04B5/24{; electric winding up of mechanical clockworks G04C1/10})	G04B9/02	G04B9/02		75
G04B9/025	9	{Acoustical or electrical indicating means}	G04B9/02	G04B9/02		21
G04B11/00	7	Click devices; Stop clicks; Clutches {(mechanisms for winding up by hand G04B3/00; automatic winding up G04B5/00; clutches in general, class 111)}	G04B11/00	G04B11/00		157
G04B11/001	8	{Clutch mechanism between two rotating members with transfer of movement in both directions, possibly with limitation on the transfer of power}	G04B11/00	G04B11/00		55
G04B11/003	9	{with friction member, e.g. with spring action}	G04B11/00	G04B11/00		132
G04B11/005	9	{with magnetic elements}	G04B11/00	G04B11/00		42
G04B11/006	8	{Clutch mechanism between two rotating members with transfer of movement in only one direction (free running devices)}	G04B11/00	G04B11/00		140
G04B11/008	9	{with friction members, e.g. click springs or jumper}	G04B11/00	G04B11/00		83
G04B11/02	8	Devices allowing the motion of a rotatable part in only one direction	G04B11/02	G04B11/02		43
G04B11/022	9	{with a ratchet which makes contact with the rotating member by means of teeth}	G04B11/02	G04B11/02		106
G04B11/024	10	{rotatable about a fixed axis by means of spring action}	G04B11/02	G04B11/02		90
G04B11/026	9	{with clamping member}	G04B11/02	G04B11/02		6
G04B11/028	9	{with friction member, e.g. click spring}	G04B11/02	G04B11/02		31
G04B11/04	9	Pawl constructions therefor, e.g. pawl secured to an oscillating member actuating a ratchet	G04B11/04	G04B11/04		279
G04B13/00	7	Gearwork {(gearwork for driving the hands G04B19/02; calibers G04B33/00; dispositions and components for transmission in general F16H)}	G04B13/00	G04B13/00		341
G04B13/001	8	{with the choice of adjustable or varying transmission ratio}	G04B13/00	G04B13/00		77
G04B13/002	8	{where rotation in one direction is changed into a stepping movement}	G04B13/00	G04B13/00		137
G04B13/003	9	{with a step for each complete revolution (counters in general H03K)}	G04B13/00	G04B13/00		47
G04B13/005	8	{where a revolution in both directions is changed into a revolution in one direction}	G04B13/00	G04B13/00		24
G04B13/006	9	{with two free wheel positions}	G04B13/00	G04B13/00		6
G04B13/007	8	{with differential work}	G04B13/00	G04B13/00		57
G04B13/008	9	{Differentials}	G04B13/00	G04B13/00		79
G04B13/02	8	Wheels; Pinions; Spindles; Pivots (bearings G04B31/00{; chain wheels, spindles for chain wheels, also chains and driving weights G04B1/08})	G04B13/02	G04B13/02		757
G04B13/021	9	{elastic fitting with a spindle, axis or shaft}	G04B13/02	G04B13/02		129
G04B13/022	10	{with parts made of hard material, e.g. silicon, diamond, sapphire, quartz and the like}	G04B13/02	G04B13/02		143
G04B13/023	10	{allowing rotational slipping when a threshold torque is exceeded}	G04B13/02	G04B13/02		60
G04B13/025	9	{with elastic means between the toothing and the hub of a toothed wheel}	G04B13/02	G04B13/02		74
G04B13/027	9	{planar toothing: shape and design (adjusting the backlash of the arbors G04B35/00)}	G04B13/02	G04B13/02		145
