H01R4/30	9	utilising a screw or nut clamping member (H01R4/50 takes precedence; utilising a clamping member acted on by screw or nut H01R4/38; {for coaxial cables H01R9/0521})	H01R4/30	H01R4/30		1793
H01R4/301	10	{having means for preventing complete unscrewing of screw or nut}	H01R4/30	H01R4/30		233
H01R4/302	10	{having means for preventing loosening of screw or nut, e.g. vibration-proof connection}	H01R4/30	H01R4/30		401
H01R4/304	10	{having means for improving contact}	H01R4/30	H01R4/30		386
H01R4/305	10	{having means for facilitating engagement of conductive member or for holding it in position}	H01R4/30	H01R4/30		396
H01R4/307	10	{characterised by the thread of the screw or nut}	H01R4/30	H01R4/30		158
H01R4/308	10	{Conductive members located parallel to axis of screw}	H01R4/30	H01R4/30		239
H01R4/32	10	Conductive members located in slot or hole in screw	H01R4/32	H01R4/32		776
H01R4/34	10	Conductive members located under head of screw	H01R4/34	H01R4/34		1798
H01R4/36	10	Conductive members located under tip of screw	H01R4/36	H01R4/36		1908
H01R4/363	11	{with intermediate part between tip and conductive member}	H01R4/36	H01R4/36		927
H01R4/366	12	{intermediate part attached to the tip of the screw}	H01R4/36	H01R4/36		340
H01R4/38	9	utilising a clamping member acted on by screw or nut (H01R4/50 takes precedence)	H01R4/38	H01R4/38		1654
H01R4/40	10	Pivotable clamping member	H01R4/40	H01R4/40		481
H01R4/42	10	Clamping area to one side of screw only	H01R4/42	H01R4/42		516
H01R4/44	10	Clamping areas on both sides of screw	H01R4/44	H01R4/44		608
H01R4/46	10	Clamping area between two screws placed side by side	H01R4/46	H01R4/46		371
H01R4/48	9	utilising a spring, clip, or other resilient member (H01R4/52 takes precedence)	H01R4/48	H01R4/48		2656
H01R4/4809	10	{using a leaf spring to bias the conductor toward the busbar}	H01R4/48	H01R4/48		364
H01R4/4811	11	{Spring details}	H01R4/48	H01R4/48		39
H01R4/4814	12	{Self-latching arrangements}	H01R4/48	H01R4/48		109
H01R4/4816	12	{the spring shape preventing insertion of the conductor end when the spring is unbiased}	H01R4/48	H01R4/48		549
H01R4/48185	11	{adapted for axial insertion of a wire end}	H01R4/48	H01R4/48		163
H01R4/4819	12	{the spring shape allowing insertion of the conductor end when the spring is unbiased}	H01R4/48	H01R4/48		9
H01R4/4821	13	{Single-blade spring}	H01R4/48	H01R4/48		2305
H01R4/4823	13	{Multiblade spring}	H01R4/48	H01R4/48		301
H01R4/4826	13	{and having a hole for the conductor, e.g. a wire, passing through}	H01R4/48	H01R4/48		72
H01R4/48275	12	{with an opening in the housing for insertion of a release tool}	H01R4/48	H01R4/48		21
H01R4/4828	11	{Spring-activating arrangements mounted on or integrally formed with the spring housing}	H01R4/48	H01R4/48		95
H01R4/483	12	{Pivoting arrangements, e.g. lever pushing on the spring}	H01R4/48	H01R4/48		730
H01R4/4833	12	{Sliding arrangements, e.g. sliding button}	H01R4/48	H01R4/48		787
H01R4/4835	12	{Mechanically bistable arrangements, e.g. locked by the housing when the spring is biased}	H01R4/48	H01R4/48		297
H01R4/48365	12	{with integral release means}	H01R4/48	H01R4/48		119
H01R4/4837	12	{Single arrangement activating multiple springs}	H01R4/48	H01R4/48		138
H01R4/484	11	{Spring housing details}	H01R4/48	H01R4/48		430
H01R4/4842	12	{the spring housing being provided with a single opening for insertion of a spring-activating tool}	H01R4/48	H01R4/48		633
H01R4/4844	12	{the spring housing being provided with multiple openings for insertion of a spring-activating tool}	H01R4/48	H01R4/48		18
H01R4/48455	11	{insertion of a wire only possible by pressing on the spring}	H01R4/48	H01R4/48		71
H01R4/4846	11	{Busbar details}	H01R4/48	H01R4/48		462
H01R4/4848	12	{Busbar integrally formed with the spring}	H01R4/48	H01R4/48		560
H01R4/485	12	{Single busbar common to multiple springs}	H01R4/48	H01R4/48		1097
H01R4/4852	12	{Means for improving the contact with the conductor, e.g. uneven wire-receiving surface}	H01R4/48	H01R4/48		303
H01R4/4854	10	{using a wire spring}	H01R4/48	H01R4/48		131
H01R4/4863	11	{Coil spring}	H01R4/48	H01R4/48		663
H01R4/4872	12	{axially compressed to retain wire end}	H01R4/48	H01R4/48		513
H01R4/4881	10	{using a louver type spring}	H01R4/48	H01R4/48		131
H01R4/489	10	{spring force increased by screw, cam, wedge, or other fastening means}	H01R4/48	H01R4/48		412
H01R4/50	9	utilising a cam, wedge, cone or ball {also combined with a screw}	H01R4/50	H01R4/50		596
H01R4/5008	10	{using rotatable cam}	H01R4/50	H01R4/50		353
H01R4/5016	10	{using a cone}	H01R4/50	H01R4/50		233
H01R4/5025	11	{combined with a threaded ferrule operating in a direction parallel to the conductor}	H01R4/50	H01R4/50		532
H01R4/5033	10	{using wedge or pin penetrating into the end of a wire in axial direction of the wire}	H01R4/50	H01R4/50		340
H01R4/5041	10	{using a tapered groove}	H01R4/50	H01R4/50		74
H01R4/505	10	{using an excentric element}	H01R4/50	H01R4/50		56
H01R4/5058	10	{using a ball}	H01R4/50	H01R4/50		65
H01R4/5066	10	{mounted in an insulating housing having a cover providing clamping force}	H01R4/50	H01R4/50		120
H01R4/5075	10	{having an uneven wire receiving surface to improve the contact}	H01R4/50	H01R4/50		79
H01R4/5083	10	{using a wedge}	H01R4/50	H01R4/50		406
H01R4/5091	11	{combined with a screw}	H01R4/50	H01R4/50		264
H01R4/52	10	which is spring loaded	H01R4/52	H01R4/52		477
H01R4/54	8	{Bayonet or keyhole}	H01R4/00	H01R4/54		121
H01R4/56	8	one conductor screwing into another	H01R4/56	H01R4/56		561
H01R4/58	8	characterised by the form or material of the contacting members (H01R4/01 takes precedence)	H01R4/58	H01R4/58		1061
H01R4/60	9	Connections between or with tubular conductors (H01R4/56 takes precedence)	H01R4/60	H01R4/60		814
H01R4/62	9	Connections between conductors of different materials; Connections between or with aluminium or steel-core aluminium conductors (H01R4/68 takes precedence)	H01R4/62	H01R4/62		1518
H01R4/625	10	{Soldered or welded connections}	H01R4/62	H01R4/62		560
H01R4/64	9	Connections between or with conductive parts having primarily a non-electric function, e.g. frame, casing, rail	H01R4/64	H01R4/64		2889
H01R4/643	10	{for rigid cylindrical bodies}	H01R4/64	H01R4/64		547
H01R4/646	10	{for cables or flexible cylindrical bodies}	H01R4/64	H01R4/64		769
H01R4/66	9	Connections with the terrestrial mass, e.g. earth plate, earth pin	H01R4/66	H01R4/66		4567
H01R4/68	9	Connections to or between superconductive connectors	H01R4/68	H01R4/68		552
H01R4/70	8	Insulation of connections (end caps H01R4/22)	H01R4/70	H01R4/70		2450
H01R4/72	9	using a heat shrinking insulating sleeve	H01R4/72	H01R4/72		843
H01R4/723	10	{Making a soldered electrical connection simultaneously with the heat shrinking}	H01R4/72	H01R4/72		200
H01R4/726	10	{Making a non-soldered electrical connection simultaneously with the heat shrinking}	H01R4/72	H01R4/72		93
H01R9/00	7	Structural associations of a plurality of mutually-insulated electrical connecting elements, e.g. terminal strips or terminal blocks; Terminals or binding posts mounted upon a base or in a case; Bases therefor	H01R9/00	H01R9/00		699
H01R9/03	8	Connectors arranged to contact a plurality of the conductors of a multiconductor cable {, e.g. tapping connections}	H01R9/03	H01R9/03		719
H01R9/031	9	{for multiphase cables, e.g. with contact members penetrating insulation of a plurality of conductors (insulation penetrating contact members in general H01R4/24)}	H01R9/03	H01R9/03		503
H01R9/05	9	for coaxial cables	H01R9/05	H01R9/05		1452
H01R9/0503	10	{Connection between two cable ends}	H01R9/05	H01R9/05		327
H01R9/0506	10	{Connection between three or more cable ends}	H01R9/05	H01R9/05		133
H01R9/0509	10	{Tapping connections}	H01R9/05	H01R9/05		126
H01R9/0512	10	{Connections to an additional grounding conductor}	H01R9/05	H01R9/05		330
H01R9/0515	10	{Connection to a rigid planar substrate, e.g. printed circuit board}	H01R9/05	H01R9/05		485
H01R9/0518	10	{Connection to outer conductor by crimping or by crimping ferrule}	H01R9/05	H01R9/05		1187
H01R9/0521	10	{Connection to outer conductor by action of a nut}	H01R9/05	H01R9/05		792
H01R9/0524	10	{Connection to outer conductor by action of a clamping member, e.g. screw fastening means (H01R9/0515 takes precedence)}	H01R9/05	H01R9/05		691
H01R9/0527	10	{Connection to outer conductor by action of a resilient member, e.g. spring}	H01R9/05	H01R9/05		407
H01R9/053	10	using contact members penetrating insulation	H01R9/053	H01R9/053		225
H01R9/11	8	End pieces for multiconductor cables supported by the cable and for facilitating connections to other conductive members {, e.g. for liquid cooled welding cables}	H01R9/11	H01R9/11		294
H01R9/15	8	Connectors for wire wrapping	H01R9/15	H01R9/15		47
H01R9/16	8	Fastening of connecting parts to base or case; Insulating connecting parts from base or case	H01R9/16	H01R9/16		1240
H01R9/18	9	Fastening by means of screw or nut	H01R9/18	H01R9/18		477
H01R9/20	9	Fastening by means of rivet or eyelet	H01R9/20	H01R9/20		144
H01R9/22	8	Bases, e.g. strip, block, panel {(for printed circuits H01R12/50)}	H01R9/22	H01R9/22		809
H01R9/223	9	{Insulating enclosures for terminals (for switches H01H9/0264)}	H01R9/22	H01R9/22		462
H01R9/226	9	{comprising a plurality of conductive flat strips providing connection between wires or components (H01R9/2425 takes precedence)}	H01R9/22	H01R9/22		419
H01R9/24	9	Terminal blocks	H01R9/24	H01R9/24		2154
H01R9/2408	10	{Modular blocks (H01R9/26 takes precedence)}	H01R9/24	H01R9/24		935
H01R9/2416	10	{Means for guiding or retaining wires or cables connected to terminal blocks}	H01R9/24	H01R9/24		910
H01R9/2425	10	{Structural association with built-in components (for coupling parts H01R13/66)}	H01R9/24	H01R9/24		354
H01R9/2433	11	{with built-in switch}	H01R9/24	H01R9/24		185
H01R9/2441	11	{with built-in overvoltage protection}	H01R9/24	H01R9/24		147
H01R9/245	11	{with built-in fuse}	H01R9/24	H01R9/24		127
H01R9/2458	10	{Electrical interconnections between terminal blocks}	H01R9/24	H01R9/24		491
H01R9/2466	11	{using a planar conductive structure, e.g. printed circuit board}	H01R9/24	H01R9/24		226
H01R9/2475	10	{Means facilitating correct wiring, e.g. marking plates, identification tags}	H01R9/24	H01R9/24		288
H01R9/2483	10	{specially adapted for ground connection}	H01R9/24	H01R9/24		239
H01R9/2491	10	{Terminal blocks structurally associated with plugs or sockets}	H01R9/24	H01R9/24		801
H01R9/26	10	Clip-on terminal blocks for side-by-side rail- or strip-mounting	H01R9/26	H01R9/26		1286
H01R9/2608	11	{Fastening means for mounting on support rail or strip (H01R9/2691 takes precedence; for switch or other electrical device H02B1/042)}	H01R9/26	H01R9/26		623
H01R9/2616	11	{End clamping members}	H01R9/26	H01R9/26		108
H01R9/2625	11	{with built-in electrical component}	H01R9/26	H01R9/26		244
H01R9/2633	12	{with built-in switch}	H01R9/26	H01R9/26		250
H01R9/2641	12	{with built-in overvoltage protection}	H01R9/26	H01R9/26		86
H01R9/265	12	{with built-in fuse}	H01R9/26	H01R9/26		52
H01R9/2658	12	{with built-in data-bus connection}	H01R9/26	H01R9/26		95
H01R9/2666	12	{with built-in test-points}	H01R9/26	H01R9/26		81
H01R9/2675	11	{Electrical interconnections between two blocks, e.g. by means of busbars}	H01R9/26	H01R9/26		612
H01R9/2683	11	{Marking plates or tabs}	H01R9/26	H01R9/26		190
H01R9/2691	11	{with ground wire connection to the rail}	H01R9/26	H01R9/26		230
H01R9/28	9	Terminal boards	H01R9/28	H01R9/28		471
H01R11/00	7	Individual connecting elements providing two or more spaced connecting locations for conductive members which are, or may be, thereby interconnected, e.g. end pieces for wires or cables supported by the wire or cable and having means for facilitating electrical connection to some other wire, terminal, or conductive member, blocks of binding posts	H01R11/00	H01R11/00		163
H01R11/01	8	characterised by the form or arrangement of the conductive interconnection between the connecting locations	H01R11/01	H01R11/01		2279
H01R11/03	8	characterised by the relationship between the connecting locations (H01R11/11 takes precedence)	H01R11/03	H01R11/03		309
H01R11/05	9	the connecting locations having different types of direct connections	H01R11/05	H01R11/05		760
H01R11/07	9	the connecting locations being of the same type but different sizes	H01R11/07	H01R11/07		195
H01R11/09	9	the connecting locations being identical	H01R11/09	H01R11/09		1712
H01R11/11	8	End pieces or tapping pieces for wires, supported by the wire and for facilitating electrical connection to some other wire, terminal or conductive member (H01R11/01 takes precedence)	H01R11/11	H01R11/11		2822
H01R11/12	9	End pieces terminating in an eye, hook, or fork	H01R11/12	H01R11/12		2307
H01R11/14	10	the hook being adapted for hanging on overhead or other suspended lines, e.g. hot line clamp	H01R11/14	H01R11/14		1569
H01R11/15	11	Hook in the form of a screw clamp	H01R11/15	H01R11/15		483
H01R11/16	9	End pieces terminating in a soldering tip or socket	H01R11/16	H01R11/16		85
H01R11/18	9	End pieces terminating in a probe	H01R11/18	H01R11/18		482
H01R11/20	9	End pieces terminating in a needle point or analogous contact for penetrating insulation or cable strands	H01R11/20	H01R11/20		222
H01R11/22	9	End pieces terminating in a spring clip	H01R11/22	H01R11/22		622
H01R11/24	10	with gripping jaws, e.g. crocodile clip	H01R11/24	H01R11/24		650
H01R11/26	9	End pieces terminating in a screw clamp, screw or nut	H01R11/26	H01R11/26		620
H01R11/28	9	End pieces consisting of a ferrule or sleeve	H01R11/28	H01R11/28		376
H01R11/281	10	{for connections to batteries}	H01R11/28	H01R11/28		1036
H01R11/282	11	{comprising means for facilitating engagement or disengagement, e.g. quick release terminal}	H01R11/28	H01R11/28		628
H01R11/283	11	{Bolt, screw or threaded ferrule parallel to the battery post}	H01R11/28	H01R11/28		439
H01R11/284	11	{comprising means for preventing corrosion, e.g. covers, enclosures filled with gel}	H01R11/28	H01R11/28		249
H01R11/285	11	{Battery post and cable secured by the same locking means}	H01R11/28	H01R11/28		136
H01R11/286	11	{having means for improving contact between battery post and clamping member, e.g. uneven interior surface}	H01R11/28	H01R11/28		168
H01R11/287	11	{Intermediate parts between battery post and cable end piece}	H01R11/28	H01R11/28		387
H01R11/288	11	{Interconnections between batteries}	H01R11/28	H01R11/28		341
H01R11/289	11	{characterised by the shape or the structure of the battery post}	H01R11/28	H01R11/28		235
H01R11/30	9	End pieces held in contact by a magnet	H01R11/30	H01R11/30		499
H01R11/32	9	End pieces with two or more terminations	H01R11/32	H01R11/32		292
H01R12/00	7	Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCB], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures (printed connections to, or between, printed circuits H05K1/11)	H01R12/00	H01R12/00		1322
H01R12/50	8	Fixed connections	H01R12/50	H01R12/50		114
H01R12/51	9	for rigid printed circuits or like structures	H01R12/51	H01R12/51		734
H01R12/515	10	{Terminal blocks providing connections to wires or cables}	H01R12/51	H01R12/51		989
H01R12/52	10	connecting to other rigid printed circuits or like structures	H01R12/52	H01R12/52		2121
H01R12/523	11	{by an interconnection through aligned holes in the boards or multilayer board}	H01R12/52	H01R12/52		634
H01R12/526	11	{the printed circuits being on the same board (with plated through holes H05K3/42)}	H01R12/52	H01R12/52		169
H01R12/53	10	connecting to cables except for flat or ribbon cables	H01R12/53	H01R12/53		808
H01R12/55	10	characterised by the terminals	H01R12/55	H01R12/55		804
H01R12/57	11	surface mounting terminals	H01R12/57	H01R12/57		3947
H01R12/58	11	terminals for insertion into holes	H01R12/58	H01R12/58		2809
H01R12/585	12	{Terminals having a press fit or a compliant portion and a shank passing through a hole in the printed circuit board}	H01R12/58	H01R12/58		1856
H01R12/59	9	for flexible printed circuits, flat or ribbon cables or like structures	H01R12/59	H01R12/59		520
H01R12/592	10	{connections to contact elements}	H01R12/59	H01R12/59		921
H01R12/594	10	{for shielded flat cable}	H01R12/59	H01R12/59		119
H01R12/596	11	{Connection of the shield to an additional grounding conductor, e.g. drain wire}	H01R12/59	H01R12/59		88
H01R12/598	11	{Each conductor being individually surrounded by shield, e.g. multiple coaxial cables in flat structure}	H01R12/59	H01R12/59		180
H01R12/61	10	connecting to flexible printed circuits, flat or ribbon cables or like structures	H01R12/61	H01R12/61		354
H01R12/613	11	{by means of interconnecting elements}	H01R12/61	H01R12/61		186
H01R12/616	12	{having contacts penetrating insulation for making contact with conductors, e.g. needle points}	H01R12/61	H01R12/61		236
H01R12/62	10	connecting to rigid printed circuits or like structures	H01R12/62	H01R12/62		1290
H01R12/63	10	connecting to another shape cable	H01R12/63	H01R12/63		152
H01R12/65	10	characterised by the terminal	H01R12/65	H01R12/65		321
H01R12/67	11	insulation penetrating terminals	H01R12/67	H01R12/67		418
H01R12/675	12	{with contacts having at least a slotted plate for penetration of cable insulation, e.g. insulation displacement contacts for round conductor flat cables}	H01R12/67	H01R12/67		766
H01R12/68	12	comprising deformable portions	H01R12/68	H01R12/68		242
H01R12/69	11	deformable terminals, e.g. crimping terminals	H01R12/69	H01R12/69		158
H01R12/70	8	Coupling devices	H01R12/70	H01R12/70		596
H01R12/7005	9	{Guiding, mounting, polarizing or locking means; Extractors (for printed circuit boards H05K)}	H01R12/70	H01R12/70		1689
H01R12/7011	10	{Locking or fixing a connector to a PCB}	H01R12/70	H01R12/70		573
H01R12/7017	11	{Snap means}	H01R12/70	H01R12/70		121
H01R12/7023	12	{integral with the coupling device}	H01R12/70	H01R12/70		508
H01R12/7029	12	{not integral with the coupling device}	H01R12/70	H01R12/70		610
H01R12/7035	11	{involving non-elastic deformation, e.g. plastic deformation, melting (H01R12/7064 takes precedence)}	H01R12/70	H01R12/70		40
H01R12/7041	11	{Gluing or taping}	H01R12/70	H01R12/70		50
H01R12/7047	11	{with a fastener through a screw hole in the coupling device}	H01R12/70	H01R12/70		624
H01R12/7052	11	{characterised by the locating members}	H01R12/70	H01R12/70		483
