F16L3/1222	10	{the member having the form of a closed ring, e.g. used for the function of two adjacent pipe sections}	F16L3/12	F16L3/12		252
F16L3/1226	10	{elongated supports, e.g. to support a curved pipe}	F16L3/12	F16L3/12		301
F16L3/123	10	and extending along the attachment surface	F16L3/123	F16L3/123		207
F16L3/1233	11	{the member being of metal, with or without an other layer of other material}	F16L3/123	F16L3/123		310
F16L3/1236	11	{the member being of a material other than metal}	F16L3/123	F16L3/123		145
F16L3/127	10	and extending away from the attachment surface	F16L3/127	F16L3/127		522
F16L3/13	10	and engaging it by snap action {(F16L3/1203 takes precedence)}	F16L3/13	F16L3/13		1226
F16L3/133	10	and hanging from a pendant (F16L3/14 takes precedence)	F16L3/133	F16L3/133		599
F16L3/137	10	and consisting of a flexible band	F16L3/137	F16L3/137		1028
F16L3/14	8	Hangers in the form of bands or chains	F16L3/14	F16L3/14		1416
F16L3/16	8	with special provision allowing movement of the pipe (F16L3/01 takes precedence; supporting pipes or cables inside other pipes or sleeves F16L7/00)	F16L3/16	F16L3/16		1474
F16L3/18	9	allowing movement in axial direction	F16L3/18	F16L3/18		1070
F16L3/20	9	allowing movement in transverse direction	F16L3/20	F16L3/20		1318
F16L3/202	10	the transverse movement being converted to a rotational movement (F16L3/215 takes precedence)	F16L3/202	F16L3/202		221
F16L3/205	10	having supporting springs	F16L3/205	F16L3/205		263
F16L3/2053	11	{the axis of each spring being parallel with the direction of the movement of the pipe}	F16L3/205	F16L3/205		266
F16L3/2056	11	{the axis of at least one spring being oblique or perpendicular to the direction of the movement of the pipe}	F16L3/205	F16L3/205		468
F16L3/21	11	providing constant supporting spring force	F16L3/21	F16L3/21		74
F16L3/215	10	the movement being hydraulically or electrically controlled	F16L3/215	F16L3/215		163
F16L3/217	11	hydraulically	F16L3/217	F16L3/217		130
F16L3/22	8	specially adapted for supporting a number of parallel pipes at intervals	F16L3/22	F16L3/22		1099
F16L3/221	9	{having brackets connected together by means of a common support}	F16L3/22	F16L3/22		679
F16L3/222	9	{having single supports directly connected together}	F16L3/22	F16L3/22		521
F16L3/223	9	each support having one transverse base for supporting the pipes (F16L3/23, F16L3/237 take precedence)	F16L3/223	F16L3/223		998
F16L3/2235	10	{each pipe being supported by a common element fastened to the base}	F16L3/223	F16L3/223		878
F16L3/227	10	each pipe being supported by a separate element fastened to the base	F16L3/227	F16L3/227		632
F16L3/23	9	for a bundle of pipes or a plurality of pipes placed side by side in contact with each other (F16L3/237 takes precedence)	F16L3/23	F16L3/23		683
F16L3/233	10	by means of a flexible band	F16L3/233	F16L3/233		771
F16L3/2332	11	{having a single plastic locking barb}	F16L3/233	F16L3/233		182
F16L3/2334	12	{the barb having a plurality of serrations}	F16L3/233	F16L3/233		254
F16L3/2336	11	{having two or more locking barbs (F16L3/2338 takes precedence)}	F16L3/233	F16L3/233		103
F16L3/2338	11	{having at least one metal locking barb}	F16L3/233	F16L3/233		39
F16L3/237	9	for two pipes	F16L3/237	F16L3/237		1328
F16L3/24	8	with special member for attachment to profiled girders	F16L3/24	F16L3/24		1160
F16L3/243	9	{the special member being inserted in the profiled girder}	F16L3/24	F16L3/24		688
F16L3/2431	10	{the special member being inserted and subsequently rotated to a limited extent}	F16L3/24	F16L3/24		223
F16L3/245	9	{the special member embracing the entire profiled girder}	F16L3/24	F16L3/24		159
F16L3/26	8	specially adapted for supporting the pipes all along their length, e.g. pipe channels or ducts	F16L3/26	F16L3/26		1194
F16L5/00	7	Devices for use where pipes, cables or protective tubing pass through walls or partitions (installations of electric cables or lines through walls, floors or ceilings H02G3/22)	F16L5/00	F16L5/00		2437
F16L5/02	8	Sealing<br><br><u>NOTE</u><br><br>Group F16L5/14 takes precedence over groups F16L5/022, F16L5/025, F16L5/027 andF16L5/04&#160;-&#160;F16L5/12.	F16L5/02	F16L5/02		2353
F16L5/022	9	{by welding}	F16L5/02	F16L5/02		182
F16L5/025	9	{the pipe being movable (F16L5/10 takes precedence)}	F16L5/02	F16L5/02		306
F16L5/027	9	{by means of a joint of the quick-acting type}	F16L5/02	F16L5/02		247
F16L5/04	9	to form a firebreak device	F16L5/04	F16L5/04		1646
F16L5/06	9	by means of a swivel nut compressing a ring or sleeve	F16L5/06	F16L5/06		570
F16L5/08	9	by means of axial screws compressing a ring or sleeve	F16L5/08	F16L5/08		842
F16L5/10	9	by using sealing rings or sleeves only	F16L5/10	F16L5/10		2112
F16L5/12	9	the pipe being cut in two pieces	F16L5/12	F16L5/12		235
F16L5/14	9	for double-walled or multi-channel pipes	F16L5/14	F16L5/14		652
F16L7/00	7	Supporting pipes or cables inside other pipes or sleeves, e.g. for enabling pipes or cables to be inserted or withdrawn from under roads or railways without interruption of traffic (sleeves for supporting pipes, cables or protective tubing, between relatively movable points F16L3/01)	F16L7/00	F16L7/00		941
F16L7/02	8	and sealing the pipes or cables inside the other pipes, cables or sleeves	F16L7/02	F16L7/02		382
F16L9/00	7	Rigid pipes	F16L9/00	F16L9/00		619
F16L9/003	8	{with a rectangular cross-section (ducting arrangements in air-conditioning or ventilation F24F13/02)}	F16L9/00	F16L9/00		718
F16L9/006	8	{specially profiled (F16L9/003 takes precedence)}	F16L9/00	F16L9/00		658
F16L9/01	8	of wood (F16L9/16&#160;-&#160;F16L9/22 take precedence)	F16L9/01	F16L9/01		140
F16L9/02	8	of metal (F16L9/16&#160;-&#160;F16L9/22 take precedence)	F16L9/02	F16L9/02		1922
F16L9/04	9	Reinforced pipes	F16L9/04	F16L9/04		537
F16L9/042	10	{the reinforcement comprising one or more layers of a helically wound cord, wire or strip (F16L9/047 takes precedence)}	F16L9/04	F16L9/04		57
F16L9/045	11	{using profiled strips}	F16L9/04	F16L9/04		19
F16L9/047	10	{comprising reinforcement rings}	F16L9/04	F16L9/04		30
F16L9/06	9	Corrugated pipes	F16L9/06	F16L9/06		454
F16L9/08	8	of concrete, cement, or asbestos cement, with or without reinforcement (F16L9/16&#160;-&#160;F16L9/22 take precedence)	F16L9/08	F16L9/08		690
F16L9/085	9	{Reinforced pipes}	F16L9/08	F16L9/08		165
F16L9/10	8	of glass or ceramics, e.g. clay, clay tile, porcelain (F16L9/16&#160;-&#160;F16L9/22 take precedence)	F16L9/10	F16L9/10		222
F16L9/105	9	{of glass}	F16L9/10	F16L9/10		39
F16L9/12	8	of plastics with or without reinforcement (F16L9/16&#160;-&#160;F16L9/22 take precedence)	F16L9/12	F16L9/12		2218
F16L9/121	9	{with three layers}	F16L9/12	F16L9/12		742
F16L9/123	9	{with four layers}	F16L9/12	F16L9/12		207
F16L9/125	9	{electrically conducting}	F16L9/12	F16L9/12		249
F16L9/127	9	the walls consisting of a single layer	F16L9/127	F16L9/127		409
F16L9/128	10	Reinforced pipes	F16L9/128	F16L9/128		410
F16L9/133	9	the walls consisting of two layers	F16L9/133	F16L9/133		787
F16L9/14	8	Compound tubes, i.e. made of materials not wholly covered by any one of the preceding groups (F16L9/16&#160;-&#160;F16L9/22 take precedence)	F16L9/14	F16L9/14		2393
F16L9/147	9	comprising only layers of metal and plastics with or without reinforcement	F16L9/147	F16L9/147		1590
F16L9/153	9	comprising only layers of metal and concrete with or without reinforcement	F16L9/153	F16L9/153		235
F16L9/16	8	wound from sheets or strips, with or without reinforcement	F16L9/16	F16L9/16		1234
F16L9/165	9	{of metal}	F16L9/16	F16L9/16		311
F16L9/17	8	obtained by bending a sheet longitudinally and connecting the edges	F16L9/17	F16L9/17		451
F16L9/18	8	Double-walled pipes; Multi-channel pipes or pipe assemblies	F16L9/18	F16L9/18		2179
F16L9/19	9	Multi-channel pipes or pipe assemblies	F16L9/19	F16L9/19		706
F16L9/20	10	{Pipe assemblies}	F16L9/19	F16L9/20		241
F16L9/21	8	made of sound-absorbing materials or with sound-absorbing structure	F16L9/21	F16L9/21		567
F16L9/22	8	Pipes composed of a plurality of segments	F16L9/22	F16L9/22		709
F16L11/00	7	Hoses, i.e. flexible pipes	F16L11/00	F16L11/00		687
F16L11/005	8	{consisting completely or partially of material other than fibres, plastics or metal}	F16L11/00	F16L11/00		98
F16L11/02	8	made of fibres or threads, e.g. of textile	F16L11/02	F16L11/02		684
F16L11/04	8	made of rubber or flexible plastics	F16L11/04	F16L11/04		1753
F16L11/042	9	{formed by bending a sheet and connecting the edges}	F16L11/04	F16L11/04		68
F16L11/045	9	{with four or more layers without reinforcement}	F16L11/04	F16L11/04		249
F16L2011/047	9	{with a diffusion barrier layer}	F16L11/04	F16L11/04		734
F16L11/06	9	with homogeneous wall (F16L11/11 takes precedence)	F16L11/06	F16L11/06		302
F16L11/08	9	with reinforcements embedded in the wall (F16L11/11 takes precedence)	F16L11/08	F16L11/08		1068
F16L11/081	10	{comprising one or more layers of a helically wound cord or wire (in combination with braided layers F16L11/088)}	F16L11/08	F16L11/08		635
F16L11/082	11	{two layers}	F16L11/08	F16L11/08		315
F16L11/083	11	{three or more layers}	F16L11/08	F16L11/08		618
F16L11/085	10	{comprising one or more braided layers (in combination with layers of a helically wound core or wire F16L11/088)}	F16L11/08	F16L11/08		1031
F16L11/086	11	{two layers}	F16L11/08	F16L11/08		327
F16L11/087	11	{three or more layers}	F16L11/08	F16L11/08		128
F16L11/088	10	{comprising a combination of one or more layers of a helically wound cord or wire with one or more braided layers}	F16L11/08	F16L11/08		353
F16L11/10	9	with reinforcements not embedded in the wall (F16L11/11 takes precedence)	F16L11/10	F16L11/10		811
F16L11/11	9	with corrugated wall	F16L11/11	F16L11/11		628
F16L11/111	10	{with homogeneous wall}	F16L11/11	F16L11/11		219
F16L11/112	10	having reinforcements embedded in the wall	F16L11/112	F16L11/112		478
F16L11/115	10	having reinforcements not embedded in the wall	F16L11/115	F16L11/115		427
F16L11/118	10	having arrangements for particular purposes, e.g. electrically conducting	F16L11/118	F16L11/118		309
F16L11/1185	11	{electrically conducting}	F16L11/118	F16L11/118		159
F16L11/12	9	with arrangements for particular purposes, e.g. specially profiled, with protecting layer, heated, electrically conducting (F16L11/11 takes precedence)	F16L11/12	F16L11/12		1806
F16L11/121	10	{specially profiled cross sections}	F16L11/12	F16L11/12		416
F16L11/122	10	{Hoses provided with integrated fixing means, e.g. hooks}	F16L11/12	F16L11/12		154
F16L11/124	10	{Distinguishing marks for hoses}	F16L11/12	F16L11/12		159
F16L11/125	10	{non-inflammable or heat-resistant hoses}	F16L11/12	F16L11/12		337
F16L11/127	10	electrically conducting	F16L11/127	F16L11/127		852
F16L11/133	10	buoyant	F16L11/133	F16L11/133		269
F16L11/14	8	made of rigid material, e.g. metal or hard plastics	F16L11/14	F16L11/14		352
F16L11/15	9	corrugated (F16L11/16 takes precedence)	F16L11/15	F16L11/15		1177
F16L11/16	9	wound from profiled strips or bands	F16L11/16	F16L11/16		1114
F16L11/18	9	Articulated hoses, e.g. composed of a series of rings	F16L11/18	F16L11/18		383
F16L11/20	8	Double-walled hoses	F16L11/20	F16L11/20		615
F16L11/22	8	Multi-channel hoses	F16L11/22	F16L11/22		700
F16L11/24	8	wound from strips or bands (F16L11/16 takes precedence)	F16L11/24	F16L11/24		454
F16L11/26	8	made of sound-absorbing materials or with sound-absorbing structure	F16L11/26	F16L11/26		115
F16L13/00	7	Non-disconnectable pipe joints, e.g. soldered, adhesive, or caulked joints ({non-disconnectable pipe joints to walls or other pipes, the joined pipe axis being perpendicular to the plane of the wall or to the axis of the other pipe F16L41/082;} joints for rigid pipes of plastics F16L47/00)	F16L13/00	F16L13/00		262
F16L13/002	8	{for pipes having a rectangular cross-section}	F16L13/00	F16L13/00		42
F16L13/004	8	{Shrunk pipe-joints}	F16L13/00	F16L13/00		202
F16L13/007	8	specially adapted for joining pipes of dissimilar materials {(joints between metal and plastic pipes F16L47/24)}	F16L13/007	F16L13/007		284
F16L13/013	9	Accessories therefor	F16L13/013	F16L13/013		18
F16L13/02	8	Welded joints	F16L13/02	F16L13/02		1280
F16L13/0209	9	{Male-female welded joints (F16L13/0245 and F16L13/0254 take precedence)}	F16L13/02	F16L13/02		240
F16L13/0218	9	{having an inner or outer ring (F16L13/0245 and F16L13/0254 take precedence)}	F16L13/02	F16L13/02		49
F16L13/0227	10	{having an inner ring}	F16L13/02	F16L13/02		118
