H01M4/1393	11	of electrodes based on carbonaceous material, e.g. graphite-intercalation compounds or CFx	H01M4/1393	H01M4/1393		5116
H01M4/1395	11	of electrodes based on metals, Si or alloys	H01M4/1395	H01M4/1395		6463
H01M4/1397	11	of electrodes based on inorganic compounds other than oxides or hydroxides, e.g. sulfides, selenides, tellurides, halogenides or LiCoFy	H01M4/1397	H01M4/1397		3421
H01M4/1399	11	of electrodes based on electro-active polymers	H01M4/1399	H01M4/1399		430
H01M4/14	9	Electrodes for lead-acid accumulators	H01M4/14	H01M4/14		1638
H01M4/16	10	Processes of manufacture	H01M4/16	H01M4/16		803
H01M4/18	11	of Plant&#233; electrodes	H01M4/18	H01M4/18		22
H01M4/20	11	of pasted electrodes	H01M4/20	H01M4/20		1732
H01M4/21	12	Drying of pasted electrodes	H01M4/21	H01M4/21		356
H01M4/22	11	Forming of electrodes	H01M4/22	H01M4/22		567
H01M4/23	12	Drying or preserving electrodes after forming	H01M4/23	H01M4/23		208
H01M4/24	9	Electrodes for alkaline accumulators	H01M4/24	H01M4/24		765
H01M4/242	10	{Hydrogen storage electrodes}	H01M4/24	H01M4/24		849
H01M4/244	10	{Zinc electrodes}	H01M4/24	H01M4/24		975
H01M4/246	10	{Cadmium electrodes}	H01M4/24	H01M4/24		262
H01M4/248	10	{Iron electrodes}	H01M4/24	H01M4/24		124
H01M4/26	10	Processes of manufacture	H01M4/26	H01M4/26		1182
H01M4/28	11	Precipitating active material on the carrier	H01M4/28	H01M4/28		367
H01M4/29	12	by electrochemical methods	H01M4/29	H01M4/29		182
H01M4/30	11	Pressing	H01M4/30	H01M4/30		230
H01M4/32	10	Nickel oxide or hydroxide electrodes	H01M4/32	H01M4/32		1122
H01M4/34	10	Silver oxide or hydroxide electrodes	H01M4/34	H01M4/34		144
H01M4/36	9	Selection of substances as active materials, active masses, active liquids	H01M4/36	H01M4/36		5342
H01M4/362	10	{Composites}	H01M4/36	H01M4/36		9795
H01M4/364	11	{as mixtures}	H01M4/36	H01M4/36		11787
H01M4/366	11	{as layered products}	H01M4/36	H01M4/36		28297
H01M4/368	10	{Liquid depolarisers}	H01M4/36	H01M4/36		124
H01M4/38	10	of elements or alloys	H01M4/38	H01M4/38		10483
H01M4/381	11	{Alkaline or alkaline earth metals elements (H01M4/40 takes precedence)}	H01M4/38	H01M4/38		967
H01M4/382	12	{Lithium (H01M4/405 takes precedence)}	H01M4/38	H01M4/38		4793
H01M4/383	11	{Hydrogen absorbing alloys}	H01M4/38	H01M4/38		1390
H01M4/385	12	{of the type LaNi5}	H01M4/38	H01M4/38		144
H01M4/386	11	{Silicon or alloys based on silicon}	H01M4/38	H01M4/38		11750
H01M4/387	11	{Tin or alloys based on tin}	H01M4/38	H01M4/38		1713
H01M4/388	11	{Halogens}	H01M4/38	H01M4/38		143
H01M4/40	11	Alloys based on alkali metals	H01M4/40	H01M4/40		834
H01M4/405	12	{Alloys based on lithium}	H01M4/40	H01M4/40		1565
H01M4/42	11	Alloys based on zinc	H01M4/42	H01M4/42		1512
H01M4/44	11	Alloys based on cadmium	H01M4/44	H01M4/44		97
H01M4/46	11	Alloys based on magnesium or aluminium	H01M4/46	H01M4/46		577
H01M4/463	12	{Aluminium based}	H01M4/46	H01M4/46		645
H01M4/466	12	{Magnesium based}	H01M4/46	H01M4/46		412
H01M4/48	10	of inorganic oxides or hydroxides	H01M4/48	H01M4/48		5537
H01M4/481	11	{of mercury}	H01M4/48	H01M4/48		29
H01M4/483	11	{for non-aqueous cells (H01M4/485 takes precedence)}	H01M4/48	H01M4/48		5584
H01M4/485	11	of mixed oxides or hydroxides for inserting or intercalating light metals, e.g. LiTi2O4 or LiTi2OxFy (H01M4/505, H01M4/525 take precedence)	H01M4/485	H01M4/485		14030
H01M4/50	11	of manganese	H01M4/50	H01M4/50		1734
H01M4/502	12	{for non-aqueous cells (H01M4/505 takes precedence)}	H01M4/50	H01M4/50		852
H01M4/505	12	of mixed oxides or hydroxides containing manganese for inserting or intercalating light metals, e.g. LiMn2O4 or LiMn2OxFy	H01M4/505	H01M4/505		24325
