H05B3/26	10	heating conductor mounted on insulating base {(for transparent areas H05B3/84, H05B3/86)}	H05B3/26	H05B3/26		1359
H05B3/262	11	{the insulating base being an insulated metal plate}	H05B3/26	H05B3/26		402
H05B3/265	11	{the insulating base being an inorganic material, e.g. ceramic (H05B3/262 takes precedence)}	H05B3/26	H05B3/26		936
H05B3/267	11	{the insulating base being an organic material, e.g. plastic (H05B3/262 takes precedence)}	H05B3/26	H05B3/26		404
H05B3/28	10	heating conductor embedded in insulating material	H05B3/28	H05B3/28		724
H05B3/283	11	{the insulating material being an inorganic material, e.g. ceramic}	H05B3/28	H05B3/28		950
H05B3/286	11	{the insulating material being an organic material, e.g. plastic}	H05B3/28	H05B3/28		520
H05B3/30	11	on or between metallic plates	H05B3/30	H05B3/30		337
H05B3/32	10	heating conductor mounted on insulators on a metallic frame	H05B3/32	H05B3/32		240
H05B3/34	9	flexible, e.g. heating nets or webs	H05B3/34	H05B3/34		4340
H05B3/342	10	{heaters used in textiles}	H05B3/34	H05B3/34		2597
H05B3/345	11	{knitted fabrics}	H05B3/34	H05B3/34		203
H05B3/347	11	{woven fabrics}	H05B3/34	H05B3/34		551
H05B3/36	10	heating conductor embedded in insulating material	H05B3/36	H05B3/36		1383
H05B3/38	11	Powder conductors	H05B3/38	H05B3/38		65
H05B3/40	8	Heating elements having the shape of rods or tubes (H05B3/62, H05B3/68, H05B3/78 take precedence)	H05B3/40	H05B3/40		2063
H05B3/42	9	non-flexible	H05B3/42	H05B3/42		2087
H05B3/44	10	heating conductor arranged within rods or tubes of insulating material	H05B3/44	H05B3/44		2012
H05B3/46	10	heating conductor mounted on insulating base	H05B3/46	H05B3/46		886
H05B3/48	10	heating conductor embedded in insulating material	H05B3/48	H05B3/48		1875
H05B3/50	11	heating conductor arranged in metal tubes, the radiating surface having heat-conducting fins	H05B3/50	H05B3/50		1294
H05B3/52	11	Apparatus or processes for filling or compressing insulating material in tubes	H05B3/52	H05B3/52		233
H05B3/54	9	flexible	H05B3/54	H05B3/54		599
H05B3/56	10	Heating cables	H05B3/56	H05B3/56		3510
H05B3/565	11	{flat cables}	H05B3/56	H05B3/56		514
H05B3/58	10	Heating hoses; Heating collars	H05B3/58	H05B3/58		745
H05B3/60	8	Heating arrangements wherein the heating current flows through granular powdered or fluid material, e.g. for salt-bath furnace, electrolytic heating (H05B3/38 takes precedence)	H05B3/60	H05B3/60		944
H05B3/62	8	Heating elements specially adapted for furnaces (H05B3/60 takes precedence; arrangements of elements for electric heating in or on furnaces using ohmic resistance heating F27D11/02)	H05B3/62	H05B3/62		727
H05B3/64	9	using ribbon, rod, or wire heater	H05B3/64	H05B3/64		906
H05B3/66	9	Supports or mountings for heaters on or in the wall or roof	H05B3/66	H05B3/66		782
H05B3/68	8	Heating arrangements specially adapted for cooking plates or analogous hot-plates<br><br><u>NOTE</u><br><br>Group H05B3/76 takes precedence over groups H05B3/70 - H05B3/74.<br>This Note corresponds to IPC Note (1) relating to H05B3/70 - H05B3/76.	H05B3/68	H05B3/68		1382
H05B3/681	9	{Plates having mobile parts coming into contact with the bottom of the kettles, pans, or the like}	H05B3/68	H05B3/68		102
H05B3/683	9	{Plates having their feeding circuit closed as the kettles, pans or the like are put on (H05B3/74 takes precedence)}	H05B3/68	H05B3/68		84
H05B3/685	9	{Plates having magnetic means attracting the kettles, pans, or the like}	H05B3/68	H05B3/68		55
H05B3/686	9	{Heat-storage plates}	H05B3/68	H05B3/68		32
H05B3/688	9	{Fabrication of the plates (for single-step processes see the appropriate subclass, e.g. in B23C, sub-section metallurgy)}	H05B3/68	H05B3/68		379
H05B3/70	9	Plates of cast metal	H05B3/70	H05B3/70		240
H05B3/72	9	Plates of sheet metal	H05B3/72	H05B3/72		231
H05B3/74	9	Non-metallic plates {, e.g. vitroceramic, ceramic or glassceramic hobs, also including power or control circuits}	H05B3/74	H05B3/74		876
H05B3/742	10	{Plates having both lamps and resistive heating elements}	H05B3/74	H05B3/74		49
H05B3/744	10	{Lamps as heat source, i.e. heating elements with protective gas envelope, e.g. halogen lamps}	H05B3/74	H05B3/74		183
H05B3/746	10	{Protection, e.g. overheat cutoff, hot plate indicator}	H05B3/74	H05B3/74		686
H05B3/748	10	{Resistive heating elements, i.e. heating elements exposed to the air, e.g. coil wire heater (H05B3/742 takes precedence)}	H05B3/74	H05B3/74		728
H05B3/76	9	Plates with spirally-wound heating tubes	H05B3/76	H05B3/76		277
H05B3/78	8	Heating arrangements specially adapted for immersion heating	H05B3/78	H05B3/78		797
H05B3/80	9	Portable immersion heaters	H05B3/80	H05B3/80		626
H05B3/82	9	Fixedly-mounted immersion heaters	H05B3/82	H05B3/82		1201
H05B3/84	8	Heating arrangements specially adapted for transparent or reflecting areas, e.g. for demisting or de-icing windows, mirrors or vehicle windshields	H05B3/84	H05B3/84		3178
H05B3/845	9	{specially adapted for reflecting surfaces, e.g. bathroom - or rearview mirrors}	H05B3/84	H05B3/84		502
H05B3/86	9	the heating conductors being embedded in the transparent or reflecting material {(H05B3/845 takes precedence)}	H05B3/86	H05B3/86		1076
H05B6/00	7	Heating by electric, magnetic or electromagnetic fields	H05B6/00	H05B6/00		244
H05B6/02	8	Induction heating	H05B6/02	H05B6/02		1533
H05B6/04	9	Sources of current	H05B6/04	H05B6/04		1126
H05B6/06	9	Control, e.g. of temperature, of power	H05B6/06	H05B6/06		3251
H05B6/062	10	{for cooking plates or the like}	H05B6/06	H05B6/06		3044
H05B6/065	11	{using coordinated control of multiple induction coils}	H05B6/06	H05B6/06		723
H05B6/067	10	{for melting furnaces}	H05B6/06	H05B6/06		248
H05B6/08	10	using compensating or balancing arrangements	H05B6/08	H05B6/08		191
H05B6/10	9	Induction heating apparatus, other than furnaces, for specific applications	H05B6/10	H05B6/10		1316
H05B6/101	10	{for local heating of metal pieces}	H05B6/10	H05B6/10		1025
H05B6/102	11	{the metal pieces being rotated while induction heated}	H05B6/10	H05B6/10		324
H05B6/103	11	{multiple metal pieces successively being moved close to the inductor}	H05B6/10	H05B6/10		215
H05B6/104	12	{metal pieces being elongated like wires or bands}	H05B6/10	H05B6/10		355
H05B6/105	10	{using a susceptor}	H05B6/10	H05B6/10		1441
H05B6/106	11	{in the form of fillings}	H05B6/10	H05B6/10		94
H05B6/107	11	{for continuous movement of material}	H05B6/10	H05B6/10		99
H05B6/108	11	{for heating a fluid}	H05B6/10	H05B6/10		1761
H05B6/109	11	{using magnets rotating with respect to a susceptor}	H05B6/10	H05B6/10		179
H05B6/12	10	Cooking devices	H05B6/12	H05B6/12		1656
H05B6/1209	11	{induction cooking plates or the like and devices to be used in combination with them}	H05B6/12	H05B6/12		1523
H05B6/1218	12	{with arrangements using lights for heating zone state indication}	H05B6/12	H05B6/12		304
H05B6/1227	12	{for wok pans and wok pans supports for induction cooking plates}	H05B6/12	H05B6/12		160
H05B6/1236	12	{adapted to induce current in a coil to supply power to a device and electrical heating devices powered in this way}	H05B6/12	H05B6/12		462
H05B6/1245	12	{with special coil arrangements}	H05B6/12	H05B6/12		477
H05B6/1254	13	{using conductive pieces to direct the induced magnetic field}	H05B6/12	H05B6/12		268
H05B6/1263	13	{using coil cooling arrangements}	H05B6/12	H05B6/12		419
H05B6/1272	13	{with more than one coil or coil segment per heating zone}	H05B6/12	H05B6/12		575
H05B6/1281	13	{with flat coils}	H05B6/12	H05B6/12		128
H05B6/129	11	{induction ovens}	H05B6/12	H05B6/12		299
H05B6/14	10	Tools, e.g. nozzles, rollers, calenders	H05B6/14	H05B6/14		480
H05B6/145	11	{Heated rollers}	H05B6/14	H05B6/14		473
H05B6/16	9	Furnaces having endless cores (H05B6/34 takes precedence)	H05B6/16	H05B6/16		156
H05B6/18	10	having melting basin	H05B6/18	H05B6/18		108
H05B6/20	10	having melting channel only	H05B6/20	H05B6/20		515
H05B6/22	9	Furnaces without an endless core (H05B6/34 takes precedence)	H05B6/22	H05B6/22		240
H05B6/24	10	Crucible furnaces (H05B6/30 takes precedence)	H05B6/24	H05B6/24		562
H05B6/26	11	using vacuum or particular gas atmosphere	H05B6/26	H05B6/26		159
H05B6/28	11	Protective systems	H05B6/28	H05B6/28		74
H05B6/30	10	Arrangements for remelting or zone melting	H05B6/30	H05B6/30		88
H05B6/32	10	Arrangements for simultaneous levitation and heating	H05B6/32	H05B6/32		104
H05B6/34	9	Arrangements for circulation of melts	H05B6/34	H05B6/34		288
H05B6/36	9	Coil arrangements	H05B6/36	H05B6/36		2273
H05B6/362	10	{with flat coil conductors}	H05B6/36	H05B6/36		448
H05B6/365	10	{using supplementary conductive or ferromagnetic pieces}	H05B6/36	H05B6/36		680
H05B6/367	10	{for melting furnaces}	H05B6/36	H05B6/36		201
H05B6/38	10	specially adapted for fitting into hollow spaces of workpieces	H05B6/38	H05B6/38		146
H05B6/40	10	Establishing desired heat distribution, e.g. to heat particular parts of workpieces	H05B6/40	H05B6/40		646
H05B6/405	11	{for heating gear-wheels}	H05B6/40	H05B6/40		97
H05B6/42	10	Cooling of coils	H05B6/42	H05B6/42		765
H05B6/44	10	having more than one coil or coil segment	H05B6/44	H05B6/44		786
H05B6/46	8	Dielectric heating (H05B6/64 takes precedence)	H05B6/46	H05B6/46		160
H05B6/48	9	Circuits	H05B6/48	H05B6/48		252
H05B6/50	10	for monitoring or control	H05B6/50	H05B6/50		465
H05B6/52	9	Feed lines	H05B6/52	H05B6/52		37
H05B6/54	9	Electrodes	H05B6/54	H05B6/54		291
H05B6/56	10	Rolling electrodes	H05B6/56	H05B6/56		21
H05B6/58	10	"sewing machine" type	H05B6/58	H05B6/58		2
H05B6/60	9	Arrangements for continuous movement of material	H05B6/60	H05B6/60		237
H05B6/62	9	Apparatus for specific applications	H05B6/62	H05B6/62		735
H05B6/64	8	Heating using microwaves {(containers, packaging elements or packages specially adapted to be heated by microwaves B65D81/3446)}	H05B6/64	H05B6/64		1798
H05B6/6402	9	{Aspects relating to the microwave cavity}	H05B6/64	H05B6/64		1280
H05B6/6405	10	{Self-cleaning cavity}	H05B6/64	H05B6/64		112
H05B6/6408	9	{Supports or covers specially adapted for use in microwave heating apparatus}	H05B6/64	H05B6/64		1285
