H03F1/22	9	by use of cascode coupling, i.e. earthed cathode or emitter stage followed by earthed grid or base stage respectively	H03F1/22	H03F1/22		609
H03F1/223	10	{with MOSFET&apos;s}	H03F1/22	H03F1/22		1479
H03F1/226	10	{with junction-FET&apos;s}	H03F1/22	H03F1/22		90
H03F1/24	10	in discharge-tube amplifiers	H03F1/24	H03F1/24		11
H03F1/26	8	Modifications of amplifiers to reduce influence of noise generated by amplifying elements	H03F1/26	H03F1/26		3367
H03F1/28	9	in discharge-tube amplifiers {(constructional modifications H01J23/11)}	H03F1/28	H03F1/28		126
H03F1/30	8	Modifications of amplifiers to reduce influence of variations of temperature or supply voltage {or other physical parameters (in differential amplifiers H03F3/45479)}	H03F1/30	H03F1/30		2145
H03F1/301	9	{in MOSFET amplifiers (H03F1/303, H03F1/305, H03F1/308 take precedence)}	H03F1/30	H03F1/30		1267
H03F1/302	9	{in bipolar transistor amplifiers (H03F1/303, H03F1/305, H03F1/307 take precedence)}	H03F1/30	H03F1/30		1340
H03F1/303	9	{using a switching device (H03F1/305, H03F3/005, H03F3/38 take precedence)}	H03F1/30	H03F1/30		630
H03F1/304	10	{and using digital means}	H03F1/30	H03F1/30		140
H03F1/305	9	{in case of switching on or off of a power supply}	H03F1/30	H03F1/30		652
H03F1/306	9	{in junction-FET amplifiers (H03F1/303, H03F1/305, H03F1/309 take precedence)}	H03F1/30	H03F1/30		157
H03F1/307	9	{in push-pull amplifiers}	H03F1/30	H03F1/30		259
H03F1/308	10	{using MOSFET}	H03F1/30	H03F1/30		146
H03F1/309	10	{using junction-FET}	H03F1/30	H03F1/30		5
H03F1/32	8	Modifications of amplifiers to reduce non-linear distortion (by negative feedback H03F1/34)	H03F1/32	H03F1/32		2477
H03F1/3205	9	{in field-effect transistor amplifiers}	H03F1/32	H03F1/32		1003
H03F1/3211	9	{in differential amplifiers}	H03F1/32	H03F1/32		1138
H03F1/3217	9	{in single ended push-pull amplifiers}	H03F1/32	H03F1/32		303
H03F1/3223	9	{using feed-forward (H03F1/3211 takes precedence)}	H03F1/32	H03F1/32		403
H03F1/3229	10	{using a loop for error extraction and another loop for error subtraction}	H03F1/32	H03F1/32		418
H03F1/3235	11	{using a pilot signal}	H03F1/32	H03F1/32		159
H03F1/3241	9	{using predistortion circuits (H03F1/3211, H03F1/3217 take precedence)}	H03F1/32	H03F1/32		1482
H03F1/3247	10	{using feedback acting on predistortion circuits (H03F1/3264 takes precedence)}	H03F1/32	H03F1/32		2109
H03F1/3252	10	{using multiple parallel paths between input and output (H03F1/3258, H03F1/3282, H03F1/3294 take precedence)}	H03F1/32	H03F1/32		236
H03F1/3258	10	{based on polynomial terms}	H03F1/32	H03F1/32		538
H03F1/3264	10	{in audio amplifiers}	H03F1/32	H03F1/32		98
H03F1/327	11	{to emulate discharge tube amplifier characteristics}	H03F1/32	H03F1/32		81
H03F1/3276	10	{using the nonlinearity inherent to components, e.g. a diode}	H03F1/32	H03F1/32		286
H03F1/3282	10	{Acting on the phase and the amplitude of the input signal}	H03F1/32	H03F1/32		384
H03F1/3288	11	{to compensate phase shift as a function of the amplitude}	H03F1/32	H03F1/32		115
H03F1/3294	10	{Acting on the real and imaginary components of the input signal}	H03F1/32	H03F1/32		368
H03F1/33	9	in discharge-tube amplifiers	H03F1/33	H03F1/33		187
H03F1/34	8	Negative-feedback-circuit arrangements with or without positive feedback (H03F1/02 - H03F1/30, H03F1/38 - H03F1/50, H03F3/50 take precedence {; for rejection of common mode signals H03F3/45479})	H03F1/34	H03F1/34		2030
H03F1/342	9	{in field-effect transistor amplifiers}	H03F1/34	H03F1/34		488
H03F1/345	9	{using hybrid or directional couplers}	H03F1/34	H03F1/34		102
H03F1/347	9	{using transformers}	H03F1/34	H03F1/34		317
H03F1/36	9	in discharge-tube amplifiers	H03F1/36	H03F1/36		1002
H03F1/38	8	Positive-feedback circuit arrangements without negative feedback	H03F1/38	H03F1/38		158
H03F1/40	9	in discharge-tube amplifiers	H03F1/40	H03F1/40		51
H03F1/42	8	Modifications of amplifiers to extend the bandwidth	H03F1/42	H03F1/42		1315
H03F1/48	9	of aperiodic amplifiers	H03F1/48	H03F1/48		326
H03F1/483	10	{with field-effect transistors}	H03F1/48	H03F1/48		197
H03F1/486	10	{with IC amplifier blocks}	H03F1/48	H03F1/48		123
H03F1/50	10	with tubes only	H03F1/50	H03F1/50		541
H03F1/52	8	Circuit arrangements for protecting such amplifiers {(monitoring arrangements G01R31/28; increasing reliability in communication systems, e.g. using redundancy H04B1/74)}	H03F1/52	H03F1/52		2209
H03F1/523	9	{for amplifiers using field-effect devices (H03F1/526 takes precedence)}	H03F1/52	H03F1/52		764
H03F1/526	9	{protecting by using redundant amplifiers}	H03F1/52	H03F1/52		124
H03F1/54	9	with tubes only {(testing of vacuum tubes G01R31/25)}	H03F1/54	H03F1/54		505
H03F1/542	10	{Replacing by standby devices}	H03F1/54	H03F1/54		177
H03F1/544	10	{Protection of filaments}	H03F1/54	H03F1/54		110
H03F1/546	10	{Delaying application of anode power supply with respect to application of filament heating power supply}	H03F1/54	H03F1/54		84
H03F1/548	10	{Protection of anode or grid circuit against overload}	H03F1/54	H03F1/54		220
H03F1/56	8	Modifications of input or output impedances, not otherwise provided for	H03F1/56	H03F1/56		3540
H03F1/565	9	{using inductive elements}	H03F1/56	H03F1/56		2586
H03F3/00	7	Amplifiers with only discharge tubes or only semiconductor devices as amplifying elements<br><br><u>NOTE</u><br><br>Groups H03F3/20 - H03F3/72 take precedence over groups H03F3/02 - H03F3/189.<br>This Note corresponds to IPC Note (1) relating to H03F3/02 - H03F3/189.	H03F3/00	H03F3/00		206
H03F3/005	8	{using switched capacitors, e.g. dynamic amplifiers; using switched capacitors as resistors in differential amplifiers (H03F3/45 takes precedence)}	H03F3/00	H03F3/00		630
H03F3/02	8	with tubes only	H03F3/02	H03F3/02		565
H03F3/04	8	with semiconductor devices only	H03F3/04	H03F3/04		612
H03F3/06	9	using hole storage effect	H03F3/06	H03F3/06		2
H03F3/08	9	controlled by light	H03F3/08	H03F3/08		813
H03F3/082	10	{with FET&apos;s (H03F3/085 takes precedence)}	H03F3/08	H03F3/08		463
H03F3/085	10	{using opto-couplers between stages}	H03F3/08	H03F3/08		138
H03F3/087	10	{with IC amplifier blocks (H03F3/085 takes precedence)}	H03F3/08	H03F3/08		756
H03F3/10	9	with diodes {(parametric amplifiers H03F7/00)}	H03F3/10	H03F3/10		181
H03F3/12	10	with Esaki diodes	H03F3/12	H03F3/12		148
H03F3/14	9	with amplifying devices having more than three electrodes or more than two PN junctions	H03F3/14	H03F3/14		97
H03F3/16	9	with field-effect devices	H03F3/16	H03F3/16		415
H03F3/165	10	{with junction-FET&apos;s}	H03F3/16	H03F3/16		85
H03F3/181	8	Low-frequency amplifiers, e.g. audio preamplifiers	H03F3/181	H03F3/181		894
H03F3/183	9	with semiconductor devices only	H03F3/183	H03F3/183		1037
H03F3/185	10	with field-effect devices (H03F3/187 takes precedence)	H03F3/185	H03F3/185		402
H03F3/1855	11	{with junction-FET devices}	H03F3/185	H03F3/185		78
H03F3/187	10	in integrated circuits	H03F3/187	H03F3/187		932
H03F3/189	8	High-frequency amplifiers, e.g. radio frequency amplifiers	H03F3/189	H03F3/189		2043
H03F3/19	9	with semiconductor devices only	H03F3/19	H03F3/19		3711
H03F3/191	10	Tuned amplifiers (H03F3/193, H03F3/195 take precedence)	H03F3/191	H03F3/191		861
H03F3/193	10	with field-effect devices (H03F3/195 takes precedence)	H03F3/193	H03F3/193		2715
H03F3/1935	11	{with junction-FET devices}	H03F3/193	H03F3/193		327
H03F3/195	10	in integrated circuits	H03F3/195	H03F3/195		4580
H03F3/20	8	Power amplifiers, e.g. Class B amplifiers, Class C amplifiers (H03F3/26&#160;-&#160;H03F3/30 take precedence)	H03F3/20	H03F3/20		1765
H03F3/21	9	with semiconductor devices only {(H03F3/245 takes precedence)}	H03F3/21	H03F3/21		2198
H03F3/211	10	{using a combination of several amplifiers (H03F3/60 takes precedence)}	H03F3/21	H03F3/21		3528
H03F3/213	10	in integrated circuits	H03F3/213	H03F3/213		1418
H03F3/217	10	Class D power amplifiers; Switching amplifiers	H03F3/217	H03F3/217		2368
