G06K7/06	8	by means which conduct current when a mark is sensed or absent, e.g. contact brush for a conductive mark	G06K7/06	G06K7/06		179
G06K7/065	9	{for conductive marks}	G06K7/06	G06K7/06		137
G06K7/08	8	by means detecting the change of an electrostatic or magnetic field, e.g. by detecting change of capacitance between electrodes	G06K7/08	G06K7/08		471
G06K7/081	9	{electrostatic, e.g. by detecting the charge of capacitance between electrodes}	G06K7/08	G06K7/08		200
G06K7/082	9	{using inductive or magnetic sensors}	G06K7/08	G06K7/08		321
G06K7/083	10	{inductive (G06K7/10336 takes precedence)}	G06K7/08	G06K7/08		118
G06K7/084	11	{sensing magnetic material by relative movement detecting flux changes without altering its magnetised state}	G06K7/08	G06K7/08		1060
G06K7/085	11	{metal detectors}	G06K7/08	G06K7/08		67
G06K7/086	11	{sensing passive circuit, e.g. resonant circuit transponders}	G06K7/08	G06K7/08		153
G06K7/087	10	{flux-sensitive, e.g. magnetic, detectors (G06K7/10336 takes precedence)}	G06K7/08	G06K7/08		585
G06K7/088	11	{using magneto-sensitive switches, e.g. reed-switches}	G06K7/08	G06K7/08		47
G06K7/089	9	{hand-held scanners}	G06K7/08	G06K7/08		159
G06K7/10	8	by electromagnetic radiation, e.g. optical sensing; by corpuscular radiation	G06K7/10	G06K7/10		3154
G06K7/10009	9	{sensing by radiation using wavelengths larger than 0.1 mm, e.g. radio-waves or microwaves}<br><br><u>NOTE</u><br><br>This group covers electromagnetic interrogation as radiated by the antenna of an interrogation device while interrogating a plurality of wireless electronic memory record carriers, e.g. non-contact smart cards, RFID tags or labels, or transponders.	G06K7/10	G06K7/10		2763
G06K7/10019	10	{resolving collision on the communication channels between simultaneously or concurrently interrogated record carriers. (collision between the communication channels used by wireless communication devices, where the solution is not particularly adapted for RFIDs or the like, H04W74/08)}	G06K7/10	G06K7/10		435
G06K7/10029	11	{the collision being resolved in the time domain, e.g. using binary tree search or RFID responses allocated to a random time slot}	G06K7/10	G06K7/10		323
G06K7/10039	12	{interrogator driven, i.e. synchronous}	G06K7/10	G06K7/10		337
G06K7/10049	13	{binary tree}	G06K7/10	G06K7/10		62
G06K7/10059	12	{transponder driven}	G06K7/10	G06K7/10		154
G06K7/10069	11	{the collision being resolved in the frequency domain, e.g. by hopping from one frequency to the other (frequency hopping or spread spectrum techniques H04B7/00)}	G06K7/10	G06K7/10		190
G06K7/10079	11	{the collision being resolved in the spatial domain, e.g. temporary shields for blindfolding the interrogator in specific directions}	G06K7/10	G06K7/10		487
G06K7/10089	12	{the interrogation device using at least one directional antenna or directional interrogation field to resolve the collision (direction or location finding, such as triangulation techniques, G01S13/00)}	G06K7/10	G06K7/10		73
G06K7/10099	13	{the directional field being used for pinpointing the location of the record carrier, e.g. for finding or locating an RFID tag amongst a plurality of RFID tags, each RFID tag being associated with an object, e.g. for physically locating the RFID tagged object in a warehouse}	G06K7/10	G06K7/10		430
G06K7/10108	11	{interrogating only those RFIDs that fulfill a predetermined requirement, e.g. selecting all RFIDs having the same speed and moving in a cloud like fashion, e.g. on the same train; interrogating only RFIDs having a certain predetermined temperature, e.g. in the same fridge, another possibility being the active ignoring of a group of tags that fulfill a predetermined requirement, equivalent to the Boolean NOT operation}	G06K7/10	G06K7/10		169
G06K7/10118	10	{the sensing being preceded by at least one preliminary step}	G06K7/10	G06K7/10		261
G06K7/10128	11	{the step consisting of detection of the presence of one or more record carriers in the vicinity of the interrogation device}	G06K7/10	G06K7/10		515
G06K7/10138	11	{the step consisting of determining the type of record carrier, e.g. to determine if the record carrier is an RFID tag of the long or short range type, or to determine the preferred communication protocol of the RFID tag}	G06K7/10	G06K7/10		94
G06K7/10148	11	{the step consisting of dynamically tuning the resonant circuit of the interrogation device that is emitting the interrogation signal, e.g. for impedance matching inside of the interrogation device (for tuning related to loop aerials in general H01Q7/00)}	G06K7/10	G06K7/10		93
G06K7/10158	10	{methods and means used by the interrogation device for reliably powering the wireless record carriers using an electromagnetic interrogation field}	G06K7/10	G06K7/10		287
G06K7/10168	11	{the powering being adversely affected by environmental influences, e.g. unwanted energy loss in the interrogation signal due to metallic or capacitive objects in the proximity of the interrogation device or in the proximity of the interrogated record carrier}	G06K7/10	G06K7/10		57
G06K7/10178	11	{including auxiliary means for focusing, repeating or boosting the electromagnetic interrogation field (comparable booster antennas integrated on the record carrier itself G06K19/07794)}	G06K7/10	G06K7/10		434
G06K7/10188	12	{the repeating consisting of intelligently propagating data from record carriers via intermediate stations to the interrogation device, e.g. a distant RFID or RFID falling in a "shadow" region sending its identification data to an interrogation device using at least the help of one further RFID that is positioned in a region "visible" to the interrogation device, the further RFID therefore functioning as a relay station}	G06K7/10	G06K7/10		48
G06K7/10198	10	{setting parameters for the interrogator, e.g. programming parameters and operating modes}	G06K7/10	G06K7/10		387
G06K7/10207	11	{parameter settings related to power consumption of the interrogator}	G06K7/10	G06K7/10		150
G06K7/10217	11	{parameter settings controlling the transmission power of the interrogator}	G06K7/10	G06K7/10		260
G06K7/10227	11	{loading programming parameters or programs into the interrogator, e.g. for configuring the interrogator}	G06K7/10	G06K7/10		108
G06K7/10237	10	{the reader and the record carrier being capable of selectively switching between reader and record carrier appearance, e.g. in near field communication [NFC] devices where the NFC device may function as an RFID reader or as an RFID tag}	G06K7/10	G06K7/10		1106
G06K7/10247	11	{issues specific to the use of single wire protocol [SWP] in NFC like devices}	G06K7/10	G06K7/10		43
G06K7/10257	10	{arrangements for protecting the interrogation against piracy attacks (computer security in general G06F21/00; jamming of communication, countermeasures H04K3/00; secret communication H04K1/00)}	G06K7/10	G06K7/10		404
G06K7/10267	11	{the arrangement comprising a circuit inside of the interrogation device}	G06K7/10	G06K7/10		52
G06K7/10277	11	{the arrangement being mechanical, such as reinforced housings or protective cages against unlawful entry}	G06K7/10	G06K7/10		37
G06K7/10287	11	{the arrangement including a further device in the proximity of the interrogation device, e.g. signal scrambling devices}	G06K7/10	G06K7/10		24
G06K7/10297	10	{arrangements for handling protocols designed for non-contact record carriers such as RFIDs NFCs, e.g. ISO/IEC 14443 and 18092 (cryptographic protocols H04L9/00; network security protocols H04L63/00; real-time communication protocols in data switching networks H04L65/00; network protocols for data switching network services H04L67/00)}	G06K7/10	G06K7/10		4357
G06K7/10306	11	{ultra wide band}	G06K7/10	G06K7/10		110
G06K7/10316	10	{using at least one antenna particularly designed for interrogating the wireless record carriers (antennas in general H01Q1/22)}	G06K7/10	G06K7/10		1375
G06K7/10326	11	{the antenna being of the very-near field type, e.g. capacitive}	G06K7/10	G06K7/10		160
G06K7/10336	11	{the antenna being of the near field type, inductive coil}	G06K7/10	G06K7/10		1052
G06K7/10346	11	{the antenna being of the far field type, e.g. HF types or dipoles}	G06K7/10	G06K7/10		599
G06K7/10356	11	{using a plurality of antennas, e.g. configurations including means to resolve interference between the plurality of antennas}	G06K7/10	G06K7/10		1064
G06K7/10366	10	{the interrogation device being adapted for miscellaneous applications}	G06K7/10	G06K7/10		2227
G06K7/10376	11	{the interrogation device being adapted for being moveable}	G06K7/10	G06K7/10		287
G06K7/10386	12	{the interrogation device being of the portable or hand-handheld type, e.g. incorporated in ubiquitous hand-held devices such as PDA or mobile phone, or in the form of a portable dedicated RFID reader}	G06K7/10	G06K7/10		946
G06K7/10396	12	{the interrogation device being wearable, e.g. as a glove, bracelet, or ring (wearable aerials in general H01Q1/27)}	G06K7/10	G06K7/10		163
G06K7/10405	12	{the interrogation device including an arrangement for sensing environmental parameters, such as a temperature or acceleration sensor, e.g. used as an on/off trigger or as a warning means}	G06K7/10	G06K7/10		111
G06K7/10415	11	{the interrogation device being fixed in its position, such as an access control device for reading wireless access cards, or a wireless ATM (banking machines in general G07F19/00)}	G06K7/10	G06K7/10		533
G06K7/10425	12	{the interrogation device being arranged for interrogation of record carriers passing by the interrogation device}	G06K7/10	G06K7/10		404
