F16B5/0088	10	{with locking means moving substantially perpendicular to the main plane, e.g. pins, screws}	F16B5/00	F16B5/00		264
F16B5/0092	10	{with locking means rotating about an axis parallel to the main plane and perpendicular to the abutting edge, e.g. screw, bayonet}	F16B5/00	F16B5/00		168
F16B5/0096	8	{by using permanent deformation}	F16B5/00	F16B5/00		165
F16B5/01	8	by means of fastening elements specially adapted for honeycomb panels	F16B5/01	F16B5/01		796
F16B5/02	8	by means of fastening members using screw-thread ({F16B5/0004 takes precedence}; construction of screw-threaded connections F16B25/00&#160;-&#160;F16B39/00)	F16B5/02	F16B5/02		8254
F16B5/0208	9	{using panel fasteners, i.e. permanent attachments allowing for quick assembly}	F16B5/02	F16B5/02		847
F16B5/0216	9	{the position of the plates to be connected being adjustable}	F16B5/02	F16B5/02		237
F16B5/0225	10	{allowing for adjustment parallel to the plane of the plates}	F16B5/02	F16B5/02		776
F16B5/0233	10	{allowing for adjustment perpendicular to the plane of the plates}	F16B5/02	F16B5/02		1032
F16B5/0241	9	{with the possibility for the connection to absorb deformation, e.g. thermal or vibrational}	F16B5/02	F16B5/02		742
F16B5/025	9	{specially designed to compensate for misalignement or to eliminate unwanted play}	F16B5/02	F16B5/02		905
F16B5/0258	9	{using resiliently deformable sleeves, grommets or inserts (F16B43/001 takes precedence)}	F16B5/02	F16B5/02		777
F16B5/0266	9	{using springs}	F16B5/02	F16B5/02		424
F16B5/0275	9	{the screw-threaded element having at least two axially separated threaded portions (F16B5/0283 takes precedence)}	F16B5/02	F16B5/02		843
F16B5/0283	9	{with an externally threaded sleeve around the neck or the head of the screw-threaded element for adjustably fastening a plate or frame or the like to a fixed element}	F16B5/02	F16B5/02		286
F16B5/0291	9	{the threaded element being driven through the edge of a sheet plate with its axis in the plane of the plate}	F16B5/02	F16B5/02		209
F16B5/04	8	by means of riveting (rivets F16B19/04)	F16B5/04	F16B5/04		1565
F16B5/045	9	{without the use of separate rivets}	F16B5/04	F16B5/04		329
F16B5/06	8	by means of clamps or clips ({F16B5/0004 takes precedence}; friction-grip releasable fastenings in general F16B2/00)	F16B5/06	F16B5/06		1221
F16B5/0607	9	{joining sheets or plates to each other (F16B5/0692, F16B21/082 take precedence)}	F16B5/06	F16B5/06		481
F16B5/0614	10	{in angled relationship}	F16B5/06	F16B5/06		919
F16B5/0621	10	{in parallel relationship (fastened by a drive-pin F16B19/1081; fastened by a device locking by rotation F16B21/02)}	F16B5/06	F16B5/06		501
F16B5/0628	11	{allowing for adjustment parallel or perpendicular to the plane of the sheets or plates}	F16B5/06	F16B5/06		408
F16B5/0635	11	{fastened over the edges of the sheets or plates}	F16B5/06	F16B5/06		866
F16B5/0642	11	{the plates being arranged one on top of the other and in full close contact with each other}	F16B5/06	F16B5/06		1865
F16B5/065	11	{the plates being one on top of the other and distanced from each other, e.g. by using protrusions to keep contact and distance}	F16B5/06	F16B5/06		1523
F16B5/0657	11	{at least one of the plates providing a raised structure, e.g. of the doghouse type, for connection with the clamps or clips of the other plate}	F16B5/06	F16B5/06		978
F16B5/0664	11	{at least one of the sheets or plates having integrally formed or integrally connected snap-in-features}	F16B5/06	F16B5/06		1325
F16B2005/0671	11	{with unlocking by rotation}	F16B5/06	F16B5/06		138
F16B2005/0678	10	{in abutting relationship}	F16B5/06	F16B5/06		181
F16B5/0685	9	{Joining sheets or plates to strips or bars (F16B5/0692 takes precedence)}	F16B5/06	F16B5/06		1203
F16B5/0692	9	{joining flexible sheets to other sheets or plates or to strips or bars (tent fastenings E04H15/64; coping elements for swimming pools with fixing means for sealing foil E04H4/142; greenhouses of flexible synthetic material A01G9/1407; end or aperture-closing arrangements or devices for sacks or bags B65D33/16)}	F16B5/06	F16B5/06		988
F16B5/07	8	by means of multiple interengaging protrusions on the surfaces, e.g. hooks, coils,	F16B5/07	F16B5/07		952
F16B5/08	8	by means of welds or the like (welding B23K)	F16B5/08	F16B5/08		1075
F16B5/10	8	by means of bayonet connections ({F16B5/0092 takes precedence}; fastening devices locking by rotation F16B21/02)	F16B5/10	F16B5/10		1380
F16B5/12	8	Fastening strips or bars to sheets or plates, e.g. rubber strips, decorative strips for motor vehicles, by means of clips (friction- grip releasable fastenings in general F16B2/00; fastening rods or tubular parts to flat surfaces at an angle F16B9/00)	F16B5/12	F16B5/12		391
F16B5/121	9	{fastened over the edge(s) of the sheet(s) or plate(s)}	F16B5/12	F16B5/12		498
F16B5/123	9	{Auxiliary fasteners specially designed for this purpose}	F16B5/12	F16B5/12		554
