B23B9/00	7	Automatic or semi-automatic turning-machines with a plurality of working-spindles, e.g. automatic multiple-spindle machines with spindles arranged in a drum carrier able to be moved into predetermined positions; Equipment therefor (equipment applicable to single-spindle machines B23B7/00)	B23B9/00	B23B9/00		124
B23B9/005	8	{Spindle carriers: constructional details, drives for the spindles, or the like}	B23B9/00	B23B9/00		67
B23B9/02	8	Automatic or semi-automatic machines for turning of stock	B23B9/02	B23B9/02		325
B23B9/08	8	Automatic or semi-automatic machines for turning of workpieces	B23B9/08	B23B9/08		235
B23B11/00	7	Automatic or semi-automatic turning-machines incorporating equipment for performing other working procedures, e.g. slotting, milling, rolling {(B23B3/065 and B23B3/16 take precedence; machines incorporating a plurality of sub- assemblies, each capable of performing a metal-working operation, the sub-assemblies being arranged to operate simultaneously at different stations B23Q39/04)}	B23B11/00	B23B11/00		445
B23B13/00	7	Arrangements for automatically conveying or chucking or guiding stock	B23B13/00	B23B13/00		656
B23B13/02	8	for turning-machines with a single working-spindle	B23B13/02	B23B13/02		375
B23B13/021	9	{Feeding device having intermittent movement}	B23B13/02	B23B13/02		62
B23B13/022	10	{being placed in the spindle}	B23B13/02	B23B13/02		18
B23B13/024	11	{including two collets}	B23B13/02	B23B13/02		40
B23B13/025	9	{with stock drum}	B23B13/02	B23B13/02		23
B23B13/027	9	{Feeding by pistons under fluid-pressure}	B23B13/02	B23B13/02		101
B23B13/028	9	{the material being fed from a reel}	B23B13/02	B23B13/02		10
B23B13/04	8	for turning-machines with a plurality of working-spindles	B23B13/04	B23B13/04		160
B23B13/06	8	Arrangements for switching-off the drive of turning-machines after the stock has been completely machined	B23B13/06	B23B13/06		25
B23B13/08	8	Arrangements for reducing vibrations in feeding-passages or for damping noise (damping noise in general G10K)	B23B13/08	B23B13/08		346
B23B13/10	8	with magazines for stock	B23B13/10	B23B13/10		92
B23B13/12	8	Accessories, e.g. stops, grippers	B23B13/12	B23B13/12		213
B23B13/121	9	{Stops (stops for equipment for precise positioning of tool or work into particular locations not otherwise provided for B23Q16/00)}	B23B13/12	B23B13/12		93
B23B13/123	9	{Grippers, pushers or guiding tubes (arrangements for reducing vibrations in feeding-passages or for damping noise B23B13/08)}	B23B13/12	B23B13/12		390
B23B13/125	10	{Feed collets (feeding device having intermittent movement being placed in the spindle including two collets B23B13/024; collet chucks B23B31/20)}	B23B13/12	B23B13/12		269
B23B13/126	9	{Supports}	B23B13/12	B23B13/12		289
B23B13/128	9	{Stock rest handling devices, e.g. ejectors}	B23B13/12	B23B13/12		90
B23B23/00	7	Tailstocks; Centres {(for grinding machines B24B41/062)}	B23B23/00	B23B23/00		1140
B23B23/005	8	{the centres being adjustable}	B23B23/00	B23B23/00		153
B23B23/02	8	Dead centres	B23B23/02	B23B23/02		268
B23B23/025	9	{the centres being adjustable}	B23B23/02	B23B23/02		87
B23B23/04	8	Live centres	B23B23/04	B23B23/04		462
B23B23/045	9	{the centres being adjustable}	B23B23/04	B23B23/04		110
B23B25/00	7	Accessories or auxiliary equipment for turning-machines (for machine tools in general B23Q; cooling or lubricating B23Q11/12)	B23B25/00	B23B25/00		1375
B23B25/02	8	Arrangements for chip-breaking in turning-machines (on cutting tools B23B27/22)	B23B25/02	B23B25/02		300
B23B25/04	8	Safety guards specially designed for turning machines ({B23Q11/08 takes precedence;} in general F16P)	B23B25/04	B23B25/04		254
B23B25/06	8	Measuring, gauging, or adjusting equipment on turning-machines for setting-on, feeding, controlling, or monitoring the cutting tools or work (measuring devices or gauges G01B)	B23B25/06	B23B25/06		1266
B23B25/065	9	{Tool setting height gauges}	B23B25/06	B23B25/06		28
B23B27/00	7	Tools for turning or boring machines (for drilling machines B23B51/00); Tools of a similar kind in general; Accessories therefor<br><br><u>NOTE</u><br><br>all subgroups except B23B27/12 relate to tools with a shank	B23B27/00	B23B27/00		1801
B23B27/002	8	{with vibration damping means}	B23B27/00	B23B27/00		185
B23B27/005	8	{Geometry of the chip-forming or the clearance planes, e.g. tool angles (B23B27/141 and B23B27/22 take precedence)}	B23B27/00	B23B27/00		193
B23B27/007	8	{for internal turning (boring bars B23B29/02, boring heads B23B29/03; milling cutters B23C5/00; reamers B23D77/00)}	B23B27/00	B23B27/00		571
B23B27/02	8	Cutting tools with straight main part and cutting edge at an angle (B23B27/04&#160;-&#160;B23B27/08 take precedence)	B23B27/02	B23B27/02		111
B23B27/04	8	Cutting-off tools (B23B27/08 takes precedence {; toolholders for cutting-off inserts B23B29/043})	B23B27/04	B23B27/04		656
B23B27/045	9	{with chip-breaking arrangements}	B23B27/04	B23B27/04		325
B23B27/06	8	Profile cutting tools, i.e. forming-tools	B23B27/06	B23B27/06		407
B23B27/065	9	{Thread-turning tools}	B23B27/06	B23B27/06		325
B23B27/08	8	Cutting tools with blade- or disc-like main parts {(with disc-like main parts B23B27/083)}	B23B27/08	B23B27/08		363
B23B27/083	9	{Cutting tools with disc-like main parts}	B23B27/08	B23B27/08		154
B23B27/086	9	{with yieldable support for the cutting insert}	B23B27/08	B23B27/08		81
B23B27/10	8	Cutting tools with special provision for cooling {(drills with lubricating or cooling equipment B23B51/06; features relating to lubricating or cooling of milling cutters B23C5/28; arrangements or devices for cooling or lubricating tools or work B23Q11/10)}	B23B27/10	B23B27/10		914
B23B27/12	9	with a continuously-rotated circular cutting edge; Holders therefor	B23B27/12	B23B27/12		333
B23B27/14	8	Cutting tools of which the bits or tips {or cutting inserts} are of special material	B23B27/14	B23B27/14		1418
B23B27/141	9	{Specially shaped plate-like cutting inserts, i.e. length greater or equal to width, width greater than or equal to thickness (with specially shaped plate-like exchangeable cutting inserts, e.g. chip-breaking groove, B23B27/1603; with removable plate-like milling cutting inserts of special shape B23C5/202)}	B23B27/14	B23B27/14		441
B23B27/143	10	{characterised by having chip-breakers}	B23B27/14	B23B27/14		358
B23B27/145	10	{characterised by having a special shape}	B23B27/14	B23B27/14		581
B23B27/146	11	{Means to improve the adhesion between the substrate and the coating}	B23B27/14	B23B27/14		95
B23B27/148	9	{Composition of the cutting inserts}	B23B27/14	B23B27/14		1033
B23B27/16	9	with exchangeable cutting bits {or cutting inserts}, e.g. able to be clamped	B23B27/16	B23B27/16		1562
B23B27/1603	10	{with specially shaped plate-like exchangeable cutting inserts, e.g. chip-breaking groove (B23B27/1614&#160;-&#160;B23B27/1655 take precedence)}	B23B27/16	B23B27/16		117
B23B27/1607	11	{characterised by having chip-breakers}	B23B27/16	B23B27/16		72
B23B27/1611	11	{characterised by having a special shape}	B23B27/16	B23B27/16		320
B23B27/1614	10	{with plate-like cutting inserts of special shape clamped against the walls of the recess in the shank by a clamping member acting upon the wall of a hole in the insert (B23B27/1644 takes precedence)}	B23B27/16	B23B27/16		272
B23B27/1618	11	{characterised by having chip-breakers}	B23B27/16	B23B27/16		44
B23B27/1622	11	{characterised by having a special shape}	B23B27/16	B23B27/16		275
B23B27/1625	10	{with plate-like cutting inserts of special shape clamped by a clamping member acting almost perpendicularly on the chip-forming plane (B23B27/1644 takes precedence)}	B23B27/16	B23B27/16		205
B23B27/1629	11	{in which the clamping member breaks the chips}	B23B27/16	B23B27/16		54
B23B27/1633	11	{in which the chip-breaking clamping member is adjustable}	B23B27/16	B23B27/16		44
B23B27/1637	11	{characterised by having chip-breakers}	B23B27/16	B23B27/16		19
B23B27/164	11	{characterised by having a special shape}	B23B27/16	B23B27/16		199
B23B27/1644	10	{with plate-like cutting inserts of special shape clamped by a clamping member acting almost perpendicularly on the chip-forming plane and at the same time upon the wall of a hole in the cutting insert}	B23B27/16	B23B27/16		98
B23B27/1648	11	{characterised by having chip-breakers}	B23B27/16	B23B27/16		8
B23B27/1651	11	{characterised by having a special shape}	B23B27/16	B23B27/16		72
B23B27/1655	10	{Adjustable position of the plate-like cutting inserts of special form}	B23B27/16	B23B27/16		95
B23B27/1659	10	{with plate-like exchangeable cutting inserts (B23B27/1662&#160;-&#160;B23B27/1681 take precedence)}	B23B27/16	B23B27/16		105
B23B27/1662	10	{with plate-like cutting inserts clamped against the walls of the recess in the shank by a clamping member acting upon the wall of a hole in the cutting insert (B23B27/1677 takes precedence)}	B23B27/16	B23B27/16		380
B23B27/1666	10	{with plate-like cutting inserts clamped by a clamping member acting almost perpendicularly on chip-forming plane (B23B27/1677 takes precedence)}	B23B27/16	B23B27/16		171
B23B27/167	11	{in which the clamping member breaks the chips}	B23B27/16	B23B27/16		86
B23B27/1674	11	{in which the chip-breaking clamping member is adjustable}	B23B27/16	B23B27/16		100
B23B27/1677	10	{with plate-like cutting inserts clamped by a clamping member acting almost perpendicularly on the chip-forming plane and at the same time upon the wall of a hole in the insert}	B23B27/16	B23B27/16		139
B23B27/1681	10	{Adjustable position of the plate-like cutting inserts}	B23B27/16	B23B27/16		108
B23B27/1685	10	{Adjustable position of the cutting inserts (B23B27/1655 and B23B27/1681 take precedence)}	B23B27/16	B23B27/16		80
B23B27/1688	11	{Height of the cutting tip adjustable}	B23B27/16	B23B27/16		109
B23B27/1692	11	{Angular position of the cutting insert adjustable around an axis parallel to the chip-forming plane}	B23B27/16	B23B27/16		139
B23B27/1696	11	{Angular position of the cutting insert adjustable around an axis generally perpendicularly to the chip-forming plane}	B23B27/16	B23B27/16		104
B23B27/18	9	with cutting bits or tips {or cutting inserts} rigidly mounted, e.g. by brazing	B23B27/18	B23B27/18		281
B23B27/20	10	with diamond bits {or cutting inserts}	B23B27/20	B23B27/20		485
B23B27/22	8	Cutting tools with chip-breaking equipment {(B23B27/045, B23B27/143, B23B27/16 take precedence; arrangements for chip-breaking B23B25/02; for milling tools B23C5/165)}	B23B27/22	B23B27/22		438
B23B27/24	8	Knurling tools	B23B27/24	B23B27/24		149
B23B29/00	7	Holders for non-rotary cutting tools (B23B27/12 takes precedence); Boring bars or boring heads; Accessories for tool holders	B23B29/00	B23B29/00		209
B23B29/02	8	Boring bars	B23B29/02	B23B29/02		654
B23B29/022	9	{with vibration reducing means}	B23B29/02	B23B29/02		280
B23B29/025	9	{Boring toolholders fixed on the boring bar}	B23B29/02	B23B29/02		111
B23B29/027	9	{Steadies for boring bars (auxiliary devices, e.g. steadies, rests B23Q1/76)}	B23B29/02	B23B29/02		90
B23B29/03	8	Boring heads	B23B29/03	B23B29/03		401
B23B29/034	9	with tools moving radially, e.g. for making chamfers or undercuttings	B23B29/034	B23B29/034		281
B23B29/03403	10	{radially adjustable before starting manufacturing}	B23B29/034	B23B29/034		239
B23B29/03407	11	{by means of screws and nuts}	B23B29/034	B23B29/034		373
B23B29/0341	12	{Cartridges}	B23B29/034	B23B29/034		406
B23B29/03414	12	{adjustment of the tool placed in the hole being possible}	B23B29/034	B23B29/034		95
B23B29/03417	11	{by means of inclined planes}	B23B29/034	B23B29/034		261
B23B29/03421	11	{by pivoting the tool carriers or by elastic deformation}	B23B29/034	B23B29/034		200
B23B29/03425	11	{by means of gears and racks}	B23B29/034	B23B29/034		36
B23B29/03428	11	{by means of an eccentric}	B23B29/034	B23B29/034		104
B23B29/03432	10	{radially adjustable during manufacturing}	B23B29/034	B23B29/034		163
B23B29/03435	11	{by means of screws and nuts}	B23B29/034	B23B29/034		61
B23B29/03439	12	{Boring and facing heads}	B23B29/034	B23B29/034		149
B23B29/03442	12	{Grooving tool}	B23B29/034	B23B29/034		6
B23B29/03446	11	{by means of inclined planes}	B23B29/034	B23B29/034		217
B23B29/0345	12	{Boring and facing heads}	B23B29/034	B23B29/034		49
B23B29/03453	12	{Grooving tool}	B23B29/034	B23B29/034		77
B23B29/03457	11	{by pivoting the tool carriers or by elastic deformation}	B23B29/034	B23B29/034		250
B23B29/0346	12	{Boring and facing heads}	B23B29/034	B23B29/034		8
B23B29/03464	12	{Grooving tool}	B23B29/034	B23B29/034		14
B23B29/03467	11	{by means of gears and racks}	B23B29/034	B23B29/034		43
B23B29/03471	12	{Boring and facing heads}	B23B29/034	B23B29/034		80
B23B29/03475	12	{Grooving tool}	B23B29/034	B23B29/034		4
B23B29/03478	11	{by means of an eccentric}	B23B29/034	B23B29/034		117
B23B29/03482	12	{Boring and facing heads}	B23B29/034	B23B29/034		9
B23B29/03485	12	{Grooving tool}	B23B29/034	B23B29/034		31
B23B29/03489	11	{Adjustment means not specified or not covered by the groups B23B29/03435&#160;-&#160;B23B29/03478}	B23B29/034	B23B29/034		39
B23B29/03492	12	{Boring and facing heads}	B23B29/034	B23B29/034		80
B23B29/03496	12	{Grooving tool}	B23B29/034	B23B29/034		39
B23B29/04	8	Tool holders for a single cutting tool	B23B29/04	B23B29/04		1347
B23B29/043	9	{with cutting-off, grooving or profile cutting tools, i.e. blade- or disc-like main cutting parts (B23B29/14 takes precedence)}	B23B29/04	B23B29/04		552
B23B29/046	9	{with an intermediary toolholder}	B23B29/04	B23B29/04		504
B23B29/06	9	Tool holders equipped with longitudinally-arranged grooves for setting the cutting tool	B23B29/06	B23B29/06		238
B23B29/08	9	Tool holders equipped with grooves arranged crosswise to the longitudinal direction for setting the cutting tool	B23B29/08	B23B29/08		51
B23B29/10	10	with adjustable counterbase for the cutting tool	B23B29/10	B23B29/10		158
B23B29/12	9	Special arrangements on tool holders	B23B29/12	B23B29/12		501
B23B29/125	10	{Vibratory toolholders}	B23B29/12	B23B29/12		211
B23B29/14	10	affording a yielding support of the cutting tool, e.g. by spring clamping {(cutting tools with yieldable support for the cutting insert B23B27/086)}	B23B29/14	B23B29/14		148
B23B29/16	10	for supporting the workpiece in a backrest	B23B29/16	B23B29/16		373
B23B29/18	10	for retracting the cutting tool	B23B29/18	B23B29/18		36
B23B29/20	10	for placing same by shanks in sleeves of a turret	B23B29/20	B23B29/20		199
B23B29/205	11	{the tools being adjustable}	B23B29/20	B23B29/20		51
B23B29/22	10	for tool adjustment by means of shims or spacers	B23B29/22	B23B29/22		50
B23B29/24	8	Tool holders for a plurality of cutting tools, e.g. turrets {(indexing devices B23Q16/00)}	B23B29/24	B23B29/24		851
B23B29/242	9	{Turrets, without description of the angular positioning device (turret lathes for turning individually-chucked workpieces B23B3/16; turrets with manually operated angular positioning devices B23B29/282; turrets with power operated angular positioning devices B23B29/323)}	B23B29/24	B23B29/24		198
B23B29/244	9	{Toolposts, i.e. clamping quick-change toolholders, without description of the angular positioning device (toolposts with manually operated angular positioning devices B23B29/285; toolposts with power operated angular positioning devices B23B29/326)}	B23B29/24	B23B29/24		194
B23B29/246	10	{Quick-change tool holders}	B23B29/24	B23B29/24		36
B23B29/248	9	{with individually adjustable toolholders}	B23B29/24	B23B29/24		222
B23B29/26	9	Tool holders in fixed position	B23B29/26	B23B29/26		158
B23B29/28	9	Turrets manually adjustable about a vertical {or horizontal} pivot {(indexing devices B23Q16/00)}	B23B29/28	B23B29/28		23
B23B29/282	10	{Turrets with manually operated angular positioning devices}	B23B29/28	B23B29/28		29
B23B29/285	10	{Toolposts with manually operated angular positioning devices}	B23B29/28	B23B29/28		21
B23B29/287	10	{Turret toolholder with manually operated angular positioning devices}	B23B29/28	B23B29/28		93
B23B29/32	9	Turrets adjustable by power drive, i.e. turret heads {(indexing devices B23Q16/00)}	B23B29/32	B23B29/32		254
B23B29/323	10	{Turrets with power operated angular positioning devices}	B23B29/32	B23B29/32		167
B23B29/326	10	{Toolposts with power operated angular positioning devices}	B23B29/32	B23B29/32		23
B23B29/34	9	Turrets equipped with triggers for releasing the cutting tools	B23B29/34	B23B29/34		7
B23B31/00	7	Chucks {(allowing axial oscillation of percussion tool bits B25D17/08)}; Expansion mandrels; Adaptations thereof for remote control (faceplates B23Q1/50; rotary devices holding by magnetic and/or electrical force acting directly on work B23Q3/152)	B23B31/00	B23B31/00		248
B23B31/001	8	{Protection against entering of chips or dust}	B23B31/00	B23B31/00		222
B23B31/003	8	{Work or tool ejection means}	B23B31/00	B23B31/00		91
B23B31/005	8	{Cylindrical shanks of tools}	B23B31/00	B23B31/00		758
B23B31/006	8	{Conical shanks of tools}	B23B31/00	B23B31/00		389
B23B31/008	8	{with arrangements for transmitting torque}	B23B31/00	B23B31/00		377
B23B31/02	8	Chucks	B23B31/02	B23B31/02		994
B23B31/021	9	{Faceplates}	B23B31/02	B23B31/02		73
B23B31/023	9	{for screw-threads}	B23B31/02	B23B31/02		111
B23B31/025	9	{for gears}	B23B31/02	B23B31/02		203
B23B31/026	9	{the radial or angular position of the tool being adjustable (boring heads with tools moving radially B23B29/034; holding tools yieldably B23B31/08; with means for adjusting the chuck with respect to the working spindle B23B31/36)}	B23B31/02	B23B31/02		74
B23B31/0261	10	{for centering the tool}	B23B31/02	B23B31/02		282
B23B31/028	9	{the axial positioning of the tool being adjustable (B23B31/208 takes precedence; with means for adjusting the chuck with respect to the working spindle B23B31/36)}	B23B31/02	B23B31/02		379
B23B31/06	9	Features relating to the removal of tools; Accessories therefor	B23B31/06	B23B31/06		328
B23B31/07	10	Ejector wedges	B23B31/07	B23B31/07		71
B23B31/08	9	holding tools yieldably	B23B31/08	B23B31/08		479
B23B31/083	10	{axially}	B23B31/08	B23B31/08		158
B23B31/086	11	{having an overload clutch}	B23B31/08	B23B31/08		70
B23B31/10	9	characterised by the retaining or gripping devices or their immediate operating means<br><br><u>NOTE</u><br><br>Group B23B31/12 takes precedence over groups B23B31/101, B23B31/102,B23B31/103&#160;-&#160;B23B31/117	B23B31/10	B23B31/10		532
B23B31/101	10	{Chucks with separately-acting jaws movable radially (B23B31/1602, B23B31/16062, B23B31/161, B23B31/16137, B23B31/16175, B23B31/16212, B23B31/1625 and B23B31/16283 take precedence; Chucks with simultaneously acting jaws moving radially B23B31/16)}	B23B31/10	B23B31/10		219
B23B31/102	10	{Jaws, accessories or adjustment means (B23B31/16008, B23B31/1605, B23B31/16087, B23B31/16125, B23B31/16162, B23B31/162, B23B31/16237, B23B31/1627 take precedence)}	B23B31/10	B23B31/10		514
B23B31/103	10	Retention by pivotal elements, e.g. catches, pawls	B23B31/103	B23B31/103		731
B23B31/107	10	Retention by laterally-acting detents, e.g. pins, screws, wedges; Retention by loose elements, e.g. balls	B23B31/107	B23B31/107		150
B23B31/1071	11	{Retention by balls (balls acting as jaws B23B31/22)}	B23B31/107	B23B31/107		911
B23B31/1072	11	{Retention by axially or circumferentially oriented cylindrical elements (cylindrical elements acting as jaws B23B31/223)}	B23B31/107	B23B31/107		306
B23B31/1073	11	{Retention by conical elements (conical elements acting as jaws B23B31/226)}	B23B31/107	B23B31/107		10
B23B31/10741	11	{Retention by substantially radially oriented pins}	B23B31/107	B23B31/107		182
B23B31/1075	11	{Retention by screws}	B23B31/107	B23B31/107		270
B23B31/1076	12	{with conical ends}	B23B31/107	B23B31/107		112
B23B31/1077	12	{acting on a floating pin}	B23B31/107	B23B31/107		112
B23B31/1078	11	{Retention by wedges}	B23B31/107	B23B31/107		129
B23B31/1079	11	{Retention by spring or wire}	B23B31/107	B23B31/107		57
B23B31/11	10	Retention by threaded connection	B23B31/11	B23B31/11		342
B23B31/1107	11	{for conical parts}	B23B31/11	B23B31/11		164
B23B31/1115	12	{using conical threads}	B23B31/11	B23B31/11		46
B23B31/1122	12	{using cylindrical threads}	B23B31/11	B23B31/11		199
B23B31/113	10	Retention by bayonet connection	B23B31/113	B23B31/113		582
B23B31/117	10	Retention by friction only, e.g. using springs, resilient sleeves, tapers	B23B31/117	B23B31/117		430
B23B31/1171	11	{not used, see subgroups and B23B31/117}	B23B31/117	B23B31/117		
B23B31/1172	12	{using fluid-pressure means to actuate the gripping means}	B23B31/117	B23B31/117		14
B23B31/1173	11	{using springs}	B23B31/117	B23B31/117		108
B23B31/1174	12	{using fluid-pressure means to actuate the gripping means}	B23B31/117	B23B31/117		2
B23B31/1175	11	{using elastomer rings or sleeves}	B23B31/117	B23B31/117		120
B23B31/1176	12	{using fluid-pressure means to actuate the gripping means}	B23B31/117	B23B31/117		21
B23B31/1177	11	{using resilient metallic rings or sleeves}	B23B31/117	B23B31/117		118
B23B31/1178	12	{using fluid-pressure means to actuate the gripping means}	B23B31/117	B23B31/117		37
B23B31/1179	11	{using heating and cooling}	B23B31/117	B23B31/117		380
B23B31/12	10	Chucks with simultaneously-acting jaws, whether or not also individually adjustable	B23B31/12	B23B31/12		388
B23B31/1207	11	{moving obliquely to the axis of the chuck in a plane containing this axis}	B23B31/12	B23B31/12		238
B23B31/1215	12	{Details of the jaws}	B23B31/12	B23B31/12		187
B23B31/1223	12	{using fluid-pressure means in the chuck to actuate the gripping means}	B23B31/12	B23B31/12		58
B23B31/123	12	{with locking arrangements (locking arrangements for chucks with simultaneously-acting jaws moving radially actuated by one or more spiral grooves B23B31/16041)}	B23B31/12	B23B31/12		375
