B62D5/043	9	{characterised by clutch means between driving element, e.g. motor, and driven element, e.g. steering column or steering gear}	B62D5/04	B62D5/04		255
B62D5/0433	10	{the clutch being of on-off type}	B62D5/04	B62D5/04		64
B62D5/0436	11	{the clutch being a controlled emergency clutch, e.g. for disconnecting at motor break-down}	B62D5/04	B62D5/04		41
B62D5/0439	10	{Controllable friction clutches (B62D5/0436 takes precedence)}	B62D5/04	B62D5/04		77
B62D5/0442	9	{Conversion of rotational into longitudinal movement}	B62D5/04	B62D5/04		262
B62D5/0445	10	{Screw drives}	B62D5/04	B62D5/04		338
B62D5/0448	11	{Ball nuts}	B62D5/04	B62D5/04		883
B62D5/0451	10	{Roller spindle drives}	B62D5/04	B62D5/04		56
B62D5/0454	10	{Worm gears}	B62D5/04	B62D5/04		554
B62D5/0457	9	{characterised by control features of the drive means as such}	B62D5/04	B62D5/04		733
B62D5/046	10	{Controlling the motor}	B62D5/04	B62D5/04		3029
B62D5/0463	11	{calculating assisting torque from the motor based on driver input}	B62D5/04	B62D5/04		3657
B62D5/0466	11	{for returning the steering wheel to neutral position}	B62D5/04	B62D5/04		700
B62D5/0469	11	{End-of-stroke control}	B62D5/04	B62D5/04		414
B62D5/0472	11	{for damping vibrations}	B62D5/04	B62D5/04		714
B62D5/0475	10	{Controlling other elements}	B62D5/04	B62D5/04		182
B62D5/0478	11	{Clutches}	B62D5/04	B62D5/04		184
B62D5/0481	10	{monitoring the steering system, e.g. failures}	B62D5/04	B62D5/04		2024
B62D5/0484	11	{for reaction to failures, e.g. limp home}	B62D5/04	B62D5/04		1296
B62D5/0487	11	{detecting motor faults (B62D5/0496 takes precedence)}	B62D5/04	B62D5/04		720
B62D5/049	11	{detecting sensor failures}	B62D5/04	B62D5/04		629
B62D5/0493	11	{detecting processor errors, e.g. plausibility of steering direction}	B62D5/04	B62D5/04		304
B62D5/0496	11	{by using a temperature sensor}	B62D5/04	B62D5/04		253
B62D5/06	8	fluid, i.e. using a pressurised fluid for most or all the force required for steering a vehicle	B62D5/06	B62D5/06		1943
B62D5/061	9	{provided with effort, steering lock, or end-of-stroke limiters}	B62D5/06	B62D5/06		443
B62D5/062	9	{Details, component parts}	B62D5/06	B62D5/06		1653
B62D5/063	10	{Pump driven by vehicle engine (B62D5/065 takes precedence)}	B62D5/06	B62D5/06		377
B62D5/064	10	{Pump driven independently from vehicle engine, e.g. electric driven pump (B62D5/065 takes precedence)}	B62D5/06	B62D5/06		606
B62D5/065	9	characterised by specially adapted means for varying pressurised fluid supply based on need, e.g. on-demand, variable assist	B62D5/065	B62D5/065		1069
B62D5/07	9	Supply of pressurised fluid for steering also supplying other consumers {; control thereof}	B62D5/07	B62D5/07		1123
B62D5/075	10	{using priority valves}	B62D5/07	B62D5/07		232
B62D5/08	9	characterised by type of {steering} valve used (valves in general F16K)	B62D5/08	B62D5/08		827
B62D5/081	10	{Seat valves}	B62D5/08	B62D5/08		27
B62D5/083	10	Rotary valves	B62D5/083	B62D5/083		928
B62D5/0832	11	{with elastic means other than a torsion bar, e.g. leaf springs}	B62D5/083	B62D5/083		63
B62D5/0835	11	{characterised by means for actively influencing the deflection angle of the valve, e.g. depending on driving parameters}	B62D5/083	B62D5/083		151
B62D5/0837	11	{characterised by the shape of the control edges, e.g. to reduce noise}	B62D5/083	B62D5/083		78
B62D5/087	10	Sliding spool valves	B62D5/087	B62D5/087		340
B62D5/09	9	characterised by means for actuating valves	B62D5/09	B62D5/09		776
B62D5/091	10	{Hydraulic steer-by-wire systems, e.g. the valve being actuated by an electric motor}	B62D5/09	B62D5/09		237
B62D5/092	11	{the electric motor being connected to the final driven element of the steering gear, e.g. rack}	B62D5/09	B62D5/09		79
B62D5/093	10	Telemotor driven by steering wheel movement (hydraulic steering gear B62D3/14)	B62D5/093	B62D5/093		389
B62D5/097	11	gerotor type	B62D5/097	B62D5/097		401
B62D5/10	9	characterised by type of power unit	B62D5/10	B62D5/10		201
B62D5/12	10	Piston and cylinder	B62D5/12	B62D5/12		862
B62D5/14	10	Rotary motor	B62D5/14	B62D5/14		140
B62D5/16	10	Expansible chamber with flexible wall	B62D5/16	B62D5/16		17
B62D5/18	9	characterised by power transmitting means	B62D5/18	B62D5/18		144
B62D5/20	9	specially adapted for particular type of steering gear or particular application (steering gears per seB62D3/00; steering linkages not characterised by being power-assisted or power-driven B62D7/00)	B62D5/20	B62D5/20		126
B62D5/22	10	for rack-and-pinion type	B62D5/22	B62D5/22		963
B62D5/24	10	for worm type	B62D5/24	B62D5/24		687
B62D5/26	10	for pivoted axles	B62D5/26	B62D5/26		29
B62D5/28	10	for pivoted bogies	B62D5/28	B62D5/28		34
B62D5/30	9	Safety devices, e.g. alternate emergency power supply or transmission means to ensure steering upon failure of the primary steering means	B62D5/30	B62D5/30		715
B62D5/32	10	for telemotor systems	B62D5/32	B62D5/32		231
B62D6/00	7	Arrangements for automatically controlling steering depending on driving conditions sensed and responded to, e.g. control circuits (means for initiating a change in direction B62D1/00; steering valves B62D5/06; combined with means for inclining the vehicle body or wheels on bends B62D9/00)<br><br><u>NOTE</u><br><br> When classifying in this group, classification is also made in the appropriate one of groups B62D1/00&#160;-&#160;B62D5/00 or B62D7/00&#160;-&#160;B62D19/00 if other aspects of the steering system are of interest 	B62D6/00	B62D6/00		3780
B62D6/001	8	{the torque NOT being among the input parameters}	B62D6/00	B62D6/00		811
B62D6/002	8	{computing target steering angles for front or rear wheels (B62D7/159 takes precedence)}	B62D6/00	B62D6/00		1762
B62D6/003	9	{in order to control vehicle yaw movement, i.e. around a vertical axis (B62D6/007 takes precedence)}	B62D6/00	B62D6/00		881
B62D6/005	10	{treating sensor outputs to obtain the actual yaw rate}	B62D6/00	B62D6/00		160
B62D6/006	9	{using a measured or estimated road friction coefficient}	B62D6/00	B62D6/00		218
B62D6/007	8	{adjustable by the driver, e.g. sport mode}	B62D6/00	B62D6/00		623
B62D6/008	8	{Control of feed-back to the steering input member, e.g. simulating road feel in steer-by-wire applications}	B62D6/00	B62D6/00		2004
B62D6/02	8	responsive only to vehicle speed	B62D6/02	B62D6/02		1323
B62D6/04	8	responsive only to forces disturbing the intended course of the vehicle, e.g. forces acting transversely to the direction of vehicle travel	B62D6/04	B62D6/04		629
B62D6/06	8	responsive only to vehicle vibration dampening arrangements (steering dampers for cycles B62K21/08)	B62D6/06	B62D6/06		83
B62D6/08	8	responsive only to {driver} input torque	B62D6/08	B62D6/08		293
B62D6/10	9	characterised by means for sensing {or determining} torque	B62D6/10	B62D6/10		2048
B62D7/00	7	Steering linkage; Stub axles or their mountings (B62D13/00 takes precedence; power-assisted or power-driven steering B62D5/00)	B62D7/00	B62D7/00		635
B62D7/02	8	for pivoted bogies	B62D7/02	B62D7/02		566
B62D7/023	9	{Steering turntables}	B62D7/02	B62D7/02		1116
B62D7/026	9	{characterised by comprising more than one bogie, e.g. situated in more than one plane transversal to the longitudinal centre line of the vehicle}	B62D7/02	B62D7/02		279
B62D7/04	9	with more than one wheel	B62D7/04	B62D7/04		453
B62D7/06	8	for individually-pivoted wheels, e.g. on king-pins	B62D7/06	B62D7/06		459
B62D7/08	9	the pivotal axes being situated in a single plane transverse to the longitudinal centre line of the vehicle	B62D7/08	B62D7/08		261
B62D7/09	10	characterised by means varying the ratio between the steering angles of the steered wheels (varying the ratio automatically depending on driving conditions B62D6/00)	B62D7/09	B62D7/09		170
B62D7/10	10	with single-output steering gear	B62D7/10	B62D7/10		80
B62D7/12	10	with twin-output steering gear	B62D7/12	B62D7/12		50
B62D7/14	9	the pivotal axes being situated in more than one plane transverse to the longitudinal centre line of the vehicle, e.g. all-wheel steering	B62D7/14	B62D7/14		581
B62D7/142	10	{specially adapted for particular vehicles, e.g. tractors, carts, earth-moving vehicles, trucks}	B62D7/14	B62D7/14		461
B62D7/144	11	{for vehicles with more than two axles}	B62D7/14	B62D7/14		749
B62D7/146	10	{characterised by comprising means for steering by acting on the suspension system, e.g. on the mountings of the suspension arms}	B62D7/14	B62D7/14		451
B62D7/148	10	{provided with safety devices}	B62D7/14	B62D7/14		551
B62D7/15	10	characterised by means varying the ratio between the steering angles of the steered wheels {(B62D7/148 takes precedence)}	B62D7/15	B62D7/15		212
B62D7/1509	11	{with different steering modes, e.g. crab-steering, or steering specially adapted for reversing of the vehicle}	B62D7/15	B62D7/15		788
B62D7/1518	11	{comprising a mechanical interconnecting system between the steering control means of the different axles}	B62D7/15	B62D7/15		53
B62D7/1527	12	{comprising only mechanical parts, i.e. without assistance means}	B62D7/15	B62D7/15		359
B62D7/1536	12	{provided with hydraulic assistance}	B62D7/15	B62D7/15		215
B62D7/1545	12	{provided with electrical assistance}	B62D7/15	B62D7/15		250
B62D7/1554	11	{comprising a fluid interconnecting system between the steering control means of the different axles}	B62D7/15	B62D7/15		31
B62D7/1563	12	{provided with fluid control means (B62D7/1572 takes precedence)}	B62D7/15	B62D7/15		116
B62D7/1572	12	{provided with electro-hydraulic control means}	B62D7/15	B62D7/15		268
B62D7/1581	11	{characterised by comprising an electrical interconnecting system between the steering control means of the different axles}	B62D7/15	B62D7/15		349
B62D7/159	11	{characterised by computing methods or stabilisation processes or systems, e.g. responding to yaw rate, lateral wind, load, road condition}	B62D7/15	B62D7/15		1332
B62D7/16	8	Arrangement of linkage connections (pivots per seF16C)	B62D7/16	B62D7/16		1573
B62D7/163	9	{substantially in axial direction, e.g. between rack bar and tie-rod}	B62D7/16	B62D7/16		258
B62D7/166	9	{substantially perpendicular, e.g. between tie-rod and steering knuckle}	B62D7/16	B62D7/16		216
B62D7/18	8	Steering knuckles; King pins	B62D7/18	B62D7/18		2509
B62D7/20	8	Links, e.g. track rods (means for adjusting camber, castor, or toe-in B62D17/00)	B62D7/20	B62D7/20		1490
B62D7/22	8	Arrangements for reducing or eliminating reaction, e.g. vibration, from parts, e.g. wheels, of the steering system	B62D7/22	B62D7/22		992
B62D7/222	9	{acting on the steering wheel}	B62D7/22	B62D7/22		226
B62D7/224	9	{acting between the steering wheel and the steering gear, e.g. on the steering column}	B62D7/22	B62D7/22		318
B62D7/226	9	{acting on the steering gear}	B62D7/22	B62D7/22		144
B62D7/228	9	{acting between the steering gear and the road wheels, e.g. on tie-rod}	B62D7/22	B62D7/22		201
B62D9/00	7	Steering deflectable wheels not otherwise provided for (steering positon indicators B62D15/02)	B62D9/00	B62D9/00		882
B62D9/002	8	{combined with means for differentially distributing power on the deflectable wheels during cornering}	B62D9/00	B62D9/00		213
B62D9/005	8	{Emergency systems using brakes for steering}	B62D9/00	B62D9/00		154
B62D9/007	8	{Emergency systems using the steering system for braking}	B62D9/00	B62D9/00		44
B62D9/02	8	combined with means for inwardly inclining vehicle body on bends	B62D9/02	B62D9/02		489
B62D9/04	8	combined with means for {inwardly} inclining wheels on bends (B62D9/02 takes precedence)	B62D9/04	B62D9/04		84
B62D11/00	7	Steering non-deflectable wheels; Steering endless tracks or the like<br><br><u>NOTE</u><br><br> Gearings of interest apart from this application are also classified in the relevant group of subclass F16H covering gearings per se	B62D11/00	B62D11/00		239
B62D11/001	8	{control systems (B62D11/183 takes precedence)}<br><br><u>NOTE</u><br><br><br>When classifying in this group, classification is also made in the appropriate one of groups B62D11/02&#160;-&#160;B62D11/24 if other aspects of the steering system are of interest	B62D11/00	B62D11/00		106
B62D11/003	9	{Electric or electronic control systems}	B62D11/00	B62D11/00		514
B62D11/005	9	{Hydraulic control systems}	B62D11/00	B62D11/00		154
B62D11/006	9	{Mechanical control systems}	B62D11/00	B62D11/00		141
B62D11/008	9	{Pneumatic control systems}	B62D11/00	B62D11/00		6
B62D11/02	8	by differentially driving ground-engaging elements on opposite vehicle sides	B62D11/02	B62D11/02		298
B62D11/04	9	by means of separate power sources	B62D11/04	B62D11/04		984
B62D11/06	9	by means of a single main power source	B62D11/06	B62D11/06		132
B62D11/08	10	using brakes or clutches as main steering-effecting means	B62D11/08	B62D11/08		1562
B62D11/10	10	using gearings with differential power outputs on opposite sides, e.g. twin-differential or epicyclic gears	B62D11/10	B62D11/10		548
B62D11/105	11	{using variable ratio belt and pulley gearings}	B62D11/10	B62D11/10		29
B62D11/12	11	using separate change-speed gearings	B62D11/12	B62D11/12		90
B62D11/14	11	differential power outputs being effected by additional power supply to one side, e.g. power originating from secondary power source	B62D11/14	B62D11/14		111
B62D11/16	12	the additional power supply being supplied mechanically	B62D11/16	B62D11/16		96
B62D11/18	12	the additional power supply being supplied hydraulically	B62D11/18	B62D11/18		357
B62D11/183	13	{Control systems therefor}	B62D11/18	B62D11/18		617
B62D11/186	13	{Uncoupling devices for the hydraulic motors, e.g. to allow towing}	B62D11/18	B62D11/18		7
B62D11/20	8	Endless-track steering having pivoted bogie carrying track (B62D11/02 takes precedence)	B62D11/20	B62D11/20		315
B62D11/22	8	Endless track steering being effected by deflecting endless track rollers or the like	B62D11/22	B62D11/22		82
B62D11/24	8	Endless track steering specially adapted for vehicles having both steerable wheels and endless track	B62D11/24	B62D11/24		246
