F03G4/074	8	{Safety arrangements}	F03G4/00	F03G4/074		1094
F03G5/00	7	Devices for producing mechanical power from muscle energy (driving cycles B62M)<br><br><u>WARNING</u><br>Group F03G5/00 is impacted by reclassification into groups F03G5/086, F03G5/089, F03G5/092, F03G5/095, F03G5/098 and F03G5/103.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G5/00	F03G5/00		417
F03G5/02	8	of endless-walk type, e.g. treadmills	F03G5/02	F03G5/02		482
F03G5/025	9	{Treadmills (for animals F03G5/04)}	F03G5/02	F03G5/02		56
F03G5/04	9	Horsemills or the like	F03G5/04	F03G5/04		255
F03G5/042	10	{Traction devices, shock absorbers or whipping devices for horsemills}	F03G5/04	F03G5/04		23
F03G5/045	10	{Security devices for horsemills}	F03G5/04	F03G5/04		19
F03G5/047	10	{Transmissions or couplings for horsemills}	F03G5/04	F03G5/04		56
F03G5/06	8	other than of endless-walk type<br><br><u>WARNING</u><br>Group F03G5/06 is impacted by reclassification into groups F03G5/061, F03G5/062, F03G5/063, F03G5/064, F03G5/065 and F03G5/066.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G5/06	F03G5/06		330
F03G5/061	9	{driven by animals}<br><br><u>WARNING</u><br>Group F03G5/061 is incomplete pending reclassification of documents from group F03G5/06.<br>Groups F03G5/06 and F03G5/061 should be considered in order to perform a complete search.	F03G5/06	F03G5/06		32
F03G5/062	9	{driven by humans}<br><br><u>WARNING</u><br>Groups F03G5/062, F03G5/063, F03G5/064, F03G5/065 and F03G5/066 are incomplete pending reclassification of documents from group F03G5/06.<br>All groups listed in this Warning should be considered in order to perform a complete search.	F03G5/06	F03G5/06		177
F03G5/063	10	{operated by the leg or foot}	F03G5/06	F03G5/06		232
F03G5/064	11	{using a bicycle or a bicycle pedal, e.g. pedal generators}	F03G5/06	F03G5/06		92
F03G5/065	10	{operated by the hand}	F03G5/06	F03G5/06		213
F03G5/066	10	{of the motor-generator type, e.g. the generator is also usable as an electric motor}	F03G5/06	F03G5/06		19
F03G5/08	9	for combined actuation by different limbs, e.g. hand and leg	F03G5/08	F03G5/08		71
F03G5/086	8	{using flywheels}<br><br><u>WARNING</u><br>Group F03G5/086 is incomplete pending reclassification of documents from group F03G5/00.<br>Groups F03G5/00 and F03G5/086 should be considered in order to perform a complete search.	F03G5/00	F03G5/08		42
F03G5/089	8	{using pendulums}<br><br><u>WARNING</u><br>Group F03G5/089 is incomplete pending reclassification of documents from group F03G5/00.<br>Groups F03G5/00 and F03G5/089 should be considered in order to perform a complete search.	F03G5/00	F03G5/08		3
