H05K1/0283	10	{Stretchable printed circuits}	H05K1/02	H05K1/02		992
H05K1/0284	9	{Details of three-dimensional rigid printed circuit boards (H05K1/119 takes precedence; shaping of the substrate H05K3/0014)}	H05K1/02	H05K1/02		1662
H05K1/0286	9	{Programmable, customizable or modifiable circuits (by programmable non-printed jumper connections H05K3/222)}	H05K1/02	H05K1/02		933
H05K1/0287	10	{having an universal lay-out, e.g. pad or land grid patterns or mesh patterns}	H05K1/02	H05K1/02		493
H05K1/0289	11	{having a matrix lay-out, i.e. having selectively interconnectable sets of X-conductors and Y-conductors in different planes}	H05K1/02	H05K1/02		580
H05K1/029	10	{having a programmable lay-out, i.e. adapted for choosing between a few possibilities}	H05K1/02	H05K1/02		396
H05K1/0292	10	{having a modifiable lay-out, i.e. adapted for engineering changes or repair (H05K1/0293 takes precedence)}	H05K1/02	H05K1/02		235
H05K1/0293	10	{Individual printed conductors which are adapted for modification, e.g. fusable or breakable conductors, printed switches}	H05K1/02	H05K1/02		590
H05K1/0295	10	{adapted for choosing between different types or different locations of mounted components}	H05K1/02	H05K1/02		398
H05K1/0296	9	{Conductive pattern lay-out details not covered by sub groups H05K1/02&#160;-&#160;H05K1/0295(H05K1/11 takes precedence; lay-out adapted to mounted component configuration H05K1/18)}	H05K1/02	H05K1/02		1326
H05K1/0298	10	{Multilayer circuits}	H05K1/02	H05K1/02		4713
H05K1/03	9	Use of materials for the substrate	H05K1/03	H05K1/03		2781
H05K1/0306	10	{Inorganic insulating substrates, e.g. ceramic, glass}	H05K1/03	H05K1/03		7447
H05K1/0313	10	{Organic insulating material}	H05K1/03	H05K1/03		1150
H05K1/032	11	{consisting of one material}<br><br><u>NOTE</u><br><br>In this group, in the absence of an indication to the contrary, a material is classified in the last appropriate place.	H05K1/03	H05K1/03		391
H05K1/0326	12	{containing O}	H05K1/03	H05K1/03		1667
H05K1/0333	12	{containing S}	H05K1/03	H05K1/03		186
H05K1/034	12	{containing halogen}	H05K1/03	H05K1/03		439
H05K1/0346	12	{containing N}	H05K1/03	H05K1/03		1934
H05K1/0353	11	{consisting of two or more materials, e.g. two or more polymers, polymer + filler, + reinforcement}	H05K1/03	H05K1/03		1447
H05K1/036	12	{Multilayers with layers of different types}	H05K1/03	H05K1/03		1717
H05K1/0366	12	{reinforced, e.g. by fibres, fabrics (H05K1/036 takes precedence)}	H05K1/03	H05K1/03		3170
H05K1/0373	12	{containing additives, e.g. fillers (H05K1/036 takes precedence)}	H05K1/03	H05K1/03		3250
H05K1/038	10	{Textiles (used as reinforcing materials for organic insulating substrates H05K1/0366)}	H05K1/03	H05K1/03		627
H05K1/0386	10	{Paper sheets (used as reinforcing materials for organic insulating substrates H05K1/0366)}	H05K1/03	H05K1/03		160
H05K1/0393	10	{Flexible materials (H05K1/038 takes precedence; specific organic compositions are classified in H05K1/0313 and subgroups)}	H05K1/03	H05K1/03		5040
H05K1/05	10	Insulated {conductive substrates, e.g. insulated} metal substrate	H05K1/05	H05K1/05		2024
H05K1/053	11	{the metal substrate being covered by an inorganic insulating layer}	H05K1/05	H05K1/05		806
H05K1/056	11	{the metal substrate being covered by an organic insulating layer}	H05K1/05	H05K1/05		1820
H05K1/09	9	Use of materials for the {conductive, e.g. } metallic pattern	H05K1/09	H05K1/09		4247
H05K1/092	10	{Dispersed materials, e.g. conductive pastes or inks}	H05K1/09	H05K1/09		3536
H05K1/095	11	{for polymer thick films, i.e. having a permanent organic polymeric binder}	H05K1/09	H05K1/09		2395
H05K1/097	11	{Inks comprising nanoparticles and specially adapted for being sintered at low temperature (H05K1/095 takes precedence)}	H05K1/09	H05K1/09		1054
H05K1/11	9	Printed elements for providing electric connections to or between printed circuits	H05K1/11	H05K1/11		4390
H05K1/111	10	{Pads for surface mounting, e.g. lay-out}	H05K1/11	H05K1/11		5203
H05K1/112	11	{directly combined with via connections}	H05K1/11	H05K1/11		1279
