F01C1/24	8	of counter-engagement type, i.e. the movement of co-operating members at the points of engagement being in opposite directions	F01C1/24	F01C1/24		47
F01C1/26	9	of internal-axis type	F01C1/26	F01C1/26		21
F01C1/28	9	of other than internal-axis type	F01C1/28	F01C1/28		115
F01C1/30	8	having the characteristics covered by two or more groups F01C1/02, F01C1/08, F01C1/22, F01C1/24 or having the characteristics covered by one of these groups together with some other type of movement between co-operating members	F01C1/30	F01C1/30		48
F01C1/32	9	having both the movement defined in group F01C1/02 and relative reciprocation between the co-operating members	F01C1/32	F01C1/32		156
F01C1/321	10	{with vanes hinged to the inner member and reciprocating with respect to the inner member}	F01C1/32	F01C1/32		24
F01C1/322	10	{with vanes hinged to the outer member and reciprocating with respect to the outer member}	F01C1/32	F01C1/32		37
F01C1/324	10	with vanes hinged to the inner member and reciprocating with respect to the outer member	F01C1/324	F01C1/324		56
F01C1/328	11	and hinged to the outer member	F01C1/328	F01C1/328		35
F01C1/332	10	with vanes hinged to the outer member and reciprocating with respect to the inner member	F01C1/332	F01C1/332		33
F01C1/336	11	and hinged to the inner member	F01C1/336	F01C1/336		34
F01C1/34	9	having the movement defined in group F01C1/08 or F01C1/22 and relative reciprocation between the co-operating members	F01C1/34	F01C1/34		170
F01C1/344	10	with vanes reciprocating with respect to the inner member	F01C1/344	F01C1/344		836
F01C1/3441	11	{the inner and outer member being in contact along one line or continuous surface substantially parallel to the axis of rotation}	F01C1/344	F01C1/344		359
F01C1/3442	12	{the surfaces of the inner and outer member, forming the working space, being surfaces of revolution}	F01C1/344	F01C1/344		543
F01C1/3443	12	{with a separation element located between the inlet and outlet opening}	F01C1/344	F01C1/344		19
F01C1/3445	12	{the vanes having the form of rollers, slippers or the like}	F01C1/344	F01C1/344		68
F01C1/3446	11	{the inner and outer member being in contact along more than one line or surface}	F01C1/344	F01C1/344		690
F01C1/3447	12	{the vanes having the form of rollers, slippers or the like}	F01C1/344	F01C1/344		28
F01C1/3448	11	{with axially movable vanes}	F01C1/344	F01C1/344		258
F01C1/348	11	the vanes positively engaging, with circumferential play, an outer rotatable member	F01C1/348	F01C1/348		87
F01C1/352	11	the vanes being pivoted on the axis of the outer member	F01C1/352	F01C1/352		177
F01C1/356	10	with vanes reciprocating with respect to the outer member	F01C1/356	F01C1/356		228
F01C1/3562	11	{the inner and outer member being in contact along one line or continuous surface substantially parallel to the axis of rotation}	F01C1/356	F01C1/356		265
F01C1/3564	12	{the surfaces of the inner and outer member, forming the working space, being surfaces of revolution}	F01C1/356	F01C1/356		153
F01C1/3566	11	{the inner and outer member being in contact along more than one line or surface}	F01C1/356	F01C1/356		301
F01C1/3568	11	{with axially movable vanes}	F01C1/356	F01C1/356		101
F01C1/36	9	having both the movements defined in sub-groups F01C1/22 and F01C1/24	F01C1/36	F01C1/36		204
F01C1/38	9	having the movement defined in group F01C1/02 and having a hinged member (F01C1/32 takes precedence)	F01C1/38	F01C1/38		18
F01C1/39	10	with vanes hinged to the inner as well as to the outer member	F01C1/39	F01C1/39		70
F01C1/40	9	having the movement defined in group F01C1/08 or F01C1/22 and having a hinged member	F01C1/40	F01C1/40		88
F01C1/44	10	with vanes hinged to the inner member	F01C1/44	F01C1/44		767
F01C1/46	10	with vanes hinged to the outer member	F01C1/46	F01C1/46		528
F01C3/00	7	Rotary-piston machines or engines with non-parallel axes of movement of co-operating members (with the working-chamber walls being at least partly resiliently deformable F01C5/00)	F01C3/00	F01C3/00		24
F01C3/02	8	the axes being arranged at an angle of 90 degrees	F01C3/02	F01C3/02		312
F01C3/025	9	{of intermeshing engagement type, i.e. with engagement of co-operating members similar to that of toothed gearing}	F01C3/02	F01C3/02		163
F01C3/04	9	with axially sliding vanes	F01C3/04	F01C3/04		40
F01C3/06	8	the axes being arranged otherwise than at an angle of 90 degrees	F01C3/06	F01C3/06		221
F01C3/08	9	of intermeshing-engagement type, i.e. with engagement of co-operating members similar to that of toothed gearing	F01C3/08	F01C3/08		31
F01C3/085	10	{the axes of cooperating members being on the same plane}	F01C3/08	F01C3/08		44
