B60S1/105	12	{with means for stopping or setting the wipers at their limit of movement}	B60S1/10	B60S1/10		76
B60S1/12	11	hydraulically driven	B60S1/12	B60S1/12		207
B60S1/125	12	{with means for stopping or setting the wipers at their limit of movement}	B60S1/12	B60S1/12		61
B60S1/14	11	personally driven	B60S1/14	B60S1/14		234
B60S1/16	11	Means for transmitting drive	B60S1/16	B60S1/16		262
B60S1/163	12	{with means for stopping or setting the wipers at their limit of movement}	B60S1/16	B60S1/16		189
B60S1/166	12	{characterised by the combination of a motor-reduction unit and a mechanism for converting rotary into oscillatory movement}	B60S1/16	B60S1/16		1118
B60S1/18	12	mechanically {(B60S1/166 takes precedence)}	B60S1/18	B60S1/18		784
B60S1/185	13	{with means for stopping or setting the wipers at their limit of movement}	B60S1/18	B60S1/18		296
B60S1/20	13	by cable drives; by flexible shafts	B60S1/20	B60S1/20		437
B60S1/22	13	by rotary cams	B60S1/22	B60S1/22		48
B60S1/24	13	by rotary cranks	B60S1/24	B60S1/24		650
B60S1/245	14	{with particular rod arrangements between the motor driven axle and the wiper arm axle}	B60S1/24	B60S1/24		396
B60S1/26	13	by toothed gearing	B60S1/26	B60S1/26		399
B60S1/28	10	characterised by a plurality of wipers (B60S1/06 takes precedence)	B60S1/28	B60S1/28		240
B60S1/30	11	arranged both outside and inside	B60S1/30	B60S1/30		191
B60S1/32	10	characterised by constructional features of wiper blade arms {or blades}	B60S1/32	B60S1/32		676
B60S1/34	11	Wiper arms; Mountings therefor {(wiper arms provided with liquid spreading means B60S1/522; with gas spreading means B60S1/544)}	B60S1/34	B60S1/34		1729
B60S1/3402	12	{with means for obtaining particular wiping patterns (by varying the effective length of the angularly oscillating arm B60S1/365)}	B60S1/34	B60S1/34		113
B60S1/3404	13	{the wiper blades being moved substantially parallel with themselves}	B60S1/34	B60S1/34		1049
B60S1/3406	13	{the wiper blades being rotated with respect to the wiper arms around an axis perpendicular to the wiped field (B60S1/3404 takes precedence)}	B60S1/34	B60S1/34		322
B60S1/3409	13	{the wiper arms consisting of two or more articulated elements}	B60S1/34	B60S1/34		433
B60S1/3411	12	{with means for varying wiper-blade pressure on windshield during operation}	B60S1/34	B60S1/34		356
B60S1/3413	12	{with means for holding the arm off the glass in an intermediate position between the working position and the fully folded back position}	B60S1/34	B60S1/34		118
B60S1/3415	12	{with means for supplying cleaning fluid to windscreen cleaners, e.g. washers (arrangement of nozzles B60S1/52)}	B60S1/34	B60S1/34		538
B60S1/3418	12	{with means for additionally adjusting the wiper arm working position with respect to the surface to be wiped}	B60S1/34	B60S1/34		116
B60S1/342	12	{with means for temporarily uncoupling the wiper arm from the drive}	B60S1/34	B60S1/34		116
B60S1/3422	12	{Means arranged in the wiper structure to lift the arm at extremes of wipe (means arranged on the vehicle body B60S1/0455)}	B60S1/34	B60S1/34		79
B60S1/3425	12	{Constructional aspects of the arm}	B60S1/34	B60S1/34		138
B60S1/3427	13	{Arm piece, link piece and mounting head formed as one element}	B60S1/34	B60S1/34		184
B60S1/3429	13	{Arm pieces}	B60S1/34	B60S1/34		161
B60S1/3431	13	{Link pieces}	B60S1/34	B60S1/34		170
B60S1/3434	14	{Manufacturing details thereof}	B60S1/34	B60S1/34		48
B60S1/3436	13	{Mounting heads}	B60S1/34	B60S1/34		238
B60S1/3438	14	{Manufacturing details thereof}	B60S1/34	B60S1/34		58
B60S1/344	14	{Flat-type mounting heads}	B60S1/34	B60S1/34		52
B60S1/3443	13	{Wiper shafts}	B60S1/34	B60S1/34		219
B60S1/3445	13	{Joints between elements}	B60S1/34	B60S1/34		66
B60S1/3447	14	{the elements being an arm piece and a link piece}	B60S1/34	B60S1/34		129
B60S1/345	14	{the elements being a link piece and a mounting head}	B60S1/34	B60S1/34		264
B60S1/3452	15	{the joint being a snap fit pivot joint}	B60S1/34	B60S1/34		62
B60S1/3454	15	{the joint being at end of mounting head furthest away from blade}	B60S1/34	B60S1/34		57
B60S1/3456	15	{Locks or stays for holding arms in fully folded back position}	B60S1/34	B60S1/34		92
B60S1/3459	14	{the element being a mounting head and a shaft}	B60S1/34	B60S1/34		405
B60S1/3461	15	{with means to adjust the orientation of the head relative to shaft}	B60S1/34	B60S1/34		42
B60S1/3463	12	{Means to press blade onto screen}	B60S1/34	B60S1/34		97
B60S1/3465	13	{with coil springs}	B60S1/34	B60S1/34		106
B60S1/3468	14	{Mountings therefor}	B60S1/34	B60S1/34		272
B60S1/347	14	{with adjustment means to adjust wiping pressure (during wiping B60S1/3411)}	B60S1/34	B60S1/34		109
B60S1/3472	14	{with adjustment means to keep wiping pressure constant (varying wiping pressure B60S1/3411)}	B60S1/34	B60S1/34		11
B60S1/3475	13	{with blade or leaf springs}	B60S1/34	B60S1/34		90
B60S1/3477	13	{with elastomeric or rubber springs}	B60S1/34	B60S1/34		14
B60S1/3479	12	{Means to cover the wiper parts}	B60S1/34	B60S1/34		98
B60S1/3481	13	{for mounting head}	B60S1/34	B60S1/34		173
B60S1/3484	13	{integral with arm or link piece}	B60S1/34	B60S1/34		37
B60S1/3486	12	{Means to allow blade to follow curvature of the screen (i.e. rotation along longitudinal axis of the arm)}	B60S1/34	B60S1/34		164
B60S1/3488	12	{Means for mounting wiper arms onto the vehicle}	B60S1/34	B60S1/34		89
B60S1/349	13	{Means for mounting the wiper bearing to the vehicle body}	B60S1/34	B60S1/34		247
B60S1/3493	13	{Means for mounting the wiper shaft in the wiper bearing}	B60S1/34	B60S1/34		292
B60S1/3495	13	{Means for mounting the drive mechanism to the wiper shaft}	B60S1/34	B60S1/34		253
