E04C2/324	10	{with incisions or reliefs in the surface (E04C2/326 takes precedence)}	E04C2/32	E04C2/32		274
E04C2/326	10	{with corrugations, incisions or reliefs in more than one direction of the element}	E04C2/32	E04C2/32		446
E04C2/328	10	{slightly bowed or folded panels not otherwise provided for}	E04C2/32	E04C2/32		315
E04C2/34	9	composed of two or more spaced sheet-like parts (E04C2/32 takes precedence; spacers for cavity walls E04B2/44)	E04C2/34	E04C2/34		2022
E04C2/3405	10	{spaced apart by profiled spacer sheets}	E04C2/34	E04C2/34		1169
E04C2002/3411	11	{Dimpled spacer sheets}	E04C2/34	E04C2/34		30
E04C2002/3416	12	{with cylindrical dimples}	E04C2/34	E04C2/34		35
E04C2002/3422	12	{with polygonal dimples}	E04C2/34	E04C2/34		103
E04C2002/3427	12	{with conical dimples}	E04C2/34	E04C2/34		54
E04C2002/3433	12	{with dimples extending from both sides of the spacer sheet}	E04C2/34	E04C2/34		63
E04C2002/3438	13	{with saddle-shaped dimples, e.g. eggcrate type spacer sheets}	E04C2/34	E04C2/34		81
E04C2002/3444	11	{Corrugated sheets}	E04C2/34	E04C2/34		73
E04C2002/345	12	{with triangular corrugations}	E04C2/34	E04C2/34		155
E04C2002/3455	12	{with trapezoidal corrugations}	E04C2/34	E04C2/34		252
E04C2002/3461	12	{with rectangular corrugations}	E04C2/34	E04C2/34		77
E04C2002/3466	12	{with sinusoidal corrugations}	E04C2/34	E04C2/34		220
E04C2002/3472	11	{with multiple layers of profiled spacer sheets}	E04C2/34	E04C2/34		262
E04C2002/3477	10	{spaced apart by tubular elements parallel to the sheets}	E04C2/34	E04C2/34		93
E04C2002/3483	10	{spaced apart by spacers stamped from the sheets}	E04C2/34	E04C2/34		28
E04C2002/3488	10	{spaced apart by frame like structures}	E04C2/34	E04C2/34		353
E04C2002/3494	10	{Apparatus for making profiled spacer sheets}	E04C2/34	E04C2/34		107
E04C2/36	10	spaced apart by transversely-placed strip material, e.g. honeycomb panels (honeycomb or other core members for layered products B32B)	E04C2/36	E04C2/36		1434
E04C2/365	11	{by honeycomb structures}	E04C2/36	E04C2/36		1437
E04C2/38	9	with attached ribs, flanges, or the like, e.g. framed panels (concerned with attaching to other panels or elements to form a structure, see the places for the relevant structure, e.g. E04B2/00)	E04C2/38	E04C2/38		1816
E04C2/382	10	{with a frame of concrete or other stone-like substance}	E04C2/38	E04C2/38		444
E04C2/384	10	{with a metal frame}	E04C2/38	E04C2/38		2146
E04C2/386	10	{with a frame of unreconstituted or laminated wood}	E04C2/38	E04C2/38		1048
E04C2/388	10	{with a frame of other materials, e.g. fibres, plastics}	E04C2/38	E04C2/38		315
E04C2/40	9	composed of a number of smaller components rigidly or movably connected together, e.g. interlocking, hingedly connected {of particular shape, e.g. not rectangular of variable shape or size, e.g. flexible or telescopic panels (E04C2/041 takes precedence)}	E04C2/40	E04C2/40		1033
E04C2/405	10	{composed of two or more hingedly connected parts}	E04C2/40	E04C2/40		265
E04C2/42	9	Gratings; Grid-like panels (reinforcing elements E04C5/00; built-in gratings E04F19/10; gratings in general F16S3/00)	E04C2/42	E04C2/42		344
E04C2/421	10	{made of bar-like elements, e.g. bars discontinuous in one direction}	E04C2/42	E04C2/42		117
E04C2/422	11	{with continuous bars connecting at crossing points of the grid pattern}	E04C2/42	E04C2/42		161
E04C2/423	12	{with notches}	E04C2/42	E04C2/42		511
E04C2/425	12	{made of perforated bars}	E04C2/42	E04C2/42		208
E04C2/426	11	{with continuous bars that remain unconnected at crossing points of the grid pattern, e.g. with undulating bars}	E04C2/42	E04C2/42		170
E04C2/427	10	{Expanded metal or other monolithic gratings}	E04C2/42	E04C2/42		361
