A01M7/0046	10	{Hand-operated sprayers (apparatus to be carried on or by a person B05B9/08)}	A01M7/00	A01M7/00		551
A01M7/005	8	{Special arrangements or adaptations of the spraying or distributing parts, e.g. adaptations or mounting of the spray booms, mounting of the nozzles, protection shields (nozzles, spray heads or other outlets B05B1/00; spray pistols B05B9/01)}	A01M7/00	A01M7/00		3665
A01M7/0053	9	{Mounting of the spraybooms}	A01M7/00	A01M7/00		692
A01M7/0057	10	{with active regulation of the boom position}	A01M7/00	A01M7/00		601
A01M7/006	9	{Mounting of the nozzles}	A01M7/00	A01M7/00		1534
A01M7/0064	9	{Protection shields}	A01M7/00	A01M7/00		467
A01M7/0067	10	{with recovering of liquids}	A01M7/00	A01M7/00		114
A01M7/0071	9	{Construction of the spray booms}	A01M7/00	A01M7/00		596
A01M7/0075	10	{including folding means}	A01M7/00	A01M7/00		621
A01M7/0078	10	{including break-away devices}	A01M7/00	A01M7/00		109
A01M7/0082	8	{Undercarriages, frames, mountings, couplings, tanks}	A01M7/00	A01M7/00		2652
A01M7/0085	9	{Tanks}	A01M7/00	A01M7/00		1845
A01M7/0089	8	{Regulating or controlling systems (the delivery being related to the movement of a vehicle B05B9/06)}	A01M7/00	A01M7/00		6124
A01M7/0092	9	{Adding active material (used as well for the introduction of fertilisers in water A01C23/042)}	A01M7/00	A01M7/00		580
A01M7/0096	9	{Testing of spray-patterns}	A01M7/00	A01M7/00		97
A01M9/00	7	Special adaptations or arrangements of powder-spraying apparatus for purposes covered by this subclass	A01M9/00	A01M9/00		172
A01M9/0007	8	{Pneumatic dusters (electrostatic spraying apparatus B05B5/00; single-unit hand-held apparatus in which flow of contents is produced by the muscular force of the operator at the moment of use B05B11/00)}	A01M9/00	A01M9/00		107
A01M9/0015	9	{mounted on a frame and guided by hand; Duster barrow (designed for spraying particulate materials B05B7/14)}	A01M9/00	A01M9/00		149
A01M9/0023	10	{motor-driven}	A01M9/00	A01M9/00		13
A01M9/003	9	{Pneumatic field dusters, e.g. self-propelled, drawn or tractor-mounted}	A01M9/00	A01M9/00		260
A01M9/0038	9	{Portable pneumatic dusters, e.g. knapsack type (apparatus to be carried on or by a person B05B9/08)}	A01M9/00	A01M9/00		54
A01M9/0046	10	{motor-driven}	A01M9/00	A01M9/00		38
A01M9/0053	8	{Mechanical dusters}	A01M9/00	A01M9/00		99
A01M9/0061	9	{Centrifugal dusters (used as well as fertilisers or seeders with centrifugal wheels A01C17/00; outlets discharging over substantially the whole periphery of the rotating member B05B3/10)}	A01M9/00	A01M9/00		28
A01M9/0069	9	{Gravity dusters}	A01M9/00	A01M9/00		74
A01M9/0076	8	{Special arrangements or adaptations of the dusting or distributing parts, e.g. mounting of the spray booms, the protection shields (nozzles, spray heads or other outlets B05B1/00; spray pistols B05B9/01)}	A01M9/00	A01M9/00		194
A01M9/0084	8	{Undercarriages, frames, couplings, tanks}	A01M9/00	A01M9/00		139
A01M9/0092	8	{Regulating or controlling systems (the delivery being related to the movement of a vehicle B05B9/06)}	A01M9/00	A01M9/00		406
A01M11/00	7	Special adaptations or arrangements of combined liquid- and powder-spraying apparatus for purposes covered by this subclass	A01M11/00	A01M11/00		171
A01M13/00	7	Fumigators; Apparatus for distributing gases {(poisoning or narcotising insects by vaporising an insecticide A01M1/2022)}	A01M13/00	A01M13/00		1737
A01M13/003	8	{Enclosures for fumigation, e.g. containers, bags or housings}	A01M13/00	A01M13/00		738
A01M13/006	8	{Fumigators specially adapted for destruction of rats or similar animals in holes}	A01M13/00	A01M13/00		119
A01M15/00	7	Flame-throwers specially adapted for purposes covered by this subclass	A01M15/00	A01M15/00		437
A01M17/00	7	Apparatus for the destruction of vermin in soil or in foodstuffs {(injecting fertilisers into the roots of trees A01G29/00)}	A01M17/00	A01M17/00		708
A01M17/002	8	{Injection of toxic gases or fluids into the soil (special arrangements for delivering fertilising liquids directly into the soil A01C23/02)}	A01M17/00	A01M17/00		551
A01M17/004	9	{Apparatus for gassing rats or similar animals in holes}	A01M17/00	A01M17/00		105
A01M17/006	8	{Destruction of vermin in clothes}	A01M17/00	A01M17/00		152
A01M17/008	8	{Destruction of vermin in foodstuffs}	A01M17/00	A01M17/00		474
A01M19/00	7	Apparatus for the destruction of noxious animals, other than insects, by hot water, steam, hot air, or electricity {(electric traps A01M23/38)}	A01M19/00	A01M19/00		444
A01M21/00	7	Apparatus for the destruction of unwanted vegetation, e.g. weeds (control of undesirable vegetation on roads or permanent ways of railways E01H11/00)	A01M21/00	A01M21/00		1083
A01M21/02	8	Apparatus for mechanical destruction {(hand-tools for uprooting weeds A01B1/16; machines for working soil and for weeding A01B39/18; harvesting machines A01D; cutting implements A01G3/00)}	A01M21/02	A01M21/02		1035
A01M21/04	8	Apparatus for destruction by steam, chemicals, burning, or electricity {(apparatus for burning A01M15/00)}	A01M21/04	A01M21/04		814
A01M21/043	9	{by chemicals}	A01M21/04	A01M21/04		1647
A01M21/046	9	{by electricity}	A01M21/04	A01M21/04		340
A01M23/00	7	Traps for animals	A01M23/00	A01M23/00		624
A01M23/005	8	{with sticky surfaces (for insects A01M1/14)}	A01M23/00	A01M23/00		230
A01M23/02	8	Collecting-traps	A01M23/02	A01M23/02		401
A01M23/04	9	with tipping platforms	A01M23/04	A01M23/04		579
