G04G9/102	10	{using multiplexing techniques}	G04G9/10	G04G9/10		46
G04G9/105	10	{provided with date indication}	G04G9/10	G04G9/10		32
G04G9/107	10	{provided with means for displaying at will a time indication or a date or a part thereof}	G04G9/10	G04G9/10		67
G04G9/12	9	using light valves, e.g. liquid crystals	G04G9/12	G04G9/12		198
G04G9/122	10	{using multiplexing techniques}	G04G9/12	G04G9/12		33
G04G9/124	10	{provided with date indication}	G04G9/12	G04G9/12		58
G04G9/126	10	{provided with means for displaying at will a time indication or a date or a part thereof}	G04G9/12	G04G9/12		75
G04G9/128	10	{using mechano-optical means}	G04G9/12	G04G9/12		10
G04G11/00	7	Producing optical signals at preselected times	G04G11/00	G04G11/00		673
G04G13/00	7	Producing acoustic time signals	G04G13/00	G04G13/00		614
G04G13/02	8	at preselected times, e.g. alarm clocks	G04G13/02	G04G13/02		1013
G04G13/021	9	{Details}	G04G13/02	G04G13/02		739
G04G13/023	10	{Adjusting the duration or amplitude of signals}	G04G13/02	G04G13/02		195
G04G13/025	9	{acting only at one preselected time}	G04G13/02	G04G13/02		212
G04G13/026	9	{acting at a number of different times}	G04G13/02	G04G13/02		322
G04G13/028	9	{combined with a radio}	G04G13/02	G04G13/02		132
G04G15/00	7	Time-pieces comprising means to be operated at preselected times or after preselected time intervals (G04G11/00, G04G13/00 take precedence; {electronic timers G04F1/005}; pulse delay circuits H03K5/13; electronic time-delay switches H03K17/28; electronic time-programme switches which automatically terminate their operation after the programme is completed H03K17/296)	G04G15/00	G04G15/00		507
G04G15/003	8	{acting only at one preselected time or during one adjustable time interval}	G04G15/00	G04G15/00		238
G04G15/006	8	{for operating at a number of different times (cigar or cigarette receptacles or boxes with means for limiting the frequency of smoking A24F15/005)}	G04G15/00	G04G15/00		830
G04G17/00	7	Structural details; Housings (constructional details of radio-controlled time-pieces, e.g. antennas G04R60/00)	G04G17/00	G04G17/00		659
G04G17/005	8	{Time-pieces combined with games}	G04G17/00	G04G17/00		54
G04G17/02	8	Component assemblies	G04G17/02	G04G17/02		834
G04G17/04	9	Mounting of electronic components	G04G17/04	G04G17/04		1120
G04G17/045	10	{Mounting of the display}	G04G17/04	G04G17/04		622
G04G17/06	9	Electric connectors, e.g. conductive elastomers	G04G17/06	G04G17/06		556
G04G17/08	8	Housings	G04G17/08	G04G17/08		1371
G04G17/083	9	{Watches distributed over several housings}	G04G17/08	G04G17/08		213
G04G17/086	9	{Desktop clocks}	G04G17/08	G04G17/08		67
G04G19/00	7	Electric power supply circuits specially adapted for use in electronic time-pieces	G04G19/00	G04G19/00		818
G04G19/02	8	Conversion or regulation of current or voltage	G04G19/02	G04G19/02		132
G04G19/04	9	Capacitive voltage division or multiplication	G04G19/04	G04G19/04		51
G04G19/06	9	Regulation	G04G19/06	G04G19/06		65
G04G19/08	8	Arrangements for preventing voltage drop due to overloading the power supply	G04G19/08	G04G19/08		122
G04G19/10	8	Arrangements for supplying back-up power	G04G19/10	G04G19/10		255
G04G19/12	8	Arrangements for reducing power consumption during storage	G04G19/12	G04G19/12		172
G04G21/00	7	Input or output devices integrated in time-pieces	G04G21/00	G04G21/00		1324
G04G21/02	8	Detectors of external physical values, e.g. temperature	G04G21/02	G04G21/02		1384
G04G21/025	9	{for measuring physiological data}	G04G21/02	G04G21/02		1160
G04G21/04	8	using radio waves (radio-controlled time-pieces G04R)	G04G21/04	G04G21/04		1969
G04G21/06	8	using voice	G04G21/06	G04G21/06		561
G04G21/08	8	Touch switches specially adapted for time-pieces	G04G21/08	G04G21/08		1014
G04G99/00	7	Subject matter not provided for in other groups of this subclass	G04G99/00	G04G99/00		456
G04G99/003	8	{Pulse shaping; Amplification}	G04G99/00	G04G99/00		15
G04G99/006	8	{Electronic time-pieces using a microcomputer, e.g. for multi-function clocks}	G04G99/00	G04G99/00		408
