A61G3/00	7	Ambulance aspects of vehicles; Vehicles with special provisions for transporting patients or disabled persons, or their personal conveyances, e.g. for facilitating access of, or for loading, wheelchairs	A61G3/00	A61G3/00		476
A61G3/001	8	{Vehicles provided with medical equipment to perform operations or examinations}	A61G3/00	A61G3/00		579
A61G3/003	9	{Supplementary seats, e.g. for doctors to take care of a patient}	A61G3/00	A61G3/00		93
A61G3/005	10	{Foldable seats}	A61G3/00	A61G3/00		96
A61G3/006	8	{Means for reducing the influence of acceleration on patients, e.g. suspension systems of platforms (securing loads against shocks in general B60P7/16)}	A61G3/00	A61G3/00		224
A61G3/008	8	{Ventilation, sterilisation or air conditioning aspects (in general B60H)}	A61G3/00	A61G3/00		151
A61G3/02	8	Loading or unloading personal conveyances; Facilitating access of patients or disabled persons to, or exit from, vehicles	A61G3/02	A61G3/02		236
A61G3/0209	9	{with storage means for unused wheelchair or stretcher}	A61G3/02	A61G3/02		231
A61G3/0218	9	{Loading or unloading stretchers (transfer using ramps, lifts or the like A61G3/06 - A61G3/066; accommodating or securing wheelchairs or stretchers A61G3/08 - A61G3/0891)}	A61G3/02	A61G3/02		87
A61G3/0227	10	{by pivoting the support about a vertical axis}	A61G3/02	A61G3/02		58
A61G3/0236	10	{by pivoting the support about a horizontal axis}	A61G3/02	A61G3/02		122
A61G3/0245	10	{by translating the support}	A61G3/02	A61G3/02		107
A61G3/0254	10	{by moving the stretcher on a horizontal path, e.g. sliding or rolling}	A61G3/02	A61G3/02		133
A61G3/0263	10	{by moving the stretcher on an inclined path, e.g. sliding or rolling}	A61G3/02	A61G3/02		87
A61G3/0272	10	{by support protruding from the vehicle}	A61G3/02	A61G3/02		149
A61G3/0281	10	{by using a side-entrance}	A61G3/02	A61G3/02		38
A61G3/029	10	{by powered support}	A61G3/02	A61G3/02		73
A61G3/06	9	Transfer using ramps, lifts or the like	A61G3/06	A61G3/06		435
A61G3/061	10	{using ramps}	A61G3/06	A61G3/06		965
A61G3/062	10	{using lifts connected to the vehicle}	A61G3/06	A61G3/06		849
A61G3/063	10	{using lifts separate from the vehicle, e.g. fixed on the pavement}	A61G3/06	A61G3/06		307
A61G3/065	10	{using an adjustable suspension lowering device for the whole vehicle}	A61G3/06	A61G3/06		60
A61G3/066	10	{using a lowering device for a part of the floor of the vehicle}	A61G3/06	A61G3/06		90
A61G3/067	10	{with compartment for horizontally storing the ramp or lift}	A61G3/06	A61G3/06		433
A61G3/068	10	{in combination with folding stairs}	A61G3/06	A61G3/06		82
A61G3/08	8	Accommodating or securing wheelchairs {or stretchers}	A61G3/08	A61G3/08		109
A61G3/0808	9	{Accommodating or securing wheelchairs}	A61G3/08	A61G3/08		807
A61G3/0816	9	{Accommodating or securing stretchers (support for stretchers independent from vehicle A61G1/06; loading stretchers A61G3/02)}	A61G3/08	A61G3/08		83
A61G3/0825	10	{using support rack, frame}	A61G3/08	A61G3/08		265
A61G3/0833	10	{using other support}	A61G3/08	A61G3/08		232
A61G3/0841	10	{on lateral support arms}	A61G3/08	A61G3/08		66
A61G3/085	10	{on support, which can be brought into a different position, when not in use, e.g. foldable, collapsible, retractable support}	A61G3/08	A61G3/08		120
A61G3/0858	10	{on support for multiple stretchers}	A61G3/08	A61G3/08		231
A61G3/0866	10	{on height adjustable support}	A61G3/08	A61G3/08		85
A61G3/0875	10	{Securing stretchers, e.g. fastening means}	A61G3/08	A61G3/08		101
A61G3/0883	11	{by preventing lateral movement, e.g. tracks}	A61G3/08	A61G3/08		177
A61G3/0891	11	{by preventing longitudinal movement}	A61G3/08	A61G3/08		156
A61G5/00	7	Chairs or personal conveyances specially adapted for patients or disabled persons, e.g. wheelchairs ({chairs with toilet conveniences A47K11/04; } devices enabling patients or disabled persons to operate an apparatus or device not forming part of the body A61F4/00; {running gear or propulsion features B60K;} bicycles specially adapted for disabled riders B62K3/16{; Invalid chairs having removable seats specially adapted to be transferred with the invalid to a vehicle and support the invalid during use of the vehicle A61G3/02})	A61G5/00	A61G5/00		2648
A61G5/003	8	{Wheelchairs attached to a cycle steerable by an attendant (wheel chairs propelled by the patient A61G5/02)}	A61G5/00	A61G5/00		162
A61G5/006	8	{convertible to stretchers or beds}	A61G5/00	A61G5/00		1340
A61G5/02	8	propelled by the patient or disabled person	A61G5/02	A61G5/02		862
A61G5/021	9	{having particular propulsion mechanisms}	A61G5/02	A61G5/02		111
A61G5/022	10	{acting on wheels, e.g. on tires or hand rims}	A61G5/02	A61G5/02		255
A61G5/023	10	{acting directly on hubs or axis}	A61G5/02	A61G5/02		592
A61G5/024	9	{having particular operating means}	A61G5/02	A61G5/02		107
A61G5/025	10	{Levers}	A61G5/02	A61G5/02		436
A61G5/026	10	{Cranks or hand wheels}	A61G5/02	A61G5/02		314
A61G5/027	9	{by using auxiliary detachable mechanisms}	A61G5/02	A61G5/02		164
A61G5/028	9	{Special adaptations or provisions on hand rim, e.g. for facilitating gripping}	A61G5/02	A61G5/02		154
A61G5/04	8	motor-driven (A61G5/06 takes precedence; motor-operated rests A61G5/12; for vehicles with handlebars, equipped with three or more wheels B62K5/003, B62K5/023)	A61G5/04	A61G5/04		2576
A61G5/041	9	{having a specific drive-type}	A61G5/04	A61G5/04		330
A61G5/042	10	{Front wheel drive}	A61G5/04	A61G5/04		452
A61G5/043	10	{Mid wheel drive}	A61G5/04	A61G5/04		298
A61G5/045	10	{Rear wheel drive}	A61G5/04	A61G5/04		1097
A61G5/046	10	{at least three driven wheels}	A61G5/04	A61G5/04		175
A61G5/047	9	{by a modular detachable drive system}	A61G5/04	A61G5/04		664
A61G5/048	9	{Power-assistance activated by pushing on hand rim or on handlebar}	A61G5/04	A61G5/04		254
A61G5/06	8	with obstacle mounting facilities, e.g. for climbing stairs, {kerbs or steps}	A61G5/06	A61G5/06		849
A61G5/061	9	{for climbing stairs}	A61G5/06	A61G5/06		1383
A61G5/063	9	{with eccentrically mounted wheels}	A61G5/06	A61G5/06		128
A61G5/065	10	{with three or more wheels mounted on a rotary cross member, e.g. spiders or spoked wheels with small wheels at the end of the spokes}	A61G5/06	A61G5/06		185
A61G5/066	9	{with endless belts}	A61G5/06	A61G5/06		594
A61G5/068	9	{with extensible supports pushing upwards, e.g. telescopic legs}	A61G5/06	A61G5/06		250
A61G5/08	8	foldable	A61G5/08	A61G5/08		1316
A61G5/0808	9	{characterised by a particular folding direction}	A61G5/08	A61G5/08		44
A61G5/0816	10	{folding side to side, e.g. reducing or expanding the overall width of the wheelchair}	A61G5/08	A61G5/08		311
A61G5/0825	11	{comprising a scissor-type frame, e.g. having pivoting cross bars for enabling folding}	A61G5/08	A61G5/08		489
A61G5/0833	10	{folding front to back, e.g. reducing or expanding the overall depth of the wheelchair}	A61G5/08	A61G5/08		295
A61G5/0841	11	{comprising a scissor-type frame, e.g. having pivoting cross bars for enabling folding}	A61G5/08	A61G5/08		65
A61G5/085	10	{folding up and down, e.g. reducing or expanding the overall height of the wheelchair}	A61G5/08	A61G5/08		288
A61G5/0858	11	{comprising a scissor-type frame, e.g. having pivoting cross bars for enabling folding}	A61G5/08	A61G5/08		82
A61G5/0866	9	{folding down backrest, e.g. where the backrest folds down onto the seat support}	A61G5/08	A61G5/08		311
A61G5/0875	9	{dismountable, e.g. where the wheelchair can be disassembled for transportation or storage}	A61G5/08	A61G5/08		214
A61G5/0883	9	{having locking means for maintaining a folded or unfolded condition}	A61G5/08	A61G5/08		401
A61G5/0891	9	{having rigid supports, e.g. seat or back supports which retain their shape after folding of the wheelchair}	A61G5/08	A61G5/08		463
A61G5/10	8	Parts, details or accessories	A61G5/10	A61G5/10		6324
A61G5/1002	9	{with toilet facilities (room closets, night chairs A47K11/04)}	A61G5/10	A61G5/10		1062
A61G5/1005	9	{Wheelchairs having brakes (braking mechanisms; locking devices against movement for hand carts B62B5/04; details of brake actuators on castors B60B33/0078; brakes in general F16D49/00 - F16D65/853)}	A61G5/10	A61G5/10		438
A61G5/1008	10	{for gradually slowing down the wheelchair}	A61G5/10	A61G5/10		251
A61G5/101	10	{of the parking brake type, e.g. holding the wheelchair}	A61G5/10	A61G5/10		488
A61G5/1013	10	{engaging the wheel}	A61G5/10	A61G5/10		215
A61G5/1016	11	{on the rim}	A61G5/10	A61G5/10		59
A61G5/1018	11	{on the running surface}	A61G5/10	A61G5/10		309
A61G5/1021	10	{engaging specific brake elements}	A61G5/10	A61G5/10		60
A61G5/1024	11	{Brake discs}	A61G5/10	A61G5/10		131
A61G5/1027	11	{Hub elements, e.g. drums}	A61G5/10	A61G5/10		117
A61G5/1029	10	{engaging a surface, e.g. floor or wall}	A61G5/10	A61G5/10		74
A61G5/1032	10	{engaging an element of the drive or transmission, e.g. drive belt, electrodynamic brake}	A61G5/10	A61G5/10		195
A61G5/1035	10	{manipulated by wheelchair user}	A61G5/10	A61G5/10		639
A61G5/1037	10	{manipulated by assisting person}	A61G5/10	A61G5/10		190
A61G5/104	9	{Devices for lifting or tilting the whole wheelchair (transfer lifts A61G3/06; arrangements for adjusting the seat height A61G5/1059)}	A61G5/10	A61G5/10		399
A61G5/1043	9	{Cushions specially adapted for wheelchairs}	A61G5/10	A61G5/10		538
A61G5/1045	10	{for the seat portion}	A61G5/10	A61G5/10		800
A61G5/1048	10	{for the back-rest}	A61G5/10	A61G5/10		290
A61G5/1051	9	{Arrangements for steering}	A61G5/10	A61G5/10		2133
A61G5/1054	9	{Large wheels, e.g. higher than the seat portion}	A61G5/10	A61G5/10		1669
A61G5/1056	9	{Arrangements for adjusting the seat}	A61G5/10	A61G5/10		530
A61G5/1059	10	{adjusting the height of the seat}	A61G5/10	A61G5/10		1545
A61G5/1062	10	{adjusting the width of the seat}	A61G5/10	A61G5/10		211
A61G5/1064	10	{adjusting the depth of the seat}	A61G5/10	A61G5/10		99
A61G5/1067	10	{adjusting the backrest relative to the seat portion}	A61G5/10	A61G5/10		1261
A61G5/107	10	{positioning the whole seat forward or rearward}	A61G5/10	A61G5/10		341
A61G5/1072	10	{rotating the whole seat around a vertical axis}	A61G5/10	A61G5/10		213
A61G5/1075	10	{tilting the whole seat backwards (tilting forwards for standing-up or sitting-down aids A61G5/14)}	A61G5/10	A61G5/10		798
A61G5/1078	9	{with shock absorbers or other suspension arrangements between wheels and frame}	A61G5/10	A61G5/10		615
A61G5/1081	9	{with shock absorbers or other suspension arrangements between frame and seat}	A61G5/10	A61G5/10		252
A61G5/1083	9	{Quickly-removable wheels}	A61G5/10	A61G5/10		256
A61G5/1086	9	{Anti-roll-back devices}	A61G5/10	A61G5/10		119
A61G5/1089	9	{Anti-tip devices}	A61G5/10	A61G5/10		855
A61G5/1091	9	{Cushions, seats or abduction devices}	A61G5/10	A61G5/10		1159
A61G5/1094	9	{Tables, working plates or trays}	A61G5/10	A61G5/10		666
A61G5/1097	9	{Camber- or toe-adjusting means for the drive wheels}	A61G5/10	A61G5/10		153
A61G5/12	9	Rests specially adapted therefor, e.g. for the head or the feet	A61G5/12	A61G5/12		1659
A61G5/121	10	{for head or neck}	A61G5/12	A61G5/12		551
A61G5/122	10	{for the back}	A61G5/12	A61G5/12		610
A61G5/124	10	{for pelvis or buttocks}	A61G5/12	A61G5/12		315
A61G5/125	10	{for arms}	A61G5/12	A61G5/12		1741
A61G5/127	10	{for lower legs}	A61G5/12	A61G5/12		645
A61G5/128	10	{for feet}	A61G5/12	A61G5/12		2297
A61G5/14	9	Standing-up or sitting-down aids	A61G5/14	A61G5/14		2466
A61G7/00	7	Beds specially adapted for nursing; Devices for lifting patients or disabled persons (stretchers with facilities for picking up patients or disabled persons A61G1/003)	A61G7/00	A61G7/00		2535
A61G7/0005	8	{Means for bathing bedridden persons}	A61G7/00	A61G7/00		906
A61G7/001	8	{with means for turning-over the patient}	A61G7/00	A61G7/00		2237
A61G7/0015	8	{having means for attaching a cabinet in order to transport bed and cabinet together}	A61G7/00	A61G7/00		69
A61G7/002	8	having adjustable mattress frame	A61G7/002	A61G7/002		1138
A61G7/005	9	tiltable around transverse horizontal axis, e.g. for Trendelenburg position {(rocking beds for physical therapy A61H1/003; hanging patient inclined downwardly for drawing him out A61H2203/0493)}	A61G7/005	A61G7/005		1534
A61G7/008	9	tiltable around longitudinal axis, e.g. for rolling	A61G7/008	A61G7/008		730
A61G7/012	9	raising or lowering of the whole mattress frame (A61G7/005, A61G7/008 take precedence)	A61G7/012	A61G7/012		2065
A61G7/015	9	divided into different adjustable sections, e.g. for Gatch position	A61G7/015	A61G7/015		6114
A61G7/018	9	Control or drive mechanisms	A61G7/018	A61G7/018		2372
A61G7/02	8	with toilet conveniences, or specially adapted for use with toilets	A61G7/02	A61G7/02		2368
A61G7/047	8	Beds for special sanitary purposes {, e.g. for giving enemas, irrigations, flushings (A61G7/02 takes precedence; means for bathing bed-ridden persons A61G7/0005)}	A61G7/047	A61G7/047		546
A61G7/05	8	Parts, details or accessories of beds (devices for prevention against falling out A47C21/08, A47D7/00{; mattresses A47C27/00})	A61G7/05	A61G7/05		9609
A61G7/0501	9	{Bed-clothes supports to alleviate the weight of the bed-clothes on the patient (bed cover holders A47C21/02)}	A61G7/05	A61G7/05		218
A61G7/0502	9	{Dispensers of disposable sheets}	A61G7/05	A61G7/05		199
A61G7/0503	9	{Holders, support devices for receptacles, e.g. for drainage or urine bags (hanging-up devices for infusion A61M5/1414)}	A61G7/05	A61G7/05		1184
A61G7/0504	9	{Harnesses or restraining devices in order to evacuate a patient with the mattress, e.g. in situations of emergency, disaster or fire (restraining in general A61F5/37)}	A61G7/05	A61G7/05		131
A61G7/0506	9	{Head or foot boards (head or foot boards for comfort or ergonomics A47C19/022)}	A61G7/05	A61G7/05		432
A61G7/0507	9	{Side-rails}	A61G7/05	A61G7/05		1650
A61G7/0508	10	{characterised by a particular connection mechanism}	A61G7/05	A61G7/05		127
A61G7/0509	11	{sliding or pivoting downwards}	A61G7/05	A61G7/05		818
A61G7/051	11	{pivoting sideward}	A61G7/05	A61G7/05		313
A61G7/0512	10	{characterised by customised length}	A61G7/05	A61G7/05		16
A61G7/0513	11	{covering particular sections of the bed, e.g. one or more partial side-rail sections along the bed}	A61G7/05	A61G7/05		293
A61G7/0514	12	{mounted to individual mattress supporting frame sections}	A61G7/05	A61G7/05		315
A61G7/0515	11	{covering the full bed length, e.g. from head board to foot board}	A61G7/05	A61G7/05		219
A61G7/0516	10	{with height adjustability}	A61G7/05	A61G7/05		384
A61G7/0518	10	{quickly removable}	A61G7/05	A61G7/05		292
A61G7/0519	10	{stowable, e.g. underneath mattress}	A61G7/05	A61G7/05		245
A61G7/052	10	{characterised by safety means, e.g. to avoid injuries to patient or caregiver}	A61G7/05	A61G7/05		399
A61G7/0521	11	{Anti-pinching means to avoid injuries to body parts when moving side-rails or mattress supports, e.g. gap and grid covers, side-rail parts with special shape or electronic means for warning}	A61G7/05	A61G7/05		43
A61G7/0522	11	{Padding means to soften side-rail surfaces}	A61G7/05	A61G7/05		84
A61G7/0524	10	{characterised by integrated accessories, e.g. bed control means, nurse call or reading lights}	A61G7/05	A61G7/05		510
A61G7/0525	9	{Side-bolsters (rests specially adapted for beds A61G7/065; non-medical devices for prevention against falling-out A47C21/08)}	A61G7/05	A61G7/05		208
A61G7/0526	9	{Restraining enclosures (side-rails A61G7/0507; enclosures for maintaining a germ-free environment A61G10/005; restraining device for the body or for body parts A61F5/37)}	A61G7/05	A61G7/05		569
A61G7/0527	9	{Weighing devices}	A61G7/05	A61G7/05		416
A61G7/0528	9	{Steering or braking devices for castor wheels}	A61G7/05	A61G7/05		761
A61G7/053	9	Aids for getting into, or out of, bed, e.g. steps, chairs, {cane-like supports}	A61G7/053	A61G7/053		994
A61G7/0533	10	{Lifting poles}	A61G7/053	A61G7/053		192
A61G7/0536	10	{Lifting straps, usually attached to the bed-end and grasped by the patient in order to raise himself into a sitting position}	A61G7/053	A61G7/053		89
A61G7/057	9	Arrangements for preventing bed-sores or for supporting patients with burns, e.g. mattresses specially adapted therefor {(ventilation openings in mattresses A47C21/042; pneumatic or hydraulic mattresses A47C27/08)}	A61G7/057	A61G7/057		1526
A61G7/05707	10	{with integral, body-bearing projections or protuberances}	A61G7/057	A61G7/057		312
A61G7/05715	10	{with modular blocks, or inserts, with layers of different material}	A61G7/057	A61G7/057		738
A61G7/05723	10	{with cut-outs or depressions in order to relieve the pressure on a part of the body (mattresses with cavities A47C27/142)}	A61G7/057	A61G7/057		325
A61G7/0573	10	{with mattress frames having alternately movable parts (adjustable mattress frames A61G7/015)}	A61G7/057	A61G7/057		780
A61G7/05738	10	{with fluid-like particles, e.g. sand, mud, seeds, gel, beads}	A61G7/057	A61G7/057		291
A61G7/05746	11	{fluidised by air flow}	A61G7/057	A61G7/057		130
A61G7/05753	11	{air-evacuated, e.g. in order to adapt to the form of the patient (air-evacuated splints A61F5/05833)}	A61G7/057	A61G7/057		158
A61G7/05761	10	{where patient is supported on a free, unbounded, film or cushion of air}	A61G7/057	A61G7/057		93
A61G7/05769	10	{with inflatable chambers}	A61G7/057	A61G7/057		1251
A61G7/05776	11	{with at least two groups of alternately inflated chambers}	A61G7/057	A61G7/057		1221
A61G7/05784	10	{with ventilating means, e.g. mattress or cushion with ventilating holes or ventilators}	A61G7/057	A61G7/057		638
A61G7/05792	11	{with low air loss function, e.g. in mattresses, overlays or beds}	A61G7/057	A61G7/057		114
A61G7/065	9	Rests specially adapted therefor	A61G7/065	A61G7/065		560
A61G7/07	10	for the head or torso, e.g. special back-rests {(pillows in general A47G9/10)}	A61G7/07	A61G7/07		1495
A61G7/072	11	{for the head only}	A61G7/07	A61G7/07		1084
A61G7/075	10	for the limbs	A61G7/075	A61G7/075		852
A61G7/0755	11	{for the legs or feet}	A61G7/075	A61G7/075		2052
A61G7/08	8	Apparatus for transporting beds	A61G7/08	A61G7/08		620
A61G7/10	8	Devices for lifting patients or disabled persons, e.g. special adaptations of hoists thereto	A61G7/10	A61G7/10		607
A61G7/1001	9	{specially adapted for specific applications}	A61G7/10	A61G7/10		295
A61G7/1003	10	{mounted on or in combination with a bath-tub}	A61G7/10	A61G7/10		935
A61G7/1005	10	{mounted on, or in combination with, a swimming-pool}	A61G7/10	A61G7/10		145
A61G7/1007	10	{mounted on or in combination with a toilet}	A61G7/10	A61G7/10		460
A61G7/1009	10	{Buttock lifting device for placing bed-pans under patients}	A61G7/10	A61G7/10		109
A61G7/1011	10	{Picking up from the floor}	A61G7/10	A61G7/10		193
A61G7/1013	9	{Lifting of patients by}	A61G7/10	A61G7/10		570
A61G7/1015	10	{Cables, chains or cords}	A61G7/10	A61G7/10		1130
A61G7/1017	10	{Pivoting arms, e.g. crane type mechanisms}	A61G7/10	A61G7/10		1057
A61G7/1019	10	{Vertical extending columns or mechanisms}	A61G7/10	A61G7/10		1872
A61G7/1021	10	{Inflatable cushions}	A61G7/10	A61G7/10		606
A61G7/1023	10	{Slings used manually}	A61G7/10	A61G7/10		338
A61G7/1025	9	{Lateral movement of patients, e.g. horizontal transfer}	A61G7/10	A61G7/10		538
A61G7/1026	10	{Sliding sheets or mats}	A61G7/10	A61G7/10		547
A61G7/1028	10	{by a support moving on air cushion}	A61G7/10	A61G7/10		86
A61G7/103	10	{Transfer boards}	A61G7/10	A61G7/10		887
A61G7/1032	10	{Endless belts}	A61G7/10	A61G7/10		488
A61G7/1034	10	{Rollers, rails or other means}	A61G7/10	A61G7/10		726
A61G7/1036	10	{facilitating loading and unloading of the patient, e.g. using flaps or additional tilting}	A61G7/10	A61G7/10		257
A61G7/1038	9	{Manual lifting aids, e.g. frames or racks}	A61G7/10	A61G7/10		450
A61G7/104	9	{Devices carried or supported by}	A61G7/10	A61G7/10		100
A61G7/1042	10	{Rail systems (walking aids with suspension devices A61H3/008)}	A61G7/10	A61G7/10		589
A61G7/1044	10	{Stationary fixed means, e.g. fixed to a surface or bed}	A61G7/10	A61G7/10		659
