F28D1/05391	13	{with multiple rows of conduits or with multi-channel conduits combined with a particular flow pattern, e.g. multi-row multi-stage radiators}	F28D1/053	F28D1/053		1379
F28D1/06	8	with the heat-exchange conduits forming part of, or being attached to, the tank containing the body of fluid	F28D1/06	F28D1/06		1009
F28D3/00	7	Heat-exchange apparatus having stationary conduit assemblies for one heat-exchange medium only, the media being in contact with different sides of the conduit wall, in which the other heat-exchange medium flows in a continuous film, or trickles freely, over the conduits (F28D5/00 takes precedence)	F28D3/00	F28D3/00		301
F28D3/02	8	with tubular conduits	F28D3/02	F28D3/02		901
F28D3/04	8	Distributing arrangements	F28D3/04	F28D3/04		433
F28D5/00	7	Heat-exchange apparatus having stationary conduit assemblies for one heat-exchange medium only, the media being in contact with different sides of the conduit wall, using the cooling effect of natural or forced evaporation	F28D5/00	F28D5/00		829
F28D5/02	8	in which the evaporating medium flows in a continuous film or trickles freely over the conduits	F28D5/02	F28D5/02		1139
F28D7/00	7	Heat-exchange apparatus having stationary tubular conduit assemblies for both heat-exchange media, the media being in contact with different sides of a conduit wall	F28D7/00	F28D7/00		1543
F28D7/0008	8	{the conduits for one medium being in heat conductive contact with the conduits for the other medium}	F28D7/00	F28D7/00		609
F28D7/0016	9	{the conduits for one medium or the conduits for both media being bent (F28D7/0033 takes precedence)}	F28D7/00	F28D7/00		399
F28D7/0025	9	{the conduits for one medium or the conduits for both media being flat tubes or arrays of tubes}	F28D7/00	F28D7/00		403
F28D7/0033	10	{the conduits for one medium or the conduits for both media being bent}	F28D7/00	F28D7/00		200
F28D7/0041	8	{the conduits for only one medium being tubes having parts touching each other or tubes assembled in panel form (F28D7/0008, F28D7/0058 take precedence)}	F28D7/00	F28D7/00		566
F28D7/005	8	{the conduits for only one medium being tubes having bent portions or being assembled from bent tubes or being tubes having a toroidal configuration (F28D7/0008, F28D7/02, F28D7/04, F28D7/06, F28D7/14 take precedence)}	F28D7/00	F28D7/00		374
F28D7/0058	8	{the conduits for only one medium being tubes having different orientations to each other or crossing the conduit for the other heat exchange medium (F28D7/0008 takes precedence)}	F28D7/00	F28D7/00		309
F28D7/0066	8	{Multi-circuit heat-exchangers, e.g. integrating different heat exchange sections in the same unit or heat-exchangers for more than two fluids (F28D7/103 takes precedence)}	F28D7/00	F28D7/00		985
F28D7/0075	9	{with particular circuits for the same heat exchange medium, e.g. with the same heat exchange medium flowing through sections having different heat exchange capacities or for heating or cooling the same heat exchange medium at different temperatures}	F28D7/00	F28D7/00		225
F28D7/0083	9	{with units having particular arrangement relative to a supplementary heat exchange medium, e.g. with interleaved units or with adjacent units arranged in common flow of supplementary heat exchange medium}	F28D7/00	F28D7/00		325
F28D7/0091	10	{the supplementary medium flowing in series through the units}	F28D7/00	F28D7/00		216
F28D7/02	8	the conduits being helically coiled (F28D7/10 takes precedence {F28D7/0016 and F28D7/0033 take precedence})	F28D7/02	F28D7/02		731
F28D7/022	9	{the conduits of two or more media in heat-exchange relationship being helically coiled, the coils having a cylindrical configuration}	F28D7/02	F28D7/02		567
F28D7/024	9	{the conduits of only one medium being helically coiled tubes, the coils having a cylindrical configuration}	F28D7/02	F28D7/02		2943
F28D7/026	9	{the conduits of only one medium being helically coiled and formed by bent members, e.g. plates, the coils having a cylindrical configuration}	F28D7/02	F28D7/02		423
F28D7/028	9	{the conduits of at least one medium being helically coiled, the coils having a conical configuration}	F28D7/02	F28D7/02		142
F28D7/04	8	the conduits being spirally coiled (F28D7/10 takes precedence){(F28D7/0016 and F28D7/0033 take precedence)}	F28D7/04	F28D7/04		906
F28D7/06	8	the conduits having a single U-bend (F28D7/10 takes precedence){(F28D7/0016 and F28D7/0033 take precedence)}	F28D7/06	F28D7/06		1713
F28D7/08	8	the conduits being otherwise bent, e.g. in a serpentine or zig-zag (F28D7/10 takes precedence){(F28D7/0016 and F28D7/0033 take precedence)}	F28D7/08	F28D7/08		1523
F28D7/082	9	{with serpentine or zig-zag configuration}	F28D7/08	F28D7/08		1291
F28D7/085	10	{in the form of parallel conduits coupled by bent portions}	F28D7/08	F28D7/08		538
F28D7/087	11	{assembled in arrays, each array being arranged in the same plane}	F28D7/08	F28D7/08		353
F28D7/10	8	the conduits being arranged one within the other, e.g. concentrically {(multiple wall tubes for leak detection F28F1/003)}	F28D7/10	F28D7/10		1422
F28D7/103	9	{consisting of more than two coaxial conduits or modules of more than two coaxial conduits}	F28D7/10	F28D7/10		1017
F28D7/106	9	{consisting of two coaxial conduits or modules of two coaxial conduits}	F28D7/10	F28D7/10		2483
F28D7/12	9	the surrounding tube being closed at one end, e.g. return type (F28D7/14 takes precedence)	F28D7/12	F28D7/12		878
F28D7/14	9	both tubes being bent	F28D7/14	F28D7/14		448
F28D7/16	8	the conduits being arranged in parallel spaced relation ({F28D7/0008&#160;-&#160;F28D7/0058 take precedence}; F28D7/02 - F28D7/10 take precedence)	F28D7/16	F28D7/16		3622
F28D7/1607	9	{with particular pattern of flow of the heat exchange media, e.g. change of flow direction (F28D7/1623, F28D7/1638, F28D7/1661, F28D7/1676, F28D7/1692 take precedence)}	F28D7/16	F28D7/16		989
F28D7/1615	9	{the conduits being inside a casing and extending at an angle to the longitudinal axis of the casing; the conduits crossing the conduit for the other heat exchange medium}	F28D7/16	F28D7/16		454
