G01T1/185	電離箱装置をもつもの　（電離箱の構造　Ｈ０１Ｊ３９／２８(ＥＣＬＡ)；　｛イオン化によるガス分析　Ｇ０１Ｎ２７／６６；　圧力測定　Ｇ０１Ｌ９／００；　漏れ検出　Ｇ０１Ｍ３／００；　遠隔測定　Ｇ０８Ｃ｝）
G01T1/20	シンチレーション検出器をもつもの
G01T1/2002	｛光学的細部，　例．／射または拡散層｝
G01T1/2004	｛シンチロスコープ　（Ｘ線蛍光透視装置　Ｇ２１Ｋ４／００；　放射線診断　Ａ６１Ｂ６／００）｝
G01T1/2006	｛平均放射線強度を測定するシンチレータと受光素子との組合せを用いるもの｝
G01T1/2008	｛異なるタイプのシンチレーション検出器の組合せを用いるもの｝
G01T1/201	
G01T1/2012	
G01T1/2014	
G01T1/2016	
G01T1/2018	｛シンチレーションとフォトダイオードの組合せ｝　
G01T1/20181	
G01T1/20182	
G01T1/20183	
G01T1/20184	
G01T1/20185	
G01T1/20186	
G01T1/20187	
G01T1/20188	
G01T1/20189	
G01T1/2019	
G01T1/202	検出器が結晶であるもの
G01T1/2023	｛材料の選定　（暫定的に　Ｇ０１Ｔ１／２０２　も参照）｝
G01T1/2026	｛井戸形検出器　（暫定的に　Ｇ０１Ｔ１／２０２　も参照）｝
G01T1/203	検出器がプラスチックよりなるもの
G01T1/2033	｛材料の選定　（暫定的に　Ｇ０１Ｔ１／２０３　も参照）｝
G01T1/2036	｛井戸形検出器　（暫定的に　Ｇ０１Ｔ１／２０３　も参照）｝
G01T1/204	検出器が液体であるもの
G01T1/2042	｛液体シンチレーションシステムの組成｝
G01T1/2045	｛液体シンチレーション焼入れシステム｝
G01T1/2047	｛試料作成｝
G01T1/205	検出器が気体であるもの
G01T1/208	シンチレーション検出器に特に適用される回路，例．光電子増倍管部分のためのもの
G01T1/22	チェレンコフ検出器をもつもの
G01T1/24	半導体検出器をもつもの　（半導体装置それ自体　Ｈ０１Ｌ３１／００）
G01T1/241	
G01T1/242	
G01T1/243	
G01T1/244	
G01T1/245	
G01T1/246	
G01T1/247	
G01T1/248	
G01T1/249	
G01T1/26	抵抗検出器をもつもの　｛（光導電セル　Ｈ０１Ｌ３１／００）｝
G01T1/28	二次放射検出器をもつもの　（二次電子放出電極一般　Ｈ０１Ｊ１／３２）　｛必要に応じてシンチレーション計数器と組み合わされるもの　（二次電子放出管　Ｈ０１Ｊ４３／００）｝
G01T1/29	放射線ビームに関してなされる測定，　例．　ビームの位置または断面；　放射線の空間分布の測定　（シンチグラフィ　Ｇ０１Ｔ１／１６４；　質量分析器　Ｈ０１Ｊ３９／３４(ＥＣＬＡ)）
G01T1/2907	｛角度測定；　方向検出器；　望遠鏡　（核放射線，　例．　自然または誘導放射線　の使用による探鉱　Ｇ０１Ｖ５／００）｝　
G01T1/2914	｛放射線の空間分布の測定｝
G01T1/2921	｛一または二次元の放射能分布の静的描画装置；　ＲＩカメラ　（シンチグラフィを用いるもの　　Ｇ０１Ｔ１／１６４１）｝　
G01T1/2928	｛固体検出器を使用するもの｝
G01T1/2935	｛イオン化検出器を使用するもの｝
G01T1/2942	｛オートラジオグラフィ法を使用するもの｝
G01T1/295	｛符号化開口装置　例．　フレネル帯板　を使用するもの　（粒子性放射線を取り扱うもの，　例．　ダイアフラム，　視準器，　回折を使用するもの　Ｇ２１Ｋ１／００）｝
G01T1/2957	｛チャネルマルチプライヤアレイを使用するもの　（チャネルマルチプライヤ　Ｈ０１Ｊ４３／１８；　Ｇ０１Ｔ１／１６４５が優先）｝
G01T1/2964	｛走査装置　（シンチグラフィを用いるもの　Ｇ０１Ｔ１／１６６）｝　
G01T1/2971	｛固体検出器を使用するもの｝
G01T1/2978	｛ハイブリッド画像システム，　例．　一方向の分布の測定のために位置感応検出器（カメラ）を使用しその上検出器または対象物の他の方向の機械的な動きを利用するもの　または二次元の分布の測定のためにカメラを使用しその上視野を拡げるためにカメラまたは対象物の動きを利用するもの　（Ｇ０１Ｔ１／２９８５　が優先）｝
G01T1/2985	｛徹底的な局所化　例．　陽電子放射体を使用するもの；　トモグラフィ的描画　（縦及び横断面描画；　連続的に異なる面で放射線診断，　立体的放射線診断を行う装置）；　（外部の放射線源を使用するもの　Ａ６１Ｂ６／０２）｝
G01T1/2992	｛特定の画像システムと無関係な放射性同位体データまたは画像の処理；　ビクチャーのオフライン処理，　例．　再走査装置　（放射線強度測定用　Ｇ０１Ｔ１／１６６３；　核物理学または核工学に特に適合するデジタル計算またはデータ処理装置または方法　Ｇ０６Ｆ１５／５２(ＥＣＬＡ)，　例．　画像データ処理のためのもの　Ｇ０６Ｆ１５／５２Ｄ(ＥＣＬＡ)；‘用画像データ処理　Ｇ０６Ｔ１／００；　コンピュータ断層撮影法　Ｇ０６Ｔ１１／００３）｝　　
G01T1/30	放射能物質の半減期の測定　｛（核分裂炉用ペリオド計　Ｇ２１Ｃ１７／１４）｝
G01T1/32	粒子の偏極の測定
G01T1/34	断面積，例．粒子の吸収断面積，の測定
G01T1/36	Ｘ線または核放射線のスペクトル分布の測定　｛発光法　（パルス選択回路それ自体　Ｈ０３Ｋ；　放射回折による材料の調査　Ｇ０１Ｎ２３／２０；　スペクトロメータチューブ　Ｈ０１Ｊ４９／００）｝
G01T1/361	｛異なるタイプの検出器の組合せをもつもの，　例．／コンプトンスペクトロメータ　（検出器の組合せによる強度測定　Ｇ０１Ｔ１／１６０３；　同時回路によるもの　Ｇ０１Ｔ１／１７２；　暫定的に　Ｇ０１Ｔ１／３６　も参照）｝．．<br><br><u>｛注</u><br><br>:Ｇ０１Ｔ１／３６１　が　Ｇ０１Ｔ１／３６２　に優先｝
G01T1/362	｛シンチレーション検出器をもつもの　（暫定的に　Ｇ０１Ｔ１／３６，　Ｇ０１Ｔ１／２０　も参照）｝
G01T1/363	｛チェレンコフ検出器をもつもの｝
G01T1/365	｛イオン化検出器をもつもの　例．≧例計数管　（暫定的に　Ｇ０１Ｔ１／３６　も参照）｝
G01T1/366	｛半導体検出器をもつもの　（暫定的に　Ｇ０１Ｔ１／３６　も参照）｝
G01T1/367	｛抵抗検出器をもつもの　（暫定的に　Ｇ０１Ｔ１／３６　も参照）｝
G01T1/368	｛二次放射検出器を持つもの　（暫定的に　Ｇ０１Ｔ１／３６　参照）｝
