B29D1/00	ねじ山を有する物品の製造
B29D11/00778	｛ハイパーレンズ，スーパーレンズまたはパーフェクトレンズの製造｝
B29D11/00788	｛光学フィルムの製造｝
B29D11/00798	｛拡散器の製造｝
B29D11/00807	｛電子装置と結合したレンズ，例．チップ，の製造｝
B29D11/00817	｛電気活性レンズまたはエネルギーレセプタ，例．電池またはアンテナ，を有するレンズの製造｝
B29D11/00826	｛無線エネルギー伝達のためのエネルギーレセプタを有するもの｝
B29D11/00836	｛非円形，例．楕円形，のレンズの製造｝
B29D11/00846	｛ゼロパワーのレンズの製造｝
B29D11/00855	｛円柱状のレンズの製造｝
B29D11/00865	｛被覆の適用；色付け；着色（印刷，マーキングまたは複写方法Ｂ４１Ｍ；認識一般Ｇ０９Ｆ３／００；装飾効果の創作一般Ｂ４４Ｃ；レンズの位置決めまたはマーキングＢ２４Ｂ１３／００５５）｝
B29D11/00875	｛ライトガイド上のもの｝
B29D11/00884	｛回転塗布｝
B29D11/00894	｛着色または色付け｝
B29D11/00903	｛表面上のもの｝
B29D11/00913	｛本体全体；端から端まで｝
B29D11/00923	｛着色または色付けのためのレンズの表面上のもの（印刷またはマーキング一般Ｂ４１Ｍ）｝
B29D11/00932	｛その切削と研削が組み合わされたもの｝
B29D11/00942	｛切削装置，例．旋盤，に載置するための支持具の中へレンズ材料を載置するもの，および機械加工可能な材料，例．プラスチック，の支持具｝
B29D11/00951	｛測定，制御または規制｝
B29D11/00961	｛マイクロプロセッサまたはコンピュータの使用｝
B29D11/00971	｛金型表面を作製するためのＣＮＣ機械加工の使用｝
B29D11/0098	｛レンズの検査｝
B29D11/0099	｛型に取り付けられたままで行うもの｝
B29D11/02	有機プラスチック材料からなる義眼｛（移植可能な目の部分，義眼Ａ６１Ｆ２／１４）｝
B29D11/023	｛自然の目のための移植｝
B29D11/026	｛２個以上のレンズからなるもの｝
B29D12/00	フレームの製造
B29D12/02	眼鏡縁の製造（構造的な形状Ｇ０２Ｃ）
B29D15/00	歯車または溝もしくは突起を有する類似の物品，例．調節ノブ，の製造
B29D16/00	波形物品の製造（Ｂ２９Ｄ２３／１８が優先）
B29D17/00	細い溝または刻印を有する記録用担体，例．針を用いる録音再生用円盤レコード，円筒レコード，の製造（形成された溝，またはそれに相当するものを用いて音またはその他の情報を記録するものＧ１１Ｂ）；原盤型からのレコード円盤の製造
B29D17/002	｛蓄音レコードの製造｝
B29D17/005	｛光学的に読み取られる記録用担体，例．光ディスク，の製造｝
B29D17/007	｛レコードよりも大きい支持具の上への浮き彫り模様の形成｝
B29D19/00	ボタンまたはボタンの半完成品の製造
B29D19/04	成形部品の切断，フライス加工，旋削加工，打抜きまたは孔あけ；ボタンの表面処理
B29D19/06	加工機に半完成部品を供給する為の装置
B29D19/08	ボタンまたはボタンの半完成部品の孔あけ
B29D21/00	櫛または歯もしくは溝をつけた類似の物品の製造
B29D21/04	鋸びき，フライス加工，切断または類似の作業によるもの
B29D21/06	つや出し
B29D22/00	中空物品の製造（管状体物品Ｂ２９Ｄ２３／００；空気タイヤＢ２９Ｄ３０／００）
B29D22/003	｛包装，保存または運搬のための容器，例．ボトル，広口ボトル，缶，樽，タンク｝
B29D22/006	｛お湯のボトル｝
B29D22/02	膨張可能物品
B29D22/023	｛空気ばね；ふいご（流体ばねの組立てＦ１６Ｆ９／００）｝
B29D22/026	｛輪の形をした端部のあるインナーチューブ（端部のないインナーチューブＢ２９Ｄ２３／２４）｝
B29D22/04	球形の物品，例．ボール（Ｂ２９Ｄ２２／０２が優先）
B29D23/00	管状体物品の製造（Ｂ２９Ｄ２４／００が優先）
B29D23/001	｛パイプ；パイプ継ぎ手（ひだつきホースＢ２９Ｄ２３／１８）｝
B29D23/003	｛パイプ継ぎ手，例．直継手｝
B29D23/005	｛電気配線を備えるもの｝
B29D23/006	｛ひじ継ぎ手｝
B29D23/008	｛Ｔ字継ぎ手｝
B29D23/14	葉巻きタバコ用または紙巻きタバコ用ホルダー
B29D23/18	ひだつき｛のまたは波形の｝ホース
B29D23/20	柔軟性絞り出しチューブ，例．化粧品用
B29D23/24	エンドレスチューブ，例．空気タイヤ用インナーチューブ｛（輪の形をした端部のあるインナーチューブの製造Ｂ２９Ｄ２２／０２６；タイヤ用の膨張可能なインナーチューブＢ６０Ｃ５／００）｝
B29D24/00	中空壁を有する物品の製造｛（Ｂ２９Ｄ９９／００２８が優先）｝
B29D24/001	｛中空稜線またはリブ，例．別々の稜線，で形成されたもの；連続したコルゲート構造（Ｂ２９Ｄ２４／００８が優先）｝
B29D24/002	｛構造体，例．２枚のプレートまたはシートの間に位置する中子，例．部分的に充填されたもの，で形成されたもの（完全に充填されたものＢ２９Ｄ９９／００２１）｝
B29D24/004	｛構造体が垂直または傾斜したリブをもつもの｝
B29D24/005	｛構造体が接合されたリブをもつもの，例．ハニカム｝
B29D24/007	｛および面取りされた端縁をもつもの｝
B29D24/008	｛構造体がリブまたは中子をもつもの｝
B29D25/00	フレームレスドームの製造
B29D28/00	網または類似物，｛例．メッシュ，格子｝，の製造（結節によるものＤ０４Ｇ）
B29D28/005	｛本質的なまたは連続した長さをもつ強化材からなる網構造｝
B29D29/00	ベルトまたはバンドの製造
B29D29/06	コンベアベルト
B29D29/08	有歯駆動ベルト
B29D29/085	｛二重歯付き駆動ベルト｝
B29D29/10	Ｖ字形断面を有する駆動ベルト
B29D29/103	｛多リブ付き駆動ベルト｝
