B29D1/00	ねじ山を有する物品の製造
B29D2030/2642	｛ドラムの円周をプライの長さに一致するようにドラム径を調節するもの｝
B29D2030/265	｛周囲に配置された弾性があり柔軟な一連の要素，例．刃または薄板，から構成される，径方向に膨張および縮小可能なドラムであって，膨張可能な環状スリーブまたはブラダをもつかまはもたないもの｝
B29D2030/2657	｛周囲に配置された剛性を有する一連の要素，例．フィンガーまたはアーム，から構成される，径方向に膨張および縮小可能なドラム｝
B29D2030/2664	｛ドラムが軸方向に分割可能な少なくとも２つの部分からなるもの，例．それらの部分が異なる軸，例．ビードの挿入を促進するためのもの，に支持されるもの｝
B29D2030/2671	｛ドラム上の位置への層，例．ウェブまたはプライ，の保持｝
B29D2030/2678	｛磁石を用いるもの｝
B29D2030/2685	｛機械的手段，例．顎［jaw］，把持手段［gripper］，押圧棒［pressing bar］を用いるもの｝
B29D2030/2692	｛吸引手段，例．真空生成装置，を用いるもの｝
B29D30/28	組み立て工程中の層のロールダウンまたはプレスダウン
B29D30/30	層の装着；装着時の層の案内または引張り｛（トレッドバンドのカーカスへの装着Ｂ２９Ｄ３０／５８；トレッドの再生Ｂ２９Ｄ３０／５４）｝
B29D30/3007	｛環状要素を形成するために，ドラム軸線に垂直にシートを供給しその端部を結合することによるもの（シートを折曲げてその端部を結合するものＢ２９Ｃ５３／４２）｝
B29D30/3014	｛管状の予備成形層のドラム上の滑動によるもの｝
B29D30/3021	｛環状要素を形成するために，連続バンドを供給しそれを渦巻き状に巻取る，すなわち，そのバンドがドラム軸線に沿って相対移動することなく供給される，ことによるもの（渦巻き状の巻付けおよび接合一般Ｂ２９Ｃ５３／５６２）｝
B29D30/3028	｛環状要素を形成するために，連続バンドを供給しそれを螺旋状に巻取る，すなわち，そのバンドがドラム軸線に沿って前進しながら供給される，ことによるもの（螺旋状の巻付けおよび接合一般Ｂ２９Ｃ５３／５８）｝
B29D30/3035	｛環状要素を形成するために，連続する帯状体を供給しそれを前後動（ジグザグ移動）させることによるもの｝
B29D30/3042	｛環状要素を形成するために，長さ方向に切断された要素をドラム軸線に垂直な方向かつドラム軸線に平行な平面上に供給し，その要素を並べて設置するもの｝
B29D30/305	｛環状要素を形成するために，長さ方向に切断された要素をドラム軸線に平行な方向に供給し，その要素を並べて設置するもの｝
B29D30/3057	｛環状要素を形成するために，長さ方向に切断された要素をドラム軸線に対して傾斜した方向に供給し，その要素を並べて設置するもの｝
B29D2030/3064	｛他に分類されない細部，付属品および補助操作｝
B29D2030/3071	｛層の装着中に混入空気を放出するもの，例．装着されるバンド状のタイヤ構成部品に溝，チャネル，通路，孔を作成することによるもの｝
B29D2030/3078	｛装着する層が実質的に連続なもの，すなわち，装着前に切断されていないもの｝
B29D2030/3085	｛装着する層が装着前にすでに適当な長さに切断してあるもの｝
B29D2030/3092	｛層，例．装着するプライ，の配向を変更するもの｝
B29D30/32	ビードリングまたはビードコアの取り付け；リングまたはコアの周りへの織物層の折り重ね
B29D2030/3207	｛ビードの位置決め｝
B29D2030/3214	｛ドラム上のビードの固定；ビード固定領域，例．ドラム肩部の細部｝
B29D2030/3221	｛折り重ね手段，例．ブラダまたは剛性アーム｝
B29D2030/3228	｛ドラムの両側に作用する単一のブラダを用いるもの｝
B29D2030/3235	｛ドラムの両側に作用する２以上のブラダを用いるもの｝
B29D2030/3242	｛かつプライ材料の反対側にブラダを押すための手段，例．ブラダを案内するシュー，ケージ，アーム，を有するもの｝
B29D2030/325	｛手段が半径方向に伸縮可能であるもの｝
B29D2030/3257	｛加圧ローラを用いるもの｝
B29D2030/3264	｛半径方向に伸縮可能な機械的手段，例．周方向に離間したアーム，スプリングローラ，ケージ，を用いるもの｝
B29D2030/3271	｛エアブラストを用いるもの｝
B29D2030/3278	｛ドラム肩上で管状のタイヤ構成要素の端部，例．カーカス，を折り曲げるもの｝
B29D2030/3285	｛ビードの脇や周りの緩衝要素，例．リング，の位置決め｝
B29D2030/3292	｛ビーズとプライとの間に介在するトラップストリップ｝
B29D30/34	互に離れて平行に置かれた二つのビードリングを繊維物またはコード層で一体的に被覆することによるもの
B29D30/36	平らな形状のタイヤの拡張，｛すなわち，組み立て工程とは独立した環状形状への拡張｝，例．フラットタイヤ法または二個のビードリングを一体的に被覆する方法により製造されたタイヤの拡張
B29D30/38	織物挿入物，例．コードまたはキャンパス層，タイヤの為のもの（織物の製造Ｄ０３Ｄ）；タイヤの製造前における挿入物の処理（挿入物の前処理Ｂ２９Ｂ１５／００；相当なまたは連続的な長さの繊維状の平行な強化材からなる層の製造Ｂ２９Ｃ７０／２０）
B29D2030/381	｛補強用の平行なコードを組み込んだ挿入物；その製造｝
B29D2030/383	｛ゴムとの接着性を高めるための補強要素，例．コード，ワイヤおよびフィラメント材料，の化学的取扱い（織物挿入物の化学的予備処理Ｂ２９Ｄ３０／４０；補強材料の予備処理Ｂ２９Ｂ１５／０８；繊維、より糸、糸、織物の処理一般Ｄ０６Ｍ１５／００）｝
B29D2030/385	｛挿入物の製造における中間要素としての管状体を得るために，マンドレル上に連続的に補強されたゴムバンドを巻いたり接合したりして製造されるもの｝
B29D2030/386	｛杆状体が平坦な単層挿入物を得るために切断されるもの｝
B29D2030/388	｛杆状体が２つの層の挿入物を得るために平坦化されるもの｝
B29D30/40	タイヤ組立て前の織物挿入物の化学的予備処理
B29D30/42	ビードリングのない無端状織物バンド
B29D2030/421	｛バンドを作成するための接合方法および装置の一般的な観点（予備成形品の接合一般Ｂ２９Ｃ６５／００）｝
B29D2030/422	｛突き合わせ接合（突き合わせ接合部一般Ｂ２９Ｃ６６／１１４２）｝
B29D2030/423	｛重ね合わせ接合（接合部を重ね合わせるための単一の重ね合わせ一般Ｂ２９Ｃ６６／１１２２；単一の斜角と斜角との接合部一般Ｂ２９Ｃ６６／１１６２）｝
B29D2030/424	｛接合手段が角度調整可能であるもの（接合工具の動きに特徴のある接合手段Ｂ２９Ｃ６６／８３）｝
B29D2030/425	｛接合手段が横方向に調整可能であるもの（接合工具の動きに特徴のある接合手段Ｂ２９Ｃ６６／８３）｝
B29D2030/426	｛接合手段が長手方向に調整可能であるもの（接合工具の動きに特徴のある接合手段Ｂ２９Ｃ６６／８３）｝
B29D2030/427	｛接合領域でのバンドの位置決め（接合すべき部品の位置決め一般Ｂ２９Ｃ６５／７８０２）｝
B29D2030/428	｛重ね合わせ接合領域でのバンドの位置決め（重ね合わせてセットされ接合すべき部品の位置決め一般Ｂ２９Ｃ６５／７８３５）｝
B29D30/44	ドラムへ装着する前の層の引張りまたは処理（装着時はＢ２９Ｄ３０／３０）
B29D2030/4406	｛層の位置を調整するもの｝
B29D2030/4412	｛角度について｝
B29D2030/4418	｛横方向に，例．側方に｝
B29D2030/4425	｛長手方向に｝
B29D2030/4431	｛ガス流の使用によるもの，例．層の上たは下または横に空気流を吹き付けるもの｝
B29D2030/4437	｛層の寸法調整｝
B29D2030/4443	｛層の長さの増加，例．引張りによるもの｝
B29D2030/445	｛層の短縮，例．側縁または厚さに作用するかまたは切断によるもの｝
B29D2030/4456	｛速度差，例．コンベヤ間またはコンベヤとドラムとの間の，の利用によるもの｝
B29D2030/4462	｛把持手段の利用によるもの｝
B29D2030/4468	｛層の保持｝
B29D2030/4475	｛層の静電的充電によるもの｝
B29D2030/4481	｛磁力の利用，例．磁石，によるもの｝
B29D2030/4487	｛機械的手段，例．把持手段［gripper］または押圧棒［pressing bar］，の利用によるもの｝
B29D2030/4493	｛吸引手段，例．真空，の利用によるもの｝
B29D30/46	織物挿入物の所定形状への切断
B29D2030/463	｛切断時の織物挿入物の保持；そのための手段｝
B29D2030/466	｛コード間の織物挿入物の切断｝
B29D30/48	ビードリングまたはビードコア（針金製のものＢ２１Ｆ３７／００）；そのタイヤを組立てる前の処理
B29D2030/481	｛フィラーまたはエイペックス｝
B29D2030/482	｛ビードコアへのフィラーまたはエイペックスの装着｝
B29D2030/483	｛ゴムの接着性を高めるためのビードコアへの処理｝
B29D2030/485	｛ビードコアがゴムに埋め込まれた複数のワイヤを含むバンドを用いて作られるもの｝
B29D2030/486	｛タイヤビード領域のための追加構成部品，例．緩衝要素，チェーファ，ひれ｝
B29D2030/487	｛ビードを製造するための成形装置｝
B29D2030/488	｛成形装置上のワイヤの把持｝
B29D30/50	個々のビードリングまたはビードコアを織物材料，例．フリッパーストリップ，によって包むもの，例．巻き付け（ビードリングまたはビードコアの周りへ織物層を折り重ねるものＢ２９Ｄ３０／１８，Ｂ２９Ｄ３０／３２；ビードリングまたはビードコアを一体的に被覆するものＢ２９Ｄ３０／３４）
B29D30/52	未加硫トレッド，例．中古タイヤに対するもの；トレッドの再生（｛押出加工によりトレッドを｝成形する装置｛Ｂ２９Ｃ４８／００｝；トレッドの加硫｛のための装置｝Ｂ２９Ｃ３５／０２；ホイールまたはその部品を保持する手段により特徴付けられる装置Ｂ６０Ｂ３０／００）
B29D2030/523	｛リング状トレッド｝
B29D2030/526	｛トレッドが静電荷を放電するための手段，例．トレッドゴムよりも高い導電性を有する導電性要素または部分，からなるもの｝
B29D30/54	トレッドの再生
B29D2030/541	｛トレッドの再生の準備のための，トレッドおよび／またはサイドウォールゴムの除去のための，タイヤの研磨，例．バフ研磨｝
B29D30/542	｛硬化のための密封を備えた外皮または膜を用いるもの｝
B29D2030/543	｛その中にタイヤを挿入するための外皮または膜の延展｝
B29D2030/544	｛中間接着層の装着，例．カーカスとトレッドとの間のセメントまたは緩衝要素｝
B29D2030/545	｛熱および圧力を適用するためのチャンバを用いるもの，例．再生タイヤを硬化させるためのオートクレーブ｝
B29D2030/546	｛計測，検出，監視，検査，制御｝
B29D2030/547	｛中実タイヤの再生｝
B29D2030/548	｛老朽化したトレッドのカーカスからの除去，例．トレッドとカーカスとの間に埋め込まれた連続するワイヤの引張りによるもの｝
B29D2030/549	｛支持体の上にタイヤを保持するための手段｝
B29D30/56	予備加硫されたトレッドによるトレッドの再生｛（Ｂ２９Ｄ３０／５４２が優先）｝
B29D30/58	ゴムトレッドバンドの装着，すなわち，キャメルバックの装着
B29D2030/582	｛封入空気，例．トレッドとカーカスとの間に閉じ込められた空気，の通気｝
B29D2030/585	｛カーカス上に取付けるための環状トレッドの径方向の拡張｝
B29D2030/587	｛トレッドとカーカスとを互いに押圧することによる静水圧の利用，例．袋またはブラダ｝
B29D30/60	ストリップの巻付けによるもの
B29D30/62	カーカス上へのトレッドの押出しまたは射出によるもの
B29D30/64	タイヤスプレッダー
B29D30/66	タイヤケース上へのトレッドの成形，例．すべらないスパイク付トレッド
B29D2030/662	｛滑り止め特性を有するトレッド，すなわち．スパイクを有するもの｝
B29D2030/665	｛スパイク以外の挿入物，例．繊維または硬い顆粒，を含むことにより滑り止め特性を有するトレッド｝
B29D2030/667	｛滑り止め特性を有するトレッド，例．特殊なパターンまたは特殊なゴム組成をもつもの｝
B29D30/68	タイヤトレッドへのプロフィルのカッティング
B29D2030/685	｛トレッドの加硫前｝
B29D30/70	環状ブレーカー
B29D2030/705	｛ブレーカーが既定の長さへの連続補強ストリップの切断および適当な支持体，例．トロイダルコアまたはカーカス，の上に並ぶカットストリップの配置によって得られるもの｝
B29D30/72	サイドウォール
B29D2030/722	｛サイドウォールの補強，例．フィラメント，繊維または追加の補強層の使用によるもの｝
B29D2030/724	｛サイドウォールの補強，例．追加の挿入物，例．ゴム，プラスチックまたは他の材料からなるもの，の使用によるもの｝
B29D2030/726	｛タイヤ加硫前のサイドウォールの装飾またはマーキング（タイヤのサイドウォールの保護，装飾，マーキングＢ６０Ｃ１３／００）｝
B29D2030/728	｛タイヤ加硫後のサイドウォールの装飾またはマーキング（タイヤのサイドウォールの保護，装飾，マーキングＢ６０Ｃ１３／００）｝
B29D33/00	軸受け用のブッシュの製造
B29D35/00	履物の製造<br><br><u>注</u><br><br>１．成形技術が重要ならば，主題事項はこのグループに分類する。<br>２．機械的接合による個々の部品の組立はサブクラスＡ４３Ｄに分類する，例．靴部品の接着によるものＡ４３Ｄ２５／００
B29D35/0009	｛射出成形によるもの；そのための装置｝
B29D35/0018	｛型｝
B29D35/0027	｛最終施工；そのための取付物｝
B29D35/0036	｛置換可能な底板を有するもの｝
B29D35/0045	｛型の穴のための封印手段｝
B29D35/0054	｛圧縮成形，加硫釜または類似のものによるもの；そのための装置｝
B29D35/0063	｛型｝
B29D35/0072	｛最終施工；そのための取付物｝
B29D35/0081	｛置換可能な底板を有するもの｝
B29D35/009	｛型の穴のための封印手段｝
B29D35/02	射出成形や注型成形のような成形技術を用いて一体に作られるもの
B29D35/04	多層部品を有するもの
B29D35/06	射出成形，加圧，加硫などの成形技術を用いてあらかじめ成形してある甲被に，底またはかかとを成形して接合したもの
B29D35/061	｛射出成形によるもの｝
B29D35/062	｛あらかじめ成形してある甲被に成形材料を接合する手段を用いるもの｝
B29D35/064	｛あらかじめ成形してある甲被のために特定の材料を用いるもの｝
B29D35/065	｛圧縮成形，加硫釜または類似のものによるもの｝
B29D35/067	｛あらかじめ成形してある甲被に成形材料を接合する手段を用いるもの｝
B29D35/068	｛あらかじめ成形してある甲被のために特定の材料を用いるもの｝
B29D35/08	多層部品を有するもの
B29D35/081	｛射出成形によるもの｝
B29D35/082	｛底の外側部分を最初に射出するもの｝
B29D35/084	｛交換可能な型要素を用いるもの｝
B29D35/085	｛圧縮成形，加硫釜または類似のものによるもの｝
B29D35/087	｛底の外側部分を最初に射出するもの｝
B29D35/088	｛交換可能な型要素を用いるもの｝
B29D35/10	プラスチック材料を供給するか，または射出するような成形技術を用いて，あらかじめ成形してある甲被に，あらかじめ形成してある底またはかかとを接合したもの
B29D35/12	そのための部品，例．底，かかと，甲被，を成形技術により製造
B29D35/122	｛底｝
B29D35/124	｛かかと｝
B29D35/126	｛甲被｝
B29D35/128	｛それらのための型または装置｝
B29D35/14	多層部品
B29D35/142	｛底｝
B29D35/144	｛かかと｝
B29D35/146	｛甲被｝
B29D35/148	｛それらのための型または装置｝
B29D99/00	このサブクラスの他のグループに分類されない主題事項
B29D99/0003	｛プロファイル部材，例．ビーム，の製造｝<br><br><u>警告</u><br><br>グループＢ２９Ｄ９９／０００３はグループＢ２９Ｄ９９／０００５への再分類の影響を受ける。<br>グループＢ２９Ｄ９９／０００３およびＢ２９Ｄ９９／０００５はコンプリートサーチの完遂のために考慮されるべきである。
B29D99/0005	｛麺状のものの製造，すなわち合成間隙フィルター，その構造に特徴があるもの｝<br><br><u>警告</u><br><br>グループＢ２９Ｄ９９／０００５はグループＢ２９Ｄ９９／０００３からの文献の再分類が未完成であり保留されている。<br>グループＢ２９Ｄ９９／０００３およびＢ２９Ｄ９９／０００５はコンプリートサーチの完遂のために考慮されるべきである。
B29D99/0007	｛可変的な断面をもつもの｝
B29D99/001	｛壁またはパネル状の構造物の製造，例．船体，飛行機の胴体または建物のためのもの（中空壁を有する物品Ｂ２９Ｄ２４／００）｝
B29D99/0014	｛稜線またはリブ，例．結合したリブ，を有するもの｝
B29D99/0017	｛リブの窪みが埋められたもの｝
B29D99/0021	｛プレーンまたは充填された構造体で提供されるもの，例．２以上のプレートまたはシート，例．鋳型，の間に置かれた中子｝
B29D99/0025	｛羽根または類似物，例．タービン，プロペラまたは翼の羽根，の製造｝
B29D99/0028	｛一部がへこんだ羽根｝
B29D99/0032	｛回転する本体，例．ローラ，ホイール，プーリまたはピニオン，の製造（軸受け用のブッシュＢ２９Ｄ３３／００；歯車Ｂ２９Ｄ１５／００）｝
B29D99/0035	｛軸の長さが直径の数倍あるローラまたは円筒，例．エンボス加工，プレスまたは印刷するためのもの｝
B29D99/0039	｛甲板の製造｝
B29D99/0042	｛通常のボールの製造（中空ボールＢ２９Ｄ２２／０４）｝
B29D99/0046	｛棒の製造（繊維強化樹脂製の連接棒Ｆ１６Ｃ７／０２６）｝
B29D99/005	｛膜の製造｝
B29D99/0053	｛封印の製造（Ｂ２９Ｄ９９／００８５が優先）｝
B29D99/0057	｛床敷物の製造｝
B29D99/006	｛ケーシング，例．蓄電池ケース，の製造｝
B29D99/0064	｛衣服の製造｝
B29D99/0067	｛手袋｝
B29D99/0071	｛マスク，例．ガスマスク｝
B29D99/0075	｛水泳帽｝
B29D99/0078	｛繊維状物質の製造｝
B29D99/0082	｛閉じたループの形状をした物品，例．リング，の製造（Ｂ２９Ｄ２９／００が優先）｝
B29D99/0085	｛封印目的のためのもの｝
B29D99/0089	｛ハニカム構造物の製造（多孔質のセラミック製品からなるものＣ０４Ｂ３８／０００６）｝
B29D99/0092	｛室内装飾品，例．クッション，腰掛け，の製造（Ｂ２９Ｃ６３／０２５が優先）｝
B29D99/0096	｛容器のための閉鎖部材，例．閉鎖キャップまたはストッパー，の製造｝
