B67B2007/047	｛摩擦を低減するための手段｝
B67B2007/0476	｛ねじのコーティングによるもの｝
B67B2007/0482	｛転がり軸受の使用によるもの｝
B67B2007/0488	｛温度を測定するための手段｝
B67B2007/0494	｛レバーアームを変じるための手段｝
B67B7/06	他のコルク栓取り外し具
B67B7/063	｛コルクとびんの首部の内面との間に挿入する１枚以上の刃を用いるもの｝
B67B7/066	｛加圧びん，例．シャンパンまたはスパークリングワインのびん，を開けるのに特に適合されたもの｝
B67B7/08	空気又はガス圧を用いるもの
B67B7/10	容器内から栓を取り出すための手段をもつもの
B67B7/12	円盤状閉鎖具を取り外すためのもの
B67B7/14	ぴったり閉まった蓋またはカバー，例．くつ磨き用缶の，をつかんでまわすことによって取り外すためのもの 
B67B7/15	フィンガ部でつかむタイプのもの 
B67B7/16	フランジ付きキャップ，例．王冠，を取り外すためのもの 
B67B7/162	｛取り外し装置が少なくとも２つの関節連結された部品から形成されているもの，例．プライヤ（Ｂ６７Ｂ７／１６４が優先）｝
B67B7/164	｛動力操作式装置｝
B67B2007/166	｛指に開け具を取り付けるための手段｝
B67B2007/168	｛計数するための手段｝
B67B7/18	ねじキャップを取り外すためのもの（Ｂ６７Ｂ７／１４が優先，レンチＢ２５Ｂ１３／００）
B67B7/182	｛動力操作式｝
B67B7/184	｛キャップのスカートまたは容器本体を摩擦力によって把持するたわみ輪を用いるもの｝
B67B7/186	｛輪が長さを調整できるもの｝
B67B2007/188	｛指に開け具を取り付けるための手段｝
B67B7/20	保存用広口びんの本体と蓋またはカバーとの間の真空シールを破るためのもの，例．くさび作用によるもの 
B67B7/22	シールのまわりに締め付けられるループ，例．金属線の，を組み込んだもの 
B67B7/24	｛穿孔装置｝
B67B7/26	｛スパウトと組み合わせたもの｝
B67B7/28	｛リセプタクルホールダーと結合したもの｝
B67B7/30	｛手動切断装置｝
B67B2007/303	｛缶切り｝
B67B2007/306	｛計数するための手段｝
B67B7/32	｛容器周面上の回転ギアまたはホイールにより進むもの｝
B67B7/34	｛回転自在のカッターを有するもの｝
B67B7/36	｛壁面上に装着できるよう調整したもの｝
B67B7/38	｛動力操作式切断装置（複数の交換可能なユニットを備えた家庭用の機械Ａ４７Ｊ４３／０６，Ａ４７Ｊ４４／００）｝
B67B7/385	｛手で持てるように特に適合されたもの｝
B67B7/40	引き剥がすことによって開けるために，タグ，ストリップまたはつまみに係合させる装置，例．サーディン缶を開けるための穴あきキー 
B67B7/403	｛開口用プルタブの環状部の係合のために適合されたもの｝
B67B7/406	｛続いて缶頂部を引き裂くもの｝
B67B7/42	たる栓の取り外し装置 
B67B7/44	組合せ工具，例．コルクスクリュー，缶穴あけ具，王冠栓抜きを有するもの（切断工具と開口装置の組合せＢ２６，他の目的に役立つ装置をもつもの，適切な箇所を参照，例．Ｂ２５Ｆ，Ｂ４３Ｋ２９／００） 
B67B7/92	破断によるもの，例．アンプル用
B67B2201/00	閉鎖機械の構造的特徴に関するインデキシングコード
B67B2201/01	閉鎖手段を方向付けるもの
B67B2201/012	栓
B67B2201/015	筒状栓
B67B2201/017	キャップ
B67B2201/03	２個の閉鎖具を容器上に適用するもの
B67B2201/06	キャップを供給する装置の細部
B67B2201/065	磁石の使用
B67B2201/08	無菌機能
B67B2201/10	スピンドルにキャップイングヘッドを接続するための迅速または容易な連結手段
B67B2201/12	スプレーキャップ，すなわち，容器から内容物を取り出すためのポンプおよびチューブからなるキャップ，に関する細部
