G21F5/12	容器のための閉鎖装置；密封装置
G21F5/125	
G21F5/14	容器またはシッピングキャスクを取り扱うための装置，例．輸送装置　｛荷積みまたは荷おろし，容器の充填（クレーン，クレーン用荷係合要素または器具，キャプスタン，巻き上げ機または滑車装置Ｂ６６Ｃ）｝
G21F7/00	遮蔽されたセルまたは部屋（マニプレータ装置を備える室一般Ｂ２５Ｊ）
G21F7/005	壁を貫通する遮蔽された通路；閉鎖装置；部屋間の移送装置（グローブボックス間Ｇ２１Ｆ７／０４７）
G21F7/01	流体手段による移送
G21F7/015	部屋の雰囲気，温度または圧力制御装置
G21F7/02	観測者を遮蔽するが目視可能な観測装置　｛（光学系それ自体Ｇ０２）｝
G21F7/03	窓，例．遮蔽されたもの
G21F7/04	遮へいされたグローブボックス（グローブボックス一般Ｂ２５Ｊ２１／０２）
G21F7/041	｛グラブボックスの空気，温度または気圧制御装置（一般Ｇ２１Ｆ７／０１５）｝
G21F7/043	｛照明｝
G21F7/045	｛移動式グラブボックス｝
G21F7/047	遮蔽された通路；グローブボックス間の閉鎖または移送手段
G21F7/053	グローブ取り付け手段
G21F7/06	遠隔操作装置との構造的組合せ，例．マニプレータとの組合せ（マニプレータＢ２５Ｊ；遠隔制御一般Ｇ０５）
G21F7/061	｛統合されたマニピュレーター｝
G21F7/062	｛壁面に据付けられたもの，例．旋回可能に据付けられたもの（一般Ｆ１６Ｊ１５／５０，Ｆ１６Ｊ１５／５２）｝
G21F7/063	｛遠隔操作される計測または制御装置（窓と連結したものＧ２１Ｆ７／０２）｝
G21F7/065	｛遠隔操作される機械類｝
G21F7/066	｛遠隔操作される道具類｝
G21F7/067	｛セルまたは箱内における移送手段（セル間のものＧ２１Ｆ７／００５，Ｇ２１Ｆ７／０４７）｝
G21F7/068	｛液体用遠隔操作装置｝
G21F9/00	放射性汚染物質の処理；そのための汚染除去装置<br><br><u>｛注</u><br><br>　このメイングループにおいては，２００３年１月１日以降，新しい文献はＥＣＬＡの改良された手法にしたがって分類されている。すなわち，重要な（発表に関する）情報はＩＣＯの分類記号，例えばＧ２１Ｆ９／０６が付与された（補助的）情報以外に，ＥＣＬＡの分類記号，例えばＧ２１Ｆ９／０６で識別される。　｝
G21F9/001	｛汚染物質，装置，衣類および食料の汚染除去；それらの汚染防止｝
G21F9/002	｛化学的または電気化学的方法による物質表面の汚染除去｝
G21F9/004	｛金属調表面のもの｝
G21F9/005	｛削摩による物質表面の汚染除去｝
G21F9/007	｛放射性廃棄物，例．核爆発生成物，からの同位元素の回収（同一化学元素からの異なる同位体分離Ｂ０１Ｄ５９／００）｝
G21F9/008	｛放射性汚染物質の混合または処理に特に適合する装置（Ｇ２１Ｆ９／３０５およびＧ２１Ｆ９／３０８が優先）｝
G21F9/02	気体の処理
G21F9/04	液体の処理．<br><br><u>｛注</u><br><br>１．このグループにおいては，下記の用語は以下に示す意味で用いる:．　−液体とは標準温度および標準圧力の条件の下で液体である物質を意味する。．２．溶融金属および真皮は固体に分類される。泥は乾いていない限り液体に分類される｝
G21F9/06	処理方法（同一化学元素の異なる同位体分離Ｂ０１Ｄ５９／００）
G21F9/08	蒸発によるもの；蒸留によるもの
G21F9/10	凝集沈殿によるもの
G21F9/12	吸収によるもの；吸着によるもの；イオン交換によるもの
G21F9/125	｛溶媒抽出によるもの｝
G21F9/14	焼却によるもの；加焼，例．乾燥，によるもの
G21F9/16	安定な固体媒体に固定する方法　｛Ｇ２１Ｆ９／３０５が優先｝
G21F9/162	｛無機マトリクス，例．粘土，ゼオライト，に含まれるもの｝
G21F9/165	｛セメントまたはセメント状マトリクス（組成的側面Ｃ０４Ｂ）｝
G21F9/167	｛ポリマー・マトリクス，例．樹脂，タール，に含まれるもの｝
G21F9/18	生物的方法
