A42B3/224	｛電気的作動手段を有するもの｝
A42B3/225	｛顔面全体の保護を有するもの，例．産業安全装備用のもの｝
A42B3/226	｛日焼け止め，例．着色または二重面頬，を有するもの｝
A42B3/227	｛日除け，例．顔面開口の上のひさし｝
A42B3/228	｛軍または航空の用途のためのもの（防護ヘルメットＦ４１Ｈ１／０４；呼吸マスクまたはヘルメットＡ６２Ｂ１８／００）｝
A42B3/24	霧または曇りを避ける手段を有するもの
A42B3/245	｛加熱するための手段を用いるもの，例．面頬の電気的加熱｝
A42B3/26	清掃手段，例．ワイパー，を有するもの；｛可動または交換可能な視覚フィルムまたはシート｝
A42B3/28	通風手段の配置（Ａ４２Ｂ３／２４が優先）
A42B3/281	｛空気導管システム｝
A42B3/283	｛空気の入口または出口，閉鎖シャッターを備えるまたは備えないもの｝
A42B3/285	｛追加的な加熱または冷却の手段を有するもの｝
A42B3/286	｛強制的な流れを有するもの，例．送風器によるもの｝
A42B3/288	｛呼吸器または呼吸用マスクを取付けるための手段を有するもの｝
A42B3/30	ラジオセットまたは通信システムを取付けるもの
A42B3/303	｛ライダーまたは乗客との間の通信｝
A42B3/306	｛音響娯楽システム｝
A42B3/32	折り畳み式のヘルメット；分解可能なパーツで作られたヘルメット；｛可動，例．調節可能な，部品を有するヘルメット｝
A42B3/322	｛折り畳み式のヘルメット｝
A42B3/324	｛調節可能なヘルメット｝
A42B3/326	｛可動または分解できる顎先または顎防具を有するヘルメット｝
A42B3/328	｛分解を容易にするための手段を有するもの，例．事故後のもの｝
A42B5/00	ベール；ベール保持具
A42B7/00	頭を覆うものの取り付け手段；弾性紐；婦人帽の取り付け手段（ハットピンＡ４４Ｂ９／０６）
