D06N3/18	異なる高分子材料の２層をもつもの（Ｄ０６Ｎ３／０８が優先）；｛（同一の種類の高分子材料の２層によるものＤ０６Ｎ２２１３／０３）｝
D06N3/183	｛それらの層が互いに隣接するもの｝
D06N3/186	｛層の一つが繊維ウェブの一つの表面であり他の層が繊維ウェブの他の表面であるもの｝
D06N5/00	｛ビチューメンまたはその他の重合体，例．ピッチ，で被覆された繊維ウェブからなるルーフィング材料（瀝青質材料の組成物Ｃ０８Ｌ９５／００；屋根ふきＥ０４Ｄ５／００，屋根の下張りＥ０４Ｄ１２／００２）｝
D06N5/003	｛ビチューメンで被覆されたもの｝
D06N5/006	｛支持体または他の屋根膜，例．自己接着性の層または細片，へのそれの適用に特徴のあるもの｝
D06N7/00	他に分類されない柔軟なシート材料，例．高分子材料上に接着されたより糸，フィラメント，糸またはトウ（表面カバー用の紙または板紙の構造Ｄ２１Ｈ２７／２０）
D06N7/0002	｛織物基材上の壁紙または壁の被覆｝
D06N7/0005	｛最上層上が重合体からなる少なくとも一つの層で覆われた繊維基材からなる織物基材上の床の被覆｝
D06N7/0007	｛それらの浮き彫り構造に特徴のあるもの｝
D06N7/001	｛機械的エンボスで得られるもの｝
D06N7/0013	｛化学的エンボス（化学的型押し）で得られるもの｝
D06N7/0015	｛発泡剤阻害剤または分解開始剤阻害剤，例．トリメリット酸無水物，トリアゾール，の使用｝
D06N7/0018	｛発泡剤用分解開始剤の使用，例．加速方法｝
D06N7/0021	｛膨潤剤の使用｝
D06N7/0023	｛物理的手段，例．選択加熱または選択照射，で得られるもの；処理中のある領域のマスキング｝
D06N7/0026	｛成形によって得られるもの，例．テーブル成形（絨毯成形）｝
D06N7/0028	｛色彩効果に特徴のあるもの，例．網の目状ひび，艶抑え（焼結によるテラゾＤ０６Ｎ７／００５７）｝
D06N7/0031	｛同一層内の２種以上の染料，顔料，光沢剤の混合物｝
D06N7/0034	｛２種以上の異なった色彩層｝
D06N7/0036	｛それらの裏打ち，例．２次裏打ち，裏のり付け，に特徴のあるもの｝
D06N7/0039	｛層の物理的または化学的観点に特徴のあるもの｝
D06N7/0042	｛伝導層または絶縁層；帯電防止層；防炎層｝
D06N7/0044	｛シール層またはバリヤ層，例．溶剤，アスファルト，可塑剤｝
D06N7/0047	｛表面被覆下の特殊追加層，例．ワイヤー細線｝
D06N7/0049	｛繊維層；繊維補強剤；繊維充填剤｝
D06N7/0052	｛配合成分，例．硬質要素（高分子塗料の配合成分Ｄ０６Ｎ３／００５６）｝
D06N7/0055	｛コルク，ゴム粒子，再生樹脂粒子，磁性粒子，金属粒子，ガラスビーズのような粒状材料｝
D06N7/0057	｛粒剤を焼結または接着して得られる層｝
D06N7/006	｛基材ウェブとしての繊維基質に特徴のあるもの（中間繊維ウェブ用のものＤ０６Ｎ７／００４９）｝
D06N7/0063	｛少なくとも一つの重合体層で裏打ち被覆された繊維最上層からなる繊維基材上の床の被覆，例．カーペット，敷物，剛性芝生｝
