A24F27/00	マッチ容器または箱（点火表面の成分，マッチＣ０６Ｆ）
A24F27/02	マッチを別に収納するための装置を有するもの
A24F27/04	マッチ容器の保護カバー
A24F27/06	風よけを有するもの
A24F27/08	マッチ箱用スタンド
A24F27/10	壁に支持されるマッチ容器またはマッチ箱
A24F27/12	マッチ−ブック
A24F27/14	マッチ分配具；帯状に配置したマッチの分配具
A24F27/16	ポケット用のもの
A24F27/18	自然発火を防ぐ装置を有するもの
A24F27/20	分配された時にマッチを発火する装置を有するもの
A24F27/22	家庭用のもの
A24F27/24	自然発火を防ぐ装置を有するもの
A24F27/26	分配された時にマッチを発火する装置を有するもの；マッチ小片点火器
A24F29/00	マッチ発火装置；発火したマッチの保持具
A24F31/00	パイプ火付具；マッチを分裂させる装置
A24F40/00	電気的に作動される疑似喫煙具；その構成部品；その製造；その保全または試験；そのために特に適合される充電手段
A24F40/05	加熱手段がない装置
A24F40/10	液状の吸入可能な前駆体を用いる装置
A24F40/20	固体状の吸入可能な前駆体を用いる装置
A24F40/30	二以上の構造的に分離された吸入可能な前駆体を用いる装置，例．二つのカートリッジに二つの液状の前駆体を用いるもの
A24F40/40	構造的細部，例．カートリッジとバッテリー部品の接続
A24F40/42	吸入可能な前駆体のためのカートリッジまたは容器
A24F40/44	ウィック
A24F40/46	電気的加熱手段の形状または構造
A24F40/465	誘導加熱に特に適合されるもの
A24F40/48	流体輸送手段，例．ポンプ
A24F40/485	弁；孔
A24F40/49	チャイルドプルーフ
A24F40/50	制御または監視
A24F40/51	センサーの配置
A24F40/53	監視，例．障害検知
A24F40/57	温度制御
A24F40/60	ユーザインターフェースと一体化された装置
A24F40/65	通信手段と一体化された装置，例．Ｗｉ−Ｆｉ
A24F40/70	製造
A24F40/80	試験
A24F40/85	保全，例．掃除
A24F40/90	バッテリー充電に特に適合される配置または方法
A24F40/95	ケースと構造的に結合したもの
A24F42/00	電気的に作動されるもの以外の擬似喫煙具；その構成部品；その製造または試験
A24F42/10	化学的加熱手段付きの装置
A24F42/20	加熱手段のない装置
A24F42/60	構造的細部
A24F42/80	製造
A24F42/90	試験
A24F47/00	他に分類されない喫煙具
A24F2700/00	たばこパイプ；喫煙パイプ用の火ざらカバーまたは付属品
A24F2700/01	折りたたみ式パイプおよびパイプ一般
A24F2700/03	煙の冷却またはジグザグ循環を伴うパイプ
A24F2700/04	吸収材料を充てんしたパイプ，煙をフィルターに通す装置を有するパイプ
A24F2700/08	喫煙パイプ用の火ざらカバーまたは付属品
