A43D11/03	つま先部またはかかと部を補強するための熱塑性材による被覆
A43D11/04	靴部品，腰革または類似のものの縫割をプレスまたは平たんにする機械（釣込まれた靴についてはＡ４３Ｄ５５／００）
A43D11/06	靴部品に一時的にボタン付けする機械
A43D11/08	靴部品に仮ひも通しする機械または釣込み後に仮ひもを切断する機械
A43D11/085	｛ひも通し機械｝
A43D11/10	釣込み中定位置に仮ひも通し部を保持する装置
A43D11/12	靴のつま先部またはかかと部を癖付けするために，熱を使用したりまたは使用しない機械
A43D11/14	靴部品を蒸気によりまたは液体によって処理するための装置，例．補強物（底付けされた靴用のものＡ４３Ｄ９５／１２）
A43D11/145	｛靴部品を連続的に機械に移送する手段，例．輸送チェーン，を有するもの｝
A43D13/00	靴型にゆるく取付けられた甲被を仮釣りし，かつつま先部をタックス留めする機械
A43D13/02	仮釣り機械上に爪先または補強物を載置する機械
A43D15/00	コード，紐，またはワイヤーでつま先を締め付ける式の仮釣り機械または釣込み機械；クランプを有する釣込み機械；縫い付け機構をもつ釣込み機械，またプラットフォームをもつ靴用のもの（革または靴用特別縫い付け機械Ｄ０５Ｂ）
A43D17/00	かかとが左右に動く靴支持具を有する仮釣り機または釣込み機械
A43D19/00	手持釣込み具；釣込み用やっとこ
A43D19/02	釣込みやっとこと共用するタックス打具または釣打具
A43D21/00	釣込み機械
A43D21/003	｛靴のふまず部を形成するための釣込みひも，引っ張りひもまたは類似のものを有するもの｝
A43D21/006	｛回転する釣込み手段を有するもの｝
A43D21/02	一個のシングルグリップで釣込むもの
A43D21/04	靴の反対側を交互に釣込むもの
A43D21/06	木製底用のもの（Ａ４３Ｄ２１／１６，Ａ４３Ｄ２１／１８が優先）
A43D21/08	靴型支持具をもち水平および垂直に動くことのできるつま先またはかかと抱持用ワイパーを有するもの（Ａ４３Ｄ２１／１６が優先）
A43D21/10	ベッドラスター
A43D21/12	靴型につま先部またはかかと部を成形するための釣込み用クランプ，｛ピンサー，｝靴成形用クランプ，ワイパー，引張りひも，または類似のものを有するもの｛（Ａ４３Ｄ２１／１６，Ａ４３Ｄ２１／１８が優先）｝
A43D21/122	｛ピンサーおよびクランプを有するもの｝
A43D21/125	｛複数のピンサーを有するもの（Ａ４３Ｄ２１／１２２が優先）｝
A43D21/127	｛ワイパーを有するもの（Ａ４３Ｄ２１／１６，Ａ４３Ｄ２１／１８が優先）｝
A43D21/14	つま先またはかかと部分のためのもの，釘打ち装置を有するもの
A43D21/16	釣込みピンサー｛および｝つま先抱持用またはかかとの抱持用ワイパーを有するもの
A43D21/163	｛かかとの抱持用ワイパーを有するもの｝
A43D21/166	｛つま先抱持用のワイパーを有するもの｝
A43D21/18	釣込みピンサーおよび直線に動くワイパーをもつもの，また靴のふまず部を成形するもの
A43D23/00	仮釣り機械または釣込み機械用の単一部品（釘打ち装置Ａ４３Ｄ７５／００）
A43D23/02	ワイパー；底プレス；靴型支持具；ピンサー
A43D23/022	｛底プレス｝
A43D23/025	｛靴型支持具｝
A43D23/027	｛ピンサー｝
A43D23/04	靴型移送具；製靴用ガイド
A43D23/06	甲被または裏の余分な材料をさらえる装置
A43D25/00	靴部品を接着するための装置
A43D25/047	接着剤により釣込みする装置または中底と甲皮を接着する装置（Ａ４３Ｄ２５／１８，Ａ４３Ｄ２５／２０が優先）
A43D25/053	回転する把持手段を有するもの
A43D25/06	靴の底部に底を接着する装置（Ａ４３Ｄ２５／１８，Ａ４３Ｄ２５／２０が優先）
A43D25/063	｛閉回路内の多段加圧装置，例．回転する多段加圧装置｝
A43D25/066	｛かかとを靴の底部に接着するためのかかとクランプまたはかかとプレス｝
A43D25/07	弾性ダイアフラム型加圧装置を用いるもの
A43D25/08	細革をつける装置
A43D25/10	プレス用パッドまたは靴接着用プレスの他の支持具
A43D25/12	かかとにかかとあごを接着する装置またはかかとに被覆物を接着する装置（Ａ４３Ｄ２５／１８，Ａ４３Ｄ２５／２０が優先）
A43D25/123	｛かかとにかかとあごを接着する装置｝
A43D25/126	｛かかとに被覆物を接着する装置｝
A43D25/14	靴の底部に詰め物をする装置
A43D25/16	プラットフォームをもつ靴を接着させる装置
A43D25/18	靴部品に接着剤を塗布する装置（Ａ４３Ｄ２５／２０が優先；液体または他の流動性物質を表面に適用するもの一般Ｂ０５）
A43D25/181	｛ローラによるもの｝
A43D25/183	｛ノズルによるもの｝
A43D25/185	｛刻印版によるもの｝
A43D25/186	｛浸漬によるもの｝
A43D25/188	｛格子によるもの｝
A43D25/20	接着剤を活性化するためのまたは硬化を促進するための装置，例．加熱によるもの
A43D27/00	中間作業としてのトリミングのための機械（靴部品素材の端縁または周縁に対する加工，例．トリミングによるＡ４３Ｄ８／３２；製靴最終作業としてのトリミングＡ４３Ｄ８７／００）
A43D27/02	靴の底部に固着された底またはかかと用のもの｛（底または積上革用のスタンプ押しまたは押し型Ｃ１４Ｂ）｝
A43D27/04	靴の底部に固着された底のかかと端部用のもの｛（ルーズ底上のものＡ４３Ｄ８／４６）｝
A43D27/06	かかとあごのまくりの端切り機
A43D29/00	帯状材料片より底を作る機械
A43D31/00	ふまず補強物を製造またはそう入する機械
A43D31/02	ふまず補強物を製造する機械
A43D31/04	ふまず補強物をそう入する機械
A43D33/00	かかと用の積上革を組立てる機械（かかとの積上革を打抜くものＡ４３Ｄ８／０２）
A43D33/02	積上革用ゲージ；積上革を積み重ねるための容器
A43D33/04	積上革でかかとを造るための釘打ち機械
A43D33/06	積上革を分類する機械
A43D35/00	先在のルーズ底，靴の底部または靴の底部に固着される底を形成するためのプレス（靴の底部に接着するものＡ４３Ｄ２５／０６）
A43D37/00	接着の準備として底または他の靴部品をあらくする機械
A43D37/005	｛使用される際に回転する道具の構造的細部に特徴のあるもの｝
A43D39/00	足支持用パッドまたは扁平足整形具を作る機械
A43D43/00	縫いみぞを作る機械または底または中底を固着する前におこなう他の前処理用機械（底または中底の屈曲Ａ４３Ｄ８／５２）
A43D43/02	切截によって縫いみぞを作るためのもの
A43D43/06	中底に補強材を取付けるためのもの；底または類似のものに装飾用テープまたはリブ，例．縫製作リブ，を取付けるためのもの
A43D44/00	細革を取付けるまたは底ならし革を取付ける機械
A43D47/00	甲被に固着された細革を端切りし，またはたたく機械
A43D49/00	パウンディング機
A43D51/00	縫いみぞを伏せる機械
A43D53/00	すくい縫部の余剰をさらえとる機械
A43D55/00	釣込みされた靴のすくい縫部を平らにし，押圧し，または押しつぶす機械
A43D57/00	細革の端部の取付け機
A43D59/00	マッケー縫靴で（表底をはるため）釣込み代を銀むきする機械
A43D61/00	釘引張り機，釘切断機，または釘検出機
A43D63/00	他の仕上作業用機械
A43D67/00	底またはかかとをねじまたはワイヤーで締め付ける機械
A43D69/00	靴用釘打ち機（釘打ち機一般Ｂ２７Ｆ）
A43D69/005	｛代替材料，例．革，で作られた釘を用いるもの｝
A43D69/02	既成くぎを使用するもの
A43D69/04	ワイヤーから，または金属小片から，またはその他の材料から釘を作り出すための装置を有するもの
A43D69/06	既成ステイプルを使用するもの
A43D69/08	ステイプルを製造するための装置をもつもの
A43D69/10	既成木釘を使用するもの
A43D69/12	木の小片から木釘を作り出す装置を有するもの
A43D69/14	木製底をもつ釘の釣込み代に靴打ちまたはステイプル打ちをするためのもの
A43D71/00	釘打ち機の要素；釘送り装置
A43D71/02	つのを動かすための駆動機構；つのと関連した釘切断装置
A43D75/00	仮釣りまたは釣込み機械用の釘打ち装置
A43D79/00	かかとプレスと釘打ちとを組合せた機械
A43D81/00	化粧革取付け機
A43D83/00	釘打ち機構をもたないかかとプレス；単一積上革をプレスしまたは釘打ち釘の孔をあける機械
A43D85/00	裏返えすための機械または装置，例．ターンシューを作るためのもの
A43D86/00	底またはかかとを甲皮に組み立てるための機械で，グループＡ４３Ｄ２５／００〜Ａ４３Ｄ８３／００に分類されないもの，例．溶接による
A43D87/00	コバ削機またはかかと削り機；かかとあごのトリミング機（木製かかと用の切截機械Ｂ２７Ｍ；倣い機械Ｂ４４Ｂ）
A43D89/00	ロールを有する底平たん機
A43D91/00	細革目付け機
A43D93/00	コバ目付け機
A43D95/00	靴仕上げ機械
A43D95/02	しわ，ひだ，または類似のものを除去するために靴甲被を処理しまたはなめらかにするための機械
A43D95/04	みぞふたを伏せるための機械
A43D95/06	着色するためのまたは化学処理するための機械；底の底部を装飾するもの（つや出しＡ４３Ｄ９５／２０）
A43D95/08	ほこりを取除くことによりまたはほこりを取除かずに光らせ，研削し，または仕上げをするための機械または道具（ほこりを取除くための吸取りクリーナーＡ４７Ｌ５／００；履物の家庭用クリーニングＡ４７Ｌ２３／００）
A43D95/10	靴用の乾燥または加熱装置
A43D95/12	履心地の改善，熟成，または与湿するための装置（仮釣りまたは釣込みの準備のものＡ４３Ｄ１１／１４）
A43D95/125	｛靴部品を連続的に機械に移送する手段，例．輸送チェーン，を有するもの｝
A43D95/14	印をつける器具，模様をつける器具，または型押し器具を合体するもの（靴部分の素材の装飾Ａ４３Ｄ８／１６；印刷それ自体，押印それ自体Ｂ４１）
A43D95/16	製靴用つや出し道具（つや出し具一般Ｂ２４Ｄ）
A43D95/18	製靴用つや出し道具を加熱する器具
A43D95/20	底またはかかとをつや出しする機械
A43D95/22	コバ目付具を有するかまたは有しない底のコバのつや出し機
A43D95/24	底を磨く機械
A43D95/26	ワックスがけする機械
A43D95/28	底またはかかとに保護具を取付ける機械
A43D97/00	引張り片を作る機械（靴のつまみをつける機械）
A43D98/00	靴ひもを作るための機械（革のものＣ１４Ｂ；編みひも一般Ｄ０４Ｃ）；靴ひも端部にファイバーまたはセルロイドを取付けるもの（金属板からひも先きの金具を製造するものＢ２１Ｄ；ワイヤーからのものＢ２１Ｆ）
A43D100/00	鳩目，ボタン，靴ひも用フック，または弾性あて片を靴に取付けまたは靴から取外しするもの
A43D100/02	孔あけおよび鳩目取付け用の機械または道具（衣服用一般Ａ４１Ｈ３７／０２）
A43D100/04	かくし鳩目をそう入するもの
A43D100/06	同時に２ケの鳩目をそう入するもの
A43D100/08	履物にボタンを取付けるもの（被服用Ａ４１Ｈ３７／００）
A43D100/10	靴に靴ひも用フックを取付けるための機械または道具
A43D100/12	靴に弾性補強物を挿入するための機械
A43D100/14	靴からボタン，靴ひも用フック，または類似物を取外すための装置
A43D111/00	ジャックされた靴｛または靴または靴部品｝用のコンベアーを有する製靴機械
A43D111/003	｛クランプまたは把持する機構を有するもの｝
A43D111/006	｛靴または靴部分を次の機械に配置する特別な手段を有するもの｝
A43D113/00	外方へ折曲げられた甲被端縁部を有する靴をつくる機械またはモカシンをつくる機械
A43D115/00	修理に先立って積上革，かかと，または底をすく機械または縫い目を除去する機械
A43D117/00	靴または靴部品をいれまたは移送するための架台；他の搬送手段
A43D119/00	靴機械の駆動または制御機構；靴機械用フレーム
A43D2200/00	特別な特性に特徴のある機械または方法
A43D2200/10	完全に自動化された機械，すなわち，人間の介在なく作動する機械
A43D2200/20	回転テーブルの周りに異なる加工支柱を有する回転ラックを含む機械
A43D2200/30	自動送り装置，例．素材，成形前の部材またはシートのためのもの，を含む機械
A43D2200/40	多工具機械，例．複数の工具または加工ヘッドを有する機械
A43D2200/50	空気作用による手段を用いる機械
A43D2200/60	コンピュータを援用した履物の製造，例，ＣＡＤまたはＣＡＭ
A43D999/00	このサブクラスの他のグループに分類されない主題事項
