A23C9/1516	乳脂肪を伴った乳の強化または組換え（ホエーを除く），分離または濃縮した乳蛋白を使用しないバタークリーム
A23C9/152	添加物を含有するもの（添加物を含有する発酵乳調製品Ａ２３Ｃ９／１３）
A23C9/1522	無機添加物，例．ミネラル，自己消化物；乳の塩素化またはフッ化；ナトリウムまたはカリウム以外の有機塩または金属の錯体；乳のカルシウム強化
A23C9/1524	不活性ガス，希ガス，酸素，エアゾールガス；発泡処理
A23C9/1526	アミノ酸；ペプチド；蛋白質加水分解物；核酸；その誘導体
A23C9/1528	脂肪酸；モノ-またはジグリセリド；ワセリン:パラフィン；リン脂質；その誘導体
A23C9/154	濃化物質，卵または穀類調製品を含有するもの；ミルクゲル
A23C9/1542	増粘剤または酸性化乳ゲルを含有する酸性化乳製品，例．果実ジュースによる酸性化　（発酵Ａ２３Ｃ９／１２）
A23C9/1544	非酸性化ゲル，例．カスタード，クリーム，デザート，プティング，シェークまたは発泡状のもの，糖以外の卵または増粘またはゲル化剤を含有するもの；自然由来または微生物由来多糖類を含有する乳製品，例．セルロースまたはセルロース誘導体；栄養繊維を含有する乳製品
A23C9/1546	粉状，粒状または固体状のもの
A23C9/1548	乳に，複数の粘性物質を使用せず，１種類の砂糖を添加・加熱して得られた非乾燥乳ゲル，クリームまたは半固体の製品，例．ミルクジャム
A23C9/156	風味づけされた乳調製品；　｛果実，野菜，糖，糖アルコール，甘味料の添加｝（Ａ２３Ｃ９／１５４が優先）
A23C9/1565	酸性化された乳製品，例．果実ジュースの乳風味のもの（Ａ２３Ｃ９／１５４２が優先；発酵Ａ２３Ｃ９／１２）
A23C9/158	ビタミンまたは抗生物質を含有するもの
A23C9/1585	抗生物質；バクテリオシン；微生物から採取した殺菌剤
A23C9/16	粉乳の集塊化または粒化；インスタント乳粉の製造；それによって得られた製品（Ａ２３Ｃ１／０５，Ａ２３Ｃ９／１８が優先）
A23C9/18	乾燥および圧縮されたかあるいは半固体状の乳
A23C9/20	Ａ２３Ｃ９／１２からＡ２３Ｃ９／１８までのグループに包含されないダイエット乳製品
A23C9/203	ビフィズス活性物質を含有するもの，例．乳糖；オリゴ糖を含有するもの
A23C9/206	初乳；人乳
A23C11/00	乳代用品，例．コーヒーホワイトナー組成物（チーズ代用品Ａ２３Ｃ２０／００；バター代用品Ａ２３Ｄ；クリーム代用品Ａ２３Ｌ１／１９）
A23C11/02	脂肪または蛋白質源として少なくとも一つの非乳成分を含有するもの（Ａ２３Ｃ１９／０５５，Ａ２３Ｃ２１／０４が優先）
