C07H7/033	ウロン酸　｛ウロン酸，例．　ガラクツロン酸　（１）；　ガラクトフラノン酸　（２）　イメージ｝
C07H7/04	炭素環式基
C07H7/06	複素環式基
C07H9/00	少なくても２個の異種原子を糖類基と共有する複素環を含有する化合物<br><br><u>｛注</u><br><br>１．　糖類基の複素環原子は考慮されない。:　レボグルコサン　Ｃ０７Ｈ１９／０１Ｅ２(ＥＣＬＡ)．　サブクラスのタイトルの後の注　８　に注意｝
C07H9/02	異項原子として酸素のみを含有する複素環
C07H9/04	環式アセタール
C07H9/06	異項原子として窒素を含有する複素環
C07H11/00	無機酸でエステル化された糖類基を含有する化合物；その金属塩（ハロ−糖Ｃ０７Ｈ５／０２；チオ―，セレノ―またはテルロ―糖Ｃ０７Ｈ５／０８；　｛アセタール　Ｃ０７Ｈ９／０４Ｄ(ＥＣＬＡ)｝；　炭酸またはその誘導体でエステル化されたもの　Ｃ０７Ｈ１３／１２；　｛Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先；　少なくとも１個の環の異項原子が酸素でないときは，Ｃ０７Ｈ９／００　が優先，但し，ヌクレオシドおよびヌクレオチドの無水誘導体は　　Ｃ０７Ｈ１９／００｝）　
C07H11/02	硝酸エステル；亜硝酸エステル
C07H11/04	リン酸エステル；亜リン酸エステル；ポリリン酸エステル（ホスホン酸エステルＣ０７Ｈ１３／００）
C07H13/00	炭酸またはその誘導体で，または有機酸，例．ホスホン酸，でエステル化された糖類基を含有する化合物　｛アセタール　Ｃ０７Ｈ９／０４Ｄ(ＥＣＬＡ)；　（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６，　Ｃ０７Ｈ１３／１２Ｕ(ＥＣＬＡ)　が優先；　少なくとも１個の環の異項原子が酸素でないときは，Ｃ０７Ｈ９／００　が優先，但し，ヌクレオシドおよびヌクレオチドの無水誘導体は　　Ｃ０７Ｈ１９／００）｝
C07H13/02	カルボン酸によるもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先）｝　
C07H13/04	非環式炭素原子に結合するエステル化されたカルボキシル基をもつもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先）｝　
C07H13/06	脂肪酸
C07H13/08	炭素環に直接結合するエステル化カルボキシル基をもつもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先）｝　
C07H13/10	複素環に直接結合するエステル化カルボキシル基をもつもの　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先）｝　
C07H13/12	基―Ｘ―Ｃ（＝Ｘ）―Ｘ―をもつ酸またはそのハライドによるもの，ここで，Ｘは窒素，酸素，硫黄，セレンまたはテルルを意味する，例．炭酸，カルバミン酸，　｛（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６　が優先）｝　
C07H15/00	糖類基のヘテロ原子に直接結合する炭化水素基または置換炭化水素基を含有する化合物｛糖類基のヘテロ原子にアシル化されたもの　Ｃ０７Ｈ１３／００；　ビスメチレンジオキシ炭水化物の誘導体　Ｃ０７Ｈ９／０４Ｄ(ＥＣＬＡ)；　（Ｃ０７Ｈ３／０４，　Ｃ０７Ｈ３／０６，　Ｃ０７Ｈ１３／１２Ｕ(ＥＣＬＡ)　が優先；　少なくとも１個の環へテロ原子が酸素とは異なる場合はＣ０７Ｈ９／００　が優先，但し，ヌクレオシドおよびヌクレオチドの無水誘導体は　Ｃ０７Ｈ１９／００）｝　<br><br><u>注</u><br><br>このグループにおいては，糖類基のヘテロ原子に直接結合したアシル基は置換炭化水素基とは見なさない。
