D07B3/04	機械の軸にそって直列に配列されたもの，｛例．管状または高速型のリード編み機｝
D07B3/045	｛軸方向に整列したリールをもち，それらの共通軸は機械の軸と一致するもの｝
D07B3/06	機械の軸に対して放射状に配置されたもの，｛すなわち，かご型または遊星型のリード編み機｝
D07B3/08	巻き取り枠がロープまたはケーブルの軸のまわりに回転し，｛または案内部材が固定位置にある巻き取り枠からロープまたはケーブルを案内するロープまたはケーブルの軸のまわりに回転し｝，供給巻き枠が定位置に固定されたもの
D07B3/085	｛案内部材が固定位置にある巻き取り枠からロープまたはケーブルを案内するロープまたはケーブルのまわりに回転するもの｝
D07B3/10	巻き取り枠｛または案内部材｝の１回転毎にロープまたはケーブルに２回以上のよりを与えるための装備をもつもの
D07B3/103	｛弓構造に特徴のあるもの｝
D07B3/106	｛２本の弓からなり，両者がよりを与える同一の束を案内することに特徴のあるもの｝
D07B3/12	フィラメントの回転している環によって作業するもの
D07B3/14	手動によるもの
D07B5/00	特別な材料からのまたは特殊な形状のロープまたはケーブルの製造
D07B5/002	｛平行ワイヤストランドの製造｝
D07B5/005	｛それらの外形または表面特性に特徴のあるもの｝
D07B5/006	｛外表面のポリマーの被覆の特性によるもの｝
D07B5/007	｛事後的に成形されそれにより放射状に塑性変形された要素からなるもの｝
D07B5/02	わらまたはわら状の植物性材料からの製造
D07B5/04	ロープバンド
D07B5/045	｛速報に相互接続された耐荷重部材のための追加的なフィラメントからなるベルト｝
D07B5/06	天然または人造繊維からの製造
D07B5/08	接着剤にて膠（こう）着されたもの
D07B5/10	非円形断面のストランドからの製造
D07B5/12	くせ付けまたは直線化処理を含む方法による弱ねんまたは低張力のものの製造
D07B7/00	ロープまたはケーブル製造機械の細部または付属した補助装置；この機械に関連した補助具
D07B7/02	機械の細部；補助装置
D07B7/021	｛フィラメント，ストランド，ロープまたはケーブルのための案内手段｝
D07B7/022	｛ロープ内のより目またはトルクの測定または調整｝
D07B7/025	｛閉じることに先立つワイヤまたはストランドの予備成形｝
D07B7/027	｛ロープまたはストランドの後成形｝
D07B7/04	ボビンまたはリール支持回転枠に対して逆回転を与えるための装置
D07B7/06	供給ボビンまたはリールに対する軸受支持部材または制動器
D07B7/08	供給リールまたはボビンから送り出されたフィラメント状の材料の消費または切断に応動する警報または停止運動
D07B7/10	仕上げしたロープまたはケーブルの巻き取りまたは巻き返し装置
D07B7/12	ロープ，ケーブルまたはそれらのコンポーネントストランドの柔軟化，潤滑または含浸するためのもの
D07B7/14	ロープ，ケーブルまたはそれらの構成用ストランドを被覆または被包するためのもの（表面に対する液体または他の流体の供給一般Ｂ０５；伸長した芯に対する被包一般Ｂ６５Ｈ８１／０６）
D07B7/145	｛隙間の塗工または充填｝
D07B7/16	補助具
D07B7/162	｛継ぎ合わせする間にロープまたはケーブルを曲げるまたは保持するための万力またはクランプ｝
D07B7/165	｛吊り帯を作るためのもの｝
D07B7/167	｛ロープの構成要素を接続するためのもの｝
D07B7/169	｛２本のケーブルまたはロープの端部を相互接続するためのもの，例．継ぎ合わせまたは縫製によるもの（継ぎ合わせに先立ってまたはその最中の端部の固定または保持Ｄ０７Ｂ７/１６２；ロープまたはケーブルの構成要素の個々の接続または溶接，接着または把持筒のような永久的手段によるロープ端部の接続Ｄ０７Ｂ７／１６７；端部の解放による継ぎ合わせの準備Ｄ０７Ｂ７/１８）｝
D07B7/18	ロープまたはケーブルを処理または継ぎ合わせるために，構成部分を延展または解ねんさせるためのもの
D07B7/182	｛ロープまたはケーブルを手動工具で継ぎ合わせるためのもの，例．針または釘｝
D07B7/185	｛被覆を施すためにロープまたはケーブルを構成する部材に一時的に解ねんするためのもの｝
D07B7/187	｛ロープまたはケーブルに球を形成するためのもの｝
D07B9/00	端部の結束または封着，例．ほつれ防止のためのもの
D07B9/001	｛切断または切り離しと組み合わされたもの｝
D07B2201/00	ロープまたはケーブル
D07B2201/10	ロープまたはケーブルの構造
D07B2201/1004	一般的な構造または外観
D07B2201/1008	幾つかの平行なロープ
D07B2201/1012	それらの内部構造に特徴のあるもの
D07B2201/1014	幾つかのサブロープまたはサブケーブルを横たえまたは編んだことに特徴のあるもの，例．大綱
D07B2201/1016	異なるストランドの使用に特徴のあるもの
D07B2201/102	芯を含むもの
D07B2201/1024	断面形状の変化する構造
D07B2201/1028	ストランドの数に特徴のあるもの
D07B2201/1032	それぞれが単一層を形成する３〜８本のストランド
D07B2201/1036	それぞれが複数層を形成する９本以上のストランド
D07B2201/104	よられたもの
D07B2201/1044	与えられたピッチのパラメータの寸法の値または範囲に特徴のあるもの
D07B2201/1048	普通よりを用いるもの，すなわち，ワイヤまたはフィラメントがロープ軸に平行であるもの
D07B2201/1052	ラングよりを用いるもの，すなわち，ワイヤまたはフィラメントがロープ軸に傾斜しているもの
D07B2201/1056	交差よりを用いるもの，すなわち，ストランドのワイヤまたはフィラメントがロープ軸に相対的に傾斜しているもの
D07B2201/106	長さに関するピッチの変更
D07B2201/1064	ワイヤまたはストランドのより方向に対するストランドのより方向に特徴のあるもの
D07B2201/1068	同一のより方向をもつもの
D07B2201/1072	密巻き，すなわち，Ｓ／ＳまたはＺ／Ｚ
D07B2201/1076	オープン巻き
D07B2201/108	筒に巻くより，すなわち，Ｓ／ＺまたはＺ／Ｓ
D07B2201/1084	異なるよりピッチ
D07B2201/1088	仮より
D07B2201/1092	並行ストランド
D07B2201/1096	編組
D07B2201/20	ロープまたはケーブルの要素
D07B2201/2001	ワイヤまたはフィラメント
D07B2201/2002	それらの断面形状に特徴のあるもの
D07B2201/2003	平ら
D07B2201/2004	三角
D07B2201/2005	長円
D07B2201/2006	与えられた寸法の値または範囲に特徴のあるもの
D07B2201/2007	それらの長手方向の形状に特徴のあるもの
D07B2201/2008	波状または波立ち
D07B2201/2009	使われる材料に特徴のあるもの
D07B2201/201	被覆に特徴のあるもの
D07B2201/2011	金属からなるもの
D07B2201/2012	ポリマーからなるもの
D07B2201/2013	多数の層からなるもの
D07B2201/2014	複合ワイヤまたは複合フィラメント
D07B2201/2015	ストランド
D07B2201/2016	それらの断面形状に特徴のあるもの
D07B2201/2017	三角
D07B2201/2018	長円
D07B2201/2019	形状に加圧されたもの
D07B2201/202	与えられた寸法の値または範囲に特徴のあるもの
D07B2201/2021	それらの長手方向の形状に特徴のあるもの
D07B2201/2022	芯無し
D07B2201/2023	芯有り
D07B2201/2024	よられたもの
D07B2201/2025	与えられたピッチの寸法の値または範囲に特徴のあるもの
D07B2201/2026	長さが変化するピッチ
D07B2201/2027	密巻き
D07B2201/2028	同一のより方向およびよりピッチをもつもの
D07B2201/2029	オープン巻き
D07B2201/203	筒に巻くより，すなわち，Ｓ／ＺまたはＺ／Ｓ
D07B2201/2031	異なるよりピッチ
D07B2201/2032	芯と比較して
D07B2201/2033	並行ワイヤ
D07B2201/2034	同一層内の交差するワイヤまたはフィラメントからなるもの
D07B2201/2035	仮より
D07B2201/2036	異なるワイヤまたはフィラメントの使用に特徴のあるもの
D07B2201/2037	ワイヤまたはフィラメントの寸法に関するもの
D07B2201/2038	ワイヤまたはフィラメントの数に特徴のあるもの
D07B2201/2039	それぞれが単一層を形成する３〜８本のワイヤまたはフィラメント
D07B2201/204	それぞれが複数層を形成する９本以上のワイヤまたはフィラメント
D07B2201/2041	用いられる材料に特徴のあるもの
D07B2201/2042	被覆に特徴のあるもの
D07B2201/2043	金属からなるもの
D07B2201/2044	ポリマーからなるもの
D07B2201/2045	複数の層からなるもの
