G01R5/12	環状検流計
G01R5/14	可動鉄片計器
G01R5/16	軸支された磁石によるもの
G01R5/18	軸支された軟鉄心によるもの，例．指針検流計
G01R5/20	誘導型装置，例．フェラリス型装置
G01R5/22	熱型計器（熱電変換器を用いる，電流または電圧の有効値の測定Ｇ０１Ｒ１９／０３）
G01R5/24	条片もしくは線の伸びまたはガスもしくは液体の膨脹により動作するもの
G01R5/26	バイメタル素子の変形により動作するもの
G01R5/28	静電型装置（放射線検出器と組み合わされたものＧ０１Ｔ；｛（電極に受動的な動きのないエレクトロメータ　１５／１６Ｂ；　静電界を測定するもの　Ｇ０１Ｒ２９／１２；　電荷を測定するもの　Ｇ０１Ｒ２９／２４｝）
G01R5/30	箔検電器
G01R5/32	線電位計；指針電位計
G01R5/34	象限電位計
G01R7/00	２以上の電流または電圧を単一の機械的変位に変換しうる計器　（Ｇ０１Ｒ９／００　が優先）
G01R7/02	和または差を形成させるためのもの
G01R7/04	商を形成するためのもの（抵抗測定　Ｇ０１Ｒ２７／０８）
G01R7/06	可動鉄片型．．<br><br><u>｛注</u><br><br>このグループは全ての交叉コイルメータすなわち磁気回転子を有するロゴメータを含む　｝
G01R7/08	可動コイル型，例．交叉コイル型
G01R7/10	３個以上の可動コイルを有するもの
G01R7/12	積を形成するためのもの
G01R7/14	可動鉄片型
G01R7/16	固定と可動コイルの両方を有するもの，例．電流力計型計器
G01R7/18	固定と可動コイルとを磁気的に結合する鉄心をもつもの
G01R9/00	機械的共振を用いる計器
G01R9/02	振動型検流計，例．電流測定用
G01R9/04	振動片を使用するもの，例．周波数測定用
G01R9/06	磁気的に駆動されるもの
G01R9/08	圧電気的に駆動されるもの
G01R11/00	電力または電流の時間積分，例．消費，を測定する電気機械的構成（｛そのための他の構成　Ｇ０１Ｒ２２／００｝；　電気的推進車両の電気的消費の監視　Ｂ６０Ｌ３／００）　
G01R11/02	構造的細部（電気測定計器に応用しうるもの一般　Ｇ０１Ｒ１／００）
G01R11/04	ハウジング；支持ラック；端子装置
G01R11/06	誘導型計器の磁気回路
G01R11/067	そのためのコイル
G01R11/073	そのための回転子
G01R11/09	円板型回転子
G01R11/10	制動磁石；減衰装置
G01R11/12	軸受装置（軸受一般Ｆ１６Ｃ）
G01R11/14	磁気的な軽減によるもの
G01R11/16	電気計器へのカウンターの適合
G01R11/17	誤差の補償；そのための調整または調節手段
G01R11/18	周囲の状態の変化に対する補償
G01R11/185	温度補償
G01R11/19	外乱トルクによる誤差，例．多相型計器の回転磁界誤差，に対する補償
G01R11/20	誘導型計器の位相誤差に対する補償
G01R11/21	電流の制動作用による誤差に対する補償，例．過負荷調整
G01R11/22	トルクの調整，例．始動トルクの調整，等価トルクを得るための多相型計器の調整
G01R11/23	摩擦による誤差の補償，例．軽負荷調整
G01R11/24	不正使用を回避または指示する装置｛（ボルト，ナットまたはピンの権限のない操作に対する対策　Ｆ１６Ｂ４１／００５；　セキュリティー用シール　Ｇ０９Ｆ３／０３）｝
G01R11/25	故障の指示または信号発生装置．．<br><br><u>注</u><br><br>グループ　１１／４８　から　１１／６６　はグループ　Ｇ０１Ｒ１１／３０　から　Ｇ０１Ｒ１１／４６に優先
G01R11/30	電流力計
G01R11/32	積算電力計
G01R11/34	積算電流計
G01R11/36	誘導型計器，例．フエラリス型計器（フエラリス型装置　Ｇ０１Ｒ５／２０）
G01R11/38	単相用
G01R11/40	多相用
G01R11/42	その回路
G01R11/46	電気的に動作する時計機構を有する計器；振動型計器；振り子型計器
G01R11/465	｛振動型計器｝
G01R11/48	有効分または無効分を測定するのに特に適合した計器；皮相エネルギーを測定するのに特に適合した計器
G01R11/50	有効分を測定するためのもの
G01R11/52	無効分を測定するためのもの
G01R11/54	次の三変量のうち少なくとも二つを同時に測定するためのもの:有効成分，無効成分，皮相エネルギー
G01R11/56	特殊料金計器（料金計器一般Ｇ０１Ｄ４／００）
G01R11/57	多種料金計器　（Ｇ０１Ｒ１１／６３　が優先）
G01R11/58	そのための料金切換装置
G01R11/60	減算計器；最大または最小の負荷時間を測定する計器
G01R11/63	超過消費計器，例．所定の電力を超過した間の消費を測定するもの
G01R11/64	最大需要計器，例．ある時間の料金がその期間内の最大需要に基づくもの
G01R11/66	回路
G01R13/00	電気的変量または波形の表示装置（機械的変位のみによる表示Ｇ０１Ｒ５／００，　Ｇ０１Ｒ７／００，　Ｇ０１Ｒ９／００　；周波数スペクトルの記録Ｇ０１Ｒ２３／１８）
