H02M1/38	スイッチング手段が同時導通することを防止するための手段
H02M1/385	｛不感時間によってもたらされた出力電圧の変動を修正するための手段をもつもの｝
H02M1/40	磁気的飽和（偏磁）することを防止する手段
H02M1/42	変換器の力率を補正または調節するための回路または装置
H02M1/4208	｛交流入力の力率を改善するための装置｝
H02M1/4216	｛三相入力電圧から作動するもの（Ｈ０２Ｍ１／４２３３が優先）｝
H02M1/4225	｛非絶縁昇圧変換器を用いるもの｝
H02M1/4233	｛能動スイッチでからなるブリッジ変換器を用いるもの｝
H02M1/4241	｛共振変換器を用いるもの｝
H02M1/425	｛交流入力の力率の補正および高周波交流出力電圧の生成の双方に単一の変換段を用いるもの｝
H02M1/4258	｛交流入力の力率の補正および調整され電気的に絶縁された直流出力電圧の生成の双方に単一の変換段を用いるもの（Ｈ０２Ｍ１／４２４１が優先）｝
H02M1/4266	｛受動素子を用いるもの｝
H02M1/4275	｛入力に直列な補助的な出力電圧を付加することによるもの｝
H02M1/4283	｛平滑コンデンサを供給する最初の整流器に並行に制御された整流器を付加することによるもの｝
H02M1/4291	｛入力電流を切り替えるために降圧型変換器を用いることによるもの｝
H02M1/44	変換器の電磁妨害を補償するための回路または装置
H02M3/00	直流入力−直流出力変換
H02M3/003	｛構造的細部，例．物理的な配置，組立，配線または母線接続｝
H02M3/005	｛Ｃｕｋ変換器を用いるもの｝
H02M3/01	｛共振直流／直流変換器｝
H02M3/015	｛共振周波数に適合するための手段をもつもの，例．共振回路の容量またはインダクタンスの変調によるもの｝
H02M3/02	中間に交流変換をもたないもの
H02M3/04	静止型変換器によるもの
H02M3/06	抵抗または蓄電器を用いるもの，例．分圧器を用いるもの
H02M3/07	制御電極を有する半導体装置によって交互に充放電される蓄電器を使用するもの，｛例．充填ポンプ｝
H02M3/071	｛正電圧源からの負電圧出力の発生に適したもの｝
H02M3/072	｛入力電圧より低い値の出力電圧の発生に適したもの｝
H02M3/073	｛シェンケル型充填ポンプ｝
H02M3/075	｛複数の段と２セットのクロック信号を含み，１セットは偶数で１セットは奇数の段のためのもの｝
H02M3/076	｛クロック信号が入力電圧値よりも高い値に高められるもの｝
H02M3/077	｛充填ポンプの段が並列に接続されたもの｝
H02M3/078	｛バックバイアス効果，すなわち，変換器に段が加わるにつれて，トランジスタの閾電圧が増加する効果，を低減するための手段をもつもの｝
H02M3/08	制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M3/10	制御電極を有する放電管または制御電極を有する半導体装置を使用するもの（Ｈ０２Ｍ３／０７が優先）
H02M3/125	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの
H02M3/13	電子管のみを用いるもの
H02M3/135	半導体装置のみを用いるもの
H02M3/137	出力電圧または電流の自動制御を有するもの，例．スイッチングレギュレータ
H02M3/139	デジタル制御を有するもの
H02M3/142	単一負荷のための最終制御装置としての複数の半導体装置を含むもの
H02M3/145	制御信号の連続的印加を必要とする三極管またはトランジスタ型式の装置を用いるもの
H02M3/15	電子管のみを用いるもの
H02M3/155	半導体装置のみを用いるもの
H02M3/1552	｛変圧器のまたは交流発電機の漏洩インダクタンスをブーストインダクタとして利用するブースト変換器｝
H02M3/1555	｛インピーダンスが実質的に誘導性である負荷に調整された電流を発生させるためのもの｝
H02M3/1557	｛シングルエンデツド・プライマリ・インダクタ・コンバータ［ＳＥＰＩＣ］｝
H02M3/156	出力電圧または電流の自動制御を有するもの，例．切換調整器
H02M3/1563	｛外部クロックを使用しないもの（Ｈ０２Ｍ３／１５８が優先）｝
H02M3/1566	｛急速な負荷変動に対して補償するための手段をもつもの，例．補助電流源をもつもの，両モード制御をもつものまたはインダクタンスが変化するもの｝
H02M3/157	デジタル制御を有するもの
H02M3/158	単一負荷のための最終制御装置として複数の半導体装置を含むもの
H02M3/1582	｛バックブースト変換器（Ｈ０２Ｍ３／１５８４が優先）｝
H02M3/1584	｛並列接続された複数の電力処理段を有するもの｝
H02M3/1586	｛位相シフトしてスイッチされるもの，すなわち，交互に割り込むもの｝
H02M3/1588	｛少なくとも一つの同期整流素子から成るもの（Ｈ０２Ｍ３／１５８２，Ｈ０２Ｍ３／１５８４が優先）｝
H02M3/16	非静止型変換器によるもの
H02M3/18	交互に充電および放電する，例．並列接続で充電され，直列接続で放電する，蓄電器または蓄電池を用いたもの
H02M3/20	静止型と非静止型変換器との結合によるもの；電動力型と他の非静止型または静止型変換器との結合によるもの
H02M3/22	中間に交流変換をもつもの
H02M3/24	静止型変換器によるもの
H02M3/26	一旦交流を発生するために制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M3/28	一旦交流を発生するために制御電極をもつ放電管または制御電極をもつ半導体装置を用いるもの
H02M3/285	｛単一の変換器で並列に接続された複数の出力段を有するもの（直流配電網における複数の変換器の並列運転Ｈ０２Ｊ１／１０）｝
H02M3/305	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの
H02M3/31	電子管のみを用いるもの
H02M3/315	半導体装置のみを用いるもの
H02M3/3155	｛出力電圧または電流の自動制御を伴うもの｝
H02M3/325	制御信号の連続的印加を必要とする三極管またはトランジスタ型式の装置を用いるもの
H02M3/33	電子管のみを用いるもの
H02M3/335	半導体装置のみを用いるもの
H02M3/33507	｛出力電圧または電流の自動制御をともなうもの，例．フライバック型変換器（Ｈ０２Ｍ３／３３５６１，Ｈ０２Ｍ３／３３５６９が優先）｝
H02M3/33515	｛デジタル制御を伴うもの｝
H02M3/33523	｛出力段およびフィードバックループの双方の入出力間が電気的に絶縁されたもの｝
H02M3/3353	｛入力側に少なくとも２個の同時に動作する開閉器を備えたもの，例．ダブルフォワード型またはダブル（スイッチト）フライバック型の変換器｝
H02M3/33538	｛フォワード型のもの（Ｈ０２Ｍ３／３３５３，Ｈ０２Ｍ３／３３５６９が優先）｝
H02M3/33546	｛出力電圧または電流の自動制御を伴うもの（Ｈ０２Ｍ３／３３５６１が優先）｝
H02M3/33553	｛出力段およびフィードバックループの双方の入出力間が電気的に絶縁されたもの｝
H02M3/33561	｛独立して制御される複数の出力を備えたもの｝
H02M3/33569	｛数個の能動スイッチング素子を備えたもの（Ｈ０２Ｍ３／３３５３が優先）｝
H02M3/33571	｛絶縁変圧器の一次側における半ブリッジ｝
H02M3/33573	｛絶縁変圧器の一次側における全ブリッジ｝
H02M3/33576	｛絶縁変圧器の二次側に少なくとも１個の能動スイッチング素子を有するもの｝
H02M3/33584	｛双方向変換器｝
H02M3/33592	｛絶縁変圧器の二次側に同期整流回路または同期フリーホイーリング回路を有するもの｝
H02M3/337	プッシュプル構成におけるもの｛（Ｈ０２Ｍ３／３３５７６が優先；自励発振装置を有するものＨ０２Ｍ３／３３８２，Ｈ０２Ｍ３／３３８５）｝
H02M3/3372	｛並列型のもの｝
H02M3/3374	｛プレレギュレータを有するもの，例．電流注入プッシュプル｝
H02M3/3376	｛出力電圧または電流の自動制御を伴うもの｝
H02M3/3378	｛並列型のプッシュプル構成におけるもの（Ｈ０２Ｍ３／３３７４が優先）｝
H02M3/338	自励発振装置におけるもの（Ｈ０２Ｍ３／３３７が優先）
H02M3/3381	｛単一の転流路を用いるもの｝
H02M3/3382	｛プッシュプル回路装置におけるもの｝
H02M3/3384	｛並列型のもの｝
H02M3/3385	｛出力電圧または電流の自動制御を伴うもの（Ｈ０２Ｍ３／３３５６１が優先）｝
H02M3/3387	｛プッシュプル構成におけるもの｝
H02M3/3388	｛並列型のもの｝
H02M3/34	機械的開閉接点部品を用いるもの
H02M3/36	入力電圧を累進的に選択しまたは連続的に変化させるために機械的部品を用いるもの
H02M3/38	単一電源を断続するために機械的開閉接点部品を用いるもの
H02M3/40	接点部品は回転し，集電部はブラシまたはローラと共働するもの
H02M3/42	電磁的に操作される振動接点，例．チョッパ，をもつもの
H02M3/44	静止型変換器と非静止型変換器との組合わせによるもの；回転電機と他の非静止または静止型変換器との組合わせによるもの
H02M5/00	交流相互間の変成，例．電圧，周波数または相数の変換用
H02M5/005	｛放電管を用いるもの｝
H02M5/02	中間に直流変換をもたないもの
H02M5/04	静止型変換器によるもの（変圧器，リアクトルまたはチョークコイルの制御，例．タップ切換によるものＨ０２Ｐ１３／００）
H02M5/06	インピーダンスを用いるもの
H02M5/08	コンデンサだけを用いるもの
H02M5/10	変圧器を用いるもの
H02M5/12	電圧または電流だけの変換用
H02M5/14	異なる相数回路間の変換用
H02M5/16	周波数変換用
H02M5/18	波形変換用
H02M5/20	制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M5/22	制御電極をもつ放電管または制御電極をもつ半導体装置を用いるもの
H02M5/225	｛２段の交流−交流変換からなるもの，例．高周波の中間リンクを有するもの｝
H02M5/25	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの
H02M5/253	電子管のみを用いるもの
H02M5/257	半導体装置のみを用いるもの
H02M5/2573	｛制御回路を有するもの｝
H02M5/2576	｛デジタル制御を伴うもの｝
H02M5/27	周波数変換のためのもの
H02M5/271	｛三相入力電圧からのもの｝
H02M5/272	｛可変速一定周波数の変換システムのためのもの｝
H02M5/273	｛デジタル制御を伴うもの｝
H02M5/275	制御信号の連続的印加を必要とする三極管またはトランジスタ型の装置を用いるもの
H02M5/29	放電管のみを用いるもの
H02M5/293	半導体装置のみを用いるもの
H02M5/2932	｛出力電圧，電流または電力の自動制御を伴うもの｝
H02M5/2935	｛逆位相制御を用いるもの，すなわち，負荷に直列なスイッチが入力電圧の零クロス時にターンオンし，次の零クロスの前にターンオフするもの｝
H02M5/2937	｛全サイクル，すなわち，交流入力電圧の全または半サイクルに対する全てのスイッチング，を制御するもの｝
H02M5/297	周波数変換のためのもの
H02M5/32	非静止型変換器によるもの
H02M5/34	機械的開閉接点部品を用いるもの
H02M5/36	接点部品は回転し，集電部はブラシまたはローラと共働するもの
H02M5/38	静止型変換器と非静止型変換器との組合わせによるもの；回転電機と他の非静止または静止型変換器との組み合わせによるもの
H02M5/40	中間に直流変換をもつもの
H02M5/42	静止型変換器によるもの
H02M5/44	中間の直流を交流に変換するために放電管または半導体装置を用いるもの
H02M5/443	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの
H02M5/447	電子管のみを用いるもの
H02M5/45	半導体装置のみを用いるもの
H02M5/4505	｛制御素子を備えた整流器を有するもの｝
H02M5/451	出力電圧または周波数の自動制御を有するもの
H02M5/452	出力波形の自動制御を有するもの
H02M5/453	制御信号の連続的印加を必要とする三極管またはトランジスタ型式の装置を用いるもの
H02M5/456	電子管のみを用いるもの
H02M5/458	半導体装置のみを用いるもの
H02M5/4585	｛制御素子を備えた整流器を有するもの｝
H02M5/46	非静止型変換器によるもの
H02M5/48	静止型変換器と非静止型変換器との組み合わせによるもの；回転電機と他の非静止または静止型変換器との組み合わせによるもの
H02M7/00	交流入力−直流出力変換；直流入力−交流出力変換
H02M7/003	｛構造的細部，例．物理的な配置，組立，配線または母線接続｝
H02M7/006	｛放電管を用いるもの｝
H02M7/02	交流入力−直流出力変換であって非可逆的なもの
H02M7/04	静止型変換器によるもの
H02M7/043	｛変圧器またはインダクタのみを用いるもの｝
H02M7/046	｛放電管を用いるもの｝
H02M7/05	｛整流器と結合されたコンデンサ｝
H02M7/06	制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M7/062	｛過剰な過渡電圧もしくは電流を回避または抑制するもの｝
H02M7/064	｛いくつかの出力を有するもの｝
H02M7/066	｛特別な特性を有する特定の回路｝
H02M7/068	｛変圧器に設置されたもの｝
H02M7/08	並列動作のために配設されたもの
H02M7/10	直列動作，例．電圧の増倍，のために配設されたもの
H02M7/103	｛一つの電源に縦続接続された（容量結合された）受動素子を含むもの｝
H02M7/106	｛細部に物理的な配列を有するもの｝
H02M7/12	制御電極をもつ放電管または制御電極をもつ半導体装置を用いるもの
H02M7/125	｛過剰な過渡電圧もしくは電流を回避または抑制するもの｝
H02M7/145	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの
H02M7/15	電子管のみを用いるもの
H02M7/151	｛自動制御を伴うもの（Ｈ０２Ｍ７／１５３が優先）｝
H02M7/153	｛並列運転用に配設されたもの｝
H02M7/155	半導体装置のみを用いるもの
H02M7/1552	｛二相または多相装置におけるもの（電圧増倍器Ｈ０２Ｍ７／１９）｝
H02M7/1555	｛制御回路を有するもの｝
H02M7/1557	｛出力電圧または電流の自動制御を伴うもの｝
H02M7/162	ブリッジ構成におけるもの
H02M7/1623	｛制御回路を有するもの｝
H02M7/1626	｛出力電圧または電流の自動制御を伴うもの｝
H02M7/17	並列動作のために配設されたもの
H02M7/19	直列動作のために配設されたもの，例．電圧増倍のためのもの
H02M7/21	制御信号の連続的印加を必要とする三極管またはトランジスタ型式の装置を用いるもの
H02M7/213	電子管のみを用いるもの
H02M7/217	半導体装置のみを用いるもの
H02M7/2173	｛二相または多相回路装置におけるもの（Ｈ０２Ｍ７／２１７６が優先；電圧増倍器Ｈ０２Ｍ７／２５）｝
H02M7/2176	｛整流した正弦波電圧を発生するための受動段と，その段と出力の間に直列にある制御されるスイッチング素子からからなるもの｝
H02M7/219	ブリッジ構成におけるもの
H02M7/2195	｛スイッチが同じ交流入力電圧の周波数によって同期して整流されるもの｝
H02M7/23	並列動作のために配設されたもの｛（Ｈ０２Ｍ７／２１７６が優先）｝
H02M7/25	直列動作のために配設されたもの，例．電圧の増倍のためのもの
H02M7/26	火花間隙装置，例．マルクス型整流装置を用いるもの
H02M7/28	電解型整流器を用いるもの
H02M7/30	非静止型変換器によるもの
H02M7/32	機械的開閉接点部品を用いるもの
H02M7/34	接点部品は回転し，集電子はブラシまたはローラと共動するもの
H02M7/36	電磁的に操作される振動接点，例．チョッパ，をもつもの
H02M7/38	片方の電極の上を回転する１または複数の火花電極を用いるもの
H02M7/40	静止型変換器と非静止型変換器との組合わせによるもの；回転電機と他の非静止または静止型変換器との組合わせによるもの
H02M7/42	直流入力−交流出力変換であって非可逆的なもの
H02M7/44	静止型変換器によるもの
H02M7/445	｛放電管を用いるもの｝
H02M7/46	制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M7/48	制御電極をもつ放電管または制御電極をもつ半導体装置を用いるもの
H02M7/4803	｛交流出力電圧から直流成分を低減する手段を有するもの｝
H02M7/4807	｛高周波中間交流段を有するもの｝
H02M7/4811	｛中間直流電圧または２つのプッシュプル回路に接続される補助的で能動的にスイッチングして共振を低減する回路を有するもの｝
H02M7/4815	｛共振型変換器（Ｈ０２Ｍ７／４８１１，Ｈ０２Ｍ７／４８２６が優先）｝
H02M7/4818	｛共振周波数に適応するための手段を有するもの，例．共振回路のコンデンサ容量またはインダクタンスの変更｝
H02M7/4826	｛共振直流源から動作するもの，すなわち，直流入力電圧が周期的に変化するもの，例．共振直流リンクインバータ｝
H02M7/483	出力として３値以上の異なる電圧レベルをもつことが可能な変換器
H02M7/4833	｛コンデンサ電圧の均衡｝
H02M7/4835	｛それぞれが切り換え可能なコンデンサからなり，コンデンサが与えられた入力電圧の一部に対応する通常の充電電圧を融資，かつコンデンサが設定された電圧を瞬時に出力するよう直列に選択的に接続される，２以上のセルからなるもの｝
H02M7/4837	｛フライングキャパシタ変換器｝
H02M7/487	中性点クランプ式インバータ
