B81B7/0029	｛Ｂ８１Ｂ７／００１２〜Ｂ８１Ｂ７／００２５に分類されない環境の影響に対する防護｝
B81B7/0032	｛パッケージまたは封止（ＭＥＭＳをパッケージングするためのプロセスＢ８１Ｃ１／００２６１；スマートＭＥＭＳのパッケージングＢ８１Ｃ１／００２３）｝
B81B7/0035	｛ＭＥＭＳを有するチャンバー内部の制御された雰囲気を維持するためのもの｝
B81B7/0038	｛圧力，汚染物または湿度のレベルを制御するための材料，例．ゲッター，を使用するもの｝
B81B7/0041	｛Ｂ８１Ｂ７／００３８に分類されない技術により制御された雰囲気を維持するもの｝
B81B7/0045	｛パッケージ構造の内部の応力を減少させるためのもの｝
B81B7/0048	｛ＭＥＭＳダイと基板との間の応力｝
B81B7/0051	｛パッケージ蓋と基板との間の応力｝
B81B7/0054	｛Ｂ８１Ｂ７／００４８〜Ｂ８１Ｂ７／００５１に分類されないその他の部材間の応力｝
B81B7/0058	｛外部からの化学的または機械的影響，例．衝撃または振動，によるダメージに対して保護するためのもの｝
B81B7/0061	｛ＭＥＭＳからパッケージの外部にまたは逆に流体を輸送することに適したもの，例．液体，ガス，音の輸送｝
B81B7/0064	｛電磁気的な干渉または静電的な干渉に対する防護のためのもの｝
B81B7/0067	｛パッケージを通過する光学信号の流れを制御するためのもの｝
B81B7/007	｛ＭＥＭＳと外部電気信号との間の相互連結｝
B81B7/0074	｛三次元パッケージ，すなわち一つまたは複数のＭＥＭＳデバイスをマウント基板の非平行面に配置したもの｝
B81B7/0077	｛Ｂ８１Ｂ７／００３５〜Ｂ８１Ｂ７／００７４のグループに分類されないその他のパッケージ｝
B81B7/008	｛同じものを制御または駆動するのにに特に適合した電子回路に特徴があるＭＥＭＳ（Ｂ８１Ｂ７／００８７が優先；アクチュエータを始動，制御，制動または他の制御するための装置Ｈ０２Ｎ；表示装置の制御装置または制御回路Ｇ０９Ｇ３／００）｝<br><br><u>注</u><br><br> <br>このグループは，所定の用途に特定されない電子回路を有するＭＥＭＳのみを包含する：このグループは，電子回路それ自体，例．特定の用途のＭＥＭＳを制御または駆動するための電子回路それ自体，を包含しない
B81B7/0083	｛温度調整｝
B81B7/0087	｛制御，規制または監視用の装置に内蔵されたシステムまたはセンサー｝
B81B7/009	｛加熱または冷却による一定温度の維持｝
B81B7/0093	｛冷却によるもの｝
B81B7/0096	｛加熱によるもの｝
B81B7/02	その機能に特に適した，別体の電気的または光学的装置を含むもの，例．マイクロ電気機械装置（ＭＥＭＳ）　（Ｂ８１Ｂ７／０４が優先）
B81B7/04	同種のマイクロ構造装置のネットワーク，または配列　
B81B2201/00	微小電気機械システムの特定の用途
B81B2201/01	スイッチ
B81B2201/012	形状に特徴があるもの
B81B2201/014	一方の側が固定され，一つまたは複数のくぼみに結合されたカンチレバーを有するもの
B81B2201/016	両端が固定され，一つまたはそれ以上のくぼみに結合されたブリッジを有するもの
B81B2201/018	Ｂ８１Ｂ２２０１／０１４〜Ｂ８１Ｂ２２０１／０１６に分類されないスイッチ
B81B2201/02	センサー
B81B2201/0207	気圧計
B81B2201/0214	バイオセンサー；化学センサー
B81B2201/0221	可変容量キャパシタ
B81B2201/0228	慣性センサー
B81B2201/0235	加速度計
B81B2201/0242	ジャイロスコープ
B81B2201/025	Ｂ８１Ｂ２２０１／０２３５〜Ｂ８１Ｂ２２０１／０２４２に分類されない慣性センサー
B81B2201/0257	マイクロフォンまたはマイクロスピーカー
B81B2201/0264	圧力センサー
B81B2201/0271	共振器；超音波共振器
B81B2201/0278	温度センサー
B81B2201/0285	振動センサー
B81B2201/0292	Ｂ８１Ｂ２２０１／０２０７〜Ｂ８１Ｂ２２０１／０２８５に分類されないセンサー
B81B2201/03	マイクロエンジンおよびアクチュエータ
B81B2201/031	熱アクチュエータ
B81B2201/032	バイモルフおよびユニモルフアクチュエータ，例．ピエゾおよび熱
B81B2201/033	櫛歯駆動
B81B2201/034	電気回転マイクロマシン
B81B2201/035	マイクロギア
B81B2201/036	マイクロポンプ
B81B2201/037	マイクロトランスミッション
B81B2201/038	Ｂ８１Ｂ２２０１／０３１〜Ｂ８１Ｂ２２０１／０３７に分類されないマイクロエンジンおよびアクチュエータ
B81B2201/04	光ＭＥＭＳ
B81B2201/042	光スイッチとして使用されないマイクロミラー
B81B2201/045	光スイッチ
B81B2201/047	Ｂ８１Ｂ２２０１／０４２〜Ｂ８１Ｂ２２０１／０４５に分類されない光ＭＥＭＳ
B81B2201/05	マイクロ流体デバイス
B81B2201/051	マイクロミキサー，マイクロリアクター
B81B2201/052	インクジェットプリントカートリッジ
B81B2201/054	マイクロバルブ
B81B2201/055	マイクロニードル
B81B2201/057	マイクロピペット，液滴形成器
B81B2201/058	Ｂ８１Ｂ２２０１／０５１〜Ｂ８１Ｂ２２０１／０５４に分類されないマイクロ流体デバイス
B81B2201/06	バイオＢＥＭＳ
B81B2201/07	データ記録デバイス，静的または動的メモリー
B81B2201/10	マイクロフィルター，例．ガス用または流体用
