F16G11/10	即動継ぎ手；一方向にのみ保持する締め金<br><br><u>警告</u><br><br>Ｆ１６Ｇ１１／１０のサブグループは再分類中，Ｆ１６Ｇ１１／１０も参照
F16G11/101	｛継ぎ手の一部を移動させることによるケーブルの変形｝
F16G11/103	｛継ぎ手のまわりに曲げるか、継ぎ手に挿入することによるケーブルの変形｝
F16G11/105	｛一方向にのみ保持できるクランプ｝
F16G11/106	｛歯の表面を使用するもの｝
F16G11/108	｛ボールまたはシリンダーを使用するもの｝
F16G11/12	ケーブル，ロープまたはワイヤの緊張用の連結具または付属品，例．ターンバックル（ワイヤの緊張一般　Ｂ２１Ｆ９／００）
F16G11/14	調整できる輪を容易に形成するために設計された装置または接合子片，例．チョッカーフック；任意のところでロープまたはケーブルに即着を容易するようになされた必須の部材をもつフックまたはアイ，例．輪の形成によるもの（クレーンフック　Ｂ６６Ｃ１／３４；フックまたはアイ一般　Ｆ１６Ｂ４５／００）
F16G11/143	｛フック｝<br><br><u>警告</u><br><br>このグループは再分類が完了してない，Ｆ１６Ｇ１１／１４も参照
F16G11/146	｛留め孔｝<br><br><u>警告</u><br><br>このグループは再分類が完了してない，Ｆ１６Ｇ１１／１４も参照
F16G13/00	チェーン（その製造　Ｂ２１Ｌ）
F16G13/02	伝動用チェーン（特に可速比をもった伝動装置に適用されたもの　Ｆ１６Ｈ９／００）
F16G13/04	歯形チェーン
F16G13/06	ローラをもつかまたはもたない平行なドライブピンで連結されたリンクをもつもの　｛いわゆる開リンク（平行連結ピンが唯一つの連結機能を持っていれば，いわゆる閉リンクといわれる　Ｆ１６Ｇ１３／０２）｝
F16G13/07	同一形状のリンク，例．クランク状に曲げられたもの
F16G13/08	固くジョイントピンにはさまれたリンクをもつもの（Ｆ１６Ｇ１３／０４が優先）
F16G13/10	自在継ぎ手をもつもの
F16G13/12	牽引または巻上チェーン｛いわゆる装飾用チェーン｝
F16G13/14	たやすく分離できるリンクから組み立てられたもの
F16G13/16	電線，ホースまたは類似のものを保持するための装置をもつもの
F16G13/18	特殊な被覆の特徴をもつチェーン
F16G13/20	硬直したもの；プッシュプルチェーン<br><br><u>警告</u><br><br>このグループは再分類が完了していない，Ｆ１６Ｇ１３／１８も参照
F16G13/22	伸張するもの｛現在この分類は使用していない，Ｆ１６Ｇ１３／１８参照｝
F16G13/24	弾性的なもの｛現在この分類は使用していない，Ｆ１６Ｇ１３／１８参照｝
F16G15/00	チェーンカップリング；シャックル；チェーンジョイント；チェーンリンク；チェーンブッシュ（チェーン部材の製造　Ｂ２１Ｌ）
F16G15/02	半永久的に継ぐためのもの
F16G15/04	すぐに分離できるチェーンカップリング；シャックル｛対応する種類のチェーンに分類される急速連結手段を持ったチェーンリンク｝
F16G15/06	チェーン部材にジョイントピンで接合するようになされたシャックル，例．Ｄ型シャックル｛いわゆるハープ状リンク；Ｄチェーンリンクは対応する種類のチェーンに分類される｝
F16G15/08	スウィーベル
F16G15/10	緊急ジョイントまたはリンク
F16G15/12	チェーンリンク
F16G15/14	薄板金属製，例．輪郭を描かれたもの
F16G17/00	チェーンに必須の部品としてのフック（クレーン用フック　Ｂ６６Ｃ１／３４；フック一般　Ｆ１６Ｂ４５／００）
