A61G5/04	電動機により駆動するもの（Ａ６１Ｇ５／０６が優先；電動機で動くその他のものＡ６１Ｇ５／１２）
A61G5/041	｛特定の駆動型をもつもの｝
A61G5/042	｛前輪駆動｝
A61G5/043	｛中間輪駆動｝
A61G5/045	｛後輪駆動｝
A61G5/046	｛少なくとも3つの駆動輪｝
A61G5/047	｛モジュール着脱式の駆動型によるもの｝
A61G5/048	｛ハンドリムまたはハンドルバーを押すことによるパワーアシストの実現｝
A61G5/06	障害物を登る設備を有するもの，例．階段を登るためのもの　｛（階段の昇降用の，手押し車または子供用運搬具の付属品Ｂ６２Ｂ５／０２，Ｂ６２Ｂ９／０２）｝
A61G5/061	｛段差乗り越えのためのもの｝
A61G5/063	｛偏搭載車輪をもつもの｝
A61G5/065	｛ロータリー・クロス・メンバーに3つ以上の車輪を備えたもの，例．スポークの端に小さい車輪が付いているスパイダまたはスポークの車輪｝
A61G5/066	｛エンドレスベルトをもつもの｝
A61G5/068	｛上向きに押す拡張可能な支持具，例．伸縮脚｝
A61G5/08	折りたたみ可能なもの
A61G5/0808	｛折り畳み方向によって特徴づけられるもの｝
A61G5/0816	｛幅方向に折るもの，例．車椅子の全体の幅を縮小または拡大する｝
A61G5/0825	｛シザータイプのフレームからなるもの，例．折り畳みを可能にするための旋回可能なクロスバーをもつもの｝
A61G5/0833	｛前後方向に折り畳むもの，例．車椅子の全体的な奥行きを減らすか、または拡大するもの｝
A61G5/0841	｛シザータイプのフレームからなるもの，例．折り畳みを可能にするための旋回可能なクロスバーをもつもの｝
A61G5/085	｛上下方向に折り畳むもの，例．車椅子の全体的な高さを減らすか、または拡大するもの｝
A61G5/0858	｛シザータイプのフレームからなるもの，例．折り畳みを可能にするための旋回可能なクロスバーをもつもの｝
A61G5/0866	｛背もたれを折りたたむもの，例．背もたれをシート支持体の上に折り畳むもの｝
A61G5/0875	｛分解可能なもの，例．車椅子を分解して輸送や保管ができるもの｝
A61G5/0883	｛折りたたみまたは展開状態を維持するためのロック手段をもつもの｝
A61G5/0891	｛剛体支持具をもつもの，例．車椅子の折り畳み後の形状を保持するシートまたはバックサポート｝
A61G5/10	部品，細部または付属品　｛（ブレーキＢ６２Ｂ５／０４Ｂ(ＥＣＬＡ)）｝
A61G5/1002	｛便器設備を有するもの（室内便器，室内用便器Ａ４７Ｋ１１／０４）｝
A61G5/1005	｛ブレーキを備えた車椅子｝
A61G5/1008	｛車椅子を徐々に減速させるためのもの｝
A61G5/101	｛パーキングブレーキタイプのもの，例．車椅子を保持するもの｝
A61G5/1013	｛車輪に係合するもの｝
A61G5/1016	｛リム｝
A61G5/1018	｛走行面｝
A61G5/1021	｛特定のブレーキ要素に係合するもの｝
A61G5/1024	｛ブレーキディスク｝
A61G5/1027	｛ハブ要素，例．ドラム｝
A61G5/1029	｛表面に係合するもの，例．床または壁｝
A61G5/1032	｛ドライブまたはトランスミッションの要素に係合するもの，例．ドライブベルト，電気的ブレーキ｝
A61G5/1035	｛車椅子利用者による操作｝
A61G5/1037	｛介助者による操作｝
A61G5/104	｛車椅子全体を上昇または傾けさせたりするための装置（リフトの移動Ａ６１Ｇ３／０６；シートの高さを調節するための装置Ａ６１Ｇ５／１００５）｝
A61G5/1043	｛車椅子用に特に適合させたクッション｝
A61G5/1045	｛座部用｝
A61G5/1048	｛バックレスト用｝
A61G5/1051	｛ステアリングの調節｝
A61G5/1054	｛大型ホイール，例．座部より高いもの｝
A61G5/1056	｛座席の調整｝
A61G5/1059	｛座席の高さの調整｝
A61G5/1062	｛座席の幅の調整｝
A61G5/1064	｛座席の奥行きの調整｝
A61G5/1067	｛座部に対する背もたれの調整｝
A61G5/107	｛座席全体を前方または後方に配置する｝
A61G5/1072	｛垂直軸を中心に座席全体を回転させる｝
A61G5/1075	｛シート全体を後方に傾ける（起立または着席補助のための前傾　Ａ６１Ｇ５／１４）｝
A61G5/1078	｛車輪とフレームの間に配置されたショックアブソーバーや他のサスペンションによるもの｝
A61G5/1081	｛フレームと座席の間に配置されたショックアブソーバーや他のサスペンションによるもの｝
A61G5/1083	｛急速離脱可能な車輪｝
A61G5/1086	｛アンチロールバック要素｝
A61G5/1089	｛アンチチップ要素｝
A61G5/1091	｛クッション、シートまたは外転装置｝
A61G5/1094	｛テーブル、作業用台またはトレー｝
A61G5/1097	｛駆動輪のためのキャンバーまたはつま先調整手段｝
A61G5/12	そのために特に適合させたささえ，例．頭部または足のためのもの
A61G5/121	｛頭または首用｝
A61G5/122	｛背中用｝
A61G5/124	｛骨盤または臀部用｝
A61G5/125	｛腕用｝
A61G5/127	｛下肢用｝
A61G5/128	｛足（足首から下）用｝
A61G5/14	起立または着座補助具
A61G7/00	看護設備看護のために特に適合させたベッド；病弱者リフト装置（病人または病弱者を移乗する設備を有する担架Ａ６１Ｇ１／００３；　｛物理療法用のベッドＡ６１Ｇ１３／００９｝）
A61G7/0005	｛寝たきりの人を入浴させるための手段｝
A61G7/001	｛病人の体の向きを変えるための手段を有するもの｝
A61G7/0015	｛ベッドと収納棚を一緒に運ぶための，収納棚を付着する手段を有するもの｝
A61G7/002	調節可能なマットレスフレームを有するもの．<br><br><u>｛注</u><br><br>下記のサブグループにある調節の組み合わせはグループＡ６１Ｇ７／００２に分類される｝
A61G7/005	横水平軸の回りに傾斜可能なもの，例．トレンデレンバーグポジションのためのもの　｛（理学療法のための揺れるベッドＡ６１Ｈ１／００３；下向きに傾けた病人の体を引っ張るために病人を吊るすものＡ６１Ｈ１／０２Ｄ２(ＥＣＬＡ)）｝
A61G7/008	縦軸の回りに傾斜可能なもの，例．揺動のためのもの
A61G7/012	マットレスフレーム全体の上昇または下降（Ａ６１Ｇ７／００５，Ａ６１Ｇ７／００８が優先）
