H04Q3/30	セレクタファインダ，すなわち分配器
H04Q3/32	第二段またはその後段の捜線切り換えのための回路配置
H04Q3/34	第２予選択段のためのもの
H04Q3/36	第２ラインファインダ段のためのもの
H04Q3/38	群セレクタ段の後の段のためのもの
H04Q3/40	ラインセレクタの後の段のためのもの，例．増設セレクタのためのもの
H04Q3/42	共通回路，例．記録器制御器，マーカ，によって制御される間接選択のための回路配置
H04Q3/44	復帰制御によるもの
H04Q3/46	復帰インパルス以外の信号を用いるもの
H04Q3/47	ほん訳機を用いるもの
H04Q3/48	マーカを用いるもの
H04Q3/49	一端から一端までマークするためのもの
H04Q3/495	接続通路の径路指示のためのもの
H04Q3/52	切換段に静止装置を用いるもの，例．電子的スイッチング装置
H04Q3/521	｛スイッチング段に半導体を使用するもの｝
H04Q3/523	｛細部｝
H04Q3/525	｛スイッチング段に電子管を使用するもの｝
H04Q3/526	｛光交換機｝
H04Q3/528	｛細部｝
H04Q3/54	交換機を制御する論理回路が中央集中化されているところのもの，例．蓄積プログラムを用いるもの
H04Q3/542	｛そのための論理回路および装置（文献無し，暫定的にＨ０４Ｑ３／５４Ｄ１(ＥＣＬＡ)を参照；論理回路一般Ｈ０３Ｋ１９／００）｝
H04Q3/545	｛蓄積プログラムを使用するもの｝
H04Q3/54508	｛構成，初期設定（現在この分類は使用していない，サブグループ参照）｝
H04Q3/54516	｛初期設定，ソフトウェアまたはデータのダウンロード（Ｇ０６Ｆ９／４４５が優先）｝
H04Q3/54525	｛機能導入｝
H04Q3/54533	｛構成データ，翻訳，パスワード，データベース｝
H04Q3/54541	｛マルチプロセッサシステムを使用するもの（現在この分類は使用していない，サブグループ参照）｝
H04Q3/5455	｛マルチプロセッサ，並列処理，分散処理システム｝
H04Q3/54558	｛冗長化，スタンバイ｝
H04Q3/54566	｛インテリジェント周辺機器，補助プロセッサ｝
H04Q3/54575	｛ソフトウェアアプリケーション（現在この分類は使用していない，サブグループ参照）｝
H04Q3/54583	｛ソフトウェア開発，例．手続き型，オブジェクト指向，ソフトウェア生成，ソフトウェア試験｝
H04Q3/54591	｛監視，例．障害探索，トラフィック測定，障害回避，障害回復，監視，統計的分析｝
H04Q3/55	布線論理回路を用いるもの
H04Q3/552	｛布線回路および装置（含まれる文献は無い，暫定的にＨ０４Ｑ３／５５Ｄ１(ＥＣＬＡ)を参照）｝
H04Q3/555	電磁素子で構成されるもの
H04Q3/56	制御信号が多重化されているもの
H04Q3/58	主交換機および従交換機または従局の間の接続を提供する配置
H04Q3/60	１以上の交換機線路を一群の市内線路と接続する従局または集線装置に対する接続のためのもの
H04Q3/602	｛回路装置（含まれる文献は無い，暫定的にＨ０４Ｑ３／６０Ｄ１(ＥＣＬＡ)を参照）｝
H04Q3/605	｛従局または集線装置における装置｝
H04Q3/607	｛細部｝
H04Q3/62	構内交換機に接続するためのもの
H04Q3/622	｛回路装置（含まれる文献は無い，暫定的にＨ０４Ｑ３／６２Ｄ１(ＥＣＬＡ)を参照）｝
H04Q3/625	｛構内交換機における装置｝
H04Q3/627	｛細部｝
H04Q3/64	分配または出線
H04Q3/645	｛回路装置（含まれる文献は無い，暫定的にＨ０４Ｑ３／６４Ｄ１(ＥＣＬＡ)を参照）｝
H04Q3/66	トラヒック分配器
H04Q3/665	｛回路装置（含まれる文献は無い，暫定的にＨ０４Ｑ３／６６Ｄ１(ＥＣＬＡ)を参照）｝
H04Q3/68	セレクタ群またはセレクタ段の配合または交差
H04Q3/685	｛回路装置（含まれる文献は無い，暫定的にＨ０３Ｑ３／６８Ｄ１(ＥＣＬＡ)を参照）｝
H04Q3/70	発呼加入者のクラスの識別
H04Q3/72	発呼加入者の番号の検出および表示
H04Q3/74	共同線からの発呼加入者の識別
H04Q3/76	被呼加入者番号から出または入接続制御情報への翻訳
H04Q3/78	発呼または被呼加入者情報の一時的蓄積（電信通話のための中間的蓄積手段Ｈ０４Ｌ１３／０８）
