C07K5/04	ペプチド結合のみを含有するもの．<br><br><u>｛注</u><br><br>　グループ　Ｃ０７Ｋ５／０６　から　Ｃ０７Ｋ５／１０においては，下記の用語または表現は以下に示す意味で用いる:　．中性:　側鎖に同数のアミノ基とカルボン酸基またはその誘導体を持つアミノ酸，例．　Ｇｌｙ　　．塩基性:　側鎖にカルボン酸基またはその誘導体よりも多い数のアミノ基を持つアミノ酸，例．　Ａｒｇ　　．酸性:　側鎖にアミノ基よりも多い数のカルボン酸基またはその誘導体を持つアミノ酸，例．Ａｓｐ　　．脂肪族:　側鎖に非環式炭素原子のみを持つアミノ酸，例．　Ａｌａ　芳香族；　．脂環式:　側鎖に炭素環を持つアミノ酸，例．　Ｐｈｅ　．複素環式:　側鎖が複素環を含有するかその一部であるアミノ酸，例．　Ｐｒｏ　．側鎖:　随意的に官能基化されたアミノ酸のＲ　基　Ｒ−ＣＨ（ＮＨ２）Ｃ０２Ｈ）　｝
C07K5/06	ジペプチド
C07K5/06008	｛第１のアミノ酸が中性のもの｝
C07K5/06017	｛さらに脂肪族のもの｝
C07K5/06026	｛側鎖が　０　または　１個の炭素原子を持つもの，すなわち，ＧｌｙまたはＡｌａ｝
C07K5/06034	｛側鎖が　２　から　４個の炭素原子を持つもの｝
C07K5/06043	｛Ｌｅｕ−アミノ酸｝
C07K5/06052	｛Ｖａｌ−アミノ酸｝
C07K5/0606	｛側鎖が　Ｃ０７Ｋ５／０６０８６からＣ０７Ｋ５／０６１３９に含まれない異種原子を持つもの，例．　Ｓｅｒ，Ｍｅｔ，Ｃｙｓ，Ｔｈｒ｝
C07K5/06069	｛Ｓｅｒ−アミノ酸｝
C07K5/06078	｛さらに芳香族または脂環式　（第２アミノ酸の性質に特徴があるもの）｝．．．．<br><br><u>｛注</u><br><br>．．　このグループおよびそこから＋の符号によって分離されたものにおいて，第２アミノ酸の性質を示すコードは以下に従って付与される:　．．．．Ａ１　:　第２アミノ酸が中性で脂肪族のもの　．．．．Ａ１Ｆ:　さらにヘテロ原子を持つもの　．．．．Ａ２　:　第２アミノ酸が中性で芳香族または脂環式のもの　．．．．Ｂ　:　第２アミノ酸が塩基性のもの　．．．．Ｃ　:　第２アミノ酸が酸性のもの　．．．．Ｈ　:　第２アミノ酸が複素環式のもの　｝
C07K5/06086	｛第１アミノ酸が塩基性であるもの｝
C07K5/06095	｛Ａｒｇ−アミノ酸｝
C07K5/06104	｛第１アミノ酸が酸性であるもの｝
C07K5/06113	｛Ａｓｐ−　または　Ａｓｎ−アミノ酸｝
C07K5/06121	｛第２アミノ酸が芳香族または脂環式であるもの｝
C07K5/0613	｛アスパルテーム｝
C07K5/06139	｛第１アミノ酸が複素環のもの｝
C07K5/06147	
C07K5/06156	
C07K5/06165	
C07K5/06173	
C07K5/06182	
C07K5/06191	｛酸素，硫黄，窒素またはリン以外の異種原子を含有するもの｝
C07K5/08	トリペプチド
C07K5/0802	｛第１アミノ酸が中性のもの｝
C07K5/0804	｛さらに脂肪族のもの｝
C07K5/0806	｛側鎖が０または１個の炭素原子を含有するもの，すなわち　Ｇｌｙ，　Ａｌｃ｝
C07K5/0808	｛側鎖が２から４個の炭素原子を含有するもの，例．　Ｖａｌ，　Ｉｌｅ，　Ｌｅｕ｝
C07K5/081	｛側鎖が異種原子として，ＯまたはＳを含有するもの，例．Ｃｙｓ，　Ｓｅｒ｝
C07K5/0812	｛さらに芳香族または脂環式のもの｝
C07K5/0815	｛第１アミノ酸が塩基性のもの｝
C07K5/0817	｛第１アミノ酸が　Ａｒｇ｝
C07K5/0819	｛第１アミノ酸が酸性のもの｝
C07K5/0821	｛第１アミノ酸が複素環のもの｝
C07K5/0823	
C07K5/0825	
C07K5/0827	｛酸素，硫黄，窒素またはリン以外の異種原子を含有するもの｝
C07K5/10	テトラペプチド
C07K5/1002	｛第１アミノ酸が中性のもの｝
C07K5/1005	｛さらに脂肪族のもの｝
C07K5/1008	｛側鎖が０または１個の炭素原子を含有するもの，すなわち　Ｇｌｙ，　Ａｌａ｝
C07K5/101	｛側鎖が２から４個の炭素原子を含有するもの，例．　Ｖａｌ，　Ｉｌｅ，　Ｌｅｕ｝
C07K5/1013	｛側鎖が異種原子として，ＯまたはＳを含有するもの，例．　Ｃｙｓ，　Ｓｅｒ｝
C07K5/1016	｛さらに，芳香族または脂環式のもの｝
C07K5/1019	｛第１アミノ酸が塩基性のもの｝
C07K5/1021	｛第１アミノ酸が酸性のもの｝
C07K5/1024	｛第１アミノ酸が複素環のもの｝
C07K5/1027	｛酸素，硫黄，窒素またはリン以外の異種原子を含有するもの｝
C07K5/12	環状ペプチド
C07K5/123	｛トリペプチド｝
C07K5/126	｛テトラペプチド｝
C07K7/00	確定された配列をもつ，５から２０個のアミノ酸を含有するペプチド；その誘導体<br><br><u>｛注</u><br><br>　このサブグループにおいては，特定のグループ，例．　　Ｃ０７Ｋ７／０６２，に分類される特定の化合物に関連する環状化合物は，この特定のグループのみに分類される　｝
C07K7/02	擬ペプチド結合を少なくとも１個含有する鎖状ペプチド
C07K7/04	ペプチド結合のみを含有する鎖状ペプチド
C07K7/06	アミノ酸を５から１１個含有するもの
C07K7/062	｛血清剤胸腺因子｝
C07K7/065	｛胸腺液性因子｝
C07K7/067	｛Ｇｌｐ−Ｇｌｕ−Ａｓｐ−Ｃｙｓ−Ｌｙｓ配列に基づく血液調整ペプチド｝　
C07K7/08	アミノ酸を１２から２０個含有するもの（ガストリンＣ０７Ｋ１４／５９５；ソマトスタチンＣ０７Ｋ１４／６５５；メラノトロピンＣ０７Ｋ１４／６８）
C07K7/083	｛ニューロテンシン｝
C07K7/086	｛ボンベシン；　関連するペプチド　（　２１個以上のアミノ酸を持つもの　Ｃ０７Ｋ１４／５７５７２）｝
C07K7/14	アンジオテンシン；関連するペプチド
C07K7/16	オキシトシン；バソプレッシン；関連するペプチド
C07K7/18	カリジン；ブラジキニン；関連するペプチド
C07K7/22	｛タキキニン，例．｝エレドイシン，　｛　Ｐ物質｝；　関連するペプチド
C07K7/23	黄体形成ホルモン放出ホルモン（ＬＨＲＨ）；関連するペプチド
C07K7/28	グラミシジンＡ，Ｂ，Ｄ；関連するペプチド
C07K7/50	擬ペプチド結合を少なくとも１個含有する環状ペプチド
C07K7/52	環内にペプチド結合のみを有するもの
C07K7/54	環内に擬ペプチド結合を少なくとも１個有するもの
C07K7/56	２，４―ジアミノブタン酸を介して環化が行われないもの
C07K7/58	バシトラシン；関連するペプチド
C07K7/60	２，４―ジアミノブタン酸の４―アミノ基を介して環化が行われるもの
C07K7/62	ポリミキシン；関連するペプチド
C07K7/64	ペプチド結合のみを含有する環状ペプチド
C07K7/645	｛シクロスポリン；　関連ペプチド｝
C07K7/66	グラミシジンＳ，Ｃ；チロシジンＡ，Ｂ，Ｃ；関連するペプチド
C07K9/00	２０個以下のアミノ酸を含有し，糖類基を含有し，確定されたアミノ酸配列を有するペプチド；その誘導体
C07K9/001	｛１２個以下のアミノ酸をもち環を構成しないペプチド配列｝
