B65C5/00	織物または変形可能な面をもった材料または物品，例．紙，巻織物，靴下，靴，へのラベル取り付け（硬くない容器へのラベル取付けＢ６５Ｃ３／２６；縫付によるものＤ０５Ｂ；｛（靴製造工程において荷印を貼付するものＡ４３Ｄ９５／１４；織物材料に荷札を取り付けるものＤ０６Ｈ１／０４）｝
B65C5/02	接着剤を使用するもの
B65C5/04	熱活性化接着剤によるもの
B65C5/06	ステープルを使用するもの｛（手動可搬型ステープラーＢ２５Ｃ５／００；紙葉を相互に永久的にとじることＢ４２Ｂ４／００）｝
B65C7/00	タッグを取付けるもの（ティーバッグの充填と結合したものＢ６５Ｂ２９／０４；｛ラベルまたは付け札をつくるための多段の工程Ｂ３１Ｄ１／０２｝）
B65C7/001	｛少なくとも先鋭な先端が一つあるピンを用いるもの｝
B65C7/003	｛へら状のプラスチックピンを使用するもの（へら状のプラスチックピンを使って衣類にボタンを取り付けるものＡ４１Ｈ３７／００８）｝
B65C7/005	｛携帯用工具｝
B65C7/006	｛電気的に作動するもの｝
B65C7/008	｛流体で作動するもの｝
B65C9/00	ラベル取付け機械または装置の細部｛（物品をキャリヤーに取付けることＢ６５Ｂ１５／００；見本カードＧ０９Ｆ５／０４）｝
B65C2009/0003	｛ＲＦＩＤラベルの使用｝
B65C9/0006	｛裏当てシートを取除くもの｝
B65C2009/0009	｛剥離チップによるもの｝
B65C2009/0012	｛剥離チップが可変な半径をもつもの｝
B65C9/0015	｛ラベルまたは物品の準備，例．表面平滑化，空気泡の除去｝
B65C2009/0018	｛ラベルの準備｝
B65C2009/0021	｛搬送手段または物品への仮貼付のためのもの｝
B65C2009/0025	｛静電荷によるもの｝
B65C2009/0028	｛接着剤を活性化させるためのもの｝
B65C2009/0031	｛放射によるもの｝
B65C2009/0034	｛赤外線｝
B65C2009/0037	｛紫外線｝
B65C2009/004	｛電子ビーム｝
B65C2009/0043	｛レーザ｝
B65C2009/0046	｛加熱空気によるもの｝
B65C2009/005	｛ラベルの向きを変えるためのもの｝
B65C2009/0053	｛回転によるもの｝
B65C2009/0056	｛裏張りウェブから重ね合わさったラベルを剥がすもの｝
B65C2009/0059	｛物品の準備｝
B65C9/0062	｛交換可能なモジュール，例．ラベルマガジンと接着剤ローラーを備えた塗布ヘッド｝
B65C9/0065	｛ウェブから管状ラベルを切り取るもの｝
B65C2009/0068	｛ガスボトルとともに用いられる機械または装置｝
B65C2009/0071	｛接着剤付与装置の細部｝
