F41H11/05	港湾防御網　｛（機雷の敷設Ｆ４２Ｂ２２／２４；船舶を用いた防御網Ｂ６３Ｇ９／０４）｝
F41H11/06	砲トラップ（落とし穴）　｛（航空機における刑事上の攻撃に対する防御に特に適合した装置Ｂ６４Ｄ４５／００１５；金庫の強盗用トラップまたは類似するものＥ０５Ｇ５／０２；強盗，泥棒，侵入者を識別，威嚇または痛めつけるものＧ０８Ｂ１５／００）｝
F41H11/08	有刺鉄線障害物；防塞（さい）；支柱；戦車のトラップ；車両阻止装置；尖頭付き鉄玉　｛（有刺鉄線を作製するものＢ２１Ｆ２５／００；有刺鉄線フェンス張りＥ０４Ｈ１７／０４；道路防塞，車両または歩行者の通行を妨害するものＥ０１Ｆ１３／００）｝
F41H11/10	それに用いる展張具，例．有刺鉄線展張または巻き取り具
F41H11/11	有刺鉄線障害物の除去または無効化　（｛鉄線形障害物切断のために車両に取り付けられる装置Ｂ６０Ｒ１９／５４５｝；ワイヤ切断のための小火器用取付具Ｆ４１Ｃ２７／２０）
F41H11/12	地雷敷設地帯の除去手段　（｛地雷原で使用する履き物Ａ４３Ｂ３／００２６｝；掃海Ｂ６３Ｇ）
F41H11/13	地雷探知に特に適した装置
F41H11/132	生物学的装置，例．動物または植物による探知を伴うもの
F41H11/134	化学的装置、例．蒸気分析による探知を伴うもの
F41H11/136	磁気的，電磁的，音響的または放射性の装置，例．地中浸透レーダまたは金属探知機
F41H11/138	機械的装置，例．手動探知のための刺索棒
F41H11/14	電気式爆薬ケーブル，例．地雷除去用導爆索；　｛爆薬性線状装薬（線状装薬運搬ミサイルＦ４２Ｂ１２／６８）　｝
F41H11/16	自走の地雷除去車　｛または車両に設置した地雷除去装置｝
F41H11/18	機械的インパルスを用いて地雷を起動するための地面に衝撃を与える手段を有するもの，例．穀ざおまたは踏みつけ要素
F41H11/20	地面に浸透する要素，例．土中から埋設された地雷を除去する手段を有するもの（Ｆ４１Ｈ１１／１８を優先）　
F41H11/22	発掘用バケツである要素
F41H11/24	すきである要素
F41H11/26	地中に潜り込む回転機械である要素
F41H11/28	地表に置かれた地雷を脇に避けるために，ブラシをかける，または掃く手段またはブルドーザを用いるもの；地雷に触れずに表面から除去する方法
F41H11/30	地面に面荷重を作り出すローラを有するもの，例．起爆する目的で面荷重を徐々に増加すること
F41H11/32	囮または犠牲用の車両；車両に連結できる囮または犠牲用の装置
F41H13/00	他に分類されない攻撃または防御方法　｛（レーダー，ソナーシステムの詳細Ｇ０１Ｓ７／００）｝
F41H13/0006	｛人または動物を規制するための弾道配置システム，例．弾道配置網｝
F41H13/0012	
F41H13/0018	
F41H13/0025	
F41H13/0031	
F41H13/0037	
F41H13/0043	
F41H13/005	
F41H13/0056	
F41H13/0062	
F41H13/0068	
F41H13/0075	
F41H13/0081	
F41H13/0087	
F41H13/0093	
