G21C3/40	核分裂による熱から直接，電気エネルギーを発生させるための熱電素子と燃料要素との組合せ（温度測定用Ｇ２１Ｃ１７／１０）　｛または電気エネルギーの直接生産のための他の仕組み，例．熱電子装置（温度測定用の熱電対との組み合わせＧ２１Ｃ１７／１０２｝
G21C3/42	原子炉燃料として使用する物質の選択．<br><br><u>｛注</u><br><br>グループＧ２１Ｃ３／４２からＧ２１Ｃ３／６４においては，２００３年１月１日以降の新規文献は，リフォームされたＥＣＬＡ分類手順に従って分類する。すなわち，重要な（発明情報）情報にはＥＣＬＡの分類記号，例．Ｇ２１Ｃ３／５２，を付与し，他の（二次）情報には，ＩＣＯ分類記号，例．Ｇ２１Ｃ３／５２，を付与する。｝
G21C3/44	流体または流体状原子炉燃料
G21C3/46	水溶液状組成
G21C3/48	活性組成物の溶液またはコロイド状溶液
G21C3/50	活性組成物の懸濁液；スラリー
G21C3/52	液体金属組成
G21C3/54	溶融塩，酸化物または水酸化物
G21C3/56	気体状組成；気体状担体中の懸濁
G21C3/58	固体状原子炉燃料　｛核分裂素材でできたペレット｝
G21C3/60	金属燃料；金属分散体
G21C3/62	セラミック燃料
G21C3/623	｛酸化物燃料｝
G21C3/626	｛被覆燃料粒子｝
G21C3/64	セラミック分散燃料，例．サーメット
G21C5/00	減速材または炉心の構造；減速材用材料の選択
G21C5/02	細部
G21C5/04	ウイグナー成長に対応できるような空間配置
G21C5/06	燃料要素を支持または配置するための手段　｛（要素の一部を形成する手段Ｇ２１Ｃ３／１２）｝
G21C5/08	全体構造の望ましくない非対称膨脹を防止するための手段；　｛伸長手段，ピン｝
G21C5/10	全体構造を支持する手段　｛（容器および炉心構造を支持するための配置Ｇ２１Ｃ１３／０２４）｝
G21C5/12	組成に特徴のあるもの，例．減速材の耐熱性を改善する物質を付加した減速材　｛（原子炉運転中における液体減速材の浄化Ｇ２１Ｃ１９／３０）｝
G21C5/123	｛有機素材でできた減速材｝
G21C5/126	｛炭素減速材（炭素および黒鉛一般Ｃ０１Ｂ３１／００；耐火性炭素球Ｃ０４Ｂ３５／００；炭素電極Ｃ２５Ｂ）｝
G21C5/14	形状に特徴のあるもの
G21C5/16	構成部分の形状
G21C5/18	二以上の活性領域を有することによって特徴づけられたもの
G21C5/20	一つの領域が核分裂性物質を有し，他方の領域が増殖物質を有するもの
