D21C9/18	脱水（脱水一般Ｆ２６Ｂ）；｛パルプからの蒸解またはパルプ処理薬液の排除（Ｄ２１Ｃ９／００２，Ｄ２１Ｃ９／０２が優先；抄紙機Ｄ２１Ｆ；蒸解器のストレーナＤ２１Ｃ７／００；圧力一般Ｂ３０Ｂ）｝
D21C9/185	｛パルプを気体媒体に懸濁させる少なくとも１工程からなるもの，例．気流乾燥｝
D21C11/00	パルプ化薬液の再生｛または廃水の流出｝
D21C11/0007	｛副産物，すなわち,  パルプ化に必要なもの以外の化合物，多重利用のための化合物または他に分類されない化合物，の回収（再生のためにパルプ廃液を分解して得られた揮発性化合物Ｄ２１Ｃ１１／１２５；再生のためにパルプ廃液を分留して得られた化合物Ｄ２１Ｃ１１／００４２）｝
D21C11/0014	｛様々なパルプ化プロセスと１種または複数の回収システムとの組合せ［交差回収］｝
D21C11/0021	｛様々な流出液，例．廃水，のパルプ化，回収および再生サイクルへの導入［クローズドサイクル］｝
D21C11/0028	｛洗浄または漂白プラントからの流出液｝
D21C11/0035	｛パルプ化剤の損失を補償するためのそのサイクルへの化合物，例．硫酸ナトリウム，の導入｝
D21C11/0042	｛特別な方法によるパルプ廃液の分留または濃縮（蒸発による濃縮Ｄ２１Ｃ１１／１０）｝
D21C11/005	｛イオン交換体によるパルプ廃液の処理｝
D21C11/0057	｛パルプ廃液の酸化，例．硫黄化合物の損失を少なくするためのもの，引き続きこのパルプ廃液が黒液の場合は蒸発または燃焼（ガスの脱臭Ｄ２１Ｃ１１／０８；燃焼Ｄ２１Ｃ１１／１２，Ｄ２１Ｃ１１／１４）｝
D21C11/0064	｛緑液および白液の製造および処理に関するもの，例．緑液のカセイ化｝
D21C11/0071	｛ガスによる緑液または白液の処理，例．二酸化炭素による炭酸化；この処理によるこれらのパルプ廃液からのガス状化合物，例．硫化水素，の排除［ストリッピング］；この処理によってパルプ廃液中に形成した固体物質の必要に応じての分離（パルプ廃液（黒液，緑液または白液）の酸化Ｄ２１Ｃ１１／００５７；パルプガスの処理Ｄ２１Ｃ１１／０６）｝
D21C11/0078	｛他の手段またはガス以外の他の化合物による緑液または白液の処理，例．これらの廃液から塩化ナトリウムまたは炭酸ナトリウムなどの固体化合物を分離するためのもの；これらの化合物の更なる処理（パルプ廃液の分留Ｄ２１Ｃ１１／００４２）｝
D21C11/0085	｛再生系の特定の工程の性能を改良するための再生系へ助剤の導入，この物質の存在は再生サイクルに限定される（パルプ化剤の損失を補うための化合物の導入Ｄ２１Ｃ１１／００３５；緑液の通常のカセイ化Ｄ２１Ｃ１１／００６４；パルプ廃液の分留Ｄ２１Ｃ１１／００４２）｝
D21C11/0092	｛黒液の蒸発，燃焼または熱分解プロセスを変化させる物質（燃焼ガスから分離された固体物質［灰］の処理Ｄ２１Ｃ１１／０６６；蒸発中のスケール形成の回避Ｄ２１Ｃ１１／１０６）｝
D21C11/02	｛酸性，中性またはアルカリ性の｝亜硫酸法廃液からの再生
