G09F1/00	折畳み可能または可撓性の材料からなる板紙またはその類似物からなる展示カード
G09F3/0289	｛引き出し式または折り込み式ラベル｝
G09F3/0291	｛特定の条件，例．熱，放射線，時間の経過，の下で変化を受けるラベルまたはチケット｝
G09F3/0292	｛改ざん表示ラベル｝
G09F3/0294	｛変化が恒久的でないもの，例．特別の光の下でのみ読み取り可能なラベル，温度指示ラベルおよび同様のもの｝
G09F3/0295	｛チューブ，パイプ，および同様のもののためのラベルまたはチケット｝
G09F3/0297	｛機械可読マーク，例．バーコード，をもつもの（デジタル的にマークづけされた記録担体一般Ｇ０６Ｋ１９／００）｝
G09F3/0298	｛バーコードによるもの；バーコードとは異なるラベル｝
G09F3/03	封かんの（閉鎖容器の無権限の開放を指示するための手段Ｂ６５Ｄ，例．Ｂ６５Ｄ２７／３０，Ｂ６５Ｄ５５／０２；窃盗抑止タグＥ０５Ｂ７３／００１７）
G09F3/0305	｛封の用いられ方に特徴のあるもの｝
G09F3/0311	｛矢のような封の手段をもつもの｝
G09F3/0317	｛ボルト状の封の手段をもつもの（ピン，差し込み，軸または同様なものとその周囲の部材の軸方向の相対的な動きを防止する手段Ｆ１６Ｂ２１／００）｝
G09F3/0323	｛クランプ状の封の手段をもつもの｝
G09F3/0329	｛電子的な封の手段をもつもの｝
G09F3/0335	｛ＲＦＩＤタグを用いるもの｝
G09F3/0341	｛ラベルの封の手段をもつもの｝
G09F3/0347	｛南京錠型の封の手段を持つもの（南京錠一般Ｅ０５Ｂ６７／００）｝
G09F3/0352	｛ケーブル錠を用いるもの｝
G09F3/0358	｛剛体の掛け金の錠を用いるもの｝
G09F3/0364	｛回転式の封の手段をもつもの｝
G09F3/037	｛タイラップの封の手段をもつもの｝
G09F3/0376	｛改ざんを検出するために特殊技術を用いるもの，例．超音波または光学的手段によるもの｝
G09F3/0382	｛透明なケースをもつ封｝
G09F3/0388	｛半透明なケースをもつもの｝
G09F3/0394	｛乱数生成による違反指示をもつもの（乱数生成器Ｇ０６Ｆ７／５８，Ｇ０７Ｃ１５／００）｝
G09F3/04	ラベル自体の材料で取付けまたは固着されるもの，例．熱着によるもの（別々の接着層によるものＧ０９Ｆ３／１０）
G09F3/06	締着によるもの（別体の締着具によるものＧ０９Ｆ３／１６）
G09F3/08	ラベル自体の材料を用いないで取付けまたは固着するもの
G09F3/10	粘着層によるもの
G09F3/12	ピン，止め金，または同様のものによるもの
G09F3/14	糸，紐，チェーン，またはワイヤーによるもの
G09F3/16	締着具によるもの
G09F3/18	ラベル用ケース，囲い枠，または被包体
G09F3/185	｛ラベルを完全に包む囲み（Ｇ０９Ｆ３／２０１が優先）｝
G09F3/20	調整，移動，または交換可能なラベル用のもの
G09F3/201	｛ラベルを完全に包む囲み（Ｇ０９Ｆ３／２０３〜Ｇ０９Ｆ３／２０７が優先）｝
G09F3/202	｛交換可能要素の組み合わせで形成されるラベル，例．価格ラベル，用のもの（Ｇ０９Ｆ３／２０３〜Ｇ０９Ｆ３／２０７が優先）｝
G09F3/203	｛透明な面，例．自動車の窓，への取り付けに特に適合するもの｝
G09F3/204	｛棚または同様のものへの取り付けに特に適合するもの｝
G09F3/205	｛電線ケーブル，パイプまたは同様のものに特に適合するもの｝
G09F3/206	｛植物のマークづけや識別に特に適合するもの｝
G09F3/207	｛人に着用されるバッヂの形態のもの｝
G09F3/208	｛電子的なラベル，集積電子ディスプレイラベル｝
G09F5/00	見本表示手段（包装それ自体Ｂ６５）
G09F5/02	可搬式見本ケース
G09F5/04	見本カード；見本の本（カード，シートまたはウェブに取りはずし自在に取付けられた物品を有する包装体Ｂ６５Ｄ７３／００）
G09F2005/041	｛見本帳のための裏表紙｝
G09F5/042	｛紙，板紙，または同様のものの内の｝
G09F2005/043	｛木材用のもの｝
G09F2005/045	｛カーペット用のもの｝
G09F2005/046	｛香水用のもの｝
G09F2005/047	｛調度品用のもの｝
G09F2005/048	｛布用のもの｝
G09F7/00	サイン，表札または番号プレート，文字，数字，または記号板（車両の登録ナンバプレートＢ６０Ｒ１３／１０）；パネルまたはボード（展示カードＧ０９Ｆ１／００；可変情報のための指示装置Ｇ０９Ｆ９／００，Ｇ０９Ｆ１１／００；照明サインＧ０９Ｆ１３／００；告知またはポスター用のボードＧ０９Ｆ１５／００）
G09F7/002	｛耐天候性のパネルまたはボード（Ｇ０９Ｆ７／０２〜Ｇ０９Ｆ７／１４，Ｇ０９Ｆ７／１８〜Ｇ０９Ｆ７／２２が優先）｝
G09F2007/005	｛センサーに関連するサイン｝
G09F2007/007	｛窓を覆わないサイン｝
G09F7/02	記号を坦持し，または記号を形成するところの容易に取りはずしのできる要素を用いたサイン，プレート，パネルまたはボード
G09F7/04	要素が磁力により固着または固着可能に適合されたもの
G09F7/06	要素がピンの差込みにより固着または固着可能に適合されているもの
G09F7/08	要素が溝，レール，またはスリットにより固着または固着可能に適合されたもの
G09F7/10	かつ摺動自在に取り付けるようにしたもの
G09F7/12	要素が自己粘着性，湿気，吸引，遅乾接着性またはこれらと同様のものによって固着または固着可能に適合されているもの
G09F2007/122	｛吸引によるもの｝
G09F2007/125	｛静電力によるもの｝
G09F2007/127	｛接着剤によるもの｝
G09F7/14	記号担持または記号形成要素の構造上の特徴
G09F7/16	支持具に永久に固着させた文字，数字，または他の記号
G09F7/165	｛支持具の取扱いにより得られるもの｝
G09F7/18	支持用構造物にサイン，プレート，パネルまたはボードを取り付ける手段
G09F2007/1804	｛柱に留めるためのもの｝
G09F2007/1808	｛張力をかけたボンドを用いるもの，例．金属製のもの｝
G09F2007/1813	｛柱を固定するための２つの部分を有するブラケットを用いるもの｝
G09F2007/1817	｛柱をつかむための固定手段を用いるもの｝
G09F2007/1821	｛柱がサインを留めるためのスロットまたはフランジをもつもの｝
G09F2007/1826	｛柱に接続されるサインボードの後部上のチャネルを用いるもの，例．クランプを介するもの｝
G09F2007/183	｛サインが柱を固定する２つの部分により形成されるもの｝
G09F2007/1834	｛２つの側部柱により支持されるサインまたは同様のもの｝
G09F2007/1839	｛ケーブルに留めるためのもの｝
G09F2007/1843	｛サインを保持するためのフレームまたはハウジング｝
G09F2007/1847	｛サインボードをつかむためのブラケット｝
G09F2007/1852	｛磁気的または吸引または同様のものにより留めるためのもの｝
G09F2007/1856	｛支持構造により特徴付けられるもの｝
G09F2007/186	｛吊るされるもの，例．　天井に固定されるもの｝
G09F2007/1865	｛車両上のもの｝
G09F2007/1869	｛器具に固定されるプレート｝
G09F2007/1873	｛サインのタイプにより特徴付けられるもの｝
G09F2007/1878	｛交通案内，街路の目印｝
G09F2007/1882	｛象徴，例．ピンまたはねじにより固定されるもの｝
G09F2007/1886	｛張力をかけた可撓性標識｝
G09F2007/1891	｛モジュール形のもの｝
G09F2007/1895	｛ライセンス番号プレート｝
G09F7/20	調整可能に取り付けるためのもの<br><br><u>警告</u><br><br>グループＧ０９Ｆ７／２０はグループＧ０９Ｆ７／２０５への再分類の影響を受ける。<br>グループＧ０９Ｆ７／２０およびＧ０９Ｆ７／２０５はコンプリートサーチの完遂のために考慮されるべきである。
G09F7/205	｛吊るされたサインを調整可能に昇降するためのもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ７／２０５はグループＧ０９Ｆ７／２０からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ７／２０およびＧ０９Ｆ７／２０５はコンプリートサーチの完遂のために考慮されるべきである。
G09F7/22	回転または揺動自在に取り付けるためのもの，例．風により回転できるようにされたボードのためのもの
G09F9/00	情報が個別の要素の選択または組合せによって支持体上に形成される可変情報用の指示装置（そこで，可変情報が可動支持体に永久に取り付けられるものＧ０９Ｆ１１／００；ソロバンＧ０６Ｃ１／００；計算尺Ｇ０６Ｇ１／００）<br><br><u>注</u><br><br>グループＧ０９Ｆ９／３０２はグループＧ０９Ｆ９／３０５−Ｇ０９Ｆ９／３７に優先する。<br>この注はＧ０９Ｆ９／３０２−Ｇ０９Ｆ９／３７に関するＩＰＣ注（１）に対応する。
G09F9/30	必要な文字が個々の要素を組み合わせることによって形成されるもの（独立の光源から到達する光を制御する単一セル内の多数の電極を含むパネル，例．電気光学的または磁気光学的セルＧ０２Ｆ１／００）
G09F9/301	｛柔軟に折り畳みまたは巻き取ることができる電子ディスプレイ，例．薄い液晶ディスプレイ，有機ＥＬ｝
G09F9/302	個々の要素の形状や幾何学的な配置に特徴があるもの
G09F9/3023	｛セグメント化された電子ディスプレイ｝
G09F9/3026	｛ビデオウォール、すなわち積み上げることが可能な半導体マトリックス表示モジュール（ビデオウォール制御システムＧ０６Ｆ３／１４４６，Ｇ０９Ｇ２３００／０２６）｝
G09F9/305	（個々の要素が）光ファイバーの端であるもの（Ｇ０９Ｆ９／３０２が優先）
G09F2009/3055	｛道路標識用｝
G09F9/307	（個々の要素が）白熱フィラメントであるもの（Ｇ０９Ｆ９／３０２が優先；多数の分離された白熱体からなる白熱パネルそれ自体Ｈ０１Ｋ９／００）
G09F9/313	（個々の要素が）ガス放電装置であるもの（Ｇ０９Ｆ９／３０２が優先；多数の放電ギャップよりなるガス放電パネルそれ自体Ｈ０１Ｊ１７／４９）
G09F9/33	（個々の要素が）半導体装置であるもの，例．ダイオード<br><br><u>警告</u><br><br>グループＧ０９Ｆ９／３３はグループＧ０９Ｆ９／３３５への再分類の影響を受ける。<br>グループＧ０９Ｆ９／３３およびＧ０９Ｆ９／３３５はコンプリートサーチの完遂のために考慮されるべきである。
G09F9/335	（個々の要素が）有起光ダイオード［有機EL］であるもの<br><br><u>警告</u><br><br>グループＧ０９Ｆ９／３３５はグループＧ０９Ｆ９／３３からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ９／３３およびＧ０９Ｆ９／３３５はコンプリートサーチの完遂のために考慮されるべきである。 
G09F9/35	（個々の要素が）液晶であるもの（Ｇ０９Ｆ９／３０２が優先；液晶材料Ｃ０９Ｋ１９／００；単一のセル内に多数の電極を有する液晶パネルそれ自体Ｇ０２Ｆ１／１３）
G09F9/37	（個々の要素が）移動要素であるもの（Ｇ０９Ｆ９／３０２が優先）
G09F9/372	｛要素の位置が電場の印加により制御されるもの｝
G09F9/375	｛要素の位置が磁場の印加により制御されるもの｝
G09F9/377	｛要素の位置が空気圧的手段により制御されるもの｝
G09F9/40	必要な文字が，ならんで配置された多数の文字から選択されるもの，例．多数文字が共通の担体板上にあるもの
