G09F1/00	折畳み可能または可撓性の材料からなる板紙またはその類似物からなる展示カード
G09F19/008	｛膨張式の広告手段｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／００８はグループＧ０９Ｆ１９／００からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１９／００およびＧ０９Ｆ１９／００８はコンプリートサーチの完遂のために考慮されるべきである。
G09F19/02	可動表示要素を含むもの
G09F19/04	ドア，例．店舗扉，の開閉によって操作されるもの
G09F19/06	筆記装置
G09F19/08	可動部分を持つ，人形，お面，等生物を表現したもの（おもちゃ類Ａ６３Ｈ）
G09F2019/081	｛魚｝
G09F2019/083	｛植物｝
G09F2019/085	｛鳥｝
G09F2019/086	｛人形｝
G09F2019/088	｛顔｝
G09F19/10	広告される物品の動きを示す装置
G09F19/12	特殊な光学効果を用いたもの<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／１２はグループＧ０９Ｆ１９／１２５への再分類の影響を受ける。<br>グループＧ０９Ｆ１９／１２およびＧ０９Ｆ１９／１２５はコンプリートサーチの完遂のために考慮されるべきである。
G09F19/125	｛立体ディスプレイ；３Dディスプレイ｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／１２５はグループＧ０９Ｆ１９／１２からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ１９／１２およびＧ０９Ｆ１９／１２５はコンプリートサーチの完遂のために考慮されるべきである。
G09F19/14	観察者の見る位置によって異るサインを表示するもの
G09F19/16	鏡を含むもの
G09F19/18	光学的投影手段を含むもの，例．雲に像を投影するもの（映写機それ自体Ｇ０３Ｂ）
G09F19/20	混色効果を持つもの
G09F19/205	｛異なる波長を用いることによる特殊な効果｝
G09F19/22	道路，壁または同様のものの表面に広告または表示する手段，例．照明されるもの<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／２２はグループＧ０９Ｆ１９／２２７への再分類の影響を受ける。<br>グループＧ０９Ｆ１９／２２およびＧ０９Ｆ１９／２２７はコンプリートサーチの完遂のために考慮されるべきである。
G09F2019/221	｛地下鉄のためのトンネル壁上のもの｝
G09F2019/223	｛舗道パネルにおけるもの｝
G09F2019/225	｛火災避難経路指示手段｝
G09F19/226	｛外壁の表示手段；建物の正面の広告手段｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／２２６はグループＧ０９Ｆ１９／２２７への再分類の影響を受ける。<br>グループＧ０９Ｆ１９／２２６およびＧ０９Ｆ１９／２２７はコンプリートサーチの完遂のために考慮されるべきである。
G09F19/227	｛窓上のもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ１９／２２７はグループＧ０９Ｆ１９／２２およびＧ０９Ｆ１９／２２６からの文献の再分類が未完成であり保留されている。<br>Ｇ０９ｆ１９／２２，Ｇ０９Ｆ１９／２２６およびＧ０９Ｆ１９／２２７はコンプリートサーチの完遂のために考慮されるべきである。
G09F19/228	｛地面のサイン，すなわち地面に設置された表示サイン｝
G09F21/00	移動広告（視聴覚結合の広告Ｇ０９Ｆ２７／００）
G09F21/02	人間または動物によるもの
G09F21/023	｛衣服に固定されるもの｝
G09F21/026	｛人によって，例．肩にかけられて，移動する広告｝
G09F21/04	陸上の乗物によるもの<br><br><u>警告</u><br><br>グループＧ０９Ｆ２１／０４はグループＧ０９Ｆ２１／０４，Ｇ０９Ｆ２１／０４２およびＧ０９Ｆ２１／０４９への再分類の影響を受ける。<br>グループＧ０９Ｆ２１／０４，Ｇ０９Ｆ２１／０４２およびＧ０９Ｆ２１／０４９はコンプリートサーチの完遂のために考慮されるべきである。
G09F21/041	｛車両上に磁気的に固定されるもの｝
G09F21/042	｛広告物が車両の屋根上に固定されたもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２１／０４２はグループＧ０９Ｆ２１／０４への文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ２１／０４およびＧ０９Ｆ２１／０４２はコンプリートサーチの完遂のために考慮されるべきである。
G09F21/043	｛タイヤにより支持されるもの｝
G09F21/045	｛車輪により支持されるもの｝
G09F21/046	｛車両の移動により生じる震動を用いるもの｝
G09F21/048	｛車両の側面，前面または後面の広告パネル｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２１／０４８はグループＧ０９Ｆ２１／０４８５への再分類の影響を受ける。<br>グループＧ０９Ｆ２１／０４８およびＧ０９Ｆ２１／０４８５はコンプリートサーチの完遂のために考慮されるべきである。
G09F21/0485	｛フロントガラス上の広告｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２１／０４８５はグループＧ０９Ｆ２１／０４８からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ２１／０４８およびＧ０９Ｆ２１／０４８５はコンプリートサーチの完遂のために考慮されるべきである。
G09F21/049	｛車両内において乗客に情報を与えるもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２１／０４９はグループＧ０９Ｆ２１／０４からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ２１／０４およびＧ０９Ｆ２１／０４９はコンプリートサーチの完遂のために考慮されるべきである。
G09F21/06	飛行機，飛行船，風船またはたこによるもの
G09F21/08	航空機体に配置された広告物
G09F21/10	照明されるもの
G09F21/12	航空機によって引かれた広告物
G09F21/14	照らされるもの
G09F21/16	空に描くもの
G09F21/18	船またはその他の浮動体によるもの
G09F21/20	照明されるもの
G09F21/22	車両からパンフレットまたは類似の広告物を配布する装置（航空機からのものＢ６４Ｄ１／００）
G09F23/00	特殊な物品，例．灰皿，郵便箱，の外部か内部に施される広告（乗り物の外部か内部に施すものＧ０９Ｆ２１／００）<br><br><u>警告</u><br><br>グループＧ０９Ｆ２３／００はグループＧ０９Ｆ２３／００７，Ｇ０９Ｆ２３／００８１，Ｇ０９Ｆ２３／００９３，Ｇ０９Ｆ２３／００９５，Ｇ０９Ｆ２３／００９７およびＧ０９Ｆ２３／００９８への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G09F2023/0008	｛パーキングメータに施されるもの｝
G09F2023/0016	｛ペンに施されるもの｝
G09F2023/0025	｛容器に施されるもの｝
G09F2023/0033	｛冷蔵容器に施されるもの｝
G09F2023/0041	｛シガレットライタに施されるもの｝
G09F2023/005	｛座席に施されるもの｝
G09F23/0058	｛家庭用電化製品に施されるもの，例．食器洗い器，洗浄器または冷蔵庫に施されるもの｝
G09F23/0066	｛スポーツ用品，例．ゴルフクラブ，に施されるもの｝
G09F23/007	｛ボタンに施されるもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２３／００７はグループＧ０９Ｆ２３／００からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ２３／００およびＧ０９Ｆ２３／００７はコンプリートサーチの完遂のために考慮されるべきである。
G09F23/0081	｛衛生設備に施されるもの，例．１個の石鹸の外部のもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２３／００８１はグループＧ０９Ｆ２３／００からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ２３／００およびＧ０９Ｆ２３／００８１はコンプリートサーチの完遂のために考慮されるべきである。
G09F23/0082	｛歯ブラシに施されるもの｝
G09F23/0083	｛ガソリン給油機に施されるもの｝
G09F23/0091	｛ソーダまたはビールの缶に施されるもの｝
G09F23/0093	｛電話で伝えられるしるしに施されるもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２３／００９３，Ｇ０９Ｆ２３／００９５，Ｇ０９Ｆ２３／００９７およびＧ０９Ｆ２３／００９８はグループＧ０９Ｆ２３／００からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G09F23/0095	｛ダイヤルと関連するもの｝
G09F23/0097	｛送話口と関連するもの｝
G09F23/0098	｛直立した電話の標準に関連するもの｝
G09F23/02	物品の操作によって表示される広告体
G09F23/04	照明されるもの
G09F23/06	レストラン，店舗，または事務所の品物と結合される広告体（紙製品に関するものＧ０９Ｆ２３／１０）
G09F23/065	｛食品販売機における広告｝
G09F23/08	食器類に施されるもの
G09F23/10	紙製品，例．小冊子，新聞，に施されるもの
G09F23/105	｛花を包むための紙に施されるもの｝
G09F23/12	トイレットペーパーに施されるもの
G09F23/14	おもちゃ，ゲーム，パズル，またはこれに類するものに施されるもの
G09F23/16	時計に施されるもの，例．時計機構によって制御されるもの
G09F25/00	聴覚的な広告（音の記録または再生それ自体Ｇ１１Ｂ；場内放送システムＨ０４Ｒ２７／００）
G09F2025/005	｛メモリ装置内に記録されるメッセージ｝
G09F27/00	視聴覚結合の広告または表示，例．公衆への演説に関するもの<br><br><u>警告</u><br><br>グループＧ０９Ｆ２７／００はグループＧ０９Ｆ２７／００９への再分類の影響を受ける。<br>グループＧ０９Ｆ２７／００およびＧ０９Ｆ２７／００９はコンプリートサーチの完遂のために考慮されるべきである。
G09F2027/001	｛存在または近接検出器を有するもの｝
G09F2027/002	｛メモリ装置内に記録された広告メッセージ｝
G09F27/004	｛表示が緊急または警報メッセージを含むもの｝
G09F27/005	｛センサーと組み合わされたサイン｝
G09F27/007	｛太陽電池または光電池から給電される電源をもつ表示｝
G09F27/008	｛表示への直射日光の影響を小さくするための電子表示装置上の日除け，シェード，フードまたはルーバー（緊密な表面を有する堅く取り付けられた日除け屋根Ｅ０４Ｆ１０／００５）｝
G09F27/009	｛静的パネルが動的なものに改造されたもの｝<br><br><u>警告</u><br><br>グループＧ０９Ｆ２７／００９はグループＧ０９Ｆ２７／００からの文献の再分類が未完成であり保留されている。<br>グループＧ０９Ｆ２７／００およびＧ０９Ｆ２７／００９はコンプリートサーチの完遂のために考慮されるべきである。
