D10B2403/0112	一方の滑らかな表面，例．積層または被覆された
D10B2403/0113	一面が中空の配管または一体のストラップを含むもの，例．挿入または設置のためのもの
D10B2403/0114	一以上の糸が主に一つの表面に現れるもの，例．平坦なまたは平行な糸（パイル織物のためのものＤ０３Ｄ２７／００，Ｄ０４Ｂ１／０２，Ｄ０４Ｂ２１／０２；インターシャ編み地のためのものＤ０４Ｂ１／１２６）
D10B2403/012	表裏面が同様のもの
D10B2403/0121	両面が毛状，例．立毛または起毛，であるもの（パイル織物のためのものＤ０３Ｄ２７／００，Ｄ０４Ｂ１／０２，Ｄ０４Ｂ２１／０２）
D10B2403/0122	滑らかな表面，例．積層または被覆された
D10B2403/0123	両面が中空の配管または一体のストラップを含むもの，例．挿入または設置のためのもの
D10B2403/02	断面の特徴（三次元的な特徴のためのものＤ１０Ｂ２４０３／０３３）
D10B2403/021	パイルの前後に等間隔のスペーサのある高い織物，例．スペーサ織物
D10B2403/0211	波打つパイルのあるもの
D10B2403/0212	だぶついたまたはひだのついたパイルのあるもの
D10B2403/0213	空隙のあるもの，例．１以上の網状の織物パイルのあるもの
D10B2403/022	パイルの前後に様々なスペーサのある高い織物，例．スペーサ織物
D10B2403/0221	少なくとも１枚が波打つもの
D10B2403/0222	少なくとも１枚がだぶつきまたはひだのあるもの
D10B2403/0223	空隙のあるもの，例．１以上の網状の織物パイルのあるもの
D10B2403/023	間隔をおいた位置で互いに絡み合いまたは共通する内部共延伸糸の系に連結して織り交ぜられた少なくとも２つの主に連結されない，編みまたは織りパイルのある織物
D10B2403/0231	収縮糸を含むもの，例．ブリスター織物
D10B2403/024	追加的な化合物が組み込まれた織物
D10B2403/0241	機械的特性の強化
D10B2403/02411	単一の曲がっていない糸の配列のあるもの，例．一方向強化織物
D10B2403/02412	複数の曲がっていない糸の配列を含むもの，例．多軸織物
D10B2403/0242	化学的特性の強化
D10B2403/02421	特定の物質，例．粉体または顆粒，を含むもの
D10B2403/0243	機能的特性の強化
D10B2403/02431	電子部品，例．検出器またはスイッチ，のあるもの
D10B2403/03	形状の特徴
D10B2403/031	一定の幅の細い織物
D10B2403/0311	小さな厚みのない織物，例．リボン，テープまたはストラップ
D10B2403/0312	嵩のある織物，例．ベルト
D10B2403/032	様々な幅の平らな織物，例．１以上の形作られたパネルを含むもの
D10B2403/033	三次元の織物，例．中に空洞をまたは基礎となる平面の構成から突起を形成または包含する，または織物形成工程において一般的に課される円筒形状からの偏差
D10B2403/0331	限定された延長部の１以上の凸または凹の形状，例．ドームまたはポーチ
D10B2403/0332	三次元形状に折るまち，例．座席の覆い，のあるもの
D10B2403/0333	様々な径または異なる軸方向の筒状部分のあるもの
D10B2501/00	衣服
D10B2501/02	下着
D10B2501/021	靴下類；パンティーストッキング
D10B2501/04	外着；保護衣
D10B2501/041	手袋
D10B2501/042	頭にかぶるもの
D10B2501/043	履物
D10B2501/044	毛皮衣服；模造毛皮の衣服
D10B2501/045	ネクタイ
D10B2501/06	衣服の細部
D10B2501/061	玉縁穴［ポケット］
D10B2501/062	ボタン穴
D10B2501/063	ファスナー
D10B2501/0631	スライドファスナー
D10B2501/0632	タッチクローズ型のもの
D10B2503/00	家庭用または個人用
D10B2503/02	カーテン
D10B2503/03	巻き上げシェードまたはブラインドの内側
D10B2503/04	床または壁のカバー；カーペット
D10B2503/041	カーペットの裏張り
D10B2503/042	タフトテッドカーペットの主裏張り
D10B2503/06	ベッド掛け
D10B2503/062	はめこみ式ベッドシーツ
D10B2503/08	かつら
D10B2503/10	傘
D10B2505/00	工業用のもの
D10B2505/02	補強材；プリプレグ
D10B2505/022	タイヤ用のもの
D10B2505/04	フィルター
D10B2505/06	パッキング，ガスケット，シール
D10B2505/08	詰め物材料，マットレス
D10B2505/10	包装，例．袋
D10B2505/12	車両（Ｄ１０Ｂ２５０５／０８が優先）
D10B2505/122	シートベルト
D10B2505/124	エアバッグ
D10B2505/18	屋外用布，例．テント，防水布（Ｄ１０Ｂ２５０７／００が優先）
D10B2505/20	土木用，例．ジオテキスタイル
D10B2505/202	人工芝
D10B2505/204	地面用シート
D10B2507/00	スポーツ；軍事
D10B2507/02	網
D10B2507/04	帆
D10B2507/06	パラシュート
D10B2507/08	ボール
D10B2507/10	気球
D10B2509/00	医療；衛生
D10B2509/02	包帯，被覆用品または吸収性パッド
D10B2509/022	傷被覆用品
D10B2509/024	硬直包帯，例．ギブス包帯
D10B2509/026	吸収性パッド；タンポン；ランドリー；タオル
D10B2509/028	弾性支持ストッキングまたは弾性包帯
D10B2509/04	縫合
D10B2509/06	人工血管；ステント
D10B2509/08	ヘルニア修復メッシュ
