F42B5/10	噴進弾をもつもの
F42B5/105	｛２個の推進薬により推進されるもので，飛翔中または砲身において残りの発射体から分離した後方に位置するもの；自己射出薬きょうを備えた発射体｝
F42B5/145	ガス，蒸気，粉末，粒子または化学反応性物質の散布用（発射体からＦ４２Ｂ１２／４６）
F42B5/15	遮蔽作用またはおとり効果を生ずるもの，例．レーダーチャ−フまたは赤外線照明筒を用いるものＦ４２Ｂ４／２６）
F42B5/155	発煙筒発射器，例．車両に装備
F42B5/16	推進薬の組成，寸法または形状に特徴のあるもの，　｛発射体をもつまたはもたないもの，｝または火薬（化学的組成Ｃ０６Ｂ；　｛Ｆ４２Ｂ５／２４が優先｝）
F42B5/18	無薬きょう弾薬；燃じん性ケースをもつ薬包
F42B5/181	
F42B5/182	
F42B5/184	テレスコープ型
F42B5/188	そのための製造工程
F42B5/192	薬きょう，　｛例．薬のう｝，材料に特徴のあるもの
F42B5/196	被覆
F42B5/24	清掃用；冷却用；潤滑用；　｛磨耗低減用｝
F42B5/26	薬きょう（Ｆ４２Ｂ５／１８が優先；　｛薬きょうの製造Ｂ２１Ｋ２１／０４｝）
F42B5/28	金属製　｛すなわち金属製の薬きょう管｝
F42B5/285	複数の部材を組立てて構成されたもの
F42B5/29	薄板または帯状板を巻いたもの
F42B5/295	被覆されたもの
F42B5/297	プラスチックで被覆されたもの
F42B5/30	プラスチック製　｛すなわち薬きょう管はプラスチック製である｝
F42B5/307	複数の部材を組立てて構成されたもの
F42B5/313	すべての部材がプラスチックで作られているもの
F42B5/32	リムファイア
F42B5/34	長さを変える機構のあるもの
F42B5/36	雷管全体を装着するもの
F42B5/38	分離装てん装薬，例．薬のう　｛（Ｆ４２Ｂ５／１６，Ｆ４２Ｂ５／１９２が優先）｝
F42B6/00	爆発性または燃焼性推進薬を使用しない発射に特に適合した発射体または飛しょう体，例．吹矢筒，弓または十字弓，手持ちばね銃または空気銃砲（皮下注射薬発射用Ｆ４２Ｂ１２／５４；発射手段としてばねを組み込んだ発射体または飛しょう体Ｆ４１Ｂ７／０２；　｛材料を分配するための，または化学的または物理的反応を生じるための，または信号のための矢またはダーツＦ４２Ｂ１２／３６２｝）
F42B6/003	｛ダーツ｝
F42B6/006	｛電磁またはプラズマ銃用の発射体｝
F42B6/02	矢；十字弓の太矢；手持ちばね銃または空気銃砲用苴（もり）
F42B6/04	アーチェリー矢（Ｆ４２Ｂ６／０８，Ｆ４１Ｂ５／０６，　｛Ｆ４２Ｂ１２／３６２｝が優先）
F42B6/06	尾端，例．弓筈，矢羽根
F42B6/08	矢じり；苴（もり）じり
F42B6/10	空気銃砲弾丸；　｛空気銃砲用弾薬，例．推進性気体容器｝
F42B7/00	散弾銃弾薬
F42B7/02	薬包，すなわち推進薬と飛しょう体を固定するケース
F42B7/04	ペレット形のもの
F42B7/043	｛弾丸分散手段をもつもの｝
F42B7/046	｛そのためのペレットまたは弾丸｝
F42B7/06	プラスチック薬きょうを有するもの　｛Ｆ４２Ｂ５／３０が優先｝
F42B7/08	ワッド　｛すなわち発射体または弾丸搬送装置，｝そのための
F42B7/10	弾子またはスラッグを用いた散弾銃薬包
F42B7/12	薬包上ふた，すなわち飛しょう体側用（爆破薬包用ふたＦ４２Ｂ３／２４）
F42B8/00	演習または訓練用弾薬
F42B8/02	薬包　｛（Ｆ４１Ａ３３／０２，Ｆ４２Ｂ７／１２が優先）｝
F42B8/04	空包，すなわち発射体はないが，爆発性または燃焼性推進薬を含む火管付薬包
F42B8/06	紙雷管ピストル用
F42B8/08	擬製薬包，すなわち火管も爆発性または燃焼性装薬も含まない不活性薬包
F42B8/10	減口径用アダプタを有するもの
