A44C15/0015	｛照明付きのまたは音を発する宝石｝
A44C15/002	｛香水または類似のものを散布する宝石｝
A44C15/0025	｛裏返すことが可能なまたは二面を持った宝石｝
A44C15/003	｛宝石を拘束または保持する物品，例．眼鏡｝
A44C15/0035	｛刺す形式の宝石（耳輪Ａ４４Ｃ７／００）｝
A44C15/004	｛モノグラムまたは他の銘刻を有する宝石｝
A44C15/0045	｛グループＡ４４Ｃ１／００〜Ａ４４Ｃ９／００に完全には分類されない体の特定の部分への装着に特に適合された宝石（Ａ４４Ｃ１５／００３５が優先）｝
A44C15/005	｛ネックレス（装飾用鎖Ａ４４Ｃ１１／００）｝
A44C15/0055	｛他の宝石，例．耳輪，と結合されたもの｝
A44C15/006	｛頭上への，例．王冠（髪止め具Ａ４５Ｄ８／００）｝
A44C15/0065	｛鼻上または鼻孔上への｝
A44C15/007	｛歯への，例．支持台または装飾品｝
A44C15/0075	｛手または爪への｝
A44C15/008	｛爪への｝
A44C15/0085	｛脚，足またはつま先への｝
A44C15/009	｛足またはつま先への｝
A44C15/0095	｛乳頭への｝
A44C17/00	宝石または類似物
A44C17/001	｛宝石の彫面｝
A44C17/002	｛いくつかのカット片からなる宝石｝
A44C17/003	｛にせ宝石｝
A44C17/005	｛溝または切り欠き，例．取り付けのためのもの，を備えた宝石｝
A44C17/006	｛空洞，例．別の宝石を入れるためのもの，を備えた宝石｝
A44C17/007	｛特別な型の宝石｝
A44C17/008	｛ガラスの石｝
A44C17/02	宝石｛または類似物，例．装飾用品｝，の支持台
A44C17/0208	｛取外し可能なもの｝
A44C17/0216	｛自動ロック動作のあるもの，例．ばねを用いるもの｝
A44C17/0225	｛クランプ動作のあるもの｝
A44C17/0233	｛ねじまたはねじ要素を用いるもの｝
A44C17/0241	｛滑動可能にされたもの｝
A44C17/025	｛宝石がガイドレールに沿って滑動するもの｝
A44C17/0258	｛回転可能または枢動可能にされたもの｝
A44C17/0266	｛枢動位置を維持するための手段のあるもの｝
A44C17/0275	｛揺動する方法によるもの｝
A44C17/0283	｛支持台内で自由に動くもの｝
A44C17/0291	｛同一平面内でのもの｝
A44C17/04	宝石細工品に宝石を嵌入するもの；嵌入する道具
A44C17/043	｛嵌入する道具｝
A44C17/046	｛非同一平面上のテーブル頂上の複数の面への宝石の嵌入｝
A44C19/00	時計または宝石の盗難防止装置
