C03B7/094	加熱，冷却，または絶縁のための手段
C03B7/096	加熱のためのもの
C03B7/098	電気的
C03B7/10	ナイフまたは，はさみ｛または非接触切断手段，例．ガスジェット｝によるガラス流の切断｛または分断｝；使用される刃の構造
C03B7/11	刃の構造
C03B7/12	自由懸垂ガラス流の切断｛または分断｝，｛例．重力と表面張力の組合わせによるもの｝
C03B7/14	ガラスブローマシンまたはプレスマシンへの溶融ガラスまたはゴブの移送（Ｃ０３Ｂ７／１８〜Ｃ０３Ｂ７／２２が優先）
C03B7/16	デフレクターシュートを使用するもの
C03B7/18	サクションフィーダー
C03B7/20	スコップフィーダー
C03B7/22	棒または，管の形で取り出す装置
C03B9/00	ガラスのブロー成形；中空ガラス物品の製造
C03B9/02	口によるブロー；その補助手段
C03B9/03	吹管
C03B9/04	足または突起を有する中空ガラス器の製作
C03B9/06	２重壁を有する中空ガラス器の製作，例．真空フラスコ
C03B9/08	口で吹いたガラスの圧縮空気による仕上げブロー
C03B9/10	板ガラス製造のためのガラス円筒のブロー
C03B9/12	ガラスのリボンから出発するもの；リボンマシン
C03B9/13	ゴブ供給式マシンにおける成形（Ｃ０３Ｂ９／２８，Ｃ０３Ｂ９／２９が優先）
C03B9/14	ブローマシンまたは，ブローブローマシンにおける成形（Ｃ０３Ｂ９／１９３，Ｃ０３Ｂ９／２０が優先）
C03B9/145	｛反転金型のない機械の細部｝
C03B9/16	反転金型を有する機械における成形
C03B9/165	｛そのような機械の細部，例．誘導漏斗，反転機構（Ｃ０３Ｂ９／１８が優先）｝
C03B9/18	回転テーブルマシン
C03B9/185	｛少なくとも２個の回転テーブルをもつもの｝
C03B9/19	回転テーブルを一個のみ有するもの
C03B9/193	プレスブローマシンにおける成形
C03B9/1932	｛そのような機械の細部，例．プレスブローマシンのためのプランジャーまたはプランジャー機構，プランジャーの冷却（Ｃ０３Ｂ９／１９５が優先）｝
C03B9/1934	｛プランジャーの機械的変位手段｝
C03B9/1936	｛プランジャーの油圧式または空気圧式の変位手段｝
C03B9/1938	｛プランジャーの変位のための電気的手段｝
