A41D13/1123	｛カモノハシ的形状のもの｝
A41D13/113	｛垂直の折り目または結合部を有するもの｝
A41D13/1138	｛カップ的形状のもの｝
A41D13/1146	｛成型により得られるもの｝
A41D13/1153	｛フード付のもの｝
A41D13/1161	｛使用者の頭部に留める手段｝
A41D13/1169	｛接着剤を使用するもの｝
A41D13/1176	｛マスクの縁を完全に密閉するもの｝
A41D13/1184	｛眼の防護付のもの，例．遮蔽物または覆いを用いるもの｝
A41D13/1192	｛抗菌剤を有するもの｝
A41D13/12	外科医用または患者用ガウンまたは衣服｛（手術用手袋Ａ６１Ｂ４２／１０）｝
A41D13/1209	｛外科医用ガウンまたは衣服｝
A41D13/1218	｛頭または顔を保護するもの｝
A41D13/1227	｛防水の袖を有するもの｝
A41D13/1236	｛患者用衣服｝
A41D13/1245	｛身体の上部用のもの｝
A41D13/1254	｛身体の下部用のもの（Ａ４１Ｄ１３／０５０６が優先）｝
A41D13/1263	｛上下揃いのもの｝
A41D13/1272	｛赤ん坊に特に適合したもの｝
A41D13/1281	｛医用監視用手段を組み入れたもの｝
A41D13/129	｛着用を容易にするもの，例．開口に特徴のあるもの｝
A41D15/00	転用できる衣服
A41D15/002	｛長さにおけるもの｝
A41D15/005	｛両面が使用できる衣服｝
A41D15/007	｛ボレロ構造を有するもの｝
A41D15/02	ズボンに転用できるスカート
A41D15/04	他の物品に転用できる衣服
A41D17/00	ゲートル；短かいゲートル
A41D17/005	｛ゲートルの固定手段｝
A41D17/02	すね当て，｛すなわち裏にある衣服を守るために下半身の衣類を覆うもの｝
A41D17/04	巻きゲートル
A41D19/00	手袋（｛手袋の形状をしたブラシ台Ａ４６Ｂ５／０４；身体洗浄用手袋Ａ４７Ｋ７／０２；家庭の洗浄または清浄用の手袋Ａ４７Ｌ１３／１８｝；手術用手袋Ａ６１Ｂ４２／１０；水泳用手袋Ａ６３Ｂ３１／０２；ゲームまたはスポーツ用の附属具，例．野球，ボクシング，またはゴルフ用の手袋Ａ６３Ｂ７１／１４；グラブボックス用の手袋Ｂ２５Ｊ１／０２）
A41D19/0003	｛両手利きの形状を有するもの｝
A41D19/0006	｛複数層の材料からなるもの｝
A41D19/001	｛裏地｝
A41D19/0013	｛開口部，例．爪用または宝石の露出用，を有するもの｝
A41D19/0017	｛指または手の一部用のスリットを有するもの｝
A41D19/002	｛ポケットを有するもの｝
A41D19/0024	｛付属品を有するもの｝
A41D19/0027	｛測定装備，例．時計，温度計｝
A41D19/0031	｛警笛または他の警告装置｝
A41D19/0034	｛保持手段｝
A41D19/0037	｛物品を手袋に固定するためのもの｝
A41D19/0041	｛手袋を使用者の衣服または腕に接続するもの｝
A41D19/0044	｛袖口の部分｝
A41D19/0048	｛袖口の固定手段を有するもの｝
A41D19/0051	｛装飾｝
A41D19/0055	｛プラスチックまたはゴム製の手袋｝
A41D19/0058	｛立体的手袋｝
A41D19/0062	｛１層の材料でできたもの｝
A41D19/0065	｛裏に織物層を有するもの｝
A41D19/0068	｛平面的手袋，すなわち，２枚の材料の重ね合わせにより得られるもの｝
A41D19/0072	｛１層の材料でできたもの｝
A41D19/0075	｛廃棄物の処理および収容を可能にするもの｝
A41D19/0079	｛流体輸送用の経路を有するもの｝
A41D19/0082	｛細部｝
A41D19/0086	｛爪状取付具｝
A41D19/0089	｛手袋と袖口あるいは衣服との間の係合部｝
