A63C9/08514	｛水平かつ垂直にスウインガブルまたは垂直のみスウインガブル（Ａ６３Ｃ９／０８５２１が優先）｝
A63C9/08521	｛水平または垂直にスウインガブルかつ少なくとも踏み板で部分的に作動されるスウインガブル｝
A63C9/08528	
A63C9/08535	｛側面の顎部からなるもの｝
A63C9/08542	
A63C9/0855	
A63C9/08557	
A63C9/08564	
A63C9/08571	
A63C9/08578	
A63C9/08585	
A63C9/08592	
A63C9/086	使用者の靴に取付けられ，スキー締具からとりはずせる部品を使用するもの
A63C9/088	電子的に制御された係止装置を有するもの
A63C9/0885	｛遠隔操作されるもの，例．スキーヤーによって｝
A63C9/10	自動的に解放しない爪先ばさみ金具；一体に作られた自動的に解放しない締具のフック
A63C9/12	自動的に解放しない弾性胱
A63C9/14	胱紐を有しないが爪先金具と爪先紐の両方を有する自動的に解放しない締具
A63C9/16	紐を有せず爪先金具を有する自動的に解放しない締具
A63C9/18	胱紐を有せず締具の前端または後方に留め金装置を有する自動的に解放しない締具
A63C9/20	爪先紐の代りに特殊な靴底保持具を有する，自動的に解放しない締具
A63C9/22	爪先留め金具調節装置
A63C9/24	スキー締具の締付具（自動開放スキー締具の締付具Ａ６３Ｃ９／０８）
A63C9/245	｛紐締付部分の形成｝
A63C10/00	スノーボード用ビンディング
A63C10/005	
A63C10/02	靴保持具の細部に特徴を有するもの
A63C10/04	靴の上部を跨ぐように設けられた靴保持具
A63C10/045	
A63C10/06	そのためのストラップ，例．調節可能なストラップ
A63C10/08	つま先または踵用留め金；クランプ
A63C10/10	靴に固定する部材を用いるもの，例．ステップインを補助する手段
A63C10/103	
A63C10/106	
A63C10/12	事故の際に自動的にはずれるもの，すなわち安全ビンディング
A63C10/14	インターフェース，例．板の形状をしたもの
A63C10/145	
A63C10/16	ビンディングの方向または位置を調整するシステム
A63C10/18	ボードに対する垂直回転軸に関するもの
A63C10/20	ボードに対して縦方向または横方向の調整
A63C10/22	靴のサイズに合わせるためのもの（Ａ６３Ｃ１０／０６が優先）
A63C10/24	ふくらはぎまたは踵を保護するもの，例．調節可能なハイバックまたはヒールカップ
A63C10/26	衝撃または振動を吸収するもの
A63C10/28	ビンディングに付加的に取り付けられる装置またはビンディング上の配置に特徴があるもの
A63C10/285	
A63C11/00	スキー付属品
A63C11/001	｛スキーまたはスキー付属品により形成される座席｝
A63C11/002	｛スキーまたはスキー付属品により形成される伸張具｝
A63C11/003	｛信号装置，例．聴覚または視覚的（Ａ６３Ｃ１１／２２５が優先；突発的に雪に埋まった人の位置を指示する手段Ａ６３Ｂ２９／０２１）｝
A63C11/004	｛スキーまたはスキー道具の盗難防止装置（Ａ６３Ｃ１１／００３が優先）｝
A63C11/005	｛スキーまたはストック上のもの｝
A63C11/006	｛携帯式ロック手段｝
A63C11/007	｛ロック可能なスキーラック，戸棚または類似のもの｝
A63C11/008	｛コインで作動するもの｝
A63C11/009	｛運搬装置のためのもの｝
A63C11/02	保管または輸送のためにスキーを伸ばしたり締付けたりプレスしたりする装置（スキー運搬用の車への取り付け具Ｂ６０Ｒ９／１２）
A63C11/021	｛一対のスキーを束ねるための装置，例．紐体，クリップ（Ａ６３Ｃ１１／０２３が優先）｝
A63C11/022	｛マグネットを有するもの｝
A63C11/023	｛運搬装置｝
A63C11/025	｛スキーまたはスキー杖用｝
A63C11/026	｛車輪に載せるもの｝
A63C11/027	｛スキーの保護具，例．車体の屋根上の容器｝
A63C11/028	｛棚またはスキーラックでの保管，例．留め金装置を有するもの｝
A63C11/04	スキー処理用
A63C11/06	エッヂをとぐ道具
A63C11/08	ワックスを塗ったりはがしたりする道具（スキーワックスＣ０９Ｇ３／００）
A63C11/10	スキーを曳く装置　｛（スキーリフトＢ６１Ｂ１１／００）｝
A63C11/12	スキーに靴の踵を引掛ける装置
A63C11/14	損傷したスキーの修繕装置
A63C11/16	スキーに固定するための靴の特殊手段（Ａ６３Ｃ９／００が優先）
A63C11/18	スキー，スキー締具またはスキー靴から雪をとり去る装置
A63C11/20	スキーの雪保護具
A63C11/22	スキー杖
A63C11/221	｛伸縮自在，例．長さの変更または衝撃吸収のためのもの｝
A63C11/222	｛スキー杖の柄または取手｝
A63C11/2224	
A63C11/2228	
A63C11/224	｛時刻装置に関連したもの｝
A63C11/225	｛信号装置を有するもの，例．聴覚または視覚（突発的に雪に埋まった人の位置を指示する手段Ａ６３Ｂ２９／０２１）｝
A63C11/227	
A63C11/228	
A63C11/24	スキー杖の輪
A63C11/26	スキーの締具をスキーに取り付ける装置，例．ジグ　｛そのために特に適合した試験装置または測定具｝
A63C11/265	｛安全スキー締具の解放力を試験または測定する装置｝
A63C13/00	雪上靴
A63C13/001	
A63C13/003	
A63C13/005	
A63C13/006	
A63C13/008	
A63C13/02	雪上靴の輪
A63C17/00	ローラスケート；スケートボード
A63C17/0006	
A63C17/0013	
A63C17/002	
A63C17/0026	
A63C17/0033	
A63C17/004	
A63C17/0046	
A63C2017/0053	
A63C17/006	
A63C17/0066	
A63C17/0073	
A63C17/008	
A63C17/0086	
A63C17/0093	
A63C17/01	スケートボード｛（スキーの回転装置Ａ６３Ｃ５／０６Ｆ(ＥＣＬＡ)）｝
A63C17/011	
A63C17/012	
A63C17/013	
A63C17/014	
A63C17/015	
A63C17/016	
A63C17/017	
A63C17/018	
A63C17/02	二組の車輪を有するもの
A63C17/04	二組の他に車輪を有するもの
A63C17/045	
A63C17/06	単一軌道形
A63C17/061	
A63C17/062	
A63C17/064	
A63C17/065	
A63C17/067	
A63C17/068	
A63C17/08	単一車輪形
A63C17/10	無限軌道を有するもの
A63C17/12	駆動機構を有するもの
A63C17/14	ブレーキ，例．爪先止め，フリーホイールローラクラッチ，を有するもの
A63C17/1409	｛一つまたはそれ以上の車輪への接触｝
A63C17/1418	
A63C17/1427	
A63C17/1436	｛地面への接触｝
A63C17/1445	｛地面および一つまたはそれ以上の車輪への接触｝
A63C17/1454	｛フリーホイールローラクラッチ｝
A63C2017/1463	
A63C2017/1472	
A63C2017/1481	
A63C2017/149	
A63C17/16	特殊形状または配列の滑走路に用いるもの
A63C17/18	氷または雪用に変えられるスケート
A63C17/20	歩行用に車輪を固定できるもの
A63C17/22	ローラスケート用車輪
A63C17/223	
A63C17/226	
A63C17/24	ボール状または球状滑走面を有するもの
A63C17/26	特別の補助装置，例．装飾，マークまたは始動装置のあるもの，を有するもの
A63C17/262	
A63C17/265	
A63C17/267	
A63C17/28	坐るための装置を有するもの
A63C19/00	競技場，リンク，ボーリンググリーン，または水上スキー用施設の設計またはレイアウト；そのカバー　（｛ゴルフコースＡ６３Ｂ６９／３６９１｝；水上回転木馬Ａ６３Ｇ３／００；基礎の表面の構造Ｅ０１Ｃ；屋根Ｅ０４Ｂ７／００；スポーツ用の建築物または建築物のグループＥ０４Ｈ３／１０；水泳または水遊び用の漕またはプールＥ０４Ｈ４／００；漕のカバーＥ０４Ｈ４／０６）
A63C19/003	
A63C19/005	｛ボクシングリング｝
A63C19/02	異ったゲームの必要性に応ずるように表面が特別に作られているコート　｛（表面構造Ｅ０１Ｃ）｝
A63C19/04	コート用マットまたはカーペット
A63C19/06	コートの区画または分割のための装置
A63C19/062	｛回転競技のゲートポール，支柱，またはスポーツフィールド用杖の製造｝
A63C19/065	｛コート用テープの製造，特にテニスコート｝
A63C2019/067	
A63C19/08	区画のための機械装置
A63C2019/085	
A63C19/10	アイススケートまたはローラースケートリンク；スキー，スキージャンプまたはトボガンそり用のスロープまたは軌道（シュートＡ６３Ｇ２１／００；スキーリフトＢ６１Ｂ１１／００；交通またはスポーツの目的に適した雪または氷の面の製造または維持Ｅ０１Ｈ４／００；雪または氷の除去Ｅ０１Ｈ５／００；氷または雪の製造Ｆ２５Ｃ３／００）
A63C19/12	コート，リンク，ゲームピッチまたは類似施設用の除去できる保護カバー
A63C2201/00	
A63C2201/02	
A63C2201/04	
A63C2201/06	
A63C2201/10	
A63C2201/12	
A63C2203/00	
A63C2203/02	
A63C2203/06	
A63C2203/065	
A63C2203/08	
A63C2203/10	
A63C2203/12	
A63C2203/14	
A63C2203/16	
A63C2203/18	
A63C2203/20	
A63C2203/22	
A63C2203/24	
A63C2203/40	
A63C2203/42	
A63C2203/44	
A63C2203/46	
A63C2203/48	
A63C2203/50	
A63C2203/52	
A63C2203/54	
