B		処理操作；運輸<br>	PERFORMING OPERATIONS; TRANSPORTING				
B01		物理的または化学的方法または装置一般<br><b><ul>注</ul></b><br>以下に示す注は，分類表のこの部分での使用を助ける；これらは，いかなる場合にも修正して読むべきでない。<br>（１）このサブセクションにおいて，異なる材料，例．異なる物質，大きさ，または状態，に関する分離は次のサブクラスに優先的に分類される：<br>Ｂ０１Ｄ<br>Ｂ０３Ｂ，Ｂ０３Ｃ，Ｂ０３Ｄ<br>Ｂ０４Ｂ，Ｂ０４Ｃ<br>Ｂ０７Ｂ，Ｂ０７Ｃ<br>（２）これらのサブクラスの分類上の特徴は，以下のごとくである：<br>（ｉ）分離されるべき物質の物理的状態<br>（ｉｉ）採用される方法の原理<br>（ｉｉｉ）特別な種類の装置<br>これらの特徴の第１番目のものは，３つのグループに集められる６つの異なった観点を含んでいる。<br>（ａ）液体―液体または液体―気体および気体―気体<br>（ｂ）固体―液体または固体―気体<br>（ｃ）固体―固体<br>（３）これらのサブクラスは，以下の一般的規則に従って用いられる：<br>―Ｂ０１Ｄは，固体―固体以外の分離が関係するかぎり最も一般的なサブクラスとなる。<br>―固体から固体を分離する装置は，たとえその装置が空気力のもの，特に風力テーブルまたは風力ジグ，であってもその関係する工程が鉱山技術の意味で“洗鉱”に相当するものとみなされる場合はＢ０３Ｂに包含される。ふるいそれ自体はこのサブクラスには包含されず，たとえそれが湿式法に用いられても，Ｂ０７Ｂに分類される。乾式法による固体から固体を分離するすべての他の装置はＢ０７Ｂに分類される。<br>―もし，分離が，選別されるべき材料または物品のある特性を検出または測定した結果として起こるならば，それはＢ０７Ｃに分類される。<br>―また，同位元素の分離は，どのような方法または装置が用いられようとも，Ｂ０１Ｄ５９／００に分類することに注意すべきである。<br><b><ul>サブクラス内の索引</ul></b><br>液体／液体，液体／気体，または気体／気体の分離<br>方法<br>一般　Ｂ０１Ｄ<br>遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>装置<br>一般　Ｂ０１Ｄ<br>遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>固体／液体または固体／気体の分離<br>方法<br>一般　Ｂ０１Ｄ<br>遠心力によるもの　Ｂ０１Ｄ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>装置<br>一般　Ｂ０１Ｄ<br>遠心力によるもの　Ｂ０１Ｄ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>固体／固体の分離<br>方法<br>乾式法<br>一括分級一般　Ｂ０７Ｂ<br>個別分級　Ｂ０７Ｃ<br>篩にかけるもの，空気力分級　Ｂ０７Ｂ<br>風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ<br>磁気効果または静電気効果によるもの　Ｂ０３Ｃ<br>遠心力によるもの　Ｂ０７Ｂ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０７Ｂ<br>湿式法<br>一般　Ｂ０３Ｂ<br>浮遊選別，差別沈降　Ｂ０３Ｄ<br>篩にかけるもの　Ｂ０７Ｂ<br>結合＝乾式法−湿式法　Ｂ０３Ｂ<br>固体／固体の分離<br>装置<br>乾式法<br>一括分級一般　Ｂ０７Ｂ<br>個別分級　Ｂ０７Ｃ<br>篩にかけるもの，空気力分級　Ｂ０７Ｂ<br>風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ<br>磁気効果または静電気効果によるもの　Ｂ０３Ｃ<br>遠心力によるもの　Ｂ０７Ｂ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>湿式法<br>一般　Ｂ０３Ｂ<br>浮遊選別，差別沈降　Ｂ０３Ｄ<br>篩にかけるもの　Ｂ０７Ｂ<br>結合＝乾式法−湿式法　Ｂ０３Ｂ<br>	<br><br><b><u>Note(s)</u></b><br><ul><li>The following notes are meant to assist in the use of this part of the classification scheme; they must not be read as modifying in any way the elaborations.<ul type=""1""><li>In this sub-section, the separation of different materials, e.g. of different matter, size, or state, is predominantly found in the following subclasses:<ul style=""list-style:none""><li><b>B01D</b></li><li><b>B03B</b>, <b>B03C</b>, <b>B03D</b></li><li><b>B04B</b>, <b>B04C</b></li><li><b>B07B</b>, <b>B07C</b>.</li></ul></li><li>The classifying characteristics of these subclasses are:<ul type=""i""><li>the physical state of the matter to be separated;</li><li>the principle of the process used;</li><li>particular kinds of apparatus.</li></ul>The first of these characteristics involves six different aspects, assembled in three groups:<ul type=""a""><li>liquid/liquid or liquid/gas and gas/gas;</li><li>solid/liquid or solid/gas;</li><li>solid/solid.</li></ul></li><li>These subclasses are to be used according to the following general rules:<ul type=""disc""><li><b>B01D</b> is the most general class as far as separation other than solids from solids is concerned.</li><li>Apparatus for separating solids from solids are covered by <b>B03B</b> when the process concerned is regarded as the equivalent of &quot;washing&quot; in the sense of the mining art, even if such apparatus is a pneumatic one, especially pneumatic tables or jigs. Screens <u>per se</u> are not covered by this subclass but are classified in <b>B07B</b>, even if they are being used in a wet process. All other apparatus for the separation of solids from solids according to dry methods are classified in <b>B07B</b>.</li><li>If the separation takes place as a result of the detection or measurement of some feature of the material or articles to be sorted it is classified in <b>B07C</b>.</li><li>It should also be noted that the separation of isotopes of the same chemical element is covered by <b>B01D 59/00</b>, whatever process or apparatus is employed.</li></ul></li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">LIQUID/LIQUID, LIQUID/GAS OR GAS/GAS SEPARATION</td><tr><td ><p style=""text-indent:2em;margin:0"">Method</td><tr><td ><p style=""text-indent:3em;margin:0"">General operations</td><td><b>B01D</b></td><tr><td ><p style=""text-indent:4em;margin:0"">by centrifugal force, using centrifuges or free-vortex apparatus</td><td><b>B01D</b></td></p></tr><tr><td ><p style=""text-indent:4em;margin:0"">using magnetic or electrostatic effect</td><td><b>B03C</b></td></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Apparatus</td><tr><td ><p style=""text-indent:3em;margin:0"">General operations</td><td><b>B01D</b></td><tr><td ><p style=""text-indent:4em;margin:0"">by centrifugal force, using centrifuges or free-vortex apparatus</td><td><b>B04B</b>, <b>B04C</b></td></p></tr><tr><td ><p style=""text-indent:4em;margin:0"">using magnetic or electrostatic effect</td><td><b>B03C</b></td></p></tr></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SOLID/LIQUID OR SOLID/GAS SEPARATION</td><tr><td ><p style=""text-indent:2em;margin:0"">Method</td><tr><td ><p style=""text-indent:3em;margin:0"">General operations</td><td><b>B01D</b></td><tr><td ><p style=""text-indent:4em;margin:0"">by centrifugal force</td><td><b>B01D</b></td><tr><td ><p style=""text-indent:5em;margin:0"">using centrifuges or free-vortex apparatus</td><td><b>B01D</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:4em;margin:0"">using magnetic or electrostatic effect</td><td><b>B03C</b></td></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Apparatus</td><tr><td ><p style=""text-indent:3em;margin:0"">General operations</td><td><b>B01D</b></td><tr><td ><p style=""text-indent:4em;margin:0"">by centrifugal force</td><td><b>B01D</b></td><tr><td ><p style=""text-indent:5em;margin:0"">using centrifuges or free-vortex apparatus</td><td><b>B04B</b>, <b>B04C</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:4em;margin:0"">using magnetic or electrostatic effect</td><td><b>B03C</b></td></p></tr></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SOLID/SOLID SEPARATION</td><tr><td ><p style=""text-indent:2em;margin:0"">Method</td><tr><td ><p style=""text-indent:3em;margin:0"">Dry methods</td><tr><td ><p style=""text-indent:4em;margin:0"">material in bulk</td><td><b>B07B</b></td></p></tr><tr><td ><p style=""text-indent:4em;margin:0"">Individual sorting</td><td><b>B07C</b></td><tr><td ><p style=""text-indent:5em;margin:0"">Screening, sifting, pneumatic sorting</td><td><b>B07B</b></td><tr><td ><p style=""text-indent:6em;margin:0"">using pneumatic tables or jigs</td><td><b>B03B</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:5em;margin:0"">by magnetic or electrostatic effect</td><td><b>B03C</b></td></p></tr><tr><td ><p style=""text-indent:5em;margin:0"">by centrifugal force</td><td><b>B07B</b></td><tr><td ><p style=""text-indent:6em;margin:0"">using centrifuges or free-vortex apparatus</td><td><b>B07B</b></td></p></tr></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">Wet methods</td><tr><td ><p style=""text-indent:4em;margin:0"">General operations</td><td><b>B03B</b></td><tr><td ><p style=""text-indent:5em;margin:0"">flotation, differential sedimentation</td><td><b>B03D</b></td></p></tr><tr><td ><p style=""text-indent:5em;margin:0"">screening</td><td><b>B07B</b></td></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">Combinations Dry methods - wet methods</td><td><b>B03B</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Apparatus</td><tr><td ><p style=""text-indent:3em;margin:0"">Dry methods</td><tr><td ><p style=""text-indent:4em;margin:0"">material in bulk</td><td><b>B07B</b></td></p></tr><tr><td ><p style=""text-indent:4em;margin:0"">Individual sorting</td><td><b>B07C</b></td><tr><td ><p style=""text-indent:5em;margin:0"">Screening, sifting, pneumatic sorting</td><td><b>B07B</b></td><tr><td ><p style=""text-indent:6em;margin:0"">using pneumatic tables or jigs</td><td><b>B03B</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:5em;margin:0"">by magnetic or electrostatic effect</td><td><b>B03C</b></td></p></tr><tr><td ><p style=""text-indent:5em;margin:0"">by centrifugal force</td><td><b>B07B</b></td><tr><td ><p style=""text-indent:6em;margin:0"">using centrifuges or free-vortex apparatus</td><td><b>B04B</b>, <b>B04C</b></td></p></tr></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">Wet methods</td><tr><td ><p style=""text-indent:4em;margin:0"">General operations</td><td><b>B03B</b></td><tr><td ><p style=""text-indent:5em;margin:0"">flotation, differential sedimentation</td><td><b>B03D</b></td></p></tr><tr><td ><p style=""text-indent:5em;margin:0"">screening</td><td><b>B07B</b></td></p></tr></p></tr></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">Combinations Dry methods - wet methods</td><td><b>B03B</b></td></p></tr></p></tr></p></tr></table>PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL				
B01B		沸騰；沸騰装置<br>	BOILING; BOILING APPARATUS				
B01D		分離（湿式法による固体と固体の分離Ｂ０３Ｂ，Ｂ０３Ｄ；風力ジグまたは風力テーブルによるものＢ０３Ｂ；他の乾式法によるものＢ０７；磁気または静電気による分離，高圧電界による分離Ｂ０３Ｃ；遠心分離機Ｂ０４Ｂ；渦装置Ｂ０４Ｃ；液体含有物から液体を絞り出すためのプレスそれ自体Ｂ３０Ｂ９／０２）［５］<br><b><ul>注</ul></b><br>（１）このサブクラスは以下のものを包含する：<br>―蒸発，蒸留，晶析，ろ過，粉末の沈降，気体の洗浄，吸収，吸着；<br>―吸収または吸着の場合を除いた，分離に関係ないかまたはそれのみに制限されない類似の方法を含む。<br>（２）このサブグラスにおいては，下記の用語または表現は以下に示す意味で用いる：　<br>―“ろ過”および類似した用語は流体から固体を濾すことを含む。ろ過とは，通常，ろ過媒体を用いた処理である。；<br>―“ろ過媒体”は流体から固体をろ過するため用いられる多孔性物質または物質の多孔性配列である；<br>―“ろ過体”は媒体が取り外し自在にまたは永続的に取付けられる部品のほか，ろ過媒体の一部分であって，媒体の他の部分，末端のふた，外周の枠または端近の細片を含む。ただし，ハウジングは除く；［５］<br>―“ろ過装置のハウジング”は流体を閉じこめる不浸透容器で，開放または閉鎖を問わず，その内部に１つ以上のろ過体またはろ過媒体を含み，または含むために設けられるものである；［５］<br>―“ろ過室”はハウジング内の空間であり，ろ過体またはろ過媒体が入れられる。仕切りによって単一のハウジングが複数の室に分割されている；［５］<br>―“ろ過装置”はハウジングと組み合わされたろ過体，清掃装置，モーターまたは類似の部品からなり，それらは装置の特殊な型を特徴づけている。ポンプまたはバルブのような付属装置はろ過装置内部にあるときはその部品と考えられる。粉砕機，混合機または非ろ過分離機のような類似または異なる単位操作を行なう付属装置は，ろ過装置内にあろうとなかろうと，その部品とは考えない。用語は例えば，ろ過機がその一部品にすぎない洗濯機のような装置にまでは及ばない。［５］<br>（３）乾燥または蒸発に用いる装置に関しては，クラスＦ２６が，このサブクラスに優先する。<br>（４）グループＢ０１Ｄ５９／００は，このサブクラスの他のグループおよびクラスＢ０１の他のサブクラスに優先する。<br><b><ul>サブクラス内の索引</ul></b><br>蒸発；蒸留；昇華　１／００；３／００；５／００；７／００<br>コールドトラップ，コールドバッフル　８／００<br>晶析　９／００<br>溶剤抽出　１１／００<br>液体の処理：置換，吸着，分離，脱気，クロマトグラフィー　１２／００，１５／００，１７／００，１９／００［８］<br>ガスまたは蒸気の処理：廃ガスの分離，回収，化学的または生物学的浄化　５３／００<br>液体から懸濁粒子の分離<br>沈でんによるもの　２１／００<br>ろ過によるもの<br>工程　３７／００<br>重力ろ過機；ろ過体から構成されたろ過機，加圧または吸引ろ過機　２４／００；２５／００，２９／００<br>カートリッジろ過機　２７／００<br>可動ろ過体を有するろ過機　３３／００<br>ろ過装置　３５／００<br>ろ過系統または組み合わせ　３６／００<br>他の工程によるもの　４３／００<br>ガスまたは蒸気からの分散粒子の分離<br>ガスまたは蒸気の前処理　５１／００<br>重力，慣性，遠心力によるもの；ろ過によるもの；装置の組み合わせによるもの　４５／００；４６／００；５０／００<br>他の方法によるもの　４７／００，４９／００<br>ろ過材　３９／００，４１／００<br>同位元素の分離　５９／００<br>吸収，吸着，クロマトグラフィー；その他の分離方法　１５／００，１５／０８，５３／０２，５３／１４；５７／００<br>半透膜を用いる分離；透析，浸透，限外ろ過　６１／００〜７１／００<br>	SEPARATION (separating solids from solids by wet methods <b>B03B</b>, <b>B03D</b>, by pneumatic jigs or tables <b>B03B</b>, by other dry methods <b>B07</b>; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields <b>B03C</b>; centrifuges <b>B04B</b>;  vortex apparatus <b>B04C</b>; presses <u>per se</u> for squeezing-out liquid from liquid-containing material <b>B30B 9/02</b>)<b>[5]</b><br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>This subclass <u>covers</u> :<b>[5]</b><ul type=""disc""><li>evaporation, distillation, crystallisation, filtration, dust precipitation, gas cleaning, absorption, adsorption;</li><li>similar processes which are not concerned with, or limited to, separation, except in the case of absorption or adsorption.</li></ul></li><li>In this subclass, the terms or expressions are used with the meaning indicated:<ul type=""disc""><li>&quot;filtration&quot; and analogous terms include straining solids from fluids. Filtration is a process that normally uses a filter medium;</li><li>&quot;filter medium&quot; is a porous material or porous arrangement of material used to filter solids from fluids;</li><li>&quot;filtering element&quot; is a section of filter medium in addition to parts to which the medium is demountably or permanently fixed, including other sections of medium, end caps, peripheral frames or edge strips, but excluding housings;</li><li>&quot;filter housing&quot; is the fluid-constraining impervious vessel, whether open or closed, which contains, or is adapted to contain, one or more filtering elements or filter media;</li><li>&quot;filter chamber&quot; is the space within a housing, where filtering elements or filter media are located. Partitions may divide a single housing into a plurality of chambers;</li><li>&quot;filtering apparatus&quot; consists of filtering elements combined with housings, cleaning arrangements, motor or the like parts, which are characteristic of the particular type of apparatus. Ancillary devices such as pumps or valves are considered part of a filtering apparatus when inside the apparatus. Ancillary devices performing similar or different unit operation such as comminutors, mixers or non-filtering separators, whether or not inside the apparatus, are not considered part of a filtering apparatus. The term does not extend to apparatus, e.g. washing machines, of which the filter forms only a part.</li></ul></li><li>For apparatus used in drying or evaporation, class <b>F26</b> takes precedence over this subclass.</li><li>Group <b>B01D 59/00</b> takes precedence over the other groups of this subclass and over other subclasses in class <b>B01</b>.</li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">EVAPORATION; DISTILLATION; SUBLIMATION</td><td><b>1/00</b>; <b>3/00</b>; <b>5/00</b>; <b>7/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">COLD TRAPS, COLD BAFFLES</td><td><b>8/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CRYSTALLISATION</td><td><b>9/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SOLVENT EXTRACTION</td><td><b>11/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">TREATING LIQUIDS: DISPLACEMENT, ADSORPTION, SEPARATION, DEGASIFICATION, CHROMATOGRAPHY</td><td><b>12/00</b>, <b>15/00</b>, <b>17/00</b>, <b>19/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">TREATING GASES OR VAPOURS: SEPARATION, RECOVERING, CHEMICAL OR BIOLOGICAL PURIFICATION OF WASTE GASES</td><td><b>53/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SEPARATION OF SUSPENDED PARTICLES FROM LIQUIDS</td><tr><td ><p style=""text-indent:2em;margin:0"">By sedimentation</td><td><b>21/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">By filtration</td><tr><td ><p style=""text-indent:3em;margin:0"">processes</td><td><b>37/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">gravity filters; filters formed from filtering elements, pressure or suction filters</td><td><b>24/00</b>; <b>25/00</b>, <b>29/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">cartridge filters</td><td><b>27/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">filters with mobile filtering elements</td><td><b>33/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">filtering devices</td><td><b>35/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">filter circuits or combinations</td><td><b>36/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">By other processes</td><td><b>43/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SEPARATION OF DISPERSED PARTICLES FROM GASES OR VAPOURS</td><tr><td ><p style=""text-indent:2em;margin:0"">Pretreatment of the gas or vapour</td><td><b>51/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">By gravity, inertia, centrifugal force; by filtration; by a combination of devices</td><td><b>45/00</b>; <b>46/00</b>; <b>50/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">By other methods</td><td><b>47/00</b>, <b>49/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">FILTERING MATERIALS</td><td><b>39/00</b>, <b>41/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SEPARATION OF ISOTOPES</td><td><b>59/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ABSORPTION, ADSORPTION, CHROMATOGRAPHY; OTHER SEPARATING METHODS</td><td><b>15/00</b>, <b>15/08</b>, <b>53/02</b>, <b>53/14</b>; <b>57/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SEPARATION USING SEMI-PERMEABLE MEMBRANES; DIALYSIS, OSMOSIS, ULTRAFILTRATION</td><td><b>61/00-71/00</b></td></p></tr></table>				
B01F		混合，例．溶解，乳化または分散（ペイントの混合Ｂ４４Ｄ３／０６）<br><b><ul>注</ul></b><br>１．このサブクラスは以下を包含する：<br>材料の塊の組成を均一にするため，または状態を均一にするために，２つ以上の成分を組み合わせて得られる生成物の攪拌または均一化<br>材料の塊の状態を均一にするための，単一の材料の攪拌<br>それが製造される用途に関わらず、所望の効果を得るためにその装置または方法が指示されている、材料の混合、攪拌および均一化<br>２．このサブクラスでは下記の用語は以下に示す意味で用いる：<br>“混合”は単一材料の攪拌も包含する<br><b><ul>サブクラス内の索引</ul></b><br>溶解　２１／００<br>混合，分散，乳化<br>プロセス　２３／００<br>装置，フローミキサー　２５／００<br>回転作動を有する混合機　２７／００，２９／００<br>その他の混合機　３１／００，３３／００<br>付属装置　３５／００<br>	MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING (mixing paints <b>B44D 3/06</b>)<br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>This subclass <u>covers</u>:<b>[2]</b><ul type=""disc""><li>agitation or homogenisation of products formed by a combination of two or more components with the purpose of obtaining a homogeneous composition or homogeneous conditions in the mass of material;</li><li>stirring of a single material with the purpose of obtaining homogeneous conditions in the mass of material;</li><li>mixing, agitation and homogenisation of materials, irrespective of the application in which it is produced, whenever the device or the method are directed to achieve the desired effect.</li></ul></li><li>In this subclass, the following term is used with the meaning indicated:<ul type=""disc""><li>&quot;mixing&quot; also covers stirring of a single material.</li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">DISSOLVING</td><td><b>21/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">MIXING, DISPERSING, EMULSIFYING</td><tr><td ><p style=""text-indent:2em;margin:0"">Processes</td><td><b>23/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Apparatus</td><tr><td ><p style=""text-indent:3em;margin:0"">flow mixers</td><td><b>25/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">with rotary action</td><td><b>27/00</b>, <b>29/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">other mixers</td><td><b>31/00</b>, <b>33/00</b></td></p></tr><tr><td ><p style=""text-indent:3em;margin:0"">accessories</td><td><b>35/00</b></td></p></tr></p></tr></p></tr></table>				
B01J		化学的または物理的方法，例．触媒またはコロイド化学；それらの関連装置［２］<br><b><ul>注</ul></b><br>（１）このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“固体粒子”は，固体，半固体またはペースト状の触媒，反応体または不活性体のような粒子を包含する；［２］<br>―“流動化粒子”は，流体流により上昇され，かく乱され，そして細分された固体粒子を意味する；［２］<br>―“流動床技術”は，流体−固体接触技術であって，細分された固体粒子が流体の上昇流により上昇され，かく乱され，そして，該上昇流が“流動化粒子”の下部濃密層（該床）と上部希薄層とを形成するような流速をもつものを意味する；［２］<br>―“固体粒子の存在下での処理プロセス”には，存在する固体粒子が，反応によって形成されたもののみであるようなプロセスは含まない。［３］<br>（２）このサブクラスでは，グループの範囲を正確に定義するために，科学文献および特許文献でしばしば使われる商品名が使用されている。［６］<br><b><ul>サブクラス内の索引</ul></b><br>化学的，物理的または物理化学的方法または装置　３／００，４／００，６／００，７／００，８／００，１９／００<br>ガスを含む化学的方法　８／００，１０／００，１２／００，１５／００<br>液体を含む化学的方法　８／００，１０／００，１４／００，１６／００<br>触媒<br>元素または無機化合物を含むもの　２１／００，２３／００，２７／００<br>ラネー型　２５／００<br>分子ふるい　２９／００<br>水素化合物，配位錯体または有機化合物を含むもの　３１／００<br>触媒担体一般　３２／００<br>調製　３３／００〜３７／００<br>触媒の再生または再活性化一般　３８／００<br>収着，ろ過助剤組成物　２０／００<br>イオン交換プロセス　３９／００〜４９／００<br>コロイド化学　１３／００<br>造粒　２／００<br>	CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS<b>[2]</b><br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>In this subclass, the following terms or expressions are used with the meanings indicated:<b>[2,3,6]</b><ul type=""disc""><li>&quot;solid particles&quot; includes such particles whether catalysts, reactants or inert in solid, semi-solid or pasty state;</li><li>&quot;fluidised particles&quot; means finely divided solid particles lifted and agitated by a stream of fluid;</li><li>&quot;fluidised-bed technique&quot; means fluid-solid contacting technique in which finely divided particles are lifted and agitated by a rising stream of fluid, said stream having such a speed as to form a lower dense phase (the &quot;bed&quot;) and an upper dilute fluidised phase of &quot;fluidised particles&quot;;</li><li>&quot;processes conducted in the presence of solid particles&quot; does not include processes wherein the only solid particles present are formed during the reaction.</li></ul></li><li>In this subclass, tradenames that are often found in scientific and patent literature have been used in order to define precisely the scope of the groups.</li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">CHEMICAL, PHYSICAL, OR PHYSICO-CHEMICAL PROCESSES OR APPARATUS</td><td><b>3/00</b>, <b>4/00</b>, <b>6/00</b>, <b>7/00</b>, <b>8/00</b>, <b>19/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CHEMICAL PROCESSES INVOLVING A GAS</td><td><b>8/00</b>, <b>10/00</b>, <b>12/00</b>, <b>15/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CHEMICAL PROCESSES INVOLVING A LIQUID</td><td><b>8/00</b>, <b>10/00</b>, <b>14/00</b>, <b>16/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CATALYSTS</td><tr><td ><p style=""text-indent:2em;margin:0"">containing elements or inorganic compounds</td><td><b>21/00</b>, <b>23/00</b>, <b>27/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Raney type</td><td><b>25/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Molecular sieves</td><td><b>29/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">containing hydrides, coordination complexes or organic compounds</td><td><b>31/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Catalyst carriers in general</td><td><b>32/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Preparation</td><td><b>33/00-37/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Regeneration or reactivation of catalysts, in general</td><td><b>38/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SORBENT, FILTER AID COMPOSITIONS</td><td><b>20/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ION EXCHANGE PROCESSES</td><td><b>39/00-49/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">COLLOID CHEMISTRY</td><td><b>13/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">GRANULATION</td><td><b>2/00</b></td></p></tr></table>				
B01L		一般的に使用される化学または物理研究装置<br><b><ul>注</ul></b><br>このサブクラスはもっぱら実験のみに使用されるか，またはその簡単な構造と用途のために工業用には適しないような実験装置のみを包含する。<br>	CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE<br><br><b><u>Note(s)</u></b><br><ul><li>This subclass <u>covers</u> only laboratory apparatus which is either applicable solely to laboratory purposes or which, by reason of its simple construction and adaptability, is such as would not be suitable for industrial use.</li></ul>				
B02		破砕，または粉砕；製粉のための穀粒の前処理<br>	CRUSHING, PULVERISING, OR DISINTEGRATING; PREPARATORY TREATMENT OF GRAIN FOR MILLING				
B02B		製粉のための穀粒の前処理；表面加工によって粒状果実を商品に精製すること（穀類から直接練り粉を作ることＡ２１Ｃ；穀類の保存または殺菌Ａ２３Ｂ；果実の洗浄Ａ２３Ｎ；麦芽の調製Ｃ１２Ｃ）<br>	PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE (making dough from cereals directly <b>A21C</b>; preservation or sterilisation of cereals <b>A23B</b>; cleaning fruit <b>A23N</b>; preparation of malt <b>C12C</b>)				
