E		固定構造物<br>	FIXED CONSTRUCTIONS				
E04F		建築物の仕上げ，例．階段，床（窓，扉Ｅ０６Ｂ）<br><b><ul>サブクラス内の索引</ul></b><br>日よけ，日おおい　１０／００<br>階段　１１／００<br>壁，天井または床のおおいまたは仕上げ　１３／００，１５／００，１９／００<br>ダクトまたはみぞ　１７／００<br>器具　２１／００<br>その他の仕上げの細部　１９／００<br>	FINISHING WORK ON BUILDINGS, e.g. STAIRS, FLOORS (windows, doors <b>E06B</b>)<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">SUNSHADES, AWNINGS</td><td><b>10/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">STAIRWAYS</td><td><b>11/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">COVERING OR FINISHING WALLS, CEILINGS, OR FLOORS</td><td><b>13/00</b>, <b>15/00</b>, <b>19/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">DUCTS OR CHANNELS</td><td><b>17/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">IMPLEMENTS</td><td><b>21/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OTHER FINISHING DETAILS</td><td><b>19/00</b></td></p></tr></table>				
E04G		足場；型枠；せき板；建築用器具または補助具，またはそれらの使用；現場における建築材料の取り扱い；現存する建築物の修復，解体またはその他の作業<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“足場”はその類似の目的に使用する支持具を含む。<br><b><ul>サブクラス内の索引</ul></b><br>足場<br>地面にすえられる足場；建築物に支持されるもの　１／００；３／００<br>構成部品；連結要素　５／００；７／００<br>仮設作業，型枠または堰（せき）板<br>一般的使用のためのもの　９／００<br>特殊な使用のためのもの　１１／００，１３／００，１５／００<br>連結部材，補助部材　１７／００<br>補助的な処理　１９／００<br>その他の器具または付属具<br>通路のための一時的な装置　２７／００<br>材料の準備，または搬送　２１／００<br>支柱　２５／００<br>現存する建築物への作業手段　２３／００<br>	SCAFFOLDING; FORMS; SHUTTERING; BUILDING IMPLEMENTS OR AIDS, OR THEIR USE; HANDLING BUILDING MATERIALS ON THE SITE; REPAIRING, BREAKING-UP OR OTHER WORK ON EXISTING BUILDINGS<br><br><b><u>Note(s)</u></b><br><ul><li>In this subclass, the following term is used with the meaning indicated:<ul type=""disc""><li>&quot;scaffolding&quot; includes other supports for like purposes.</li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">SCAFFOLDING</td><tr><td ><p style=""text-indent:2em;margin:0"">Scaffolds resting on the ground; supported by the building</td><td><b>1/00</b>; <b>3/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Component parts or accessories; coupling elements</td><td><b>5/00</b>; <b>7/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">FALSEWORK, FORMS OR SHUTTERINGS</td><tr><td ><p style=""text-indent:2em;margin:0"">For general use</td><td><b>9/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">For particular use</td><td><b>11/00</b>, <b>13/00</b>, <b>15/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Connecting members, auxiliary members</td><td><b>17/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Auxiliary treatment</td><td><b>19/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OTHER IMPLEMENTS OR ACCESSORIES</td><tr><td ><p style=""text-indent:2em;margin:0"">Temporary arrangements for access</td><td><b>27/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Preparing or conveying materials</td><td><b>21/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Shores</td><td><b>25/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">WORKING MEASURES ON EXISTING BUILDINGS</td><td><b>23/00</b></td></p></tr></table>				
E04H		特定目的の建築物または類似の構築物；水泳または水遊び用の水槽またはプール；マスト；囲い；テントまたは天蓋一般（基礎Ｅ０２Ｄ）［４］<br><b><ul>注</ul></b><br>（１）このサブクラスは以下のものを包含する：<br>―全体的にみて主として建築物のレイアウト；<br>―そのグループに明記された，建築様式に特有の細部，または特殊の目的をもつ建物；<br>―天蓋一般および構造がテントに似ている天蓋。［４］<br>（２）このサブクラスは以下のものを包含しない：<br>―特別の用途をもつ天蓋，それらはその関連箇所，例．イスの風雨よけＡ４７Ｃ７／６６，ベッド用天蓋Ａ４７Ｃ２９／００，建築物の日よけＥ０４Ｆ１０／００，に包含される。［４］<br>（３）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“建築物”は工作物およびその他の建造物を除外しない；<br>―“テント”は支持手段を持つテントまたは天蓋，例．フレームおよび可撓性のカバー，を意味する。［４］<br><b><ul>サブクラス内の索引</ul></b><br>建築物<br>居住または事務の目的に対するもの　１／００<br>公共の目的に対するもの　３／００<br>工業または農業の目的に対するもの；駐車に対するもの　５／００；６／００<br>水泳または水遊び用の水槽またはプール　４／００<br>容器　７／００<br>特殊な防護を備える建築物　９／００<br>塔，マスト，煙突　１２／００<br>記念建造物，墓　１３／００<br>異なった目的を組み合せた建築物，ドライブイン建築物　１４／００<br>テント，天蓋　１５／００<br>フェンス，囲い，家畜の囲い　１７／００<br>	BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES; SWIMMING OR SPLASH BATHS OR POOLS; MASTS; FENCING; TENTS OR CANOPIES, IN GENERAL (foundations <b>E02D</b>)<b>[4]</b><br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>This subclass <u>covers</u><b>[4]</b><ul type=""disc""><li>primarily the layout of buildings as a whole;</li><li>details which are peculiar to types of buildings, or buildings for special purposes, specified in the groups;</li><li>canopies in general and canopies similar in construction to tents.</li></ul></li><li>This subclass <u>does not cover</u> canopies having special application, which are covered by the relevant place, e.g. protecting chairs against the weather <b>A47C 7/66</b>, bed canopies <b>A47C 29/00</b>, sun shades or awnings for buildings <b>E04F 10/00</b>.</li><li>In this subclass, the following terms are used with the meanings indicated:<ul type=""disc""><li>&quot;buildings&quot; does not exclude engineering structures and other constructions;</li><li>&quot;tent&quot; means a tent or canopy having a supporting means, e.g. frame and a flexible cover.</li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">BUILDINGS</td><tr><td ><p style=""text-indent:2em;margin:0"">For dwelling or office purposes</td><td><b>1/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">For public purposes</td><td><b>3/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">For industrial or agricultural purposes; for parking</td><td><b>5/00</b>; <b>6/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SWIMMING OR SPLASH BATHS OR POOLS</td><td><b>4/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CONTAINERS</td><td><b>7/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">BUILDINGS AFFORDING SPECIAL PROTECTION</td><td><b>9/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">TOWERS, MASTS, CHIMNEY STACKS</td><td><b>12/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">MONUMENTS, TOMBS</td><td><b>13/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">BUILDINGS FOR COMBINATIONS OF DIFFERENT PURPOSES, DRIVE-IN BUILDINGS</td><td><b>14/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">TENTS, CANOPIES</td><td><b>15/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">FENCING, ENCLOSURES, CORRALS</td><td><b>17/00</b></td></p></tr></table>				
E05		錠；鍵（かぎ）；窓または戸の付属品；金庫<br><b><ul>注</ul></b><br>このクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―ウイング”は，揺動，滑動または他の移動できる戸（ドア）または窓に対する一般的用語である。この用語はまた，このクラスに含まれる操作，取付け，掛止またはロック手段を適用し得る，ひきだし，箱の蓋（ｌｉｄｓ　ｏｆ　ｃｈｅｓｔｓ），自動車の荷物いれ，自動車のボンネット等の他の可動体をも包含する；<br>―“台わく（フレーム）”は，ウイングが固定装置によって取り付けられる部材を意味する。ウイングの一部を構成する骨組は含まない。これは別のウイングであるといえる；<br>―“錠（ロック）”は，基本的にある部材を解放または緊締し，解放のさいは鍵または順列変換機構を必要とする装置を意味する。しかし，グループＥ０５Ｂ１／００からＥ０５Ｂ９／００，Ｅ０５Ｂ１３／００からＥ０５Ｂ１７／００，Ｅ０５Ｂ３９／００からＥ０５Ｂ４７／００，Ｅ０５Ｂ５１／００，Ｅ０５Ｂ５３／００，Ｅ０５Ｂ６３／００およびＥ０５Ｂ６５／００においては，用語“錠（ロック）”は他の固定装置を含んでもよい。；<br>―“ボルト”は，台わく（フレーム）上の留め具に係止して戸を閉じるように通常は戸に保持されている滑動，回動または他の動き得る部材を意味する。それは直接手によって，または機構や鍵によって操作される；それはラッチでもある（次を参照）；<br>―“ラッチ”は，ウィングを閉じフレームに合わせた時ばね力または他の復元力に抗して解放位置に移動するように構成され，ウィングを固定する時には手で操作する必要はないが，開くときだけそれが必要なボルトを意味する；<br>―“掛け金（ハスプ）”は，ウィングまたは台わく（フレーム）の表面に向って動き得るように台わく（フレーム）またはウィングに枢着され，またそこに，例．回しボタン，南京錠およびつぼ釘によって，緊締される部材を意味する。<br>	LOCKS; KEYS; WINDOW OR DOOR FITTINGS; SAFES<br><br><b><u>Note(s)</u></b><br><ul><li>In this class, the following terms are used with the meanings indicated:<ul type=""disc""><li>&quot;wing&quot; is a general term for swingable, slidable, or otherwise movable doors or windows. This term also includes other movable structures such as drawers, lids of chests, car boots, or car bonnets, to which the operating, mounting, latching, or locking means covered by this class may be applied;</li><li>&quot;frame&quot; means any member to which a wing may be held by a fastening device. It does not include a framework forming part of the wing, but it may be another wing;</li><li>&quot;lock&quot; means primarily a device for releasing or securing any member, which requires a key or a permutation mechanism for release. In groups <b>E05B 1/00-E05B 9/00</b>, <b>E05B 13/00-E05B 17/00</b>, <b>E05B 39/00-E05B 47/00</b>, <b>E05B 51/00</b>, <b>E05B 53/00</b>, <b>E05B 63/00</b> and <b>E05B 65/00</b> however, the term &quot;lock&quot; may include other fastening devices;</li><li>&quot;bolt&quot; means a sliding, pivoted, or otherwise movable member such as is normally carried by a door to hold it shut by engagement with a keeper on the frame. It may be operated by hand directly or through mechanism or by a key; it may be a latch (<u>see</u> below);</li><li>&quot;latch&quot; means a bolt arranged to be moved to the releasing position against the force of a spring, or some other returning force, when a wing meets the frame on closing, so that it does not have to be operated by hand to secure the wing, but only to open it;</li><li>&quot;hasp&quot; means a member hinged to the frame or wing so that it can be moved towards the face of the wing or frame and secured thereto, e.g. by a turn-button, by a padlock and staple.</li></ul></li></ul>				
E05B		錠；そのための付属具；手錠<br><b><ul>注</ul></b><br>１．車両のウィング用の錠の操作または制御はグループＥ０５Ｂ７７／００〜Ｅ０５Ｂ８１／００に分類される［２０１４．０１］<br>２．車両のウィング用の錠のためのノブ，ハンドルまたは押しボタンはグループＥ０５Ｂ７９／００〜Ｅ０５Ｂ８５／００に分類される［２０１４．０１］<br><b><ul>サブクラス内の索引</ul></b><br>タンブラをもつ錠<br>鍵の回転により動くもの　２１／００，２３／００，２５／００<br>鍵の押し込みによりセットされるもの　２７／００〜３３／００<br>特殊な鍵または組み合わせ鍵をもつ錠　３５／００<br>符号錠またはパズル錠　３７／００，４９／００<br>南京錠　６７／００，３７／００<br>表示または時限装置をもつ錠　３９／００〜４５／００<br>ラッチ操作の装置をもつ錠　５５／００〜６１／００<br>車両用の錠　７７／００〜８５／００<br>その他の特殊な構造的特徴をもつ錠　６３／００<br>特殊用途の錠　６５／００，６９／００〜７５／００<br>錠の操作または制御　４７／００〜５３／００<br>錠またはその類似物の細部または付属品，鍵<br>ノブまたはハンドル　１／００〜７／００<br>車両用のノブまたはハンドル　７９／００，８５／００<br>錠またはラッチのその他の細部または付属品　９／００〜１７／００<br>鍵　１９／００<br>手錠　７５／００<br>	LOCKS; ACCESSORIES THEREFOR; HANDCUFFS<br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>Operating or controlling of locks for vehicle wings are classified in groups <b>E05B 77/00-E05B 81/00</b>.<b>[2014.01]</b></li><li>Knobs, handles or press buttons for locks of vehicle wings are classified in groups <b>E05B 79/00-E05B 85/00</b>.</li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">LOCKS WITH TUMBLERS</td><tr><td ><p style=""text-indent:2em;margin:0"">Moved by rotation of the key</td><td><b>21/00</b>, <b>23/00</b>, <b>25/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Set by pushing the key in</td><td><b>27/00-33/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">LOCKS FOR USE WITH SPECIAL KEYS OR KEY SETS</td><td><b>35/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">PERMUTATION OR PUZZLE LOCKS</td><td><b>37/00</b>, <b>49/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">PADLOCKS</td><td><b>67/00</b>, <b>37/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">LOCKS WITH INDICATING OR TIMING DEVICES</td><td><b>39/00-45/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">LOCKS WITH PROVISION FOR LATCHING</td><td><b>55/00-61/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">LOCKS WITH OTHER SPECIAL STRUCTURAL FEATURES</td><td><b>63/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">LOCKS FOR SPECIAL USE</td><td><b>65/00</b>,   <b>69/00-75/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">LOCKS FOR VEHICLES</td><td><b>77/00-85/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OPERATION OR CONTROL OF LOCKS</td><td><b>47/00-53/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OPERATION OR CONTROL OF LOCKS FOR VEHICLES</td><td><b>77/00-81/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">DETAILS OR ACCESSORIES OF LOCKS OR THE LIKE, KEYS</td><tr><td ><p style=""text-indent:2em;margin:0"">Knobs or handles</td><td><b>1/00-7/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Knobs or handles for vehicles</td><td><b>79/00</b>, <b>85/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Other details or accessories of locks or latches</td><td><b>9/00-17/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Keys</td><td><b>19/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">HANDCUFFS</td><td><b>75/00</b></td></p></tr></table>				
E05C		ウイング特にドアまたは窓用のボルトまたは固定装置（車両の側板またはテールゲート構造の掛け金手段Ｂ６２Ｄ３３／０３７；構造的または機械的要素の固定装置Ｅ０４，Ｆ１６Ｂ；錠，錠と構造的または操作的に組み合わされたまたは錠と重要な協動をする固定装置Ｅ０５Ｂ；ウイングを動かす機構に関連してウイング固定具を操作または制御する手段Ｅ０５Ｆ）<br><b><ul>注</ul></b><br>（１）このサブクラスにおいては，ウィングを固定する本質的な動作のみが考慮されるもの，例．引き戻しを防ぐため軸の回りを回転する滑動ボルト，は滑り動作のみを持つものとして分類される。<br>（２）クラスＥ０５のタイトルに続く定義に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>固定装置<br>固定装置に特徴のあるもの　１／００〜５／００<br>ウイングを特に開き状態に保持するもの　１７／００，１９／００<br>特に二個のウイングに適用されるもの　７／００<br>固定装置，係止装置または鎖錠装置の配置　９／００，２１／００<br>	BOLTS OR FASTENING DEVICES FOR WINGS, SPECIALLY FOR DOORS OR WINDOWS (latching means for sideboard or tailgate structures for vehicles <b>B62D 33/037</b>; fastening devices for constructional or engineering elements <b>E04</b>, <b>F16B</b>; locks, fastening devices structurally or operatively combined or having significant cooperation with locks <b>E05B</b>; means for operating or controlling wing fasteners in conjunction with mechanisms for moving the wing <b>E05F</b>)<br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>In this subclass, only the movement essential for securing the wing is considered, e.g. a sliding bolt which is rotated on its axis to prevent its withdrawal is classified as having only a sliding movement.</li><li>Attention is drawn to the definitions following the title of class <b>E05</b>.</li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">FASTENING DEVICES</td><tr><td ><p style=""text-indent:2em;margin:0"">characterised by the way the bolt is moved</td><td><b>1/00-5/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">specially for holding wings open</td><td><b>17/00</b>, <b>19/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">specially adapted for two wings</td><td><b>7/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ARRANGEMENT OF FASTENING, SECURING, OR LOCKING DEVICES</td><td><b>9/00</b>, <b>21/00</b></td></p></tr></table>				
E05D		ドア，窓またはウイング用の蝶番または支持装置（枢着一般Ｆ１６Ｃ１１／００）<br><b><ul>サブクラス内の索引</ul></b><br>蝶番<br>一般的構造　１／００，３／００<br>特殊な構造　７／００<br>細部；付属品　５／００，９／００；１１／００<br>ウイング用の他の支持装置　１３／００，１５／００<br>	HINGES OR SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS (pivotal connections in general <b>F16C 11/00</b>)<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">HINGES</td><tr><td ><p style=""text-indent:2em;margin:0"">General structure</td><td><b>1/00</b>, <b>3/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Special structure</td><td><b>7/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Details; accessories</td><td><b>5/00</b>, <b>9/00</b>; <b>11/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OTHER SUSPENSION DEVICES FOR WINGS</td><td><b>13/00</b>, <b>15/00</b></td></p></tr></table>				
E05F		ウィングを開閉位置へ動かす手段；ウィング用チェック；他類に属さないウィング部品であってウィングの機能に関するもの<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“閉”または“開”はウィング動作を助力するためのまたはウィング平衝おもりのための装置を含む。［４］<br><b><ul>サブクラス内の索引</ul></b><br>ウイング用開閉器またはウイング用チェック　１／００，３／００，５／００<br>ウイング用付属品　７／００<br>ウイング用操作機構　９／００〜１７／００<br>	DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION; CHECKS FOR WINGS; WING FITTINGS NOT OTHERWISE PROVIDED FOR, CONCERNED WITH THE FUNCTIONING OF THE WING<br><br><b><u>Note(s)</u></b><br><ul><li>In this subclass, the following terms are used with the meanings indicated:<b>[4]</b><ul type=""disc""><li>&quot;closer&quot; or &quot;opener&quot; includes devices for assisting wing-movement or for wing-counterbalancing.</li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">CLOSERS, OPENERS, OR CHECKS FOR WINGS</td><td><b>1/00</b>, <b>3/00</b>, <b>5/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ACCESSORIES FOR WINGS</td><td><b>7/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OPERATING MECHANISMS FOR WINGS</td><td><b>9/00-17/00</b></td></p></tr></table>				
E05G		金庫または貴重品保管室；銀行防護装置；保安隔壁（警報装置それ自体Ｇ０８Ｂ）［２］<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“銀行”は，貴重品を安全保管しまたは銀行と客との間で貴重品を交換するために供される建物または建物の一部分をいう；［２］<br>―“銀行防護装置”は，貴重品を保管しまたは窃盗や強盗を退けるため銀行内または外に設けられる装置をいう。［２］<br>	SAFES OR STRONG-ROOMS FOR VALUABLES; BANK PROTECTION DEVICES; SAFETY TRANSACTION PARTITIONS (alarm arrangements <u>per se</u><b>G08B</b>)<b>[2]</b><br><br><b><u>Note(s)</u></b><br><ul><li>In this subclass, the following terms or expressions are used with the meanings indicated:<b>[2]</b><ul type=""disc""><li>&quot;bank&quot; is a building or portion of a building devoted to the safekeeping or exchange of valuables between the &quot;bank&quot; and its customers;</li><li>&quot;bank protection device&quot; is a mechanism in or on a bank for protecting the valuables or repelling attacks by stealth or force.</li></ul></li></ul>				
E06		戸，窓，シャッタまたはローラブラインド一般；はしご<br>	DOORS, WINDOWS, SHUTTERS, OR ROLLER BLINDS, IN GENERAL; LADDERS				
E06B		建築物，乗り物，フエンスまたは類似の囲いにおける開口のための固定または可動閉鎖部材一般，例．戸，窓，ブラインド，門（温室のおおいやブラインドＡ０１Ｇ９／２２；カーテンＡ４７Ｈ；自動車の荷物入れまたはボンネットのためのリッドＢ６２Ｄ２５／１０；天窓Ｅ０４Ｂ７／１８；日よけ，張り出し日よけＥ０４Ｆ１０／００）<br><b><ul>注</ul></b><br>（１）このサブクラスは，クラスＥ０５に見い出されるタイプの操作，装着，ラッチあるいはロック手段を有するウィングまたは枠の組合せを包含しない。ただし，これらは，このサブクラスのグループ７／０８６，９／００または１１／０２に包含されるものを除いてクラスＥ０５の関連サブクラスに包含される。［２］<br>（２）このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“ウィング”は戸か窓のような開口を閉じるための揺動，滑動またはその可動部材を意味する；<br>―“ウィング枠”はウィングの外縁を規定する一つまたは複数の周囲縁を意味する。<br>（３）自動車のドアまたは窓装置に対しては，サブクラスＢ６０Ｊのタイトルに続く注（１）に注意すること。［３］<br><b><ul>サブクラス内の索引</ul></b><br>縁の構造　１／００<br>開口を閉じるための要素　３／００，５／００<br>特殊な装置　７／００，９／００<br>さくを通過しうるようにする手段　１１／００<br>	FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES (shades or blinds for greenhouses <b>A01G 9/22</b>; curtains <b>A47H</b>; lids for car boots or bonnets <b>B62D 25/10</b>; sky-lights <b>E04B 7/18</b>; sunshades, awnings <b>E04F 10/00</b>)<br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>This subclass <u>does not cover</u> combinations of wings or frames with operating, mounting, latching or locking means of the type found in class <b>E05</b>, which are covered by the relevant subclasses of class <b>E05</b>, except such as are covered by groups <b>E06B 7/086</b>, <b>E06B 9/00</b>, or <b>E06B 11/02</b> of this subclass.<b>[2,3]</b></li><li>In this subclass, the following terms or expressions are used with the meanings indicated:<ul type=""disc""><li>&quot;wing&quot; means a swingable, slidable or otherwise movable member such as a door or window, for closing an opening;</li><li>&quot;wing frame&quot; means the peripheral edge or edges which define the outer border of the wing.</li></ul></li><li>For vehicle door or window arrangements, attention is drawn to Note (1) following the title of subclass <b>B60J</b>.</li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">BORDER CONSTRUCTIONS</td><td><b>1/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ELEMENTS FOR CLOSING OPENINGS</td><td><b>3/00</b>, <b>5/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SPECIAL ARRANGEMENTS</td><td><b>7/00</b>, <b>9/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">MEANS ALLOWING PASSAGE THROUGH FENCES</td><td><b>11/00</b></td></p></tr></table>				
E06C		はしご（Ｅ０４Ｆ１１／００が優先；ステップストゥールＡ４７Ｃ１２／００；船用Ｂ６３Ｂ；航空機用Ｂ６４；足場Ｅ０４Ｇ）［５，６］<br>	LADDERS (<b>E04F 11/00</b> takes precedence; step-stools <b>A47C 12/00</b>; adaptation of ladders to use on ships <b>B63B</b>, to use on aircraft <b>B64</b>; scaffolding <b>E04G</b>)<b>[5,6]</b>				
E21		地中もしくは岩石の削孔；採鉱<br><b><ul>注</ul></b><br>このクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“削孔”は“ボーリング”を包含する，そして逆もまた同様。<br>	EARTH OR ROCK DRILLING; MINING<br><br><b><u>Note(s)</u></b><br><ul><li>In this class, the following term is used with the meaning indicated:<ul type=""disc""><li>&quot;drilling&quot; covers boring and <u>vice versa</u>.</li></ul></li></ul>				
E21B		地中もしくは岩石の削孔；探掘井からの石油，ガス，水，溶解性または溶融性物質または鉱物の懸濁液の採取［５］<br>	EARTH OR ROCK DRILLING; OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS<b>[5]</b><br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>This subclass <u>covers</u>:<b>[7,8]</b><ul type=""disc""><li>primarily equipment for drilling of earth or rock in their natural formation;</li><li>similar equipment for drilling of man-made structures <u>in situ</u>, e.g. of road surfaces or concrete structures.</li></ul></li><li>This subclass <u>does not cover</u>:<ul type=""disc""><li>hand-held drilling machines, e.g. for domestic use;</li><li>drilling equipment for manufacturing operations, i.e. where an article is worked, e.g. for further processing;</li></ul>which are covered by relevant subclasses of section <b>B</b>, e.g. <b>B23B</b>;<ul type=""disc""><li>compositions for drilling of boreholes or wells or for treating boreholes or wells, which compositions are covered by group <b>C09K 8/00</b>, e.g. compositions for enhanced recovery methods for obtaining hydrocarbons <b>C09K 8/58</b>.</li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">METHODS OR APPARATUS FOR DRILLING</td><td><b>1/00-7/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">DRILLING TOOLS; ACCESSORIES THEREFOR</td><td><b>10/00</b>, <b>11/00</b>; <b>12/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OTHER EQUIPMENT OR DETAILS FOR DRILLING; WELL EQUIPMENT OR MAINTENANCE</td><tr><td ><p style=""text-indent:2em;margin:0"">Derricks; drilling rods or the like</td><td><b>15/00</b>; <b>17/00</b>, <b>19/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Flushing or cleaning; sealing; heating or cooling</td><td><b>21/00</b>, <b>37/00</b>; <b>33/00</b>; <b>36/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Valve arrangements; fire-fighting</td><td><b>34/00</b>; <b>35/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Other equipment or details</td><td><b>23/00-31/00</b>, <b>40/00</b>, <b>41/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OBTAINING FLUIDS FROM WELLS</td><td><b>43/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CONTROL; SURVEYING OR TESTING</td><td><b>44/00</b>; <b>45/00-49/00</b></td></p></tr></table>				
