E		固定構造物<br>	FIXED CONSTRUCTIONS				
E02F		掘削；土砂の移送（泥炭の採掘Ｅ２１Ｃ４９／００）<br><b><ul>注</ul></b><br>このサブクラスは以下のものを包含する：<br>―主として土壌の掘削または掘りかえし，あるいはそれを移送するための設備；<br>―土壌以外のものに同じような操作を施す設備およびそれをつみあげたり，おろしたりする同種の設備。<br><b><ul>サブクラス内の索引</ul></b><br>施工法一般　１／００<br>一般的用途のための手操作機械または装置　３／０２<br>一般的用途のための動力駆動機械または装置，またはそれらの特別な細部　３／０４<br>特殊目的のための機械またはそれらの特別な細部　５／００<br>掘削物の移送または分離用設備　７／００<br>一般の細部　９／００<br>	DREDGING; SOIL-SHIFTING (winning peat <b>E21C 49/00</b>)<br><br><b><u>Note(s)</u></b><br><ul><li>This subclass <u>covers</u>:<ul type=""disc""><li>primarily equipment for excavating or loosening earth or for moving loose earth;</li><li>equipment for working similarly on other materials and similar equipment for loading or unloading materials.</li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">GENERAL WORKING METHODS</td><td><b>1/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">HAND-OPERATED MACHINES OR APPARATUS FOR GENERAL USE</td><td><b>3/02</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">MECHANICALLY-DRIVEN MACHINES OR APPARATUS FOR GENERAL USE OR THEIR SPECIAL DETAILS</td><td><b>3/04</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">MACHINES FOR SPECIAL PURPOSES OR THEIR SPECIAL DETAILS</td><td><b>5/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">EQUIPMENT FOR CONVEYING OR SEPARATING EXCAVATED MATERIAL</td><td><b>7/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">GENERAL DETAILS</td><td><b>9/00</b></td></p></tr></table>				
E03		上水；下水<br>	WATER SUPPLY; SEWERAGE				
E03B		取水，集水または配水の設備またはその方法（坑井の削孔，坑井からの流体の採取一般Ｅ２１Ｂ；管路系一般Ｆ１７Ｄ）<br><b><ul>サブクラス内の索引</ul></b><br>レイアウト　１／００，５／００<br>方法　１／００，３／００，９／００<br>設備　３／００，５／００，９／００<br>管系；水槽　７／００；１１／００<br>	INSTALLATIONS OR METHODS FOR OBTAINING, COLLECTING, OR DISTRIBUTING WATER (drilling wells, obtaining fluids in general from wells <b>E21B</b>; pipe-line systems in general <b>F17D</b>)<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">LAYOUT</td><td><b>1/00</b>, <b>5/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">METHODS</td><td><b>1/00</b>, <b>3/00</b>, <b>9/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">INSTALLATIONS</td><td><b>3/00</b>, <b>5/00</b>, <b>9/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">PIPE SYSTEMS; TANKS</td><td><b>7/00</b>; <b>11/00</b></td></p></tr></table>				
E03C		上水または排水用の家庭用配管設備（給水主管または排水管のどちらにも結合されないものＡ４７Ｋ；地下で使用されている種類の装置Ｅ０３Ｂ，Ｅ０３Ｆ）；流し<br>	DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER (not connected to either water-supply main or to waste pipe <b>A47K</b>; devices of the kind used in the ground <b>E03B</b>, <b>E03F</b>); SINKS				
E03D		水洗便所または洗浄装置を備えた小便所；そのための洗浄弁<br><b><ul>サブクラス内の索引</ul></b><br>水洗便所，洗浄装置<br>一般的構成　１／００，３／００<br>特殊構造　５／００，７／００<br>付属品，構成部材　９／００，１１／００<br>小便所　１３／００<br>	WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES; FLUSHING VALVES THEREFOR<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">WATER-CLOSETS, FLUSHING DEVICES</td><tr><td ><p style=""text-indent:2em;margin:0"">General structure</td><td><b>1/00</b>, <b>3/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Special constructions</td><td><b>5/00</b>, <b>7/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ACCESSORIES, COMPONENT PARTS</td><td><b>9/00</b>, <b>11/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">URINALS</td><td><b>13/00</b></td></p></tr></table>				
E03F		下水；汚水だめ<br><b><ul>サブクラス内の索引</ul></b><br>下水溝　１／００〜９／００<br>汚水だめ　１１／００，７／００<br>	SEWERS; CESSPOOLS<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">SEWERS</td><td><b>1/00-9/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CESSPOOLS</td><td><b>11/00</b>, <b>7/00</b></td></p></tr></table>				
E04		建築物<br>	BUILDING				
E04B		建築構造一般；壁，例．間仕切り；屋根；床；天井；建築物の絶縁またはその他の保護（壁，床，または天井内の開口部の縁構造Ｅ０６Ｂ１／００）<br><b><ul>注</ul></b><br>（１）このサブクラスは，建築物の新築に用いられる作業方法および現存する建築物についての類似の作業方法を包含する。<br>現存する建築物についての他の方法は，絶縁のための作業方法を除き，グループＥ０４Ｇ２３／００に分類する。［５］<br>（２）このサブクラスにおいては，下記の用語は以下に示す意味で用いる：<br>―“天井”は荷重保持天井構造または屋根構造の下面を被覆する全ての仕上げ材料を含む。<br>	GENERAL BUILDING CONSTRUCTIONS; WALLS, e.g. PARTITIONS; ROOFS; FLOORS; CEILINGS; INSULATION OR OTHER PROTECTION OF BUILDINGS (border constructions of openings in walls, floors, or ceilings <b>E06B 1/00</b>)<br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>This subclass <u>covers</u> working methods used in constructing new buildings and analogous working methods on existing buildings. Other working methods on existing buildings, except those for insulating, are classified in group <b>E04G 23/00</b>.<b>[4,5]</b></li><li>In this subclass, the following term is used with the meaning indicated:<ul type=""disc""><li>&quot;ceiling&quot; includes all the finishing material concealing the underside of the load-carrying ceiling structure or roof structure.</li></ul></li></ul>				
E04C		構造要素；建築材料（橋用Ｅ０１Ｄ；絶縁または他の保護のために特別に設計されたものＥ０４Ｂ；建築補助具として使用される要素Ｅ０４Ｇ；鉱業用Ｅ２１；トンネル用Ｅ２１Ｄ；建築工学よりも広い適用範囲を有する構造要素Ｆ１６，特にＦ１６Ｓ）<br>	STRUCTURAL ELEMENTS; BUILDING MATERIALS (for bridges <b>E01D</b>; specially designed for insulation or other protection <b>E04B</b>; elements used as building aids <b>E04G</b>; for mining <b>E21</b>; for tunnels <b>E21D</b>; structural elements with broader range of application than for building engineering <b>F16</b>, particularly <b>F16S</b>)				
E04D		屋根ふき；天窓；とい；屋根工事用工具（プラスターまたは他の多孔性材料による外壁の被覆のＥ０４Ｆ１３／００）<br><b><ul>注</ul></b><br>このサブクラスにおいては，下記の表現は以下に示す意味で用いる：<br>―“屋根ふき”は建築物の屋根以外の部分の雨，雪，あられ等に対する屋根と同様の防水被覆も含む。<br><b><ul>サブクラス内の索引</ul></b><br>屋根ふき<br>かわらまたはスレート；板（スラブ）または硬いシート；可とう性のある材料　１／００；３／００；５／００，１１／００<br>かさのある材料，わらまたはかや　７／００，９／００，１１／００<br>その他の材料　１１／００<br>屋根ふきに関する特殊な装置　１２／００，１３／００<br>屋根作業のための装置または道具　１５／００<br>	ROOF COVERINGS; SKY-LIGHTS; GUTTERS; ROOF-WORKING TOOLS (coverings of outer walls by plaster or other porous material <b>E04F 13/00</b>)<br><br><b><u>Note(s)</u></b><br><ul><li>In this subclass, the following expression is used with the meaning indicated:<ul type=""disc""><li>&quot;roof coverings&quot; includes any similar kind of watertight covering against rain, snow, hail, or the like, for other parts of buildings.</li></ul></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">ROOF COVERINGS</td><tr><td ><p style=""text-indent:2em;margin:0"">Tiles or slates; slabs or stiff sheets; flexible materials</td><td><b>1/00</b>; <b>3/00</b>; <b>5/00</b>, <b>11/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Bulk materials, straw or thatch</td><td><b>7/00</b>, <b>9/00</b>, <b>11/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Other materials</td><td><b>11/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">SPECIAL ARRANGEMENTS IN CONNECTION WITH ROOF COVERINGS</td><td><b>12/00</b>, <b>13/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">APPARATUS OR TOOLS FOR ROOF WORKING</td><td><b>15/00</b></td></p></tr></table>				
