H03L   7/089 160 \	7	7	5J106	H03L   7/089	55	差動アップダウンパルスにより制御される電流発生器	current generator controlled by differential up-down pulse
H03L   7/089 180 \	7	7	5J106	H03L   7/089	36	ソースまたはシンク電流値が可変であるもの（Ｈ０３Ｌ７／０８９　１６０が優先）	source or sink current value being variables (H03L7/089 160 takes precedence)
H03L   7/091  \	4	4	5J106	H03L   7/091	370	サンプリング装置を用いる位相または周波数検出器（Ｈ０３Ｌ７／０８７が優先）［５］	the phase or frequency detector using a sampling device(H03L7/087 takes precedence) [5]
H03L   7/093  \	4	4	5J106	H03L   7/093	3121	ループ中で特別なろ波または増幅特性を用いるもの（Ｈ０３Ｌ７／０８７〜Ｈ０３Ｌ７／０９１が優先）［５］	using special filtering or amplification characteristics in the loop (H03L7/087 to H03L7/091  take precedence) [5]
H03L   7/095  \	4	4	5J106	H03L   7/095	925	ロック検出器を用いるもの（Ｈ０３Ｌ７／０８７が優先）［５］	using a lock detector(H03L7/087 takes precedence) [5]
H03L   7/097  \	4	4	5J106	H03L   7/097	1	２つの周波数電圧変換器の出力電圧を比較する比較器を用いるもの［５］	using a comparator for comparing the voltages obtained from two frequency to voltage converters [5]
H03L   7/099  \	3	3	5J106	H03L   7/099	1352	主としてループ中の制御発振器に関するもの［５］	concerning mainly the controlled oscillator of the loop [5]
H03L   7/099 110 \	4	4	5J106	H03L   7/099	170	デジタル発振器，例．固定発振器に可変分周器が続くものからなるもの（Ｈ０３Ｌ７／０９９　１５０が優先；各種位相より選択する手段を有する固定発振器Ｈ０３Ｌ７／０８１　１４０）	digital oscillator, e.g. consists of variable frequency divider joined with fixed oscillator (H03L7/099 150 takes precedence, fixed oscillator having means to select from various phases H03L7/081 140)
H03L   7/099 120 \	5	5	5J106	H03L   7/099	499	計数器または分周器からなるもの	consist of counter or divider
H03L   7/099 130 \	6	6	5J106	H03L   7/099	148	さらにパルスを追加または削除するための回路を含むもの	further including circuit for adding or deleting pulse
H03L   7/099 140 \	5	5	5J106	H03L   7/099	127	積算器からなるもの	consist of integrator
H03L   7/099 150 \	4	4	5J106	H03L   7/099	535	リング発振器からなる発振器	oscillator consist of ring oscillator
H03L   7/099 160 \	5	5	5J106	H03L   7/099	41	リング発振器により生じる複数の移相信号から１つの信号を選択するもの	selecting one signal among plural phase shifting signal grenerated from ring oscillator
H03L   7/099 170 \	5	5	5J106	H03L   7/099	60	リング発振器に直列接続された遅延要素数を制御するもの	controls delay element numbers serially connected to ring oscillator
H03L   7/099 180 \	5	5	5J106	H03L   7/099	7	位相補間を用いるもの（Ｈ０３Ｌ７／０９９　１５０も参照）	using phase interpolation (also refer to H03L7/099 150)
H03L   7/10  \	3	3	5J106	H03L   7/10	552	初期同期を確実にするためのもの，またはキャプチャーレンジを広くするためのもの［３］	for assuring initial synchronisation or for broadening the capture range [3]
H03L   7/10 110 \	4	4	5J106	H03L   7/10	152	ループの中で生成した信号から発生した追加制御信号を制御ループ発振器に用いるもの（Ｈ０３Ｌ７／１１３およびＨ０３Ｌ７／１８７が優先）	sing additional control signal generated from signal created in loop to control loop oscillator (H03L7/113 and H03L7/187 take precedence)
H03L   7/10 120 \	5	5	5J106	H03L   7/10	106	追加信号が制御ループ発振器に直接適用されるもの	additional signal is applied directly to control loop oscillator
H03L   7/10 130 \	6	6	5J106	H03L   7/10	99	追加信号がデジタル信号であるもの	additional signal being digital signal
H03L   7/10 140 \	4	4	5J106	H03L   7/10	1303	ループの中でパラメータを設定または制御するために，ループの外から追加信号を用いるもの（Ｈ０３Ｌ７／１０７，Ｈ０３Ｌ７／１８７が優先）	using additional signal from outside of loop to establis or coontrol parameter inside loop (H03L7/107, H03L7/187 take precedence)
H03L   7/10 150 \	4	4	5J106	H03L   7/10	21	周波数が所定の制限値外のときの制御発振器のリセット	resetting controlled oscillator when freqency exceeds predetermined limit value
H03L   7/107  \	4	4	5J106	H03L   7/107	421	ループに対して可変伝達関数を用いるもの，例．可変帯域巾をもつローパスフィルタ［５］	using a variable transfer function for the loop, e.g. low pass filter having a variable bandwidth [5]
