B21F27/00	線材網織物の製造，すなわち金網（メッシュ―リング網Ｂ２１Ｆ３１／００；バンドの製造におけるものＢ２１Ｆ４３／００；織機の使用Ｄ０３Ｄ）
B21F27/005	｛金網それ自体｝
B21F27/02	交差点で接合要素または材料の付加のないもの，例．編糸細工による接合
B21F27/04	回転ブレードまたは成形具を備えた機械による製造
B21F27/06	より糸機による製造
B21F27/08	交差点で接合要素または材料を付加するもの
B21F27/10	はんだ付または溶接によるもの　｛（金属格子または金属マット製造用抵抗スポット溶接機Ｂ２３Ｋ１１／００８）｝
B21F27/12	特別な方法または手段による網織物の特殊な形または部分の製造
B21F27/121	｛管状のもの，例．パイプまたは柱の補強として｝
B21F27/122	｛縦方向の線材に連続するスターラップを取り付けることによるもの｝
B21F27/124	｛回転によって適用されるもの｝
B21F27/125	｛個々のスターラップを縦方向の線材に取り付けることによるもの｝
B21F27/127	｛成形メッシュを曲げ加工することによるもの｝
B21F27/128	｛金網を結合することにより，例．絶縁層を通して線材を突き出すことにより，三次元を形成するもの｝
B21F27/14	線材の自由端の特殊な曲げ加工または変形
B21F27/16	スプリングマットレスのためのもの
B21F27/18	フィルターまたはふるいのための細い目加工のもの
B21F27/20	しっくい壁用網のもの
B21F27/22	ガラスまたは類似物の補強線用の網のもの
B21F29/00	部分的に線材で造っている柵または類似の材料の製造（Ｂ２１Ｆ２５／００，Ｂ２１Ｆ２７／００が優先）
B21F29/02	線材で接合されている棒または類似物より　成るもの
B21F31/00	線材からなるメッシューリング網織物の製造
B21F33/00	線材編物または類似物の取り扱いまたは処理に適するように特に設計された工具または装置
B21F33/002	｛金網のコイル状化または梱包｝
B21F33/005	｛金網の切断｝
B21F33/007	｛金網の接合｝
B21F33/02	フレーム上への線材網織物のすえつけ
B21F33/025	｛マットレス内部ばねの境界フレーム上へのすえつけ｝
B21F33/04	マットレス用ら旋ばねの端の接合
B21F35/00	線材からのばねの製造（線材をコイル状化することによるものＢ２１Ｆ３／００；弾性リングの製造Ｂ２１Ｆ３７／０２）
B21F35/003	｛多フィラメントのばね，例．一本鎖、編組、ケーブルまたはマルチフィラメント材料で作られたもの｝
B21F35/006	｛ダブルツイストコイルばね｝
B21F35/02	特殊形状にコイルばねの端を曲げ加工または変形するもの
B21F35/04	平担なばねの製造，例．わん曲ばね
B21F37/00	線材からのリングの製造（チェーンの製造Ｂ２１Ｌ；タイヤビードの製造Ｂ２９Ｄ３０／４８）
B21F37/02	弾性リングのもの，例．キーリング
B21F37/04	ワッシャーの製造（Ｂ２１Ｆ３７／０２が優先）
B21F39/00	線材から車輪用スポークの製造
B21F41/00	線材から傘の骨組または部材の製造
B21F43/00	線材からバンドの製造，例．腕輪（チェーンの製造Ｂ２１Ｌ；織機を用いるものＤ０３Ｄ）
B21F45/00	その他の特殊物品の製造における線材の加工（ピン，縫針，くぎ，ヘアーピンの製造Ｂ２１Ｇ；チェーンの製造Ｂ２１Ｌ）
B21F45/002	｛眼鏡のフレーム用｝
B21F45/004	｛容器に据え付ける吊り輪｝
B21F45/006	｛コンクリート補強ファイバー用｝
B21F45/008	｛医療機器用，例．ステント（医学Ａ６１）｝
B21F45/02	衣服ハンガー用
B21F45/04	ビン用栓の要素，例．レバーまたはリンク
B21F45/06	可撓性シャフトまたは中空導管，例．ボーデン機構のもの
B21F45/08	織機のあや取りのもの
B21F45/10	織物けば立て機械用カードのもの
B21F45/12	釣針のもの
B21F45/14	レースまたはロープ用エンドピースのもの
B21F45/16	締付用装置のもの
B21F45/18	スライドファスナー要素のもの
B21F45/20	ホックのもの；安全ホックのもの
B21F45/22	紙用ファスナまたはクリップのもの（ステープルＢ２１Ｆ４５／２４）
B21F45/24	ステープルのもの；ベルト締付用要素のもの
B21F45/26	ボタンのもの
B21F45/28	パテント　ファスナーまたはプレスボタン形のもの
B21F99/00	このサブクラスの他のグループに分類されない主題事項　
