C22B7/003	｛例．切りくず，中ぐりくず，くずの再溶融のみ；　そのための装置｝
C22B7/004	｛２種以上の金属を溶融により分離するもの（溶離），すなわち，低融点金属成分の融点以上での加熱；　分別結晶化　（制御凍結）｝
C22B7/005	｛物理処理技術のみによる分離，例．機械的破壊｝
C22B7/006	｛湿式法｝
C22B7/007	｛酸浸出によるもの｝
C22B7/008	｛アルカリまたはアンモニア浸出によるもの｝
C22B7/009	｛使用済み触媒から金属または金属化合物を回収するための一般的方法　（特定の金属の回収のためのもの　Ｃ２２Ｂ１１／００〜　Ｃ２２Ｂ６１／００）｝
C22B7/02	煙じんの処理
C22B7/04	スラグの処理
C22B9/00	金属の精製または再溶解の一般的方法；金属のエレクトロスラグまたはアーク再溶融のための装置
C22B9/003	誘導によるもの
C22B9/006	不活性ガスの使用を含む不活性保護材料の使用によるもの
C22B9/02	溶離，ろ過，遠心分離，蒸留，または超音波作用による精製　｛音波を含むもの；（Ｃ２２Ｂ９／００３，　Ｃ２２Ｂ９／００６，　Ｃ２２Ｂ９／０５，　Ｃ２２Ｂ９／２２が優先）　｝
C22B9/023	ろ過によるもの　（アルミニウムのろ過　Ｃ２２Ｂ２１／０６６）
C22B9/026	音波，例．超音波，によるもの
C22B9/04	真空利用による精製
C22B9/05	ガスによる処理，例．ガスフラッシュ法，による精製　｛また，その場でガスを生成する材料による精製｝
C22B9/055	金属が循環している間に，例．ろ過と組み合わせたもの
C22B9/10	精製剤または溶剤を用いるもの；そのための材料の用途　｛例．スラグ化剤または焼溶化剤｝　（Ｃ２２Ｂ９／１８が優先）　｛（Ｃ２２Ｂ９／００６が優先）｝
C22B9/103	｛固体または液体精製剤または融剤の導入方法｝
C22B9/106	｛精製が溶融金属と溶融塩またはスラグを密接に混合することにより行われるもの｝
C22B9/14	固体状態における精製
C22B9/16	金属の再溶融（溶離Ｃ２２Ｂ９／０２）
C22B9/18	エレクトロスラグ再溶融　｛（エレクトロスラグ鋳造　Ｂ２２Ｄ２３／１０）｝
C22B9/20	アーク再溶融
C22B9/22	波動エネルギーまたは粒子放射による加熱によるもの（｛音波によるものＣ２２Ｂ９／０２６｝）
C22B9/221	電磁波によるもの，例．ガス放電灯によるもの
C22B9/223	レーザービームによるもの　（レーザービームによる加工Ｂ２３Ｋ２６／００）
C22B9/225	マイクロ波によるもの
C22B9/226	電気放電によるもの，例．プラズマ（Ｃ２２Ｂ９／２０が優先；　そのための装置　Ｈ０１Ｊ，　Ｈ０５Ｂ，　Ｈ０５Ｈ；　プラズマ中での金属の化学反応　Ｃ２２Ｂ４／００５）
C22B9/228	粒子線によるもの，例．電子ビーム
C22B11/00	貴金属の採取
C22B11/02	乾式法によるもの
C22B11/021	廃材料からの貴金属の回収｝
C22B11/023	乾式治金残滓，例．灰，ドロス，煙道ダスト，泥漿，浮きかす，スラグ，スラッジ，からの回収
C22B11/025	製品からのもの，例．印刷回路版，写真用フィルム，紙または浴からのもの
C22B11/026	使用済み触媒からのもの
C22B11/028	固体吸着剤を用いるもの，例．ゲッタ，集水金網
