G07F7/127	｛オンライン、オフライン共に行われるカード照合｝
G07F9/00	特別な種類またはタイプの装置特有の細部以外の細部（コイン投入装置Ｇ０７Ｆ１／００；コイン検査装置Ｇ０７Ｆ３／００；コイン作動機構，インターロックＧ０７Ｆ５／００）
G07F9/001	
G07F9/002	
G07F9/003	｛挿入したコインを表示するもの｝
G07F9/006	｛自動販売機に使用されるソフトウェアの細部｝
G07F9/009	
G07F9/02	警報または表示装置，例．売り切れの時；コイン解放装置の広告装置（計量される流量の中断を表示する警報または警告装置Ｇ０７Ｆ１５／１０）
G07F9/023	｛作動された支払いとコイン開放装置の表示，データ表示，または広告装置に関するもの｝
G07F9/0235	
G07F9/026	｛自動販売機のアラーム，監視，監査に関するもの，または指示手段に関するもの，例．売り切れの時｝
G07F9/04	余剰または使用しないコインの返却手段
G07F9/06	コインボックス
G07F9/08	挿入されたコインの総額の計数積算
G07F9/10	筐体　｛またはその部品｝，例．加熱または冷却手段をもつもの
G07F9/105	｛加熱または冷却手段，温度と湿度制御に関するもの，品物の調整とそれらの貯蔵に関するもの（分配の準備が整う前の温度処理または調整による加工を必要とする食品用ディスペンサー Ｇ０７Ｆ１７／００６４）｝
G07F11/00	別個の品物を送出するコイン解放装置または同様なもの
G07F11/004	
G07F11/005	｛ただ一つの品物だけを同時に分配できることを保証する特別装置｝
G07F11/007	｛貯蔵と分配機構は，貯蔵または分配された品物の物理的または幾何学的特性に関連して設定可能であるもの｝
G07F11/02	マガジンが動かないものからなるもの
G07F11/04	マガジン内に他の品物の上に垂直に貯えられているもの
G07F11/045	｛シート形または柔軟性のある物に関するもの｝
G07F11/06	枢着されているフラップまたは棚上に個々に支持されているもの
G07F11/08	２個の支柱の間に互い違いの関係に並べられたもの
G07F11/10	共通の取出し用の軌道をもった２個以上のマガジン
G07F11/12	貯えの積み重ねを自動的に変える手段をもつもの
G07F11/14	一番上の取出しができるように積載物を引き上げる手段をもつもの
G07F11/16	取出し手段
G07F11/163	
G07F11/165	｛ｘｙｚピッカー手段あるいは多次元物品ピッキング装置による取出し｝
G07F11/1653	
G07F11/1657	
G07F11/18	奥まった位置に待機する引出し
G07F11/20	直接手で作動される押し手
G07F11/22	間接に手で作動される押し手，例．クランクまたはレバーを介したもの
G07F11/24	回転または揺動部材
G07F11/26	エンドレスバンド
G07F11/28	マガジンが傾斜しているもの
G07F11/30	各々独立した取出し装置をもつ２個以上のマガジン
G07F11/32	共通の取出し軌道をもった２個以上のマガジン
G07F11/34	マガジンがジグザグ形をしているもの
G07F11/36	マガジンがヘリカル形かまたはスパイラル形をしているもの
G07F11/38	マガジンが水平なもの
G07F11/40	品物が手動手段によって取り出されるもの
