B44C1/1733	｛押圧下のみで適用されるデカルコマニア，例．感圧接着剤を備えたもの｝
B44C1/1737	｛特別な装飾層，例．直接沈積に適さない基板上に金属層または染料層の形成を可能とするのに特に適合したもの，を備えたデカルコマニア｝
B44C1/1741	｛一時的な保持体から離脱を容易にするのに特に適合した層を備えたデカルコマニア｝
B44C1/1745	｛中間支持体を使用するもの｝
B44C1/175	溶媒を用いる転写
B44C1/1752	｛特別な装飾層，例．直接沈積に適さない基板上に金属層または染料層の形成を可能とするのに特に適合したもの，を備えたデカルコマニア（Ｂ４４Ｃ１／１７５６，Ｂ４４Ｃ１／１７５８が優先）｝
B44C1/1754	｛一時的な保持体からの離脱を容易にするのに特に適合した層を備えたデカルコマニー（Ｂ４４Ｃ１／１７５６，Ｂ４４Ｃ１／１７５８が優先）｝
B44C1/1756	｛加熱および押圧下で適用されるデカルコマニア，例．熱溶着性接着剤を備えたもの｝
B44C1/1758	｛押圧下のみで適用されるデカルコマニア，例．圧力感知層を備えたもの｝
B44C1/18	装飾構造物を用いるもの，例．塑性物の成形体
B44C1/20	塑性物を用いるもの，および塑性物の表面の模様成形を用いるもの
B44C1/205	｛化学的模型作成｝
B44C1/22	表面材料の除去，例．彫刻によるもの，腐食によるもの　｛（多層物品用Ｂ４４Ｃ３／００５）｝
B44C1/221	｛砥粒子の流れを使用するもの｝
B44C1/222	｛機械駆動手段を使用するもの｝
B44C1/224	｛手動で｝
B44C1/225	｛彫刻によるもの｝
B44C1/227	｛エッチングによるもの｝
B44C1/228	｛レーザー放射によるもの｝
B44C1/24	表面に対する装飾模様の形押し，刻印
B44C1/26	装飾体のはめ込み，例．黒金象眼細工，嵌木細工
B44C1/28	支持体上への装飾物の取付け，例．モザイク　｛（Ｂ４４Ｃ３／１２３が優先）｝
B44C3/00	特に他のどこにも属しない装飾構造物の製造法
B44C3/005	｛多層物品の少なくとも上層の部分を選択的に除去するもの｝
B44C3/02	積　層　｛（Ｂ４４Ｃ３／００５が優先）｝
B44C3/025	｛装飾レリーフ構造物を製造するための積層｝
B44C3/04	塑性材の成形，例．粘土
B44C3/042	｛元の構造物からコピーを製造するもの｝
B44C3/044	｛化学的模型作成｝
B44C3/046	｛模型作成面，例．版体，を使用するもの｝
B44C3/048	｛付加的な装飾要素，例．絵画，を適用するもの｝
B44C3/06	彫　刻
B44C3/08	刻印，折曲げ
B44C3/082	｛切リ抜き操作を含むもの｝
B44C3/085	｛押し印（Ｂ４４Ｃ３／０８２が優先）｝
B44C3/087	｛折り曲げ（Ｂ４４Ｃ３／０８２が優先）｝
B44C3/10	穿孔，孔の充てん，例．嵌木板
B44C3/12	構造体に対する装飾物の取付け，例．モザイク板
B44C3/123	｛モザイク構築物｝
