B31F1/26	相互に噛合う歯付き円筒｛または円筒構造｝によるもの｛（Ｂ３１Ｆ１／２４２が優先）｝
B31F1/28	波形をつけたウエブを平らなウエブに合体することと組合わせたもの；｛両面に波形をつけた板紙の製造｝
B31F1/2804	｛方法｝
B31F1/2809	｛接着剤の化学組成に特徴のあるもの｝
B31F1/2813	｛複合構造をもつ波形をつけた板紙の製造，例．波形を付けた層を２以上含むもの｝
B31F1/2818	｛そのために特に適合された接着剤の塗布｝
B31F1/2822	｛付加的な工程を含むもの｝
B31F1/2827	｛端縁の処理｝
B31F1/2831	｛制御｝
B31F1/2836	｛案内，端例．縁の位置合せ；伸長｝
B31F1/284	｛反りの防止｝
B31F1/2845	｛細部，例．乾燥，加湿，加圧のための装置｝
B31F1/285	｛加熱または乾燥装置｝
B31F1/2854	｛波形づけ加工の後で，表面板を適用する前に，シートの波形づけローラの１つとの接触を保つための手段，例．空気圧，吸引または加圧フィンガーによるもの｝
B31F1/2859	｛加圧フィンガー｝
B31F1/2863	｛波形づけ円筒；そのための支持または位置決め手段；そのための駆動装置｝
B31F1/2868	｛交換可能な波形づけ円筒（せん断装置の切断部材を交換する手段Ｂ２３Ｄ３５／００８）｝
B31F1/2872	｛噴霧器，例．加湿を目的とするもの；潤滑装置｝
B31F1/2877	｛表面板と波形をつけたウエブを接触させるまたはそれらの接触を保つための加圧手段，例．ロール，ベルト｝
B31F1/2881	｛２枚目の表面板を既に片面仕上げされた波形をつけたウエブに接触させるためのもの｝
B31F1/2886	｛付加的に補強するもの，例．樹脂またはワイヤを施すことによるもの｝
B31F1/289	｛個別のシートからのもの｝
B31F1/2895	｛特殊な形状の波形をもつ波形ウエブからのもの｝
B31F1/29	ロッドの使用によるもの，例．｛波形をつけたウエブを平らなウエブに合体することと組合わせた｝歯付き円筒と協同するもの｛（Ｂ３１Ｆ１／３０が優先）｝
B31F1/30	無端チェーンに固定された工具，｛例．歯付きベルト；波形をつけたウエブを平らなウエブに合体することと組合わせたもの｝
