G01B5/065	｛離散的較正所定位置において，垂直支持に沿って固定される摺動を備えたもの｝
G01B5/066	｛皮膜の｝
G01B5/068	｛移動体の　（Ｇ０１Ｂ５／０６６が優先）｝
G01B5/08	直径測定用　｛（Ｇ０１Ｂ５／００３５が優先；　曲率半径測定　Ｇ０１Ｂ５／２１３）｝
G01B5/10	移動体の
G01B5/12	内径
G01B5/14	離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ５／２４が優先）
G01B5/143	｛加工物上の穴部の間｝
G01B5/146	｛ベアリング上の遊び測定｝
G01B5/16	規則正しい間隔で連続している対象物または開口間
G01B5/163	｛ねじ山の｝
G01B5/166	｛歯車の歯｝
G01B5/18	深さ測定用
G01B5/20	輪郭または曲率測定用
G01B5/201	｛真円度測定用｝
G01B5/202	｛歯車の｝
G01B5/204	｛ねじ山の｝
G01B5/205	｛タービン羽根またはプロペラの｝
G01B5/207	複数の固定した同時作動の変換器を使うもの，（Ｇ０１Ｂ５／２１３からＧ０１Ｂ５／２２までが優先）
G01B5/213	曲率半径測定用
G01B5/22	球面計
G01B5/24	角度またはテーパ測定用；軸の心合せ試験用
G01B5/241	｛円錐測定用｝
G01B5/242	｛サインバー；　サイン板｝
G01B5/243	｛面取り部測定用（Ｇ０１Ｂ３／５６参照）｝
G01B5/245	垂直の検査用
G01B5/25	軸の心合せ検査用
G01B5/252	偏心率測定用，すなわち，二つの平行軸間の偏位
G01B5/255	ホイールの心合せ試験用
G01B5/26	面積測定用，例．プラニメータ（積分器一Ｇ０６Ｇ）
G01B5/28	表面の粗さまたは不規則性測定用
G01B5/285	｛均等さ制御用｝
G01B5/30	固体の変形測定用，例．機械的ひずみ計
G01B7/00	電気的または磁気的手段の使用によって特徴づけられた測定装置
G01B7/001	｛ゲージヘッドの構造細部（Ｇ０１Ｂ７／０１２が優先）｝
G01B7/002	｛１つ以上の接触作動用の接触構造細部（Ｇ０１Ｂ７／０１６が優先）｝
G01B7/003	｛座標測定を含まない位置測定用（座標測定　Ｇ０１Ｂ７／００４）｝
G01B7/004	点の座標測定用
G01B7/008	座標測定機械を使うもの
G01B7/012	そのための接触フィーラヘッド
G01B7/016	接触の構造細部
G01B7/02	長さ，幅または厚みの測定用（Ｇ０１Ｂ７／００４，Ｇ０１Ｂ７／１２が優先）
G01B7/023	｛センサーと対象物の間隔測定用　（Ｇ０１Ｂ７／０８２と　Ｇ０１Ｂ７／１０２が優先）｝
G01B7/026	｛繰り出されたケーブルバンド等の長さ測定用，例．リールから（移動体の長さ測定　Ｇ０１Ｂ７／０４）｝
G01B7/04	移動体の長さまたは幅測定用に特に適合したもの
G01B7/042	｛長さ測定用｝
G01B7/044	｛容量的手段を用いるもの｝
G01B7/046	｛磁気的手段を用いるもの｝
G01B7/048	｛幅測定用｝
G01B7/06	厚み測定用　｛（皮膜の製造中に測定するもの　Ｃ２３Ｃ１４／５４）｝
G01B7/063	｛ピエゾ電気共振器を用いるもの｝
G01B7/066	｛皮膜の厚み測定用（所望の周波数を得るためのピエゾ電気または電歪共振器の製造用の装置または処理法　Ｈ０３Ｈ３／０４）｝
G01B7/08	｛ＩＰＣ　５｝容量的手段を用いるもの
G01B7/082	｛高さ測定器｝
G01B7/085	｛皮膜の厚み測定用｝
G01B7/087	｛移動体の測定用（Ｇ０１Ｂ７／０８５が優先）｝
G01B7/10	｛ＩＰＣ　５｝磁気的手段を用いるもの，例．磁気抵抗の変化を測定することによる。
G01B7/102	｛高さ測定器｝
G01B7/105	｛皮膜の厚み測定用｝
G01B7/107	｛移動体測定用　（Ｇ０１Ｂ７／１０５が優先）｝
G01B7/12	直径測定用
G01B7/125	｛移動体の｝
G01B7/13	内径
G01B7/14	離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ７／３０が優先）
G01B7/142	｛加工物の穴部の間｝
G01B7/144	｛ベアリング上の遊び｝
G01B7/146	｛歯車の歯の測定｝
G01B7/148	｛ねじ山の測定｝
G01B7/15	規則的に間隔を置くもの
G01B7/16	固体の変形測定用，例．抵抗ひずみ計によるもの
G01B7/18	｛ＩＰＣ　５｝抵抗値変化を用いるもの
G01B7/20	｛ＩＰＣ　５｝プリント配線技術により形成された
G01B7/22	｛ＩＰＣ　５｝静電容量変化を用いるもの
G01B7/24	磁気特性変化を使うもの
G01B7/26	深さ測定用
G01B7/28	輪郭または曲率測定用
G01B7/281	｛軸線，例．パイプラインの軸性湾曲に沿った，または一連の供給器ローラーに沿った輪郭または曲率測定用｝
G01B7/282	｛真円度測定用｝
G01B7/283	｛歯車の｝
G01B7/284	｛ねじ山の｝
G01B7/285	｛プロペラまたはタービン羽根の｝
G01B7/286	｛球面計｝
G01B7/287	複数の固定した同時動作の変換器を使うもの（Ｇ０１Ｂ７／２９３が優先）
G01B7/293	曲率半径測定用
G01B7/30	角度またはテーパ測定用；軸の心合せ試験用
G01B7/305	垂直の検査用
G01B7/31	軸の心合せ検査用
G01B7/312	偏心率測定用，すなわち，二つの平行軸間の偏位
G01B7/315	ホイールの心合せ試験用
G01B7/32	面積測定用（積分器一般Ｇ０６Ｇ）
G01B7/34	表面の粗さまたは不規則性測定用．<br><br><u>｛注</u><br><br>．Ｇ０１Ｂ７／３４Ａ(ＥＣＬＡ)〜Ｇ０１Ｂ７／３４Ａ２(ＥＣＬＡ)のグループは２００２年４月１日より新しいドキュメントの分類付与にはもはや使用されていない。これらグループの未処理分は継続的にＧ１２Ｂ２１／００(ＥＣＬＡ)とサブグループに再分類されている｝
G01B7/345	｛均等測定用｝
G01B9/00	このサブグループに記述され，かつ光学的測定手段の使用によって特徴づけられた計器（個別のパラメータを測定するための装置Ｇ０１Ｂ１１／００）
G01B9/02	干渉計
G01B9/02001	｛外部擾乱用補償装置；　構造細部｝
G01B9/02002	
G01B9/02003	
G01B9/02004	
G01B9/02005	
G01B9/02007	
G01B9/02008	
G01B9/02009	
G01B9/0201	
G01B9/02011	
G01B9/02012	
G01B9/02014	
G01B9/02015	｛２つ以上の波長光を用いるもの（Ｇ０１Ｂ９／０２０４１とＧ０１Ｂ９／０２０４９が優先）｝
G01B9/02016	
G01B9/02017	
G01B9/02018	
G01B9/02019	
G01B9/02021	
G01B9/02022	
G01B9/02023	
G01B9/02024	
G01B9/02025	
G01B9/02027	
G01B9/02028	
G01B9/02029	
G01B9/0203	
G01B9/02031	
G01B9/02032	
G01B9/02034	
G01B9/02035	
G01B9/02036	
G01B9/02037	
G01B9/02038	
G01B9/02039	
G01B9/02041	｛光ファイバまたは光集積回路を含むもの｝
G01B9/02042	
G01B9/02043	
G01B9/02044	
G01B9/02045	
G01B9/02047	
G01B9/02048	
G01B9/02049	｛回析格子を含むもの（物理的実財物測定用センサーの中に　Ｇ０１Ｄ５／３８）｝
G01B9/0205	
G01B9/02051	
G01B9/02052	
G01B9/02054	
G01B9/02055	
G01B9/02056	
G01B9/02057	
G01B9/02058	
G01B9/02059	
G01B9/02061	
G01B9/02062	
G01B9/02063	
G01B9/02064	
G01B9/02065	
G01B9/02067	
G01B9/02068	
G01B9/02069	
G01B9/0207	
G01B9/02071	
G01B9/02072	
G01B9/02074	
G01B9/02075	
G01B9/02076	
G01B9/02077	
G01B9/02078	
G01B9/02079	
G01B9/02081	
G01B9/02082	
G01B9/02083	
G01B9/02084	
G01B9/02085	
G01B9/02087	
G01B9/02088	
G01B9/02089	
G01B9/0209	｛多重反射を用いるもの｝
G01B9/02091	
G01B9/02092	｛分極を用いる干渉計｝
G01B9/02094	
G01B9/02095	
G01B9/02096	
G01B9/02097	｛スペックル干渉計（スペックル光学一般　Ｇ０２Ｂ２７／４８）｝
G01B9/02098	
G01B9/021	ホログラフィ技術によるもの
G01B9/023	等高線作成用（Ｇ０１Ｂ９／０２５〜Ｇ０１Ｂ９／０２９が優先）
G01B9/025	二重露光方式
G01B9/027	実時間式
G01B9/029	時間平均式
G01B9/04	測定用顕微鏡（顕微鏡一般Ｇ０２Ｂ２１／００）
G01B9/06	測定用望遠鏡（望遠鏡一般Ｇ０２Ｂ２３／００）
G01B9/08	光投影式コンパレータ
G01B9/10	複数の面の間の角度測定用ゴニオメータ
G01B11/00	光学的手段の使用によって特徴づけられた測定装置（グループＧ０１Ｂ９／００に包含される形式の計器それ自体Ｇ０１Ｂ９／００）
G01B11/002	｛２つ以上の座標測定用｝
G01B11/005	｛座標測定器｝
G01B11/007	｛そのためのフィラーヘッド｝
G01B11/02	長さ，幅または厚み測定用（Ｇ０１Ｂ１１／０８が優先）
G01B11/022	｛テレビカメラ走査によるもの｝
G01B11/024	｛ダイオードアレイ走査によるもの｝
G01B11/026	｛センサーと対象物の間隔測定によるもの（Ｇ０１Ｂ１１／０６０８が優先）｝
G01B11/028	｛対象物の境界の側部位置測定による（Ｇ０１Ｂ１１／０２２，　Ｇ０１Ｂ１１／０２４，　Ｇ０１Ｂ１１／０４が優先）｝
G01B11/03	点の座標測定によるもの
G01B11/04	移動体の長さまたは幅測定用に特に適合したもの
G01B11/043	｛長さ測定用｝
G01B11/046	｛幅測定用｝
G01B11/06	厚み測定用　例．シート材の（熱的手段による厚み測定Ｇ０１Ｂ２１／０８５）
G01B11/0608	｛高さ測定器｝
G01B11/0616	｛皮膜の｝
G01B11/0625	｛吸収または反射の測定を持つもの｝
G01B11/0633	｛一以上の離散的波長を使用するもの｝
G01B11/0641	｛偏光の測定を持つもの｝
G01B11/065	｛一以上の離散的波長を使用するもの｝
G01B11/0658	｛放射率または再放射の測定を持つもの｝
G01B11/0666	｛弾性表面波（ＳＡＷ）を含む，励起ビームと検知ビームを用いるもの｝
G01B11/0675	｛干渉法を用いるもの｝
G01B11/0683	｛層の成層または除去の間の測定｝
G01B11/0691	｛移動体の（Ｇ０１Ｂ１１／０６１６）｝
G01B11/08	直径測定用
G01B11/10	移動体の
G01B11/105	｛光電的検知手段を用いるもの｝
G01B11/12	内径
G01B11/14	離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ１１／２６が優先；光学的距離計Ｇ０１Ｃ）
G01B11/16	固体の変形測定用，例．光学的ひずみ計
G01B11/161	｛干渉形手段によるもの｝
G01B11/162	｛スペックル‐またはシヤリング干渉法によるもの｝
G01B11/164	｛ホログラフ干渉法によるもの｝
G01B11/165	｛対象物により変形された格子によるもの｝
G01B11/167	｛対象物にパターンを投影することによるもの｝
G01B11/168	｛偏光によるもの｝
G01B11/18	｛ＩＰＣ　５｝光弾性素子を用いるもの
G01B11/20	｛ＩＰＣ　５｝ぜい性ラッカーを用いるもの
G01B11/22	深さ測定用
G01B11/24	輪郭または曲率の測定用
G01B11/2408	｛真円度測定用｝
G01B11/2416	｛歯車の（光学投影手段プロフィル比較器　Ｇ０１Ｂ９／０８）｝
G01B11/2425	｛ねじ山の｝
G01B11/2433	｛陰影キャスティングによるアウトライン測定用｝
G01B11/2441	｛干渉法を用いるもの｝
G01B11/245	複数の，固定された，同時に作動する変換器を用いるもの　（｛Ｇ０１Ｂ１１／２４０８〜Ｇ０１Ｂ１１／２４２５，｝Ｇ０１Ｂ１１／２５５が優先）
G01B11/25	投影パターンによるもの　例．　｛１つ以上のライン，｝対象物のモアレ縞（Ｇ０１Ｂ１１／２５５が優先）
G01B11/2504	｛較正装置｝
G01B11/2509	｛色分け｝
G01B11/2513	｛１つ以上の方向に投影されているいくつかのラインを持つもの　例．　グリッド，パターン｝
G01B11/2518	｛対象物の走査による投影｝
G01B11/2522	｛変更し記録されている対象物の所定位置｝
G01B11/2527	｛パターンの面内移動による位相変化｝
G01B11/2531	｛いくつかの格子を用いるもの，対象物上の入射角の可変角度を持って投影されたもの，そして１台以上の検出装置｝
G01B11/2536	｛可変格子ピッチを持ついくつかの格子を用いるもの，同じ入射角を持つ対象物上に投影されたもの｝
G01B11/254	｛パターンの投影，パターンを通じて見ること　例．モアレ｝
G01B11/2545	｛１つの投影方向といくつかの検出方向を持つもの　例．ステレオ｝
G01B11/255	曲率半径測定用　｛直径測定　Ｇ０１Ｂ１１／０８）｝
G01B11/26	角度またはテーパ測定用；軸の心合せ試験用
G01B11/27	軸の心合せ検査用
G01B11/272	｛光電的検出手段を用いるもの｝
G01B11/275	ホイール心合せ試験用
G01B11/2755	｛光電的検出手段を用いるもの｝
G01B11/28	面積測定用（積分器一般Ｇ０６Ｇ）
G01B11/285	｛光電的検出手段を用いるもの｝
G01B11/30	表面の粗さまたは不規則性測定用
G01B11/303	｛光電的検出手段を用いるもの｝
G01B11/306	｛均等さ測定用｝
G01B13/00	流体の使用によって特徴づけられた測定装置　｛圧力調整　Ｇ０５Ｄ１６／００｝
G01B13/02	長さ，幅または厚み測定用（Ｇ０１Ｂ１３／０８が優先）
G01B13/03	点の座標測定によるもの
G01B13/04	移動体の長さまたは幅測定用に特に適合したもの
G01B13/06	厚さ測定用　例．シート材料
G01B13/065	｛高さ測定器｝
G01B13/08	直径測定用
G01B13/10	内径
G01B13/12	離隔対象物または離隔開口間の距離または間隙測定用（Ｇ０１Ｂ１３／１８が優先）
G01B13/14	深さ測定用
G01B13/16	輪郭または曲率の測定用
G01B13/18	角度またはテーパ測定用；軸の心合せ試験用
G01B13/19	軸の心合せ検査用
G01B13/195	ホイールの心合せ試験用
G01B13/20	面積測定用，例．空気式プラニメータ（積分器一般Ｇ０６Ｇ）
G01B13/22	表面の粗さまたは不規則性測定用
G01B13/24	固体の変形測定用
G01B15/00	波動性または粒子性放射線の使用によって特徴づけられた測定装置（Ｇ０１Ｂ９／００，Ｇ０１Ｂ１１／００が優先；　｛レーダ法によるもの　Ｇ０１Ｓ｝）
G01B15/02	厚み測定用
G01B15/025	｛吸収測定によるもの｝
G01B15/04	輪郭または曲率の測定用
