H05B3/68	特に料理板あるいは類似加熱板に適した加熱装置<br><br><u>注</u><br><br>グループＨ０５Ｂ３／７６はグループＨ０５Ｂ３／７０−Ｈ０５Ｂ３／７４に優先する。<br>この注はＨ０５Ｂ３／７０−Ｈ０５Ｂ３／７６に関するＩＰＣ注（１）に対応する。
H05B3/681	｛やかん，なべまたは類似のものの底部に接触する可動部分を有する熱板｝
H05B3/683	｛やかん，なべまたは類似のものを置くときに閉じる給電回路を備えた熱板（Ｈ０５Ｂ３／７４が優先）｝
H05B3/685	｛やかん，なべまたは類似のものを引き付ける磁性手段を備えた熱板｝
H05B3/686	｛蓄熱板｝
H05B3/688	｛熱板の製作（単一段階製造方法は適切なサブクラスを参照，例．Ｂ２３Ｃ，冶金学のサブセクションにおけるもの）｝
H05B3/70	鋳造金属板
H05B3/72	板金からなる熱板
H05B3/74	非金属板，｛例．ガラスセラミック，セラミックまたはガラスセラミック加熱部，電源回路または制御回路も含む｝
H05B3/742	｛ランプと抵抗発熱素子の両方を持っている熱板｝
H05B3/744	｛熱源としてのランプ，すなわち保護ガス外囲器を有する発熱素子，例．ハロゲンランプ｝
H05B3/746	｛保護処理，例．過熱の遮断，加熱板表示部｝
H05B3/748	｛抵抗加熱素子，すなわち大気にさらされた発熱素子，例．コイル線状発熱体（Ｈ０５Ｂ３／７４２が優先）｝
H05B3/76	らせん状に巻いた発熱管をもつ熱板
H05B3/78	特に投込み加熱に適した加熱装置
H05B3/80	携帯投込み発熱体
H05B3/82	投込み発熱体を固定してあるもの
H05B3/84	透明または反射部分に特に適合した加熱装置，例．窓，鏡，または車両の風防ガラスを防曇または防氷するためのもの
H05B3/845	｛反射面に特に適合するもの，例．浴室の鏡またはバックミラー｝
H05B3/86	発熱導体が透明または反射物質の中に埋込まれたもの｛（Ｈ０５Ｂ３／８４５が優先）｝
H05B6/00	電界，磁界または電磁界による加熱（マイクロ波を用いた放射線療法Ａ６１Ｎ５／０２）
H05B6/02	誘導加熱
H05B6/04	電流源
H05B6/06	制御，例．温度の制御，電力の制御
H05B6/062	｛調理器用のもの｝
H05B6/065	｛複数の誘導コイルの協調制御｝
H05B6/067	｛融解炉用のもの｝
H05B6/08	補償装置あるいは平衡装置を用いたもの
H05B6/10	特殊な応用のための炉以外の誘導加熱装置
H05B6/101	｛金属部品の部分的加熱のためのもの｝
H05B6/102	｛金属部品が誘導加熱中に回転するもの｝
H05B6/103	｛インダクタに向かって連続的に近づく複数の金属部品｝
H05B6/104	｛金属部品がワイヤまたは紐状に引き延ばされるもの｝
H05B6/105	｛サセプタを使用するもの｝
H05B6/106	｛中実の形状のもの｝
H05B6/107	｛連続的に移動する材料のためのもの｝
H05B6/108	｛流体を加熱するためのもの｝
H05B6/109	｛サセプタに関連する回転磁石を使用するもの｝
H05B6/12	調理器
H05B6/1209	｛誘導加熱プレートまたは類似のものおよびそれらと組み合わせて使用される装置｝
H05B6/1218	｛加熱領域を示すために調整された照明を備えたもの｝
H05B6/1227	｛誘導調理プレート用中華鍋および中華鍋補助具のためのもの｝
H05B6/1236	｛装置に電力を供給するためにコイルに電流を誘起するよう適合されたものおよびそれによって電力を供給される電気加熱装置｝
H05B6/1245	｛特殊なコイルを備えたもの｝
H05B6/1254	｛誘導磁場を発生させる導体部品を使用するもの｝
H05B6/1263	｛コイル冷却手段を使用するもの｝
H05B6/1272	｛加熱領域に対して２つ以上のコイルまたはコイルセグメントを備えたもの｝
H05B6/1281	｛扁平なコイルを備えたもの｝
H05B6/129	｛誘導オーブン｝
H05B6/14	器具，例．ノズル，ローラー，カレンダー
H05B6/145	｛加熱されたローラー｝
H05B6/16	環状鉄心を有する炉（Ｈ０５Ｂ６／３４が優先）
H05B6/18	溶融槽をもつもの
H05B6/20	溶融チャンネルのみをもつもの
H05B6/22	環状鉄心を有しない炉（Ｈ０５Ｂ６／３４が優先）
H05B6/24	るつぼ炉（Ｈ０５Ｂ６／３０が優先）
H05B6/26	真空または特殊ガスによる雰囲気を用いるもの
H05B6/28	保護装置
H05B6/30	再溶融装置または帯域溶融装置
H05B6/32	浮揚溶融装置
H05B6/34	溶湯の攪拌装置
H05B6/36	コイル
H05B6/362	｛平板状コイルを備えるもの｝
H05B6/365	｛補完的な導電部片または強磁部片を用いるもの｝
H05B6/367	｛融解炉用のもの｝
H05B6/38	被加熱物のくぼみ部分に嵌め合せるようにしたもの
H05B6/40	希望する熱分布の確立，例．被加熱物の特定部分の加熱
H05B6/405	｛加熱円形歯車用のもの｝
H05B6/42	コイルの冷却
H05B6/44	２個以上のコイルまたは２個以上のコイル区分を有するもの
H05B6/46	誘電加熱（Ｈ０５Ｂ６／６４が優先）
H05B6/48	回路
H05B6/50	監視または制御のためのもの
H05B6/52	給電路
H05B6/54	電極
H05B6/56	回転電極
H05B6/58	ミシン型
H05B6/60	被加熱材の連続移動装置
H05B6/62	特殊応用装置
H05B6/64	マイクロ波を用いた加熱｛（マイクロ波で加熱するのに特に適合した容器，パッケージ素子またはパッケージＢ６５Ｄ８１／３４４６）｝
H05B6/6402	｛マイクロ波の空洞共振器に関する観点｝
H05B6/6405	｛自浄式空洞共振器｝
H05B6/6408	｛マイクロ波加熱機器の中での使用に特に適合した支持部材または覆い部材｝
H05B6/6411	｛支持部材が回転するもの｝
H05B6/6414	｛マイクロ波加熱機器のドアに関する観点｝
H05B6/6417	｛マイクロ波加熱機器のドアの連動装置および関連する回路｝
H05B6/642	｛マイクロ波部品の冷却および関連する空気循環装置（Ｈ０５Ｂ６／６４７３が優先）｝
H05B6/6423	｛マイクロ波オーブンの空気循環装置を空気排出フードとしても使用するもの｝
H05B6/6426	｛マイクロ波加熱機器の外部に関する観点，例．金属ケース，電気コード｝
H05B6/6429	｛壁取り付け型マイクロ波加熱機器の取り付け組立体に関する観点｝
H05B6/6432	｛マイクロ波加熱機器の漏洩の試験または検知に関する観点｝
H05B6/6435	｛マイクロ波加熱機器の操作部に関する観点｝
H05B6/6438	｛マイクロ波加熱機器の操作プログラムを記憶可能なもの｝
H05B6/6441	｛コード化された操作指示を入力可能なもの，例．バーコード読み取り機｝
H05B6/6444	｛マイクロ波空洞共振器内の照明装置に特徴があるもの｝
H05B6/6447	｛検知器またはセンサに関するマイクロ波加熱器の操作方法または細部｝
H05B6/645	｛温度センサを使用するもの｝
H05B6/6452	｛センサが被加熱製品との接触についてのものであるもの｝
H05B6/6455	｛センサが赤外線検出器であるもの｝
H05B6/6458	｛湿度または蒸気センサを使用するもの｝
H05B6/6461	｛炎または匂いセンサを使用するもの｝
H05B6/6464	｛重量センサを使用するもの｝
H05B6/6467	｛無線周波数送信機を備えた検知器を使用するもの｝
H05B6/647	｛他の加熱技術と組み合わされたマイクロ波加熱機器に関する観点｝
H05B6/6473	｛対流加熱と組み合わされたもの（Ｈ０５Ｂ６／６４８５が優先）｝
H05B6/6476	｛冷却風が対流に用いられるもの｝
H05B6/6479	｛蒸気を使用するもの｝
H05B6/6482	｛放射加熱と組み合わされたもの，例．赤外線加熱｝
H05B6/6485	｛さらに対流加熱と組み合わされたもの｝
H05B6/6488	｛誘導加熱と組み合わされたもの｝
H05B6/6491	｛サセプタの使用と組み合わされたもの（Ｈ０５Ｂ６／８０およびサブグループが優先）｝
H05B6/6494	｛調理用｝
H05B6/6497	｛サセプタが液体であるもの｝
H05B6/66	回路
H05B6/662	｛マイクロ波加熱機器の昇圧器に関する観点｝
H05B6/664	｛マイクロ波加熱機器の電力供給に関する観点｝
H05B6/666	｛安全回路（非常保護回路一般Ｈ０２Ｈ）｝
H05B6/668	｛通信ネットワークに接続されたマイクロ波加熱装置｝
H05B6/68	監視または制御のためのもの
H05B6/681	｛インバータ，昇圧器または磁電管からなる回路｝
H05B6/682	｛スイッチング制御が回路の電気量の測定値に基づくもの｝
H05B6/683	｛測定値が回路の高電圧側により生成されるもの｝
H05B6/685	｛測定値が回路の低電圧側により生成されるもの｝
H05B6/686	｛信号発振器および電力増幅器からなる回路，例．半導体発信器を用いるもの｝
H05B6/687	｛調理用｝
H05B6/688	｛解凍用｝
H05B6/70	給電路
H05B6/701	｛マイクロ波照射装置を使用するもの｝
H05B6/702	｛同軸ケーブルを使用するもの｝
H05B6/704	｛マイクロ波偏光手段を使用するもの｝
H05B6/705	｛マイクロ波波長調整手段を使用するもの｝
H05B6/707	｛導波路を使用するもの｝
H05B6/708	｛特に，穴を備えた導波路｝
H05B6/72	放射器またはアンテナ
H05B6/725	｛回転可能なアンテナ｝
H05B6/74	モード変換またはモード攪拌
H05B6/745	｛回転可能な攪拌機｝
H05B6/76	マイクロ波漏洩防止，例．ドアシール
H05B6/763	｛ドア用のマイクロ波放射シール｝
H05B6/766	｛窓用のマイクロ波放射スクリーン｝
H05B6/78	被加熱材の連続移動装置
H05B6/782	｛移動される被加熱材が食品であるもの｝
H05B6/784	｛被加熱材がチューブ状の輸送ライン，例．スクリュー輸送装置，で移動されるもの｝
H05B6/786	｛被加熱材がプレートの機械的振動を用いて移動されるもの｝
H05B6/788	｛長尺の被加熱材がそれへの機械的張力の印加により移動されるもの｝
H05B6/80	特殊応用装置（ストーブまたはレンジＦ２４Ｃ７／０２）
H05B6/802	｛流体の加熱のためもの（伝統的な電子レンジによる流体の加熱手段Ｈ０５Ｂ６／６８７）｝
H05B6/804	｛給湯器，湯沸かし器｝
H05B6/806	｛研究のために使用されるもの｝
H05B6/808	｛自動販売機に適用されるマイクロ波加熱｝
H05B7/00	放電加熱（プラズマトーチＨ０５Ｈ１／２６）
H05B7/005	｛電気回路図｝
H05B7/02	細部
H05B7/06	電極
H05B7/07	使用において溶融するように設計されたもの
H05B7/08	消耗しないもの
H05B7/085	主として炭素からなるもの
H05B7/09	自焼成電極，例．セーデルベリ形電極
H05B7/10	取り付け，支持，端子，または電極の給送または案内装置
H05B7/101	電極の先端，すなわちアークから離れた端部，における取り付け，支持または端子
H05B7/102	消耗電極に特に適合したもの
H05B7/103	ジョーによる取り付け，支持または端子（Ｈ０５Ｂ７／１０１が優先）
H05B7/105	周辺に沿って等しく配置された三つ以上のジョーからなるもの，例．リングホルダー
H05B7/107	自焼成電極に特に適合したもの
H05B7/109	給送装置（Ｈ０５Ｂ７／１０７が優先；電極の移動が電力の自動制御の閉ループの一部であるものＨ０５Ｂ７／１４８）
H05B7/11	電極端子に電流を導くための装置
H05B7/12	電極の冷却，密閉または保護のための装置
H05B7/14	連続する電極部分を接続するための装置または方法
H05B7/144	放電加熱に特に適合した電力給電；電力の自動制御，例．電極の位置決めによるもの
